conversion_line,base_line,lagging_span,leading_line1,leading_line2
9109.325,9109.325,9248.72,0,0
9109.325,9109.325,9238.45,0,0
9113.385,9113.385,9237.88,0,0
9113.385,9113.385,9237.02,0,0
9121.475,9121.475,9209.68,0,0
9121.475,9121.475,9204.88,0,0
9121.475,9121.475,9208.0,0,0
9121.475,9121.475,9208.45,0,0
9140.05,9140.05,9210.06,0,0
9150.5,9140.05,9206.45,0,0
9156.435,9140.05,9197.01,0,0
9156.555,9140.05,9242.58,0,0
9162.655,9140.05,9246.92,0,0
9189.655,9167.05,9195.0,0,0
9189.655,9167.05,9048.92,0,0
9198.5,9174.24,9044.36,0,0
9212.55,9186.05,9066.34,0,0
9212.55,9186.05,9066.11,0,0
9212.55,9186.05,9055.15,0,0
9212.55,9186.05,9077.5,0,0
9213.535,9186.05,9126.55,0,0
9221.0,9186.05,9099.81,0,0
9249.96,9186.05,9086.54,0,0
9251.08,9186.05,9097.77,0,0
9251.08,9186.05,9107.92,0,0
9250.065,9186.05,9096.58,9109.325,9109.325
9246.66,9196.5,9092.84,9109.325,9109.325
9240.08,9202.435,9095.21,9113.385,9113.385
9236.06,9202.555,9109.56,9113.385,9113.385
9232.375,9208.655,9095.7,9121.475,9121.475
9214.28,9208.655,9105.05,9121.475,9121.475
9214.28,9208.655,9101.0,9121.475,9121.475
9214.28,9210.31,9077.75,9121.475,9121.475
9214.28,9212.55,9076.53,9140.05,9140.05
9214.28,9212.55,9097.0,9145.275,9140.05
9213.72,9212.55,9107.98,9148.242,9140.05
9213.72,9212.55,9088.24,9148.302,9140.05
9213.72,9213.535,9086.63,9151.352,9140.05
9212.16,9221.0,9100.39,9178.352,9167.05
9141.36,9158.5,9089.27,9178.352,9167.05
9098.86,9116.0,9088.23,9186.37,9174.24
9098.86,9116.0,9079.26,9199.3,9186.05
9098.86,9114.985,9085.72,9199.3,9186.05
9098.86,9111.58,9088.49,9199.3,9186.05
9098.86,9105.0,9096.61,9199.3,9186.05
9098.86,9100.98,9083.99,9199.792,9186.05
9097.5,9100.98,9058.26,9203.525,9186.05
9068.01,9100.98,9072.41,9218.005,9186.05
9045.0,9100.98,9072.0,9218.565,9186.05
9082.5,9100.98,9087.83,9218.565,9186.05
9088.5,9100.98,9085.02,9218.057,9186.05
9090.0,9100.98,9085.74,9221.58,9186.05
9092.5,9100.42,9091.59,9221.258,9186.05
9107.335,9100.42,9078.68,9219.307,9186.05
9105.045,9100.42,9073.54,9220.515,9186.05
9093.87,9098.86,9075.99,9211.467,9186.05
9094.835,9098.86,9071.85,9211.467,9186.05
9081.85,9098.86,9062.58,9212.295,9186.05
9081.85,9098.86,9057.69,9213.415,9186.05
9081.85,9098.86,9069.12,9213.415,9186.05
9081.85,9098.86,9079.11,9213.135,9186.05
9081.85,9098.86,9069.08,9213.135,9186.05
9081.85,9098.86,9066.01,9213.628,9186.05
9081.85,9097.5,9073.6,9216.58,9186.05
9081.85,9068.01,9169.75,9149.93,9158.5
9080.35,9045.0,9139.82,9107.43,9116.0
9087.56,9082.5,9129.31,9107.43,9116.0
9094.36,9088.5,9130.07,9106.922,9116.0
9094.835,9090.0,9117.13,9105.22,9116.0
9094.835,9092.5,9129.58,9101.93,9116.0
9090.835,9094.35,9135.46,9099.92,9116.0
9075.735,9091.445,9134.24,9099.24,9116.0
9075.735,9081.235,9126.61,9084.495,9116.0
9070.735,9081.235,9118.01,9072.99,9116.0
9070.735,9081.235,9129.8,9091.74,9116.0
9070.735,9081.235,9124.51,9094.74,9116.0
9070.735,9081.235,9076.71,9095.49,9116.0
9070.735,9081.235,9059.0,9096.46,9116.0
9070.735,9081.235,9061.99,9103.877,9116.0
9068.235,9081.235,9068.57,9102.732,9116.0
9072.17,9081.235,9019.57,9096.365,9116.0
9075.06,9081.235,9031.37,9096.848,9116.0
9077.0,9079.735,9034.48,9090.355,9116.0
9075.215,9079.735,9042.49,9090.355,9116.0
9067.52,9079.735,9012.0,9090.355,9116.0
9067.52,9079.735,9035.19,9090.355,9116.0
9066.405,9079.735,9028.0,9090.355,9116.0
9063.73,9075.735,9031.87,9090.355,9116.0
9062.52,9075.735,9029.87,9089.675,9116.0
9115.02,9113.735,9041.7,9074.93,9116.0
9115.02,9113.735,9029.23,9062.675,9116.0
