time,open,volume
1630454400000,3429.2,108643626.62
1630458000000,3398.13,93483680.56
1630461600000,3424.97,82858260.41
1630465200000,3420.7,58271058.6
1630468800000,3442.15,110266323.77
1630472400000,3461,232823305.14
1630476000000,3525.84,97318675.34
1630479600000,3519.69,96440617.94
1630483200000,3516.86,106281436.32
1630486800000,3531.99,146602848.23
1630490400000,3538.64,97666872.78
1630494000000,3543.58,87866166.12
1630497600000,3530.99,90366696.8
1630501200000,3536.01,86206432.13
1630504800000,3534.72,111175897.79
1630508400000,3529.5,114032979.5
1630512000000,3580.56,489707936.4
1630515600000,3741.58,239744792.62
1630519200000,3693.06,92374446.2
1630522800000,3697.28,83650247.82
1630526400000,3713.11,69728041.09
1630530000000,3729.02,77666600.98
1630533600000,3768.7,139353109.61
1630537200000,3760.2,125968615.07
1630540800000,3826.82,125260532.62
1630544400000,3778.72,133172293.31
1630548000000,3771.5,101088606.77
1630551600000,3741.76,60205492.33
1630555200000,3763.31,49859548.99
1630558800000,3759.61,51499389.71
1630562400000,3758.43,109966834.85
1630566000000,3753.62,115739979.56
1630569600000,3733.41,61183240.01
1630573200000,3745.96,59232284.79
1630576800000,3738.5,75983763.39
1630580400000,3758.59,48309769.87
1630584000000,3760.62,88577284.79
1630587600000,3775.09,65751681.73
1630591200000,3793.41,240301666.09
1630594800000,3764.43,110011844.81
1630598400000,3756.31,77615112.75
1630602000000,3783.7,63297159.2
1630605600000,3798.75,81662496.96
1630609200000,3778,38491112.28
1630612800000,3783.89,56653033.51
1630616400000,3807.51,61922767
1630620000000,3829.39,58134876.77
1630623600000,3803.63,50515578.95
1630627200000,3785.82,121802963.91
1630630800000,3730.46,90850475.86
1630634400000,3742.19,70478859.5
1630638000000,3773.12,86576826
1630641600000,3806.83,68594390.1
1630645200000,3810.02,71113346.97
1630648800000,3797.34,50055614.82
1630652400000,3791.84,74267529.79
1630656000000,3797.92,190027872.2
1630659600000,3890.17,327310099.44
1630663200000,3966.62,186435537.08
1630666800000,3950.41,104429584.98
1630670400000,3953.48,141785372.48
1630674000000,3950.74,80822806.16
1630677600000,3963.67,302197015.31
1630681200000,3979.38,81665168.56
1630684800000,3968.8,69401343.63
1630688400000,3970.28,57887404.45
1630692000000,3962.69,62347489.72
1630695600000,3951.87,41586912.05
1630699200000,3943.85,64467709.94
1630702800000,3916.7,40664788.66
1630706400000,3936.45,113021663.06
1630710000000,3886.64,59872199.66
1630713600000,3938.11,81349624.95
1630717200000,3942.8,48543751.73
1630720800000,3920.01,48497858.18
1630724400000,3943.71,55539102.77
1630728000000,3917.76,41133074.32
1630731600000,3905.87,47918784.12
1630735200000,3926,35523213.61
1630738800000,3921.25,35609636.89
1630742400000,3916.75,72206054.89
1630746000000,3933.52,50277133.21
1630749600000,3927.77,66937283.7
1630753200000,3904.58,91927504.3
1630756800000,3886.89,86589308.09
1630760400000,3914.93,48989963.26
1630764000000,3909.08,47189010.34
1630767600000,3902.45,55719669.35
1630771200000,3917.72,77676863.01
1630774800000,3900.52,135202582.04
1630778400000,3879.4,54354497.24
1630782000000,3858.97,86518830.27
1630785600000,3858.41,38287758.41
1630789200000,3878.63,32632785.32
1630792800000,3889.49,42207538.22
1630796400000,3884.57,42149404.02
1630800000000,3885.52,62247527.58
1630803600000,3903.87,34957288.14
1630807200000,3892.2,26799281.19
1630810800000,3890.52,65911864.75
1630814400000,3845,37161082.4
1630818000000,3871.57,30066465.57
1630821600000,3861.87,52054357.54
1630825200000,3875.73,41909108.33
1630828800000,3870.71,67894400.37
1630832400000,3918.01,75243673.09
1630836000000,3928.35,110575841.08
1630839600000,3920.09,65888378.17
1630843200000,3924.56,64360568.15
1630846800000,3931.37,48087505.07
1630850400000,3929.48,67466455.37
1630854000000,3918.82,75667639.93
1630857600000,3907.68,50180142.25
1630861200000,3915.69,56522009.4
1630864800000,3926.76,29019049.84
1630868400000,3921.37,57086306.25
1630872000000,3928.47,107625972.96
1630875600000,3966.81,101962085.41
1630879200000,3951.34,53952181.58
1630882800000,3948,49914118.06
1630886400000,3950.29,85749777.96
1630890000000,3930.51,44084246.06
1630893600000,3927.21,36426923.12
1630897200000,3918.51,73686074.11
1630900800000,3904.98,76678294.28
1630904400000,3921.99,47291085.43
1630908000000,3931.42,52664298.33
1630911600000,3933.07,88084056.37
1630915200000,3943.76,65352269.55
1630918800000,3959.01,54854348.07
1630922400000,3956.42,43753171.75
1630926000000,3947.66,127222745.66
1630929600000,3904.77,161821545.71
1630933200000,3904.14,66445122.03
1630936800000,3916.08,72890752.76
1630940400000,3939.9,63933374.16
1630944000000,3924.98,59682675.51
1630947600000,3926.2,28723629.22
1630951200000,3932.84,40726548.12
1630954800000,3947.47,61503827.7
1630958400000,3937.8,43402413.69
1630962000000,3951.73,49215463.59
1630965600000,3953.33,67235141.32
1630969200000,3939.98,51132311.87
1630972800000,3926.77,111890086.14
1630976400000,3899.7,41945813.34
1630980000000,3918.36,71519497.38
1630983600000,3933.06,46891785.17
1630987200000,3913.67,51624081.5
1630990800000,3916.53,60660776.3
1630994400000,3921.95,63484485.49
1630998000000,3898.98,101656404.92
1631001600000,3883.85,395676490.75
1631005200000,3755.73,218082878.2
1631008800000,3712.94,152700774.76
1631012400000,3763.19,83831692.72
1631016000000,3749.18,95685397.15
1631019600000,3752.9,70887089.52
1631023200000,3729.77,546820135.15
1631026800000,3399.09,908063397.12
1631030400000,3452.7,304541023.95
1631034000000,3560.25,244298146.53
1631037600000,3423.58,233222344.46
1631041200000,3445.48,85695538.5
1631044800000,3411.9,103632780.83
1631048400000,3413.57,102383018.28
1631052000000,3374.43,100823164.99
1631055600000,3435.49,97360615.42
1631059200000,3434.57,121093479.87
1631062800000,3458.6,96021051.5
1631066400000,3522.52,92886691.42
1631070000000,3495.7,96934693.52
1631073600000,3430.32,87350913.8
1631077200000,3438.67,89852266.29
1631080800000,3410.94,252585341.01
1631084400000,3297.02,159804160.48
1631088000000,3258.22,233839439.85
1631091600000,3361.26,116142273.1
1631095200000,3373.22,108835367.11
1631098800000,3393.88,116899292.33
1631102400000,3406.26,97350976.98
1631106000000,3405.27,103848131.1
1631109600000,3406.14,100880509.99
1631113200000,3376.01,99722943.78
1631116800000,3419.35,112253784.12
1631120400000,3489.52,68231059.42
1631124000000,3478.67,91016827.87
1631127600000,3536.15,75281110.57
1631131200000,3523.14,84026708.36
1631134800000,3471.25,50906763.28
1631138400000,3459.26,115941948.22
1631142000000,3535.85,93566300.03
1631145600000,3499,116643539.79
