time,high,low,open,close,volume
1587160800,15.73,15.6,15.6,15.72,1638362.28
1587164400,15.77,15.49,15.72,15.67,1844738.77
1587168000,15.89,15.79,15.67,15.87,1611152.81
1587171600,15.96,15.83,15.87,15.89,1874052.93
1587175200,16.12,15.92,15.89,16.04,2099081.29
1587178800,16.05,15.86,16.04,15.98,1876297.63
1587182400,16,15.9,15.98,15.94,1787945.26
1587186000,16.06,15.96,15.94,16,2010111.38
1587189600,15.97,15.86,16,15.88,1868648.07
1587193200,15.95,15.86,15.88,15.91,1572424.64
1587196800,15.93,15.86,15.91,15.9,1581947.78
1587200400,15.98,15.86,15.9,15.98,1720115.92
1587204000,16.02,15.88,15.98,15.98,2130319.23
1587207600,16.22,16.08,15.98,16.09,2052776.49
1587211200,16.56,16.05,16.09,16.14,2332103.81
1587214800,16.6,16.35,16.14,16.45,2496396.06
1587218400,16.51,16.37,16.45,16.45,1932430.86
1587222000,16.62,16.43,16.45,16.47,2130137.47
1587225600,16.51,16.33,16.47,16.36,2157262.07
1587229200,16.43,16.28,16.36,16.38,2163380.19
1587232800,16.41,16.34,16.38,16.39,1853887.19
1587236400,16.45,16.37,16.39,16.42,1673873.74
1587240000,16.51,16.45,16.42,16.51,1804511.84
1587243600,16.69,16.6,16.51,16.62,1812050.06
1587247200,16.99,16.61,16.62,16.69,2303323.49
1587250800,16.76,16.56,16.69,16.65,1993376.22
1587254400,16.59,16.46,16.65,16.52,2034688.08
1587258000,16.6,16.47,16.52,16.5,1855693.03
1587261600,16.63,16.54,16.5,16.6,1916784.03
1587265200,16.67,16.54,16.6,16.65,2074337.34
1587268800,16.58,16.47,16.65,16.55,2184310.05
1587272400,16.15,15.99,16.55,16.03,2215913.99
1587276000,16.45,16.25,16.03,16.29,1886146.22
1587279600,16.26,16.16,16.29,16.23,1982289.42
1587283200,16.31,16.2,16.23,16.26,1690958.1
1587286800,16.4,16.32,16.26,16.32,2123569.6
1587290400,16.41,16.23,16.32,16.39,1988374.58
1587294000,16.39,16.31,16.39,16.36,1959323.44
1587297600,16.42,16.3,16.36,16.33,1900612.98
1587301200,16.19,16.01,16.33,16.04,1786520.41
1587304800,16.21,15.94,16.04,16.12,2197592.35
1587308400,16.13,16.01,16.12,16.02,1917821.94
1587312000,16.27,16.15,16.02,16.19,2016979.8
1587315600,16.29,16.22,16.19,16.24,1865455.82
1587319200,16.29,16.18,16.24,16.21,1924381.65
1587322800,16.19,16.09,16.21,16.12,2112647.28
1587326400,16.21,16.11,16.12,16.12,1802211.19
1587330000,16.36,16.26,16.12,16.27,1541543.88
1587333600,16.28,16.17,16.27,16.26,1737116.89
1587337200,16.13,16,16.26,16.08,2048622.18
1587340800,16.33,16.16,16.08,16.21,1961895.84
1587344400,16.29,16.19,16.21,16.22,2007992.45
1587348000,16.38,16.27,16.22,16.29,1977335.69
1587351600,16.44,16.3,16.29,16.36,1852085.99
1587355200,16.36,16.24,16.36,16.36,1882284.31
1587358800,16.42,16.31,16.36,16.4,2019362.41
1587362400,16.41,16.3,16.4,16.34,1890497.02
1587366000,16.42,16.33,16.34,16.39,2020357.34
1587369600,16.35,16.17,16.39,16.2,1971484.18
1587373200,16.25,16.18,16.2,16.19,1874633.01
1587376800,16.16,16.03,16.19,16.12,1957808.13
1587380400,15.72,15.58,16.12,15.64,1910157.43
1587384000,16.15,15.86,15.64,15.87,2084236.91
1587387600,15.88,15.74,15.87,15.81,2107104.74
1587391200,15.94,15.81,15.81,15.85,2006214.05
1587394800,15.95,15.82,15.85,15.94,1784768.64
1587398400,15.84,15.71,15.94,15.81,1468516.64
1587402000,15.52,15.31,15.81,15.33,1932821.15
1587405600,15.41,15.16,15.33,15.22,1831182.19
1587409200,14.92,14.66,15.22,14.9,2028004.29
