date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-01-21,10000.0,10000.0,10000.0,10000.0,87426490000,8742649,197,10000.0,10000.0
2019-01-23,10000.0,10000.0,10000.0,10000.0,46297230000,4629723,419,10000.0,10000.0
2019-01-26,10000.0,10000.0,10000.0,10000.0,2546090000,254609,44,10000.0,10000.0
2019-01-27,10000.0,10000.0,10000.0,10000.0,67896650000,6789665,223,10000.0,10000.0
2019-02-27,10045.0,10048.0,10044.0,10045.0,12558249280,1250173,95,10000.0,10045.0
2019-03-02,10064.0,10064.0,10060.0,10064.0,7000381952,695602,125,10045.0,10062.0
2019-03-03,10066.0,10070.0,10066.0,10070.0,3984454186,395688,36,10064.0,10070.0
2019-03-04,10071.0,10075.0,10071.0,10073.0,3149594904,312678,44,10070.0,10075.0
2019-03-05,10078.0,10081.0,10078.0,10078.0,139042178,13796,26,10073.0,10078.0
2019-03-06,10082.0,10086.0,10082.0,10086.0,17266415762,1711967,56,10078.0,10086.0
2019-03-09,10100.0,10103.0,10099.0,10100.0,1153031274,114162,23,10086.0,10099.0
2019-03-10,10104.0,10108.0,10104.0,10107.0,1418124970,140309,17,10100.0,10104.0
2019-03-11,10111.0,10114.0,10110.0,10110.0,16737481248,1655463,54,10107.0,10110.0
2019-03-12,10115.0,10119.0,10115.0,10119.0,4257657072,420768,20,10110.0,10119.0
2019-03-13,10122.0,10125.0,10121.0,10123.0,20004294444,1976180,66,10119.0,10121.0
2019-03-16,10137.0,10141.0,10137.0,10141.0,5166912407,509515,23,10123.0,10141.0
2019-03-18,10152.0,10152.0,10148.0,10151.0,15114816658,1489021,49,10141.0,10148.0
2019-03-19,10157.0,10158.0,10153.0,10157.0,114383637187,11261728,308,10151.0,10157.0
2019-03-25,10031.0,10031.0,10027.0,10031.0,19886923373,1982599,60,10157.0,10031.0
2019-03-26,10034.0,10037.0,10033.0,10036.0,61970915974,6174675,156,10031.0,10033.0
2019-03-27,10038.0,10042.0,10038.0,10042.0,54298606397,5407266,94,10036.0,10042.0
2019-03-30,10055.0,10059.0,10055.0,10058.0,20368614555,2025114,71,10042.0,10059.0
2019-03-31,10061.0,10064.0,10060.0,10064.0,16063031910,1596115,48,10058.0,10064.0
2019-04-06,10093.0,10097.0,10093.0,10097.0,40939765126,4054792,113,10064.0,10097.0
2019-04-07,10103.0,10104.0,10100.0,10103.0,62754539213,6211546,153,10097.0,10101.0
2019-04-08,10105.0,10108.0,10104.0,10107.0,44074735855,4360632,129,10103.0,10108.0
2019-04-09,10113.0,10114.0,10110.0,10113.0,15160011782,1499134,58,10107.0,10114.0
2019-04-10,10116.0,10120.0,10115.0,10118.0,76628568419,7573699,182,10113.0,10119.0
2019-04-13,10132.0,10136.0,10132.0,10136.0,77319620307,7628414,209,10118.0,10136.0
2019-04-14,10141.0,10141.0,10137.0,10140.0,10524742723,1037964,34,10136.0,10141.0
2019-04-15,10144.0,10146.0,10142.0,10142.0,93429219698,9211994,195,10140.0,10145.0
2019-04-16,10148.0,10152.0,10148.0,10149.0,97512967366,9607871,243,10142.0,10148.0
2019-04-17,10156.0,10157.0,10153.0,10156.0,27480889138,2705804,60,10149.0,10153.0
2019-04-20,10171.0,10174.0,10170.0,10174.0,12901727276,1268140,57,10156.0,10174.0
2019-04-22,10012.0,10015.0,10012.0,10015.0,45650977181,4558280,113,10174.0,10013.0
2019-04-23,10017.0,10020.0,10017.0,10020.0,38560833300,3848413,96,10015.0,10020.0
2019-04-24,10025.0,10036.0,10022.0,10028.0,24855648509,2478681,60,10020.0,10028.0
2019-04-27,10041.0,10042.0,10038.0,10042.0,19548068066,1946696,64,10028.0,10042.0
2019-04-28,10044.0,10051.0,10044.0,10049.0,112307459967,11176513,264,10042.0,10049.0
2019-04-29,10049.0,10053.0,10049.0,10051.0,31030473282,3087447,94,10049.0,10053.0
2019-04-30,10059.0,10059.0,10055.0,10058.0,75362466808,7492443,179,10051.0,10055.0
2019-05-01,10075.0,10075.0,10060.0,10064.0,86587214980,8604021,139,10058.0,10060.0
2019-05-04,10077.0,10081.0,10077.0,10078.0,70770774373,7022463,97,10064.0,10078.0
2019-05-05,10082.0,10086.0,10082.0,10082.0,50250446238,4983974,97,10078.0,10086.0
2019-05-06,10091.0,10093.0,10088.0,10090.0,62081818097,6152795,129,10082.0,10090.0
2019-05-07,10093.0,10097.0,10093.0,10096.0,28671563662,2839859,84,10090.0,10097.0
2019-05-08,10100.0,10114.0,10099.0,10103.0,75207386803,7443855,181,10096.0,10114.0
2019-05-11,10115.0,10119.0,10115.0,10116.0,22073425876,2181928,64,10103.0,10119.0
2019-05-12,10121.0,10125.0,10121.0,10123.0,31991449876,3160250,84,10116.0,10122.0
2019-05-13,10126.0,10130.0,10126.0,10129.0,116915905355,11543131,530,10123.0,10129.0
2019-05-14,10136.0,10139.0,10133.0,10136.0,49352251419,4869045,105,10129.0,10139.0
2019-05-15,10150.0,10150.0,10137.0,10139.0,18734939052,1847899,51,10136.0,10137.0
2019-05-18,10153.0,10157.0,10153.0,10153.0,22659400111,2231745,65,10139.0,10153.0
2019-05-19,10163.0,10163.0,10159.0,10160.0,10331133070,1016890,39,10153.0,10163.0
2019-05-20,10165.0,10168.0,10164.0,10165.0,43289785900,4258740,122,10160.0,10168.0
2019-05-21,10170.0,10174.0,10170.0,10170.0,33390769186,3283215,79,10165.0,10170.0
2019-05-22,10007.0,10011.0,10005.0,10006.0,68878567725,6883603,153,10170.0,10010.0
2019-05-25,10023.0,10026.0,10023.0,10026.0,583587294,58210,7,10006.0,10026.0
2019-05-26,10028.0,10037.0,10028.0,10033.0,4564641622,454968,31,10026.0,10032.0
2019-05-28,10039.0,10043.0,10039.0,10041.0,37405633082,3725128,85,10033.0,10039.0
2019-05-29,10046.0,10063.0,10044.0,10049.0,227400637499,22628852,466,10041.0,10044.0
2019-06-01,10061.0,10065.0,10060.0,10062.0,22855943257,2271425,66,10049.0,10064.0
2019-06-02,10110.0,10110.0,10066.0,10069.0,38111690240,3785165,91,10062.0,10074.0
2019-06-03,10073.0,10120.0,10073.0,10100.0,6348499788,628551,28,10069.0,10082.0
2019-06-08,10100.0,10129.0,10099.0,10103.0,14989701407,1483691,56,10100.0,10104.0
2019-06-09,10139.0,10139.0,10104.0,10106.0,23949988541,2369896,72,10103.0,10108.0
2019-06-10,10155.0,10155.0,10110.0,10111.0,99000803659,9790934,234,10106.0,10114.0
2019-06-11,10116.0,10119.0,10115.0,10119.0,67297940456,6650797,146,10111.0,10119.0
2019-06-12,10134.0,10136.0,10120.0,10121.0,160289939806,15837672,305,10119.0,10136.0
2019-06-15,10138.0,10141.0,10138.0,10141.0,7228172107,712781,23,10121.0,10141.0
2019-06-16,10142.0,10146.0,10142.0,10146.0,70047576583,6904071,161,10141.0,10146.0
2019-06-17,10149.0,10152.0,10148.0,10150.0,39252233925,3867140,104,10146.0,10152.0
2019-06-18,10153.0,10158.0,10153.0,10156.0,91359303361,8995734,337,10150.0,10158.0
2019-06-19,10162.0,10169.0,10158.0,10160.0,25456637086,2505584,65,10156.0,10163.0
2019-06-22,10009.0,10009.0,10005.0,10006.0,187474204086,18735735,417,10160.0,10009.0
2019-06-23,10011.0,10015.0,10011.0,10013.0,30934531933,3089527,100,10006.0,10015.0
2019-06-24,10017.0,10020.0,10016.0,10016.0,21999657500,2196423,73,10013.0,10020.0
2019-06-25,10026.0,10027.0,10022.0,10026.0,26831979665,2676306,69,10016.0,10026.0
2019-06-26,10027.0,10048.0,10027.0,10029.0,13614315913,1357499,40,10026.0,10048.0
2019-06-30,10050.0,10053.0,10049.0,10050.0,6907615980,687302,44,10029.0,10053.0
2019-07-01,10059.0,10060.0,10055.0,10058.0,25538961435,2539241,86,10050.0,10059.0
2019-07-02,10064.0,10064.0,10060.0,10063.0,94559039724,9396591,145,10058.0,10064.0
2019-07-03,10066.0,10081.0,10066.0,10080.0,29162080278,2893200,82,10063.0,10081.0
2019-07-06,10081.0,10086.0,10081.0,10085.0,123692749051,12264730,221,10080.0,10086.0
2019-07-07,10092.0,10092.0,10088.0,10090.0,47608214000,4718344,249,10085.0,10092.0
2019-07-08,10094.0,10097.0,10093.0,10093.0,2953262661,292600,19,10090.0,10093.0
2019-07-09,10099.0,10104.0,10099.0,10102.0,79653302158,7884755,174,10093.0,10104.0
2019-07-10,10118.0,10119.0,10104.0,10105.0,21805606846,2158009,72,10102.0,10104.0
2019-07-13,10122.0,10125.0,10121.0,10124.0,172864653608,17075104,311,10105.0,10121.0
2019-07-14,10127.0,10130.0,10126.0,10130.0,5331160959,526285,50,10124.0,10126.0
2019-07-15,10132.0,10136.0,10132.0,10134.0,20626110815,2035350,70,10130.0,10136.0
2019-07-16,10138.0,10141.0,10136.0,10137.0,33029768622,3258350,84,10134.0,10137.0
2019-07-17,10150.0,10157.0,10142.0,10152.0,17395225781,1713500,48,10137.0,10142.0
