date,open,high,low,adjClose,value,volume,count,yesterday,close
2005-08-23,900.0,1000.0,900.0,911.0,925477511,1014975,67,0.0,911.0
2005-08-23,900.0,1000.0,900.0,911.0,925477511,1014975,67,0.0,911.0
2005-08-24,832.0,1002.0,820.0,1002.0,3533750640,4001302,142,911.0,1002.0
2005-08-24,832.0,1002.0,820.0,1002.0,3533750640,4001302,142,911.0,1002.0
2015-02-03,2999.0,3229.0,2760.0,2860.0,6327112841,2212536,240,2005.0,2839.0
2015-02-03,2999.0,3229.0,2760.0,2860.0,6327112841,2212536,240,2005.0,2839.0
2015-02-04,2849.0,2940.0,2632.0,2789.0,3696646731,1325657,303,2860.0,2682.0
2015-02-04,2849.0,2940.0,2632.0,2789.0,3696646731,1325657,303,2860.0,2682.0
2015-02-07,2653.0,2781.0,2578.0,2679.0,819751657,305993,91,2789.0,2661.0
2015-02-07,2653.0,2781.0,2578.0,2679.0,819751657,305993,91,2789.0,2661.0
2015-02-08,2502.0,2679.0,2465.0,2498.0,615725180,246452,65,2679.0,2467.0
2015-02-08,2502.0,2679.0,2465.0,2498.0,615725180,246452,65,2679.0,2467.0
2015-02-09,2500.0,2540.0,2395.0,2498.0,5621953765,2250725,573,2498.0,2449.0
2015-02-09,2500.0,2540.0,2395.0,2498.0,5621953765,2250725,573,2498.0,2449.0
2015-02-10,2630.0,2630.0,2400.0,2516.0,793828614,315476,35,2498.0,2425.0
2015-02-10,2630.0,2630.0,2400.0,2516.0,793828614,315476,35,2498.0,2425.0
2015-02-14,2593.0,2600.0,2516.0,2521.0,424803500,168500,46,2516.0,2540.0
2015-02-14,2593.0,2600.0,2516.0,2521.0,424803500,168500,46,2516.0,2540.0
2015-02-15,2330.0,2544.0,2330.0,2441.0,442664338,181381,61,2521.0,2411.0
2015-02-15,2330.0,2544.0,2330.0,2441.0,442664338,181381,61,2521.0,2411.0
2015-02-16,2495.0,2496.0,2379.0,2413.0,59955750,24850,22,2441.0,2379.0
