date,open,high,low,adjClose,value,volume,count,yesterday,close
2004-10-12,3200.0,3200.0,3200.0,3200.0,19200000,6000,3,3200.0,3200.0
2004-10-16,3150.0,3150.0,3150.0,3150.0,15750000,5000,1,3200.0,3150.0
2004-10-17,3150.0,3159.0,3150.0,3154.0,38439024,12186,8,3150.0,3154.0
2004-10-18,3164.0,3164.0,3164.0,3164.0,7005096,2214,3,3154.0,3164.0
2004-10-19,3165.0,3166.0,3164.0,3164.0,3670990,1160,4,3164.0,3164.0
2004-10-24,3200.0,3300.0,3200.0,3260.0,11282600,3460,5,3164.0,3260.0
2004-10-26,3300.0,3300.0,3300.0,3300.0,330000,100,1,3260.0,3300.0
2004-10-27,3400.0,3400.0,3400.0,3400.0,2121600,624,1,3300.0,3400.0
2004-10-30,3740.0,3740.0,3740.0,3740.0,252554720,67528,17,3400.0,3740.0
2004-10-31,4114.0,4114.0,3740.0,4038.0,18118044,4486,7,3740.0,4038.0
2004-11-01,3990.0,4038.0,3989.0,4000.0,19996544,4998,11,4038.0,4000.0
2004-11-02,4000.0,4000.0,3855.0,3888.0,5093880,1310,3,4000.0,3888.0
2004-11-03,4276.0,4276.0,4276.0,4276.0,8765800,2050,2,3888.0,4276.0
2004-11-07,4489.0,4489.0,4488.0,4488.0,62714809,13971,11,4276.0,4488.0
2004-11-08,4493.0,4493.0,4493.0,4493.0,1797200,400,1,4488.0,4493.0
2004-11-10,4501.0,4501.0,4501.0,4501.0,4501000,1000,1,4493.0,4501.0
2004-11-15,4507.0,4507.0,4507.0,4507.0,1352100,300,1,4501.0,4507.0
2004-11-17,4505.0,4510.0,4505.0,4508.0,20841645,4623,6,4507.0,4508.0
2004-11-20,4510.0,4510.0,4510.0,4510.0,2904440,644,1,4508.0,4510.0
2004-11-21,4732.0,4732.0,4510.0,4576.0,6599984,1442,4,4510.0,4576.0
2004-11-28,4508.0,4508.0,4508.0,4508.0,16323468,3621,4,4576.0,4508.0
2004-12-01,4511.0,4511.0,4510.0,4510.0,47853100,10610,2,4508.0,4510.0
2004-12-11,4961.0,4961.0,4961.0,4961.0,213571050,43050,6,4510.0,4961.0
2004-12-15,4508.0,4508.0,4508.0,4508.0,1352400,300,1,4961.0,4508.0
