date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-10-27,10000.0,10000.0,10000.0,10000.0,12945950000,1294595,120,10000.0,10000.0
2020-10-28,10000.0,10000.0,10000.0,10000.0,6944450000,694445,214,10000.0,10000.0
2020-10-31,10000.0,10000.0,10000.0,10000.0,21056940000,2105694,275,10000.0,10000.0
2020-11-01,10000.0,10000.0,10000.0,10000.0,62192050000,6219205,331,10000.0,10000.0
2020-11-02,10000.0,10000.0,10000.0,10000.0,175272250000,17527225,694,10000.0,10000.0
2021-01-10,10350.0,10399.0,10350.0,10367.0,106077265232,10232526,346,10000.0,10367.0
2021-01-11,11000.0,11000.0,10370.0,10379.0,52279361283,5037080,308,10367.0,10372.0
2021-01-12,10375.0,10400.0,10375.0,10381.0,82795100621,7975756,305,10379.0,10381.0
2021-01-13,10381.0,10400.0,10381.0,10386.0,6506239386,626417,77,10381.0,10394.0
2021-01-16,10395.0,10400.0,10395.0,10397.0,4380901504,421349,69,10386.0,10400.0
2021-01-18,10410.0,10411.0,10406.0,10410.0,55284987844,5310845,149,10397.0,10410.0
2021-01-19,10415.0,10415.0,10410.0,10411.0,13850219714,1330313,86,10410.0,10411.0
2021-01-20,10416.0,10425.0,10415.0,10417.0,3025658080,290459,53,10411.0,10425.0
2021-01-23,10435.0,10435.0,10421.0,10430.0,25575907440,2452069,97,10417.0,10435.0
2021-01-24,10440.0,10440.0,10437.0,10438.0,38162542809,3656115,137,10430.0,10438.0
2021-01-25,10442.0,10445.0,10440.0,10441.0,38773126700,3713540,120,10438.0,10445.0
2021-01-26,10450.0,10450.0,10446.0,10446.0,69597283082,6662519,181,10441.0,10450.0
2021-01-27,10460.0,10463.0,10452.0,10460.0,2545031770,243303,42,10446.0,10463.0
2021-01-30,10471.0,10472.0,10467.0,10471.0,5950820867,568327,57,10460.0,10471.0
2021-01-31,10473.0,10476.0,10473.0,10475.0,3516904703,335742,46,10471.0,10476.0
2021-02-01,10480.0,10484.0,10478.0,10480.0,10687689506,1019805,49,10475.0,10484.0
2021-02-02,10486.0,10487.0,10483.0,10486.0,2828520024,269739,48,10480.0,10486.0
2021-02-03,10488.0,10515.0,10488.0,10490.0,20138685762,1919878,79,10486.0,10491.0
2021-02-06,10503.0,10507.0,10500.0,10502.0,5694618450,542220,48,10490.0,10501.0
2021-02-07,10508.0,10510.0,10505.0,10508.0,6028678257,573736,32,10502.0,10508.0
2021-02-08,10513.0,10517.0,10513.0,10513.0,17097666497,1626280,62,10508.0,10513.0
2021-02-09,10519.0,10525.0,10519.0,10521.0,4415990262,419749,35,10513.0,10520.0
2021-02-13,10538.0,10539.0,10520.0,10535.0,36792162094,3492496,105,10521.0,10539.0
