date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-05-15,1300.0,1324.0,1300.0,1302.0,1351526000,1032000,195,0.0,1302.0
2001-05-16,1322.0,1323.0,1303.0,1315.0,1362778485,1039955,218,1302.0,1315.0
2001-05-19,1338.0,1342.0,1321.0,1337.0,1051320080,786710,115,1315.0,1337.0
2001-05-20,1355.0,1387.0,1349.0,1387.0,412311791,304211,47,1337.0,1387.0
2001-05-21,1405.0,1422.0,1400.0,1411.0,635611209,450822,86,1387.0,1411.0
2001-05-23,1416.0,1420.0,1411.0,1420.0,1338833388,945293,55,1411.0,1420.0
2001-05-26,1439.0,1448.0,1424.0,1441.0,1013476174,702213,77,1420.0,1441.0
2001-05-27,1455.0,1457.0,1451.0,1451.0,583969725,401825,69,1441.0,1451.0
2001-05-28,1451.0,1477.0,1451.0,1477.0,1738801,1183,3,1451.0,1477.0
2001-05-29,1477.0,1504.0,1477.0,1502.0,902368063,600519,88,1477.0,1502.0
2001-05-30,1600.0,1650.0,1508.0,1537.0,52094770,33224,20,1502.0,1537.0
2001-06-02,1540.0,1600.0,1539.0,1600.0,13170950,8311,12,1537.0,1600.0
2001-06-03,1600.0,1625.0,1541.0,1541.0,132630664,82772,52,1600.0,1541.0
2001-06-06,1544.0,1544.0,1500.0,1500.0,220992279,145500,42,1541.0,1500.0
2001-06-09,1500.0,1503.0,1499.0,1501.0,301177529,200656,61,1500.0,1501.0
2001-06-11,1501.0,1503.0,1499.0,1501.0,150779014,100430,36,1501.0,1501.0
2001-06-12,1501.0,1502.0,1480.0,1500.0,77731084,51814,29,1501.0,1500.0
2001-06-13,1500.0,1502.0,1500.0,1500.0,323517820,215660,50,1500.0,1500.0
2001-06-16,1506.0,1520.0,1500.0,1520.0,508020116,338587,70,1500.0,1520.0
2001-06-17,1501.0,1502.0,1490.0,1491.0,26684450600,17789620,22,1520.0,1491.0
2001-06-18,1501.0,1502.0,1491.0,1501.0,33951260,22620,13,1491.0,1501.0
2002-07-09,1200.0,1200.0,1150.0,1150.0,3550000,3000,2,1501.0,1150.0
2002-07-15,1161.0,1161.0,1161.0,1161.0,2677266,2306,1,1150.0,1161.0
2002-08-04,1203.0,1203.0,1203.0,1203.0,346464,288,1,1161.0,1203.0
2002-08-05,1350.0,1350.0,1350.0,1350.0,6934950,5137,2,1203.0,1350.0
2002-08-06,1500.0,1500.0,1350.0,1500.0,18254050,12403,10,1350.0,1500.0
2002-08-07,1500.0,1505.0,1500.0,1502.0,136364517,90697,22,1500.0,1502.0
2002-08-10,1520.0,1531.0,1520.0,1520.0,26564776,17462,14,1502.0,1520.0
2002-08-11,1520.0,1520.0,1480.0,1480.0,34705920,23096,16,1520.0,1480.0
2002-08-13,1477.0,1481.0,1477.0,1481.0,80689335,54518,41,1480.0,1481.0
2002-08-14,1480.0,1482.0,1480.0,1481.0,45405992,30668,29,1481.0,1481.0
2002-08-17,1481.0,1481.0,1480.0,1481.0,77277410,52185,22,1481.0,1481.0
2002-08-18,1400.0,1851.0,1400.0,1500.0,15529484995,8406130,45,1481.0,1500.0
2002-08-19,1500.0,1503.0,1500.0,1503.0,13386843,8921,14,1500.0,1503.0
