date,open,high,low,adjClose,value,volume,count,yesterday,close
2002-11-25,5500.0,5500.0,5500.0,5500.0,11000000,2000,1,5500.0,5500.0
2002-11-26,5500.0,5500.0,5500.0,5500.0,5500000,1000,1,5500.0,5500.0
2002-11-30,5400.0,5400.0,5300.0,5300.0,10700000,2000,2,5500.0,5300.0
2002-12-01,5300.0,5300.0,5000.0,5000.0,45937500,8990,9,5300.0,5000.0
2002-12-03,5300.0,5300.0,5150.0,5150.0,101289000,19295,18,5000.0,5150.0
2002-12-04,5200.0,5250.0,5200.0,5250.0,21679000,4145,2,5150.0,5250.0
2002-12-07,5302.0,5480.0,5300.0,5480.0,145833110,27175,12,5250.0,5480.0
2002-12-09,5991.0,5991.0,5979.0,5991.0,226082500,37750,16,5480.0,5991.0
2002-12-10,5990.0,5990.0,5600.0,5600.0,3396200,580,3,5991.0,5600.0
2002-12-11,5600.0,5600.0,5599.0,5599.0,68150200,12170,6,5600.0,5599.0
2002-12-14,5599.0,5599.0,5597.0,5597.0,1416247,253,2,5599.0,5597.0
2002-12-15,5300.0,5300.0,5200.0,5200.0,22855000,4350,3,5597.0,5200.0
2002-12-16,5000.0,5250.0,5000.0,5000.0,167905000,33564,17,5200.0,5000.0
2002-12-17,4804.0,4900.0,4800.0,4800.0,62584250,13000,6,5000.0,4800.0
2002-12-18,4800.0,4800.0,4800.0,4800.0,19200000,4000,4,4800.0,4800.0
2002-12-21,4700.0,4700.0,4400.0,4400.0,72480000,15550,8,4800.0,4400.0
2002-12-22,4200.0,4400.0,4200.0,4200.0,32000000,7500,3,4400.0,4200.0
2002-12-23,4100.0,4100.0,4050.0,4050.0,26550000,6500,3,4200.0,4050.0
2002-12-24,4001.0,4050.0,4000.0,4000.0,244055358,61000,20,4050.0,4000.0
2002-12-25,4200.0,4200.0,4200.0,4200.0,21000000,5000,2,4000.0,4200.0
2002-12-28,4200.0,4200.0,4200.0,4200.0,525000000,125000,23,4200.0,4200.0
2002-12-29,4200.0,4200.0,4200.0,4200.0,462000000,110000,15,4200.0,4200.0
2002-12-31,4200.0,4200.0,4199.0,4199.0,33595800,8000,5,4200.0,4199.0
2003-01-01,4000.0,4199.0,3990.0,4199.0,84243010,20385,14,4199.0,4199.0
2003-01-08,4052.0,4199.0,4001.0,4199.0,27644167,6725,4,4199.0,4199.0
2003-01-13,4250.0,4250.0,4250.0,4250.0,4101250,965,1,4199.0,4250.0
2003-01-14,4200.0,4200.0,4200.0,4200.0,504000000,120000,21,4250.0,4200.0
2003-01-15,5180.0,5180.0,5180.0,5180.0,5180000,1000,1,4200.0,5180.0
2003-01-18,5180.0,5180.0,4201.0,4201.0,11271450,2450,3,5180.0,4201.0
2003-01-19,4203.0,4203.0,4201.0,4201.0,237652880,56570,24,4201.0,4201.0
2003-01-25,4700.0,5200.0,4700.0,5200.0,70718500,14575,6,4201.0,5200.0
2003-01-28,4700.0,4700.0,4700.0,4700.0,23500000,5000,1,5200.0,4700.0
2003-01-29,4699.0,4700.0,4699.0,4700.0,24106000,5130,3,4700.0,4700.0
2003-02-02,4689.0,4689.0,4689.0,4689.0,23445000,5000,1,4700.0,4689.0
2003-02-03,4684.0,4685.0,4684.0,4685.0,46846000,10000,3,4689.0,4685.0
2003-02-04,4700.0,4700.0,4700.0,4700.0,79900000,17000,9,4685.0,4700.0
2003-02-05,4701.0,4701.0,4700.0,4700.0,296101000,63000,14,4700.0,4700.0
2003-02-09,4850.0,4850.0,4850.0,4850.0,38800000,8000,2,4700.0,4850.0
2003-02-10,4998.0,4998.0,4724.0,4724.0,43019000,9000,4,4850.0,4724.0
2003-02-15,4750.0,5000.0,4750.0,4950.0,87949500,18000,12,4724.0,4950.0
2003-03-19,5100.0,5100.0,5100.0,5100.0,170110500,33355,6,4950.0,5100.0
2005-02-22,1500.0,1500.0,1500.0,1500.0,765174000,510116,22,5100.0,1500.0
2007-03-07,100.0,200.0,100.0,117.0,7361170,62510,9,1500.0,117.0
2007-03-11,121.0,121.0,121.0,121.0,725395,5995,3,117.0,121.0
2007-03-12,125.0,125.0,125.0,125.0,81250,650,1,121.0,125.0
2007-03-13,130.0,130.0,130.0,130.0,31054400,238880,48,125.0,130.0
2007-03-14,135.0,135.0,135.0,135.0,2025000,15000,5,130.0,135.0
2007-03-17,140.0,140.0,140.0,140.0,16660,119,1,135.0,140.0
2007-03-19,145.0,145.0,145.0,145.0,145000,1000,2,140.0,145.0
2007-03-26,150.0,150.0,150.0,150.0,750000,5000,1,145.0,150.0
2007-03-27,156.0,156.0,156.0,156.0,2808000,18000,3,150.0,156.0
2007-03-28,162.0,162.0,162.0,162.0,3240000,20000,5,156.0,162.0
2007-03-31,168.0,168.0,168.0,168.0,2141328,12746,4,162.0,168.0
2007-04-03,174.0,174.0,174.0,174.0,87000,500,1,168.0,174.0
2007-04-04,180.0,180.0,180.0,180.0,12600000,70000,9,174.0,180.0
2007-04-07,187.0,187.0,187.0,187.0,187000,1000,1,180.0,187.0
2007-04-08,194.0,194.0,187.0,192.0,52315061,272364,65,187.0,192.0
2007-04-09,193.0,196.0,187.0,191.0,46366617,242509,49,192.0,191.0
2007-04-10,195.0,198.0,191.0,194.0,9402582,48456,16,191.0,194.0
2007-04-11,198.0,201.0,198.0,199.0,29909960,149802,30,194.0,199.0
2007-04-14,200.0,206.0,198.0,203.0,32891325,161707,35,199.0,203.0
2007-04-15,211.0,211.0,211.0,211.0,21443930,101630,11,203.0,211.0
2007-04-16,219.0,219.0,215.0,218.0,52559910,240632,51,211.0,218.0
2007-04-17,226.0,226.0,210.0,218.0,30065070,137701,25,218.0,218.0
2007-04-22,210.0,210.0,210.0,210.0,4221000,20100,5,218.0,210.0
2007-04-23,202.0,205.0,202.0,204.0,2254040,11010,3,210.0,204.0
2007-07-09,1.0,1.0,1.0,1.0,3226453,3226453,131,204.0,1.0
2019-10-22,7400.0,7400.0,6660.0,6775.0,26089955681,3850829,722,1.0,6660.0
2019-10-23,6185.0,6649.0,6098.0,6147.0,6577955199,1070184,220,6775.0,6098.0
2019-10-26,5575.0,6098.0,5533.0,5619.0,21150778988,3764298,770,6147.0,5533.0
2019-10-28,5422.0,6090.0,5352.0,5788.0,20131557866,3477968,804,5619.0,5970.0
2019-10-30,5990.0,6200.0,5917.0,6080.0,13620513400,2240167,784,5788.0,6190.0
2019-11-02,6498.0,6498.0,5853.0,6183.0,19936242384,3224257,889,6080.0,6288.0
2019-11-03,6300.0,6548.0,6169.0,6414.0,19078887863,2974539,865,6183.0,6475.0
2019-11-04,6531.0,7055.0,6531.0,6879.0,23251719292,3380191,847,6414.0,7055.0
2019-11-05,7399.0,7566.0,7100.0,7465.0,60110528533,8052098,1437,6879.0,7566.0
2019-11-09,7560.0,7950.0,7560.0,7832.0,31817846737,4062748,1207,7465.0,7900.0
2019-11-10,8140.0,8140.0,7049.0,7267.0,40468607690,5568556,1530,7832.0,7240.0
2019-11-11,7021.0,7496.0,7001.0,7154.0,20493264761,2864576,777,7267.0,7080.0
2019-11-12,7030.0,7290.0,6661.0,6920.0,18587807311,2686144,887,7154.0,6770.0
2019-11-13,6727.0,7231.0,6553.0,7005.0,14657785058,2092561,723,6920.0,7230.0
2019-11-16,7300.0,7635.0,7268.0,7494.0,23654875538,3156534,789,7005.0,7570.0
2019-11-17,7199.0,7450.0,6910.0,7225.0,11523075956,1594959,425,7494.0,7331.0
2019-11-18,7500.0,7947.0,7155.0,7782.0,21892013413,2813093,744,7225.0,7947.0
2019-11-19,8250.0,8497.0,8000.0,8263.0,34783089460,4209684,1219,7782.0,8200.0
2019-11-20,8477.0,8477.0,7611.0,7987.0,16992190721,2127583,737,8263.0,7909.0
2019-11-23,7900.0,7960.0,7500.0,7639.0,14351478404,1878781,704,7987.0,7560.0
2019-11-24,7160.0,7699.0,7160.0,7441.0,15891112584,2135503,569,7639.0,7440.0
2019-11-25,7500.0,7799.0,7444.0,7541.0,9654047391,1280171,429,7441.0,7501.0
2019-11-26,7630.0,7630.0,7200.0,7312.0,11572949367,1582742,690,7541.0,7359.0
2019-11-27,7450.0,7670.0,7130.0,7447.0,12192560693,1637310,510,7312.0,7468.0
2019-11-30,7850.0,8049.0,7552.0,7905.0,15259824866,1930290,708,7447.0,8037.0
2019-12-01,8147.0,8330.0,7627.0,7847.0,20643315471,2630893,768,7905.0,7655.0
2019-12-02,7798.0,7798.0,7350.0,7465.0,24492871995,3280999,836,7847.0,7394.0
2019-12-03,7312.0,7660.0,7311.0,7436.0,10608164088,1426593,522,7465.0,7488.0
2019-12-04,7655.0,7655.0,7333.0,7476.0,12953852596,1732784,521,7436.0,7478.0
2019-12-07,7400.0,7641.0,7291.0,7386.0,22856445813,3094363,871,7476.0,7377.0
2019-12-08,7300.0,7634.0,7180.0,7370.0,24402837559,3310957,850,7386.0,7315.0
2019-12-09,7550.0,7705.0,7368.0,7499.0,43371183277,5783523,1041,7370.0,7637.0
2019-12-10,7696.0,8248.0,7696.0,8080.0,49525396412,6129495,1690,7499.0,7910.0
2019-12-11,8150.0,8469.0,7601.0,8213.0,30527211008,3717103,987,8080.0,8270.0
2019-12-14,8500.0,9034.0,8230.0,8754.0,66459090725,7591910,1421,8213.0,9034.0
2019-12-15,9485.0,9485.0,9000.0,9371.0,52577961400,5610487,1268,8754.0,9404.0
2020-01-21,14300.0,14300.0,14300.0,14300.0,44711738500,3126695,180,9371.0,14300.0
2020-01-22,15730.0,15730.0,14500.0,14578.0,93286549600,6399063,300,14300.0,15000.0
2020-01-25,16035.0,16035.0,15000.0,15156.0,159106235000,10497612,494,14578.0,15500.0
2020-11-10,6000.0,6600.0,5600.0,6366.0,23378349518,3672532,1161,15156.0,6600.0
2020-11-11,6600.0,7000.0,6030.0,6870.0,34514507670,5026883,1470,6366.0,7000.0
2020-11-14,7200.0,7560.0,7100.0,7490.0,14119024120,1884758,531,6870.0,7560.0
2020-11-15,8240.0,8240.0,7500.0,8190.0,69391353590,8477590,2017,7490.0,8240.0
2020-11-16,8550.0,8550.0,7500.0,8150.0,58309802990,7155708,1851,8190.0,8190.0
2020-11-17,7510.0,8300.0,7510.0,8000.0,46488154470,5813804,1280,8150.0,7890.0
2020-11-18,7930.0,8320.0,7630.0,8060.0,38723709740,4802222,1111,8000.0,8230.0
2020-11-21,8100.0,8340.0,7810.0,8080.0,28876950200,3573057,759,8060.0,8140.0
2020-11-22,7550.0,8130.0,7550.0,7980.0,12404885120,1555357,444,8080.0,8000.0
2020-11-23,7690.0,8550.0,7690.0,8300.0,17012637650,2049192,586,7980.0,8450.0
2020-11-24,8150.0,8500.0,7910.0,8170.0,6839486340,836830,420,8300.0,8000.0
2020-11-25,8220.0,9040.0,8220.0,8770.0,31600474700,3602924,807,8170.0,9040.0
2020-11-28,9570.0,9650.0,9050.0,9500.0,18847816570,1984111,743,8770.0,9650.0
2020-11-29,10450.0,10450.0,9980.0,10440.0,7327616270,701806,409,9500.0,10450.0
2020-11-30,11480.0,11480.0,11480.0,11480.0,11707177720,1019789,435,10440.0,11480.0
2020-12-01,12300.0,12630.0,11480.0,12440.0,29832768800,2398012,923,11480.0,12630.0
2020-12-02,13600.0,13680.0,12440.0,13500.0,45168662500,3346607,1475,12440.0,13680.0
2020-12-05,14810.0,14850.0,14010.0,14780.0,78189599270,5291161,1588,13500.0,14850.0
2020-12-06,16260.0,16260.0,16000.0,16260.0,84690029530,5208992,1404,14780.0,16260.0
2020-12-07,17790.0,17790.0,14630.0,16250.0,158837917390,9775965,3878,16260.0,15350.0
2020-12-08,15100.0,16100.0,14630.0,15010.0,86693513760,5775675,2217,16250.0,14630.0
2020-12-09,14010.0,14990.0,13510.0,13950.0,89815893660,6437794,2106,15010.0,13510.0
2020-12-15,12560.0,12560.0,12560.0,12560.0,1046612240,83329,57,13950.0,12560.0
2020-12-16,11300.0,13210.0,11300.0,12370.0,123354191360,9970602,2230,12560.0,13000.0
2020-12-19,13500.0,13610.0,13000.0,13430.0,49783818720,3707894,969,12370.0,13610.0
2020-12-20,14280.0,14770.0,13600.0,14380.0,86775982690,6033120,1720,13430.0,14770.0
2020-12-21,15200.0,15820.0,14770.0,15610.0,49098351850,3145299,1085,14380.0,15820.0
2020-12-22,16700.0,17170.0,16100.0,16910.0,131482146350,7777580,2649,15610.0,17170.0
2020-12-23,17400.0,18200.0,17300.0,17720.0,112403836970,6342247,2468,16910.0,17460.0
2020-12-26,16450.0,17700.0,15950.0,16290.0,42780062460,2625581,712,17720.0,15950.0
2020-12-27,14660.0,14660.0,14660.0,14660.0,4475199560,305266,105,16290.0,14660.0
2020-12-28,13190.0,15430.0,13190.0,13580.0,246496228160,18149583,4730,14660.0,13190.0
2020-12-29,13000.0,14170.0,12350.0,12910.0,73203178980,5669134,1909,13580.0,12730.0
2020-12-30,12200.0,14200.0,12200.0,13950.0,119901049610,8593754,2022,12910.0,14200.0
2021-01-02,14400.0,15350.0,14250.0,15170.0,116218730790,7662087,2183,13950.0,15350.0
2021-01-03,16150.0,16570.0,14220.0,15470.0,161563765530,10446463,3392,15170.0,15010.0
2021-01-04,14500.0,16090.0,14250.0,15150.0,104264207140,6881060,2316,15470.0,14750.0
2021-01-05,15100.0,15850.0,14400.0,15140.0,96566904790,6377614,1823,15150.0,15270.0
2021-01-06,15710.0,15710.0,13650.0,14540.0,98933353660,6806543,1701,15140.0,14600.0
2021-01-09,13820.0,14580.0,13090.0,13370.0,75494807690,5648024,1327,14540.0,13090.0
2021-01-10,12620.0,13300.0,12030.0,12380.0,57203042740,4621560,1230,13370.0,12030.0
2021-01-11,11210.0,12350.0,11210.0,11530.0,147051266160,12748871,2324,12380.0,11300.0
2021-01-12,11530.0,12530.0,11000.0,12040.0,136449867310,11332994,2719,11530.0,11700.0
2021-02-15,14750.0,14750.0,14750.0,14750.0,1614741500,109474,8,12040.0,14750.0
2021-02-16,14750.0,14750.0,14500.0,14530.0,274055000,18860,15,14750.0,14500.0
2021-02-20,16270.0,16270.0,14000.0,14080.0,6504650200,462070,48,14530.0,14000.0
2021-02-21,14000.0,14000.0,14000.0,14000.0,11073580000,790970,82,14080.0,14000.0
2021-02-22,14000.0,14000.0,14000.0,14000.0,428680000,30620,12,14000.0,14000.0
2021-02-23,14000.0,14000.0,14000.0,14000.0,899094000,64221,14,14000.0,14000.0
2021-02-24,14000.0,14000.0,14000.0,14000.0,1004990000,71785,9,14000.0,14000.0
2021-02-27,13500.0,13500.0,13500.0,13500.0,495180000,36680,15,14000.0,13500.0
2021-03-03,15000.0,15000.0,13000.0,13070.0,1556477000,119119,15,13500.0,13000.0
2021-03-06,12850.0,12850.0,12550.0,12630.0,158638200,12564,5,13070.0,12550.0
2021-03-08,12630.0,12630.0,12630.0,12630.0,17682000,1400,2,12630.0,12630.0
2021-03-09,12630.0,12630.0,12450.0,12550.0,40778550,3249,5,12630.0,12450.0
2021-03-10,12550.0,12550.0,12550.0,12550.0,530877550,42301,3,12550.0,12550.0
2021-03-13,12550.0,12550.0,12550.0,12550.0,1789843350,142617,11,12550.0,12550.0
2021-03-14,12400.0,12400.0,12350.0,12350.0,61089852850,4946545,276,12550.0,12350.0
2021-03-15,12350.0,12350.0,12350.0,12350.0,56402450,4567,3,12350.0,12350.0
2021-03-16,12350.0,12350.0,12100.0,12190.0,3348824100,274634,47,12350.0,12100.0
2021-03-17,12190.0,12190.0,11750.0,11800.0,3462500010,293532,50,12190.0,12190.0
2021-03-27,11800.0,12200.0,11800.0,11820.0,17035012800,1440726,118,11800.0,12000.0
2021-03-28,12200.0,12200.0,11350.0,11470.0,27366170110,2385560,232,11820.0,11350.0
2021-03-30,11500.0,11500.0,11470.0,11470.0,50541888700,4406410,249,11470.0,11470.0
