date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-05-07,2901.0,3000.0,2900.0,2937.0,748648621,254890,127,1000.0,2988.0
2017-05-08,3000.0,3230.0,2980.0,3144.0,630664807,200601,117,2937.0,3150.0
2017-05-09,3179.0,3179.0,2840.0,2909.0,336084477,115514,56,3144.0,3070.0
2017-05-10,3100.0,3100.0,2871.0,2930.0,329949331,112615,38,2909.0,2955.0
2017-05-13,2990.0,2990.0,2651.0,2724.0,148153051,54384,19,2930.0,2651.0
2017-05-14,2799.0,2799.0,2506.0,2736.0,105606115,38600,22,2724.0,2702.0
2017-05-15,2820.0,2828.0,2546.0,2739.0,366861691,133946,25,2736.0,2632.0
2017-05-16,2790.0,2819.0,2790.0,2806.0,157945242,56284,38,2739.0,2819.0
2017-05-17,2889.0,2900.0,2800.0,2885.0,170402734,59058,25,2806.0,2900.0
2017-05-20,2968.0,3030.0,2857.0,2961.0,412064545,139170,63,2885.0,2857.0
2017-05-21,2726.0,2800.0,2725.0,2742.0,101223455,36919,40,2961.0,2750.0
2017-05-22,2536.0,2650.0,2536.0,2598.0,11232766,4324,5,2742.0,2650.0
2017-05-23,2620.0,2700.0,2600.0,2632.0,446538061,169672,44,2598.0,2699.0
2017-05-24,2633.0,2697.0,2600.0,2605.0,306248879,117559,38,2632.0,2694.0
2017-05-27,2485.0,2788.0,2485.0,2647.0,198404905,74942,37,2605.0,2580.0
2017-05-28,2788.0,2851.0,2601.0,2685.0,243277338,90611,23,2647.0,2700.0
2017-05-29,2840.0,2850.0,2656.0,2708.0,891818200,329325,34,2685.0,2700.0
2017-05-30,2960.0,2960.0,2960.0,2960.0,378880000,128000,9,2708.0,2960.0
2017-05-31,2771.0,2925.0,2771.0,2911.0,8069108,2772,5,2960.0,2900.0
2017-06-03,2850.0,2850.0,2700.0,2787.0,5406289,1940,5,2911.0,2759.0
2017-06-06,2580.0,2800.0,2580.0,2776.0,1124100,405,2,2787.0,2800.0
2017-06-07,2601.0,2700.0,2593.0,2614.0,202234306,77373,33,2776.0,2690.0
2017-06-10,2847.0,2847.0,2600.0,2627.0,37698067,14351,12,2614.0,2601.0
2017-06-11,2710.0,2778.0,2565.0,2668.0,63097067,23651,19,2627.0,2587.0
2017-06-12,2508.0,2750.0,2508.0,2698.0,81752312,30299,3,2668.0,2750.0
2017-06-13,2650.0,2724.0,2600.0,2616.0,182847132,69897,21,2698.0,2600.0
2017-06-14,2715.0,2800.0,2564.0,2666.0,377456287,141555,14,2616.0,2730.0
2017-06-17,2720.0,2720.0,2556.0,2710.0,75034636,27684,3,2666.0,2556.0
2017-06-18,2520.0,2700.0,2450.0,2620.0,406863168,155308,45,2710.0,2580.0
2017-06-19,2670.0,2670.0,2580.0,2649.0,530753036,200393,70,2620.0,2590.0
2017-06-20,2659.0,2659.0,2550.0,2651.0,117607860,44364,9,2649.0,2658.0
2017-06-21,2640.0,2640.0,2530.0,2581.0,310727284,120398,31,2651.0,2532.0
2017-06-24,2400.0,2631.0,2400.0,2582.0,468901621,181617,37,2581.0,2555.0
2017-06-25,2631.0,2631.0,2500.0,2533.0,128896525,50885,21,2582.0,2592.0
2017-06-28,2550.0,2568.0,2495.0,2515.0,769896076,306153,45,2533.0,2495.0
2017-07-01,2500.0,2580.0,2420.0,2474.0,723689881,292569,96,2515.0,2420.0
2017-07-02,2474.0,2500.0,2400.0,2418.0,626068972,258932,41,2474.0,2418.0
2017-07-03,2500.0,2500.0,2380.0,2420.0,245327333,101379,34,2418.0,2478.0
2017-07-04,2498.0,2498.0,2315.0,2351.0,1359944098,578364,87,2420.0,2319.0
2017-10-25,3050.0,3050.0,3050.0,3050.0,100558500,32970,13,2351.0,3050.0
2017-10-29,3001.0,3001.0,3000.0,3000.0,222012000,74000,5,3050.0,3000.0
2017-11-01,3000.0,3000.0,3000.0,3000.0,30000000,10000,1,3000.0,3000.0
2017-11-04,3000.0,3050.0,2950.0,2979.0,208550000,70000,9,3000.0,3000.0
2017-11-05,3000.0,3000.0,3000.0,3000.0,18000000,6000,1,2979.0,3000.0
2017-11-06,3001.0,3001.0,3000.0,3000.0,24002000,8000,2,3000.0,3000.0
2017-11-08,2950.0,2950.0,2900.0,2920.0,102205000,35000,6,3000.0,2900.0
2017-11-11,2901.0,2950.0,2900.0,2925.0,117010000,40000,4,2920.0,2950.0
2017-11-12,3000.0,3000.0,2900.0,2907.0,177315000,61000,8,2925.0,2900.0
2017-11-13,2950.0,2980.0,2950.0,2956.0,2246300000,760000,26,2907.0,2980.0
2017-11-14,3000.0,3150.0,3000.0,3033.0,182000000,60000,4,2956.0,3150.0
2017-11-15,3150.0,3150.0,3150.0,3150.0,157500000,50000,2,3033.0,3150.0
2017-11-18,3200.0,3200.0,3200.0,3200.0,19820800,6194,2,3150.0,3200.0
2017-11-20,3051.0,3051.0,3002.0,3012.0,2123680800,705000,55,3200.0,3020.0
2018-12-08,2890.0,2970.0,2604.0,2798.0,5874965062,2099346,355,3012.0,2750.0
2018-12-09,2650.0,2760.0,2519.0,2554.0,2607646954,1020836,228,2798.0,2519.0
2018-12-10,2500.0,2590.0,2386.0,2475.0,2555931947,1032575,230,2554.0,2400.0
2018-12-11,2445.0,2530.0,2352.0,2447.0,1805977919,737988,144,2475.0,2481.0
2018-12-12,2500.0,2630.0,2400.0,2556.0,2120632671,829685,165,2447.0,2600.0
2018-12-15,2600.0,2779.0,2501.0,2635.0,3091034432,1173143,212,2556.0,2599.0
2018-12-16,2549.0,2645.0,2382.0,2450.0,2041710168,833196,132,2635.0,2400.0
2018-12-19,2545.0,2590.0,2332.0,2484.0,1360567700,547644,168,2450.0,2510.0
2018-12-22,2610.0,2610.0,2275.0,2372.0,650602209,274307,74,2484.0,2331.0
2018-12-23,2421.0,2421.0,2223.0,2314.0,2072958606,895721,175,2372.0,2280.0
2018-12-26,2400.0,2444.0,2263.0,2310.0,722197534,312673,112,2314.0,2280.0
2018-12-29,2312.0,2344.0,2142.0,2182.0,1778430024,815164,231,2310.0,2149.0
2018-12-30,2245.0,2245.0,2000.0,2089.0,1302798256,623678,137,2182.0,2090.0
2018-12-31,2155.0,2155.0,1890.0,1942.0,3777201295,1945395,347,2089.0,1969.0
2019-01-01,2069.0,2069.0,1857.0,1925.0,929867762,483102,141,1942.0,1926.0
2019-01-02,1946.0,1955.0,1800.0,1857.0,2128272891,1146369,241,1925.0,1800.0
2019-01-05,1800.0,1850.0,1682.0,1770.0,987272937,557709,164,1857.0,1682.0
2019-01-06,1799.0,1874.0,1750.0,1800.0,653431285,362959,125,1770.0,1798.0
2019-01-07,1744.0,1856.0,1720.0,1752.0,652852593,372611,105,1800.0,1730.0
2019-01-08,1727.0,1775.0,1680.0,1735.0,778285731,448660,98,1752.0,1747.0
2019-01-09,1715.0,1829.0,1715.0,1734.0,1353760299,780521,86,1735.0,1740.0
2019-01-12,1702.0,1730.0,1690.0,1707.0,360496380,211215,59,1734.0,1730.0
2019-01-13,1769.0,1822.0,1729.0,1782.0,398992507,223872,51,1707.0,1730.0
2019-01-14,1685.0,1750.0,1670.0,1695.0,582153892,343417,72,1782.0,1671.0
2019-01-15,1661.0,1736.0,1650.0,1668.0,246659214,147849,33,1695.0,1650.0
2019-01-16,1670.0,1670.0,1624.0,1634.0,424027541,259477,27,1668.0,1627.0
2019-01-19,1635.0,1700.0,1623.0,1630.0,212738930,130550,42,1634.0,1630.0
2019-01-20,1650.0,1685.0,1611.0,1654.0,735634129,444847,39,1630.0,1630.0
2019-01-21,1610.0,1659.0,1489.0,1504.0,555636701,369542,81,1654.0,1492.0
2019-01-22,1520.0,1550.0,1471.0,1504.0,514408303,342029,67,1504.0,1501.0
2019-01-23,1490.0,1490.0,1480.0,1484.0,243721298,164190,20,1504.0,1482.0
2019-01-26,1541.0,1541.0,1370.0,1400.0,525157209,375207,61,1484.0,1400.0
2019-01-27,1400.0,1400.0,1260.0,1300.0,1089756731,837963,144,1400.0,1300.0
2019-01-28,1240.0,1310.0,1240.0,1265.0,727955110,575648,90,1300.0,1288.0
2019-01-29,1265.0,1265.0,1171.0,1226.0,838284091,683602,105,1265.0,1176.0
2019-01-30,1225.0,1225.0,1151.0,1173.0,453553508,386691,127,1226.0,1157.0
2019-02-02,1108.0,1239.0,1107.0,1153.0,888688815,770461,157,1173.0,1172.0
2019-05-04,2500.0,2500.0,2500.0,2500.0,170987500,68395,9,1153.0,2500.0
2019-05-05,2550.0,2600.0,2550.0,2550.0,1276840800,500708,20,2500.0,2600.0
2019-05-06,2600.0,2600.0,2600.0,2600.0,623422800,239778,18,2550.0,2600.0
2019-05-07,2600.0,2600.0,2600.0,2600.0,78780000,30300,13,2600.0,2600.0
