date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-08-07,603.0,651.0,603.0,624.0,5619000,9000,2,6003.0,651.0
2013-08-11,673.0,673.0,673.0,673.0,673,1,1,624.0,673.0
2013-08-12,726.0,726.0,726.0,726.0,1380126,1901,4,673.0,726.0
2013-08-13,784.0,784.0,784.0,784.0,784,1,1,726.0,784.0
2013-08-14,846.0,846.0,846.0,846.0,846,1,1,784.0,846.0
2013-08-17,913.0,913.0,913.0,913.0,639100,700,3,846.0,913.0
2013-08-18,986.0,986.0,986.0,986.0,59928094,60779,32,913.0,986.0
2013-08-19,1064.0,1064.0,1064.0,1064.0,42664272,40098,10,986.0,1064.0
2013-08-20,1149.0,1149.0,1149.0,1149.0,8979435,7815,11,1064.0,1149.0
2013-08-21,1240.0,1240.0,1240.0,1240.0,2073280,1672,3,1149.0,1240.0
2013-08-24,1339.0,1339.0,1240.0,1337.0,325507730,243537,43,1240.0,1339.0
2013-08-25,1443.0,1443.0,1443.0,1443.0,223145520,154640,41,1337.0,1443.0
2013-08-26,1558.0,1558.0,1558.0,1558.0,12551248,8056,4,1443.0,1558.0
2013-08-27,1682.0,1682.0,1682.0,1682.0,185316032,110176,36,1558.0,1682.0
2013-08-28,1816.0,1816.0,1680.0,1750.0,688326543,393298,85,1682.0,1768.0
2013-09-03,1610.0,1610.0,1610.0,1610.0,1610,1,1,1750.0,1610.0
2013-09-04,1482.0,1482.0,1482.0,1482.0,1482,1,1,1610.0,1482.0
2013-09-07,1364.0,1364.0,1364.0,1364.0,272800,200,2,1482.0,1364.0
2013-09-08,1255.0,1255.0,1255.0,1255.0,1255,1,1,1364.0,1255.0
2013-09-09,1155.0,1155.0,1155.0,1155.0,82005,71,2,1255.0,1155.0
2013-09-10,1063.0,1120.0,1063.0,1064.0,429306312,403520,130,1155.0,1100.0
2013-09-11,1130.0,1140.0,979.0,1046.0,238086016,227527,60,1064.0,979.0
2014-03-11,1500.0,1500.0,1500.0,1500.0,2062453500,1374969,76,1046.0,1500.0
