date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-04-13,2000.0,2000.0,1850.0,1924.0,54210030103,28178331,3201,1000.0,1928.0
2019-04-14,1902.0,2116.0,1902.0,2068.0,21319123131,10306664,1033,1924.0,2116.0
2019-04-15,2274.0,2274.0,2274.0,2274.0,597413910,262715,27,2068.0,2274.0
2019-04-17,2500.0,2750.0,2416.0,2549.0,84107174353,32999966,2988,2274.0,2647.0
2019-04-20,2699.0,2803.0,2699.0,2798.0,27564042465,9852146,593,2549.0,2803.0
2019-04-22,2899.0,2999.0,2630.0,2816.0,89736716524,31866453,2570,2798.0,2690.0
2019-04-23,2663.0,2909.0,2663.0,2807.0,46444823033,16543297,1611,2816.0,2753.0
2019-04-24,2767.0,2886.0,2559.0,2712.0,46263518758,17058929,1640,2807.0,2700.0
2019-04-27,2760.0,2825.0,2560.0,2643.0,25585220495,9681062,1142,2712.0,2570.0
2019-04-28,2579.0,2685.0,2451.0,2560.0,19856163884,7757673,1042,2643.0,2560.0
2019-04-29,2580.0,2808.0,2560.0,2747.0,42383620539,15428455,1402,2560.0,2799.0
2019-04-30,2818.0,2950.0,2674.0,2790.0,34947536992,12524336,1088,2747.0,2723.0
2019-05-01,2707.0,2869.0,2706.0,2789.0,27409181885,9828277,851,2790.0,2744.0
2019-05-04,2805.0,2990.0,2783.0,2918.0,34445094857,11803678,1185,2789.0,2935.0
2019-05-05,2969.0,3099.0,2755.0,2907.0,42524384176,14626671,1230,2918.0,2800.0
2019-05-06,2751.0,2927.0,2617.0,2692.0,26012067077,9661407,923,2907.0,2620.0
2019-05-07,2650.0,2650.0,2423.0,2432.0,26473810486,10884289,776,2692.0,2423.0
2019-05-08,2401.0,2551.0,2334.0,2436.0,23854053605,9790599,930,2432.0,2478.0
2019-05-11,2537.0,2585.0,2222.0,2415.0,14943713519,6188204,581,2436.0,2330.0
2019-05-12,2399.0,2399.0,2174.0,2223.0,15847199173,7129405,674,2415.0,2290.0
2019-05-13,2250.0,2387.0,2125.0,2281.0,20471269356,8973095,993,2223.0,2339.0
2019-05-14,2269.0,2509.0,2269.0,2475.0,32861822630,13276228,1261,2281.0,2477.0
2019-05-15,2550.0,2661.0,2333.0,2514.0,35193466106,13997940,1280,2475.0,2461.0
2019-05-18,2610.0,2636.0,2500.0,2584.0,30682703090,11876142,1059,2514.0,2535.0
2019-05-19,2500.0,2600.0,2410.0,2479.0,32257955474,13015042,1112,2584.0,2440.0
2019-05-20,2411.0,2411.0,2260.0,2305.0,17999242071,7807506,759,2479.0,2321.0
2019-05-21,2380.0,2495.0,2351.0,2425.0,12226813553,5042520,554,2305.0,2442.0
2019-05-22,2426.0,2478.0,2321.0,2376.0,12099563767,5091647,554,2425.0,2321.0
2019-05-25,2376.0,2376.0,2171.0,2264.0,9796069417,4326669,554,2376.0,2280.0
2019-05-26,2226.0,2360.0,2226.0,2280.0,17195803099,7541919,830,2264.0,2247.0
2019-05-28,2346.0,2346.0,2216.0,2275.0,22961362462,10094701,1074,2280.0,2227.0
2019-05-29,2300.0,2502.0,2270.0,2412.0,44013791725,18244364,1391,2275.0,2404.0
2019-06-01,2444.0,2444.0,2250.0,2292.0,20478013044,8932758,848,2412.0,2260.0
2019-06-02,2300.0,2397.0,2275.0,2324.0,34436277154,14820362,1243,2292.0,2350.0
2019-06-03,2360.0,2487.0,2350.0,2426.0,40305256739,16611046,1378,2324.0,2390.0
2019-06-08,2403.0,2668.0,2350.0,2614.0,70664846622,27029196,1918,2426.0,2668.0
2019-06-09,2830.0,2875.0,2763.0,2858.0,85897592347,30053890,1562,2614.0,2875.0
2019-09-08,5200.0,5720.0,5200.0,5323.0,6973903560,1310123,72,2858.0,5720.0
2019-09-11,5855.0,5855.0,5855.0,5855.0,29860500000,5100000,171,5323.0,5855.0
2019-09-14,6440.0,6440.0,6440.0,6440.0,7097118280,1102037,91,5855.0,6440.0
2019-09-15,7084.0,7084.0,7084.0,7084.0,13033511568,1839852,91,6440.0,7084.0
2019-09-16,7500.0,7500.0,6800.0,6800.0,41527013000,6106760,129,7084.0,6800.0
2019-09-17,6600.0,6600.0,6600.0,6600.0,255723388800,38745968,767,6800.0,6600.0
2019-09-18,6600.0,6600.0,6500.0,6505.0,286234427780,44002481,943,6600.0,6500.0
2019-09-21,7150.0,7150.0,6600.0,6604.0,33778394500,5114981,142,6505.0,6600.0
2019-09-22,6600.0,6600.0,6500.0,6500.0,773530090492,119000000,2695,6604.0,6500.0
2019-09-23,7150.0,7150.0,6300.0,6352.0,22192198100,3493644,198,6500.0,6300.0
2019-09-24,6987.0,6987.0,6300.0,6313.0,10362891970,1641546,160,6352.0,6300.0
2019-09-25,6500.0,6944.0,6300.0,6316.0,96146024800,15222831,786,6313.0,6300.0
2019-09-28,6947.0,6947.0,6320.0,6330.0,756483746373,119500000,4058,6316.0,6330.0
2019-09-29,6963.0,6963.0,6300.0,6318.0,1166896377184,184684257,4924,6330.0,6360.0
