date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-01-28,5003.0,5503.0,5003.0,5454.0,3584616819,657267,131,4056.0,5503.0
2018-01-29,5800.0,5800.0,5002.0,5343.0,1372212122,256812,99,5454.0,5101.0
2018-01-30,5279.0,5286.0,5034.0,5203.0,531659252,102182,60,5343.0,5040.0
2018-01-31,5182.0,5182.0,4683.0,4852.0,245649323,50624,46,5203.0,4735.0
2018-02-03,4701.0,4852.0,4700.0,4720.0,102467390,21711,10,4852.0,4807.0
2018-02-04,5000.0,5000.0,4999.0,4999.0,34996000,7000,5,4720.0,4999.0
2018-02-05,4998.0,5195.0,4802.0,5060.0,544734570,107647,41,4999.0,4850.0
2018-02-06,4800.0,4807.0,4785.0,4787.0,40278152,8414,8,5060.0,4785.0
2018-02-07,4813.0,5090.0,4600.0,4878.0,719065258,147416,45,4787.0,4600.0
2018-02-10,5000.0,5100.0,4391.0,4700.0,773338230,164556,50,4878.0,5000.0
2018-02-12,4997.0,5018.0,4750.0,4837.0,549112095,113519,34,4700.0,4750.0
2018-02-13,4595.0,4707.0,4594.0,4629.0,16352512,3533,5,4837.0,4707.0
2018-02-14,4812.0,4820.0,4600.0,4709.0,242259954,51448,25,4629.0,4600.0
2018-02-17,4700.0,4700.0,4500.0,4538.0,199197452,43894,17,4709.0,4503.0
2018-02-18,4500.0,4500.0,4460.0,4498.0,70198308,15605,11,4538.0,4500.0
2018-02-19,4701.0,4730.0,4301.0,4529.0,909405810,200788,42,4498.0,4645.0
2018-02-24,4510.0,4510.0,4502.0,4503.0,34971613,7766,3,4529.0,4502.0
2018-02-25,4503.0,4578.0,4502.0,4508.0,172378861,38235,13,4503.0,4570.0
2018-02-26,4503.0,4550.0,4500.0,4505.0,285688001,63413,13,4508.0,4500.0
2018-02-27,4500.0,4539.0,4394.0,4433.0,890589344,200905,27,4505.0,4539.0
2018-02-28,4401.0,4450.0,4401.0,4424.0,77675840,17557,8,4433.0,4450.0
2018-03-03,4420.0,4470.0,4312.0,4392.0,267833119,60985,40,4424.0,4470.0
2018-03-04,4400.0,4400.0,4315.0,4329.0,94060880,21727,7,4392.0,4390.0
2018-03-05,4500.0,4500.0,4350.0,4367.0,56729820,12991,5,4329.0,4351.0
2018-03-06,4330.0,4330.0,4300.0,4315.0,131571480,30495,15,4367.0,4300.0
2018-03-07,4203.0,4375.0,4203.0,4256.0,91034185,21392,8,4315.0,4250.0
2018-03-10,4250.0,4250.0,4250.0,4250.0,3714500,874,3,4256.0,4250.0
2018-03-11,4338.0,4380.0,4338.0,4362.0,299810735,68737,25,4250.0,4380.0
2018-03-12,4300.0,4349.0,4250.0,4294.0,93711043,21824,17,4362.0,4250.0
2018-03-13,4250.0,4464.0,4250.0,4265.0,24391351,5719,4,4294.0,4464.0
2018-03-14,4251.0,4473.0,4153.0,4277.0,138063137,32281,15,4265.0,4473.0
2018-03-17,4399.0,4399.0,4213.0,4310.0,253807350,58890,13,4277.0,4397.0
2018-09-18,7100.0,7100.0,7100.0,7100.0,644822000,90820,8,4310.0,7100.0
2018-09-22,7100.0,7100.0,7100.0,7100.0,1988000,280,1,7100.0,7100.0
2018-09-23,7100.0,7100.0,7100.0,7100.0,1065000,150,1,7100.0,7100.0
2018-09-25,7100.0,7100.0,7100.0,7100.0,1382760500,194755,42,7100.0,7100.0
2018-09-26,7100.0,7100.0,7100.0,7100.0,2066845500,291105,22,7100.0,7100.0
2018-09-29,7100.0,7100.0,7100.0,7100.0,6510692900,916999,54,7100.0,7100.0
2018-09-30,7810.0,7102.0,7100.0,7100.0,13193214700,1858197,136,7100.0,7100.0
2018-10-01,7100.0,7100.0,7100.0,7100.0,3213815000,452650,40,7100.0,7100.0
2018-10-02,7100.0,7100.0,7100.0,7100.0,1274939900,179569,11,7100.0,7100.0
2018-10-09,7100.0,7100.0,7100.0,7100.0,14200000,2000,1,7100.0,7100.0
2018-10-13,6390.0,6390.0,6390.0,6390.0,319500000,50000,1,7100.0,6390.0
2018-10-15,6390.0,6390.0,6262.0,6277.0,142493000,22700,3,6390.0,6262.0
2018-10-16,6001.0,6001.0,6000.0,6000.0,313188248,52198,12,6277.0,6000.0
2018-10-17,5999.0,5999.0,5600.0,5623.0,454479170,80830,6,6000.0,5600.0
2018-10-20,5623.0,5623.0,5343.0,5409.0,2196199090,406002,44,5623.0,5343.0
2018-10-21,5409.0,5409.0,5000.0,5038.0,2737244941,543314,79,5409.0,5000.0
2018-10-22,5038.0,5038.0,4550.0,4621.0,2902088718,628063,75,5038.0,4550.0
2018-10-23,4500.0,4500.0,4160.0,4286.0,3708288632,865232,75,4621.0,4160.0
2018-10-24,4286.0,4286.0,3900.0,3905.0,9581077400,2453300,129,4286.0,3900.0
2018-10-27,3905.0,3905.0,3520.0,3545.0,6203219262,1750000,105,3905.0,3520.0
2018-10-28,3545.0,3545.0,3300.0,3335.0,21854988846,6553163,315,3545.0,3380.0
