date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-09-01,1997.0,2196.0,1997.0,2179.0,1569896993,720527,98,6900.0,2196.0
2018-09-02,2396.0,2396.0,2395.0,2396.0,1739389761,725964,61,2179.0,2396.0
2018-09-03,2634.0,2634.0,2450.0,2572.0,1713553393,666194,146,2396.0,2609.0
2018-09-04,2600.0,2617.0,2462.0,2567.0,1322245404,515107,84,2572.0,2502.0
2018-09-05,2550.0,2597.0,2422.0,2494.0,255970675,102655,44,2567.0,2490.0
2018-09-08,2468.0,2630.0,2419.0,2530.0,804868749,318089,81,2494.0,2630.0
2018-09-09,2500.0,2783.0,2500.0,2704.0,1366264421,505347,68,2530.0,2572.0
2018-09-10,2642.0,2850.0,2642.0,2804.0,1180993576,421115,51,2704.0,2800.0
2018-09-11,2904.0,3084.0,2860.0,3028.0,3125166804,1031929,151,2804.0,2960.0
2018-09-12,2740.0,3145.0,2740.0,3008.0,831977370,276597,85,3028.0,2950.0
2018-09-15,3000.0,3090.0,2800.0,2860.0,1908192707,667183,99,3008.0,2802.0
2018-09-16,2805.0,2917.0,2798.0,2818.0,267544185,94947,36,2860.0,2831.0
2018-09-17,2891.0,2965.0,2537.0,2683.0,1725225245,642931,134,2818.0,2727.0
2018-09-18,2850.0,2951.0,2750.0,2863.0,2085439019,728492,109,2683.0,2951.0
2018-09-22,2930.0,3149.0,2910.0,3111.0,3297456231,1060072,150,2863.0,3149.0
2018-09-23,3399.0,3399.0,3212.0,3306.0,555613116,168071,55,3111.0,3324.0
2018-09-24,3310.0,3500.0,3012.0,3414.0,2085718482,610906,145,3306.0,3401.0
2018-09-25,3502.0,3540.0,3500.0,3516.0,628746189,178829,17,3414.0,3540.0
2018-09-26,3580.0,3857.0,3580.0,3678.0,1804201013,490478,99,3516.0,3772.0
2018-09-29,3772.0,3997.0,3772.0,3937.0,1125461427,285854,100,3678.0,3872.0
2018-09-30,4080.0,4297.0,4080.0,4147.0,1711074150,412603,93,3937.0,4159.0
2018-10-01,4275.0,4275.0,3733.0,3921.0,2319879714,591628,121,4147.0,3733.0
2018-10-02,3529.0,3529.0,3529.0,3529.0,218582731,61939,32,3921.0,3529.0
2018-10-03,3177.0,3400.0,3177.0,3194.0,3506614483,1097825,132,3529.0,3400.0
2018-10-06,3433.0,3433.0,2876.0,2967.0,1068796529,360243,93,3194.0,2902.0
2018-10-07,3262.0,3262.0,2671.0,2828.0,1962703125,693963,121,2967.0,2851.0
2019-05-01,4200.0,4200.0,4200.0,4200.0,4071900000,969500,358,2828.0,4200.0
2019-05-04,4400.0,4400.0,4300.0,4317.0,1851237126,428786,66,4200.0,4300.0
2019-05-05,4300.0,4300.0,4300.0,4300.0,264450000,61500,6,4317.0,4300.0
2019-05-07,3901.0,3901.0,3900.0,3900.0,2067315000,530080,60,4300.0,3900.0
2019-05-08,3700.0,3700.0,3700.0,3700.0,3462826300,935899,110,3900.0,3700.0
