date,open,high,low,adjClose,value,volume,count,yesterday,close
2002-09-17,18000.0,21000.0,18000.0,21000.0,121567876,6197,16,18000.0,21000.0
2002-09-18,21000.0,21002.0,21000.0,21002.0,83055561,3955,13,21000.0,21002.0
2002-09-22,21004.0,21004.0,21000.0,21002.0,252034314,12000,11,21002.0,21002.0
2002-09-23,21000.0,21021.0,21000.0,21003.0,644012589,30646,24,21002.0,21003.0
2002-09-24,20500.0,21000.0,20500.0,20504.0,1354549521,65664,44,21003.0,20504.0
2002-09-25,20504.0,21000.0,20504.0,20899.0,469005784,22478,31,20504.0,20899.0
2002-09-28,20897.0,20901.0,20897.0,20900.0,205800132,9847,32,20899.0,20900.0
2002-09-29,20898.0,20901.0,20897.0,20901.0,329084195,15746,22,20900.0,20901.0
2002-09-30,20904.0,20914.0,20901.0,20914.0,184999716,8849,29,20901.0,20914.0
2002-10-01,21000.0,21005.0,20915.0,21005.0,152911922,7286,26,20914.0,21005.0
2002-10-02,21005.0,21100.0,21005.0,21100.0,6458203135,306814,21,21005.0,21100.0
2002-10-06,21100.0,21100.0,21100.0,21100.0,177050100,8391,21,21100.0,21100.0
2002-10-07,21100.0,21100.0,21059.0,21059.0,114721006,5439,22,21100.0,21059.0
2002-10-08,20789.0,21000.0,20001.0,20001.0,218634092,10531,21,21059.0,20001.0
2002-10-09,19879.0,19879.0,19879.0,19879.0,1987900,100,1,20001.0,19879.0
2002-10-12,19804.0,19804.0,18500.0,18500.0,680321036,36199,55,19879.0,18500.0
2002-10-30,19000.0,19000.0,19000.0,19000.0,372875000,19625,5,18500.0,19000.0
2003-07-30,40000.0,40000.0,40000.0,40000.0,241040000,6026,5,19000.0,40000.0
2003-08-03,38000.0,38002.0,38000.0,38002.0,31046914,817,4,40000.0,38002.0
2003-08-04,38007.0,38007.0,38005.0,38005.0,421296035,11085,4,38002.0,38005.0
2003-08-05,37500.0,37500.0,36000.0,36000.0,641612000,17312,15,38005.0,36000.0
2003-08-09,36025.0,36025.0,36024.0,36024.0,62935304,1747,3,36000.0,36024.0
2003-08-10,36048.0,36060.0,35002.0,36059.0,721182778,20278,34,36024.0,36059.0
2003-08-11,35600.0,35602.0,35020.0,35601.0,565762807,15903,50,36059.0,35601.0
2003-08-12,35613.0,36980.0,35613.0,36980.0,925149246,25378,40,35601.0,36980.0
2003-08-13,37074.0,37601.0,36986.0,37300.0,625825546,16785,46,36980.0,37300.0
2003-08-16,37300.0,37310.0,36000.0,36000.0,1582048595,43011,61,37300.0,36000.0
2003-08-17,35650.0,35999.0,31005.0,34900.0,408991456,11679,18,36000.0,34900.0
2003-08-18,34873.0,35591.0,34873.0,35591.0,1894102752,54120,123,34900.0,35591.0
2003-08-19,35600.0,37000.0,35600.0,37000.0,2933485580,79703,78,35591.0,37000.0
2003-08-20,37000.0,37102.0,36501.0,36915.0,748703319,20282,30,37000.0,36915.0
2003-08-24,35889.0,35890.0,33990.0,35095.0,180038393,5130,15,36915.0,35095.0
2003-08-25,33998.0,34001.0,33500.0,33876.0,519115626,15324,45,35095.0,33876.0
2003-08-26,33004.0,33006.0,33000.0,33002.0,465428438,14103,48,33876.0,33002.0
2003-08-27,33001.0,33001.0,32998.0,33000.0,1252545083,37956,56,33002.0,33000.0
2003-08-30,33000.0,33300.0,33000.0,33216.0,210155524,6327,18,33000.0,33216.0
