date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-07-30,3000.0,3000.0,2705.0,2816.0,17327363299,6152679,826,1000.0,2890.0
2019-07-31,2950.0,2955.0,2824.0,2883.0,13600595219,4717038,426,2816.0,2850.0
2019-08-03,2800.0,2900.0,2751.0,2827.0,14401649706,5093578,377,2883.0,2839.0
2019-08-04,2810.0,2895.0,2730.0,2781.0,10237669934,3681496,346,2827.0,2850.0
2019-08-05,2800.0,2865.0,2740.0,2821.0,9518453657,3374723,278,2781.0,2850.0
2019-08-06,2864.0,2865.0,2788.0,2810.0,7766131907,2764149,174,2821.0,2830.0
2019-08-07,2860.0,2950.0,2800.0,2885.0,6045964157,2095653,317,2810.0,2886.0
2019-08-10,2949.0,2949.0,2856.0,2913.0,4521181398,1552039,294,2885.0,2900.0
2019-08-11,2900.0,2975.0,2850.0,2924.0,7128313497,2438200,216,2913.0,2933.0
2019-08-13,2850.0,2910.0,2831.0,2865.0,6587423313,2299284,271,2924.0,2845.0
2019-08-14,2853.0,3120.0,2850.0,2978.0,19229517494,6456120,639,2865.0,3100.0
2019-08-17,3151.0,3250.0,3100.0,3193.0,11509839836,3604272,352,2978.0,3210.0
2019-08-18,3209.0,3260.0,3050.0,3205.0,15936747009,4972798,410,3193.0,3200.0
2019-08-19,3201.0,3220.0,3111.0,3177.0,12271679971,3862161,280,3205.0,3200.0
2019-08-21,3200.0,3369.0,3200.0,3293.0,9466480978,2874752,256,3177.0,3300.0
2019-08-24,3251.0,3619.0,3251.0,3520.0,16450368256,4673468,388,3293.0,3597.0
2019-08-25,3621.0,3621.0,3305.0,3396.0,7845859026,2310513,219,3520.0,3380.0
2019-08-26,3360.0,3520.0,3330.0,3444.0,9628879857,2795621,228,3396.0,3460.0
2019-08-27,3645.0,3664.0,3360.0,3499.0,23075428070,6594586,623,3444.0,3500.0
2019-08-28,3400.0,3848.0,3350.0,3807.0,26879762329,7061179,363,3499.0,3848.0
2019-08-31,3888.0,4095.0,3558.0,3929.0,7068621116,1798882,252,3807.0,3850.0
2019-09-01,3631.0,3949.0,3631.0,3791.0,9072574723,2392909,246,3929.0,3797.0
2019-09-02,3718.0,3718.0,3412.0,3528.0,4436893703,1257538,156,3791.0,3500.0
2019-09-03,3610.0,3655.0,3480.0,3573.0,6239497556,1746384,173,3528.0,3590.0
2019-09-04,3840.0,3840.0,3558.0,3672.0,11414301764,3108651,241,3573.0,3750.0
2019-09-07,3666.0,3760.0,3610.0,3682.0,4239409182,1151384,137,3672.0,3670.0
2019-09-08,3837.0,3837.0,3552.0,3588.0,4240251833,1181642,172,3682.0,3572.0
2019-09-11,3605.0,3850.0,3550.0,3760.0,9482441683,2521749,303,3588.0,3790.0
2019-09-14,3929.0,4000.0,3632.0,3926.0,17060130609,4344912,345,3760.0,3940.0
2019-09-15,3998.0,3998.0,3621.0,3843.0,9633010584,2506315,183,3926.0,3931.0
2019-09-16,3722.0,4050.0,3722.0,3968.0,8411762727,2119969,254,3843.0,3923.0
2019-09-17,3900.0,4098.0,3900.0,3950.0,14361736812,3635689,267,3968.0,3907.0
2019-09-18,3801.0,3888.0,3668.0,3848.0,8819160817,2291643,153,3950.0,3888.0
2019-09-21,3712.0,3940.0,3711.0,3864.0,9304646493,2408313,173,3848.0,3713.0
2019-09-22,3900.0,3999.0,3800.0,3833.0,24288755390,6335940,392,3864.0,3960.0
2019-09-23,4000.0,4160.0,3920.0,4081.0,8337651692,2043028,249,3833.0,4120.0
2019-09-24,4149.0,4200.0,3974.0,4081.0,9442762531,2313745,160,4081.0,4001.0
2019-09-25,4149.0,4149.0,3953.0,4101.0,2548812496,621581,94,4081.0,4111.0
2019-09-28,4129.0,4159.0,3921.0,4052.0,4628320817,1142131,156,4101.0,4110.0
2019-09-29,4148.0,4148.0,3840.0,3965.0,1753098485,442125,98,4052.0,3950.0
2019-09-30,3952.0,4086.0,3920.0,3977.0,6437854130,1618767,145,3965.0,3950.0
2019-10-01,4027.0,4027.0,3820.0,3910.0,5944074863,1520144,105,3977.0,3880.0
2019-10-02,3851.0,3940.0,3663.0,3885.0,4924119061,1267510,107,3910.0,3901.0
2019-10-05,3885.0,4051.0,3851.0,3981.0,15327939356,3850607,220,3885.0,3901.0
2019-10-06,3990.0,3991.0,3740.0,3870.0,1982101552,512220,56,3981.0,3850.0
2019-10-07,3975.0,3998.0,3761.0,3873.0,1283204109,331345,45,3870.0,3825.0
2019-10-08,3940.0,3940.0,3700.0,3742.0,1008865550,269595,69,3873.0,3743.0
2019-10-09,3701.0,3810.0,3700.0,3752.0,4124363403,1099265,87,3742.0,3748.0
2019-10-12,3800.0,3920.0,3756.0,3846.0,3502574371,910713,67,3752.0,3799.0
2019-10-13,3846.0,3846.0,3700.0,3784.0,6876863705,1817285,113,3846.0,3700.0
2019-10-14,3721.0,3721.0,3650.0,3687.0,2661248142,721868,63,3784.0,3683.0
2019-10-15,3683.0,3683.0,3463.0,3556.0,5002194896,1406799,77,3687.0,3500.0
2019-10-16,3401.0,3520.0,3401.0,3478.0,3238896565,931354,114,3556.0,3453.0
2019-10-20,3500.0,3500.0,3131.0,3185.0,17591601399,5523275,319,3478.0,3131.0
2019-10-21,3135.0,3285.0,3131.0,3158.0,689583319,218356,36,3185.0,3134.0
2019-10-22,3250.0,3349.0,3131.0,3171.0,3830207851,1207755,199,3158.0,3150.0
2020-03-02,8400.0,9240.0,8400.0,8401.0,123201814039,14665773,456,3171.0,8400.0
2020-03-03,8700.0,8700.0,8700.0,8700.0,218427715800,25106634,663,8401.0,8700.0
2020-03-04,8700.0,8701.0,8700.0,8700.0,149458988700,17179194,532,8700.0,8700.0
2020-03-07,9570.0,9570.0,8700.0,8959.0,331296000,36980,14,8700.0,8700.0
2020-03-09,8959.0,8959.0,8600.0,8779.0,2633850,300,2,8959.0,8600.0
2020-03-10,8500.0,8500.0,8500.0,8500.0,3420400000,402400,10,8779.0,8500.0
2020-03-11,8750.0,8750.0,8700.0,8718.0,68976760000,7911730,388,8500.0,8700.0
2020-03-14,8500.0,8500.0,8300.0,8499.0,3414067000,401682,11,8718.0,8300.0
2020-03-15,8100.0,8100.0,8100.0,8100.0,1653210000,204100,6,8499.0,8100.0
2020-03-16,8200.0,8200.0,8200.0,8200.0,6455876400,787302,43,8100.0,8200.0
2020-03-17,8200.0,8200.0,8200.0,8200.0,821115200,100136,2,8200.0,8200.0
2020-03-18,8000.0,8200.0,8000.0,8191.0,18356532400,2241082,59,8200.0,8200.0
2020-03-24,8300.0,8300.0,8100.0,8100.0,16200100000,2000000,41,8191.0,8100.0
2020-03-25,8250.0,8910.0,8250.0,8468.0,63827314200,7537616,400,8100.0,8700.0
2020-03-28,9314.0,9314.0,8800.0,8845.0,79819164076,9024591,313,8468.0,8900.0
2020-03-29,9729.0,9729.0,9050.0,9052.0,26872494749,2968789,107,8845.0,9100.0
2020-03-30,9957.0,9957.0,9050.0,9108.0,5694358750,625174,73,9052.0,9200.0
2020-04-04,10000.0,10000.0,10000.0,10000.0,22233290000,2223329,131,9108.0,10000.0
2020-04-05,11000.0,11000.0,10000.0,10036.0,89444096100,8912081,233,10000.0,10100.0
2020-04-06,10100.0,10100.0,10100.0,10100.0,15643819300,1548893,58,10036.0,10100.0
2020-04-07,10300.0,10550.0,10300.0,10411.0,138657704450,13318688,348,10100.0,10550.0
2020-04-08,10550.0,10600.0,10550.0,10592.0,63167668600,5963931,214,10411.0,10600.0
2020-04-11,10705.0,10705.0,10600.0,10605.0,44471415100,4193515,123,10592.0,10700.0
2020-04-12,10700.0,10701.0,10700.0,10700.0,17681912500,1652515,47,10605.0,10700.0
