date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-05-21,9001.0,9001.0,9001.0,9001.0,378042,42,1,0.0,9001.0
2001-05-23,9003.0,9003.0,9003.0,9003.0,135045,15,1,9001.0,9003.0
2001-05-30,9042.0,9042.0,9042.0,9042.0,714318,79,1,9003.0,9042.0
2001-06-02,9042.0,9042.0,9042.0,9042.0,72336,8,1,9042.0,9042.0
2001-06-17,10500.0,10500.0,10500.0,10500.0,9030000,860,1,9042.0,10500.0
2001-09-16,14500.0,15000.0,14500.0,15000.0,1770000000,120000,24,10500.0,15000.0
2001-09-17,15000.0,15000.0,15000.0,15000.0,9555000,637,1,15000.0,15000.0
2004-02-29,92000.0,92000.0,92000.0,92000.0,460000000,5000,1,15000.0,92000.0
2004-03-03,90000.0,90000.0,90000.0,90000.0,900000000,10000,1,92000.0,90000.0
2004-03-06,86000.0,86000.0,85500.0,85581.0,8175494081,95529,16,90000.0,85581.0
2004-03-07,86100.0,86100.0,85800.0,85801.0,11724172774,136605,62,85581.0,85801.0
2010-09-26,1150.0,1150.0,1058.0,1082.0,21965000,20300,16,85801.0,1058.0
2010-09-27,1060.0,1060.0,996.0,1002.0,67179795,67024,30,1082.0,1001.0
2010-09-28,935.0,1076.0,935.0,1073.0,5452722,5082,3,1002.0,1076.0
2010-09-29,1066.0,1066.0,1003.0,1020.0,14296420,14020,3,1073.0,1003.0
2010-10-03,1000.0,1000.0,1000.0,1000.0,4424000,4424,1,1020.0,1000.0
2010-10-05,1000.0,1000.0,1000.0,1000.0,30000000,30000,3,1000.0,1000.0
2010-10-06,1001.0,1001.0,1000.0,1000.0,81252700,81219,7,1000.0,1000.0
2010-10-10,970.0,970.0,920.0,946.0,33100000,35000,5,1000.0,920.0
2010-10-11,902.0,930.0,871.0,890.0,70595738,79319,10,946.0,929.0
2010-10-12,850.0,850.0,819.0,823.0,65807418,79977,12,890.0,819.0
2010-10-13,760.0,760.0,760.0,760.0,8707320,11457,3,823.0,760.0
2010-10-16,775.0,775.0,775.0,775.0,361150,466,1,760.0,775.0
2010-10-18,837.0,837.0,837.0,837.0,896427,1071,2,775.0,837.0
2010-10-19,903.0,903.0,903.0,903.0,8578500,9500,5,837.0,903.0
2010-10-20,960.0,960.0,960.0,960.0,5514240,5744,3,903.0,960.0
2010-10-23,960.0,975.0,960.0,973.0,4964385,5100,2,960.0,975.0
2010-11-20,650.0,650.0,598.0,626.0,6415344,10256,7,973.0,650.0
2011-01-19,600.0,600.0,600.0,600.0,18000000,30000,2,626.0,600.0
2011-02-05,502.0,502.0,501.0,501.0,264127000,527000,22,600.0,501.0
2011-02-06,541.0,541.0,503.0,511.0,631809243,1236005,51,501.0,503.0
2011-02-07,550.0,530.0,512.0,529.0,431916340,816508,44,511.0,512.0
2011-02-08,512.0,540.0,512.0,517.0,240819730,466106,23,529.0,529.0
2011-02-09,520.0,520.0,517.0,517.0,24390516,47148,3,517.0,517.0
2011-02-12,558.0,520.0,505.0,513.0,134798300,262900,12,517.0,517.0
2011-02-13,513.0,513.0,472.0,480.0,806897936,1682123,17,513.0,480.0
2019-05-14,1239.0,1315.0,1141.0,1215.0,11588351064,9535921,939,480.0,1164.0
2019-05-15,1198.0,1198.0,1094.0,1106.0,5115007598,4626579,445,1215.0,1095.0
2019-05-18,1095.0,1150.0,1090.0,1123.0,5411210638,4818905,371,1106.0,1093.0
2019-05-19,1090.0,1112.0,1050.0,1063.0,1426395165,1341397,151,1123.0,1059.0
2019-05-20,998.0,1050.0,997.0,1019.0,533736904,523901,75,1063.0,1021.0
2019-05-21,1100.0,1100.0,1026.0,1062.0,2156181791,2030015,165,1019.0,1050.0
2019-06-03,1165.0,1266.0,1131.0,1201.0,5545142939,4617717,369,1062.0,1210.0
2019-06-08,1259.0,1321.0,1250.0,1318.0,10534140895,7994648,466,1201.0,1321.0
2019-06-09,1363.0,1449.0,1363.0,1448.0,6594678862,4554649,220,1318.0,1449.0
2019-06-10,1592.0,1592.0,1513.0,1585.0,13082304078,8252256,621,1448.0,1570.0
2019-06-11,1585.0,1743.0,1485.0,1679.0,5050820653,3009030,321,1585.0,1720.0
2019-06-12,1829.0,1835.0,1683.0,1707.0,7158857195,4194223,319,1679.0,1700.0
2019-06-15,1555.0,1765.0,1537.0,1549.0,5786498224,3735013,284,1707.0,1537.0
2019-06-16,1462.0,1500.0,1410.0,1441.0,2254548836,1564886,178,1549.0,1420.0
2019-06-17,1395.0,1529.0,1310.0,1439.0,3877685702,2695640,246,1441.0,1460.0
2019-06-18,1510.0,1528.0,1420.0,1492.0,788248018,528377,81,1439.0,1499.0
2019-06-19,1430.0,1497.0,1379.0,1417.0,302006885,213082,53,1492.0,1445.0
2019-06-22,1351.0,1469.0,1351.0,1439.0,234879874,163263,28,1417.0,1430.0
2019-06-23,1533.0,1580.0,1480.0,1555.0,1906087656,1226023,168,1439.0,1567.0
