date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-07-02,8000.0,8640.0,8000.0,8430.0,634621145,75280,60,16000.0,8640.0
2014-07-05,8800.0,9104.0,8702.0,9029.0,656572793,72718,70,8430.0,9104.0
2014-07-06,9400.0,9400.0,8309.0,8868.0,1995629057,225045,66,9029.0,8878.0
2014-07-07,8800.0,9577.0,8796.0,9442.0,1352052887,143194,147,8868.0,9577.0
2014-07-08,9820.0,10197.0,9820.0,10179.0,422519793,41511,48,9442.0,10197.0
2014-07-09,10487.0,10993.0,10486.0,10948.0,2945996460,269102,175,10179.0,10993.0
2014-07-12,11820.0,11820.0,11313.0,11658.0,3054365121,262002,191,10948.0,11678.0
2014-07-13,12300.0,12300.0,10781.0,11606.0,736877449,63491,92,11658.0,11700.0
2014-07-14,11300.0,11690.0,11206.0,11377.0,828648690,72838,70,11606.0,11410.0
2014-07-15,11111.0,12100.0,11111.0,11810.0,1342001636,113636,89,11377.0,11850.0
2014-07-16,12000.0,12000.0,11500.0,11610.0,964188600,83046,60,11810.0,11500.0
2014-07-20,12000.0,12498.0,11920.0,12109.0,4564101940,376910,265,11610.0,12249.0
2014-07-21,12399.0,12399.0,11155.0,11589.0,3605880430,311158,209,12109.0,11870.0
2014-07-22,11810.0,11810.0,11160.0,11422.0,1667679352,146002,128,11589.0,11340.0
2014-07-23,10870.0,11240.0,10509.0,10739.0,1296680484,120743,107,11422.0,10509.0
2014-07-26,9975.0,10304.0,9912.0,9989.0,2057467891,205978,148,10739.0,10130.0
2014-07-27,10400.0,10700.0,10211.0,10545.0,1103335027,104627,82,9989.0,10500.0
2014-07-28,10660.0,10700.0,10430.0,10543.0,1281685223,121563,76,10545.0,10500.0
2014-08-02,10510.0,10520.0,10312.0,10479.0,720850472,68792,55,10543.0,10312.0
2014-08-03,11175.0,11175.0,10000.0,10066.0,675292327,67089,52,10479.0,10000.0
2014-08-04,10250.0,10250.0,9750.0,9926.0,1676607003,168913,58,10066.0,9950.0
2014-08-05,9800.0,9800.0,9520.0,9687.0,209128320,21589,38,9926.0,9720.0
2014-08-06,9525.0,10198.0,9525.0,10163.0,398228951,39186,33,9687.0,10190.0
2014-08-09,10400.0,10400.0,9890.0,9992.0,528786632,52920,42,10163.0,10000.0
2014-08-10,9605.0,10100.0,9605.0,10022.0,531230981,53009,39,9992.0,10080.0
2014-08-11,9999.0,10500.0,9999.0,10358.0,755496324,72940,62,10022.0,10200.0
2014-08-12,10397.0,10397.0,9540.0,9897.0,545096356,55078,44,10358.0,9750.0
2014-08-13,9520.0,10199.0,9267.0,9705.0,1474651349,151954,114,9897.0,9900.0
2014-08-16,9312.0,9998.0,9111.0,9602.0,2237566202,233021,133,9705.0,9998.0
2014-08-18,9137.0,9500.0,9137.0,9303.0,479174973,51509,32,9602.0,9500.0
2014-08-20,8900.0,9297.0,8900.0,8949.0,94083770,10513,15,9303.0,9297.0
2014-08-23,8300.0,9664.0,8235.0,9218.0,641504118,69594,40,8949.0,9664.0
2014-08-24,9930.0,9940.0,9930.0,9933.0,19866500,2000,3,9218.0,9940.0
2014-08-25,9250.0,10650.0,9250.0,10441.0,4188499825,401144,68,9933.0,10400.0
2014-08-26,10710.0,10600.0,9663.0,9842.0,1221092157,124074,79,10441.0,10000.0
2015-02-02,10000.0,10000.0,10000.0,10000.0,92446990000,9244699,219,9842.0,10000.0
2016-11-27,3514.0,3701.0,3514.0,3598.0,262337461,72903,48,10000.0,3701.0
2016-11-29,3601.0,3940.0,3552.0,3728.0,729340110,195623,110,3598.0,3750.0
2016-12-03,3900.0,4000.0,3850.0,3915.0,996885820,254656,94,3728.0,3970.0
2016-12-04,3850.0,3999.0,3806.0,3928.0,414139782,105442,57,3915.0,3892.0
2016-12-05,3806.0,3890.0,3806.0,3850.0,79359378,20614,19,3928.0,3850.0
2016-12-06,3900.0,3995.0,3850.0,3920.0,264343037,67428,45,3850.0,3850.0
2016-12-07,3923.0,3923.0,3701.0,3771.0,314025391,83276,61,3920.0,3778.0
2016-12-10,3800.0,3880.0,3714.0,3796.0,185469915,48862,24,3771.0,3800.0
2016-12-11,3800.0,3800.0,3713.0,3788.0,305578644,80665,27,3796.0,3800.0
2016-12-12,3900.0,3900.0,3770.0,3891.0,116152407,29851,18,3788.0,3803.0
2016-12-13,3721.0,3750.0,3721.0,3742.0,31921902,8530,7,3891.0,3750.0
2016-12-14,3798.0,3810.0,3735.0,3790.0,101533939,26790,37,3742.0,3810.0
2016-12-18,3745.0,3868.0,3745.0,3834.0,35086867,9152,12,3790.0,3853.0
2016-12-19,3750.0,3800.0,3740.0,3763.0,280113499,74437,36,3834.0,3780.0
2016-12-20,3849.0,3850.0,3760.0,3792.0,240652943,63462,29,3763.0,3837.0
2016-12-21,3837.0,3850.0,3735.0,3817.0,227072809,59490,44,3792.0,3786.0
2016-12-26,3786.0,3848.0,3726.0,3782.0,113018921,29882,14,3817.0,3789.0
2016-12-27,3715.0,4160.0,3715.0,4114.0,1379744379,335397,123,3782.0,4160.0
2016-12-28,4007.0,4172.0,3770.0,4082.0,486420971,119159,42,4114.0,3811.0
2017-02-20,3500.0,3500.0,3500.0,3500.0,492317000,140662,6,4082.0,3500.0
2017-02-21,3400.0,3400.0,3400.0,3400.0,10200000000,3000000,80,3500.0,3400.0
2017-02-22,3400.0,3400.0,3400.0,3400.0,17154213800,5045357,204,3400.0,3400.0
2019-01-21,6301.0,6931.0,6300.0,6369.0,1973632238,309885,126,3400.0,6650.0
2019-01-22,6700.0,6700.0,6369.0,6505.0,1332280787,204802,101,6369.0,6591.0
2019-01-23,6250.0,6450.0,6250.0,6320.0,549232016,86901,72,6505.0,6400.0
2019-01-26,6155.0,6210.0,6150.0,6172.0,334879231,54255,39,6320.0,6152.0
2019-01-27,6150.0,6150.0,5700.0,6048.0,510510934,84406,49,6172.0,6021.0
2019-01-28,5701.0,6021.0,5701.0,5882.0,135040593,22958,23,6048.0,5999.0
2019-01-29,5651.0,5997.0,5651.0,5764.0,29695880,5152,14,5882.0,5801.0
2019-01-30,5900.0,5900.0,5712.0,5751.0,272253470,47344,31,5764.0,5858.0
2019-02-02,5755.0,5898.0,5520.0,5692.0,144311348,25354,18,5751.0,5546.0
2019-02-03,5400.0,5683.0,5250.0,5340.0,28103091,5263,17,5692.0,5254.0
2019-02-04,5350.0,5500.0,5350.0,5399.0,149964600,27777,10,5340.0,5500.0
2019-02-05,5411.0,5835.0,5410.0,5596.0,209473407,37435,39,5399.0,5600.0
2019-02-06,5600.0,5600.0,5410.0,5417.0,144286503,26636,29,5596.0,5532.0
2019-02-10,5430.0,5499.0,5419.0,5431.0,335406238,61758,30,5417.0,5499.0
2019-02-12,5430.0,5555.0,5430.0,5449.0,152592344,28005,20,5431.0,5450.0
2019-02-13,5470.0,5640.0,5452.0,5541.0,248075826,44771,42,5449.0,5640.0
2019-02-16,5510.0,5597.0,5400.0,5419.0,557975216,102971,27,5541.0,5597.0
2019-02-17,5432.0,5630.0,5430.0,5516.0,763730133,138465,25,5419.0,5430.0
2019-02-18,5431.0,5437.0,5431.0,5432.0,31323815,5767,7,5516.0,5437.0
2019-02-19,5212.0,5569.0,5212.0,5424.0,66421893,12245,12,5432.0,5500.0
2019-02-20,5500.0,5500.0,5052.0,5225.0,1673471566,320310,59,5424.0,5200.0
2019-02-23,5225.0,5747.0,5051.0,5720.0,4494040134,785686,88,5225.0,5700.0
2019-02-24,5759.0,5759.0,5396.0,5459.0,291062454,53322,122,5720.0,5489.0
2019-02-25,5354.0,5770.0,5354.0,5415.0,1104614770,204002,190,5459.0,5620.0
2019-02-26,5470.0,5470.0,5327.0,5368.0,713792961,132971,95,5415.0,5361.0
2019-02-27,5500.0,5500.0,5263.0,5306.0,1460299571,275203,44,5368.0,5283.0
2019-03-02,5600.0,5600.0,5350.0,5411.0,112296002,20755,19,5306.0,5399.0
