date,open,high,low,adjClose,value,volume,count,yesterday,close
2004-08-31,2100.0,2100.0,2098.0,2099.0,524750000,250000,25,2100.0,2099.0
2004-09-01,2100.0,2100.0,2099.0,2099.0,239988294,114306,15,2099.0,2099.0
2004-09-04,2099.0,2100.0,2099.0,2099.0,64677299,30808,7,2099.0,2099.0
2004-09-05,2200.0,2200.0,2200.0,2200.0,4400000,2000,1,2099.0,2200.0
2004-09-06,2200.0,2200.0,2200.0,2200.0,4400000,2000,1,2200.0,2200.0
2004-09-07,2200.0,2200.0,2200.0,2200.0,1496000,680,1,2200.0,2200.0
2004-09-12,2203.0,2251.0,2203.0,2244.0,9078014,4044,3,2200.0,2244.0
2004-09-15,2252.0,2252.0,2252.0,2252.0,1051684,467,1,2244.0,2252.0
2004-09-18,2252.0,2252.0,2252.0,2252.0,448148,199,1,2252.0,2252.0
2004-09-19,2252.0,2252.0,2252.0,2252.0,1049432,466,1,2252.0,2252.0
2004-09-20,2256.0,2258.0,2256.0,2257.0,7902010,3500,3,2252.0,2257.0
2004-09-21,2257.0,2479.0,2254.0,2258.0,105161294,46569,13,2257.0,2258.0
2004-09-25,2350.0,2350.0,2350.0,2350.0,4700000,2000,1,2258.0,2350.0
2004-09-26,2350.0,2351.0,2350.0,2350.0,31735000,13500,3,2350.0,2350.0
2004-09-28,2352.0,2352.0,2306.0,2348.0,135364530,57633,14,2350.0,2348.0
2004-09-29,2349.0,2500.0,2307.0,2365.0,21415510,9055,5,2348.0,2365.0
2004-10-02,2504.0,2504.0,2504.0,2504.0,4815192,1923,2,2365.0,2504.0
2004-10-03,2505.0,2505.0,2503.0,2504.0,23693058,9461,6,2504.0,2504.0
2004-10-04,2619.0,2620.0,2619.0,2619.0,28178330,10757,12,2504.0,2619.0
2004-10-05,2619.0,2620.0,2619.0,2619.0,6229151,2378,7,2619.0,2619.0
2004-10-06,2750.0,2750.0,2750.0,2750.0,4125000,1500,1,2619.0,2750.0
2004-10-09,2765.0,2765.0,2765.0,2765.0,1578815,571,1,2750.0,2765.0
2004-10-10,2775.0,2775.0,2768.0,2770.0,4835325,1745,3,2765.0,2770.0
2004-10-11,2850.0,2851.0,2850.0,2850.0,42760000,15000,7,2770.0,2850.0
2004-10-12,2851.0,2851.0,2851.0,2851.0,5702000,2000,1,2850.0,2851.0
2004-10-16,2890.0,2898.0,2890.0,2890.0,1263330,437,4,2851.0,2890.0
2004-10-17,2905.0,2910.0,2905.0,2908.0,12989748,4466,4,2890.0,2908.0
2004-10-20,3100.0,3100.0,3100.0,3100.0,20150000,6500,4,2908.0,3100.0
2004-10-24,3150.0,3150.0,3150.0,3150.0,6300000,2000,2,3100.0,3150.0
2004-10-25,3410.0,3450.0,3410.0,3425.0,48561750,14176,6,3150.0,3425.0
2004-10-26,3201.0,3203.0,3201.0,3201.0,13415255,4190,6,3425.0,3201.0
2004-10-27,3205.0,3220.0,3205.0,3217.0,11710978,3640,5,3201.0,3217.0
2004-11-24,3109.0,3109.0,3030.0,3031.0,739181240,243800,59,3217.0,3031.0
2007-09-04,359.0,359.0,359.0,359.0,3590000,10000,1,3031.0,359.0
2007-09-05,359.0,373.0,359.0,363.0,31094336,85523,21,359.0,363.0
2007-09-08,377.0,377.0,377.0,377.0,2084810,5530,2,363.0,377.0
2007-09-09,377.0,392.0,377.0,390.0,5227129,13387,7,377.0,390.0
2007-09-11,378.0,378.0,378.0,378.0,7560000,20000,2,390.0,378.0
