date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-09-15,31250.0,31250.0,31250.0,31250.0,18848740031250,603159681,2956827,1000.0,31250.0
2021-09-18,32810.0,32810.0,32810.0,31980.0,24624528390,750519,5372,31250.0,32810.0
2021-09-19,33570.0,33570.0,33570.0,33570.0,56599926390,1686027,6250,31980.0,33570.0
2021-09-20,35240.0,35240.0,35240.0,35240.0,62642518280,1777597,6895,33570.0,35240.0
2021-09-21,37000.0,37000.0,37000.0,37000.0,207424146000,5606058,23531,35240.0,37000.0
2021-09-22,38850.0,38850.0,35150.0,38320.0,7831428126100,204355917,786810,37000.0,37750.0
2021-09-25,38800.0,39400.0,36410.0,37340.0,5341083865670,143055136,501537,38320.0,36580.0
2021-09-26,36650.0,37110.0,35480.0,35880.0,2436083455690,67887674,214328,37340.0,35970.0
2021-09-28,36300.0,37480.0,36000.0,36580.0,1319507261120,36067988,96150,35880.0,36690.0
2021-09-29,36950.0,37270.0,36050.0,36740.0,1197266978180,32587030,77630,36580.0,37010.0
2021-10-02,37400.0,37500.0,36550.0,37140.0,1275100137960,34334388,68472,36740.0,37270.0
2021-10-03,37200.0,37270.0,36130.0,36750.0,926395973310,25206887,53635,37140.0,36800.0
2021-10-04,36400.0,37090.0,36350.0,36730.0,852450874830,23206714,45409,36750.0,36550.0
2021-10-06,36520.0,36550.0,35890.0,36110.0,845530966400,23416526,47054,36730.0,36020.0
2021-10-09,35890.0,36110.0,34400.0,35220.0,801800690510,22762412,52705,36110.0,34460.0
2021-10-10,34870.0,34870.0,34050.0,34500.0,581181289110,16847997,42094,35220.0,34550.0
2021-10-11,34500.0,36220.0,34500.0,35400.0,408192195240,11530553,24155,34500.0,35000.0
2021-10-12,35020.0,36980.0,34210.0,35520.0,818819670370,23053843,30751,35400.0,36010.0
2021-10-13,35730.0,36200.0,34410.0,35100.0,428880367370,12219998,20024,35520.0,35130.0
2021-10-16,36200.0,36850.0,36180.0,36800.0,734167170300,19950932,24449,35100.0,36850.0
2021-10-17,36850.0,36870.0,35000.0,35530.0,496966382890,13988816,19657,36800.0,35570.0
2021-10-18,35010.0,35980.0,34520.0,35090.0,369023397610,10515112,16902,35530.0,35500.0
2021-10-19,35070.0,35720.0,34850.0,35140.0,276030183170,7856039,15356,35090.0,34880.0
2021-10-20,34660.0,35350.0,34600.0,34870.0,287128282500,8235121,13932,35140.0,34900.0
2021-10-23,34950.0,34950.0,33900.0,34390.0,438205965980,12742621,16473,34870.0,34900.0
2021-10-25,34260.0,34560.0,34020.0,34370.0,411308134580,11966917,16773,34390.0,34200.0
2021-10-26,34500.0,35000.0,34320.0,34700.0,266112624690,7668403,13485,34370.0,34890.0
2021-10-27,34970.0,35700.0,34700.0,35210.0,249958284720,7099968,14498,34700.0,35160.0
2021-10-30,35220.0,35220.0,33940.0,34580.0,409685336540,11845876,23591,35210.0,34840.0
2021-10-31,34250.0,34590.0,33110.0,34150.0,423008717840,12386004,16292,34580.0,34100.0
2021-11-01,34520.0,35500.0,34510.0,34840.0,152921182470,4389323,9545,34150.0,34600.0
2021-11-02,34830.0,35300.0,34700.0,34920.0,198014791230,5671333,9831,34840.0,34920.0
2021-11-03,34900.0,35930.0,34810.0,35260.0,272246061610,7720734,12053,34920.0,35430.0
2021-11-06,35400.0,36850.0,35400.0,36240.0,276853263760,7639931,12800,35260.0,35790.0
2021-11-07,35500.0,36100.0,34880.0,35300.0,376842103130,10676829,11430,36240.0,34920.0
2021-11-08,35300.0,35860.0,34950.0,35260.0,242415257010,6874839,10242,35300.0,35220.0
2021-11-09,35100.0,35720.0,35100.0,35430.0,243626879120,6876656,10759,35260.0,35300.0
2021-11-10,35300.0,35700.0,35040.0,35350.0,235906320910,6673273,11100,35430.0,35700.0
2021-11-13,35000.0,35700.0,34670.0,35150.0,225777650850,6423865,9471,35350.0,35110.0
2021-11-14,35320.0,35850.0,35160.0,35450.0,197660292340,5574972,10074,35150.0,35300.0
