date,open,high,low,adjClose,value,volume,count,yesterday,close
2004-04-04,50.0,50.0,50.0,50.0,9864550,197291,20,50.0,50.0
2005-10-29,1000.0,1000.0,700.0,829.0,33466790,40348,8,50.0,829.0
2005-10-30,910.0,911.0,910.0,910.0,3177380,3490,3,829.0,910.0
2005-10-31,910.0,910.0,910.0,910.0,710710,781,1,910.0,910.0
2005-11-01,819.0,1000.0,819.0,966.0,157831038,163311,36,910.0,966.0
2005-12-11,602.0,1500.0,602.0,1348.0,364153480,270010,28,966.0,1348.0
2005-12-13,1215.0,1215.0,1215.0,1215.0,60750000,50000,5,1348.0,1215.0
2005-12-14,1336.0,1336.0,1336.0,1336.0,148668744,111279,12,1215.0,1336.0
2005-12-18,1203.0,1203.0,1203.0,1203.0,180450000,150000,15,1336.0,1203.0
2015-04-14,350.0,350.0,50.0,50.0,1152524400,22990488,8,1000.0,50.0
