date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-14,1800.0,1800.0,1800.0,1800.0,33962400,18868,7,0.0,1800.0
2001-04-28,1800.0,1800.0,1800.0,1800.0,6615000,3675,1,1800.0,1800.0
2006-01-17,50.0,50.0,50.0,50.0,980250,19605,2,1800.0,50.0
2006-01-21,45.0,45.0,45.0,45.0,450000,10000,10,50.0,45.0
2006-01-22,190.0,190.0,41.0,63.0,668032,10488,5,45.0,63.0
2006-05-31,1.0,1.0,1.0,1.0,5014473,5014473,101,63.0,1.0
2021-01-30,26010.0,26010.0,26010.0,26010.0,1828112850,70285,62,1000.0,26010.0
2021-01-31,26010.0,26010.0,25230.0,25561.0,4093319780,160140,115,26010.0,25230.0
2021-02-01,24795.0,24795.0,24795.0,24795.0,646058520,26056,22,25561.0,24795.0
2021-02-02,24052.0,24052.0,24052.0,24052.0,234338636,9743,12,24795.0,24052.0
2021-02-13,23571.0,23571.0,23571.0,23571.0,1195167555,50705,57,24052.0,23571.0
2021-02-14,23100.0,23100.0,23100.0,23100.0,221459700,9587,8,23571.0,23100.0
2021-02-17,22638.0,22638.0,22638.0,22638.0,53312490,2355,6,23100.0,22638.0
2021-02-21,22186.0,22186.0,22186.0,22186.0,5546500,250,1,22638.0,22186.0
2021-03-03,21743.0,21743.0,21743.0,21743.0,16742110,770,4,22186.0,21743.0
2021-03-06,21309.0,21743.0,21309.0,21327.0,30604988853,1435020,583,21743.0,21309.0
2021-03-07,20901.0,21754.0,20901.0,20931.0,44089998373,2106437,1120,21327.0,20901.0
2021-03-08,21490.0,21490.0,20513.0,20615.0,10391899671,504103,357,20931.0,20513.0
2021-03-09,20203.0,20203.0,20203.0,20203.0,132127620,6540,8,20615.0,20203.0
2021-03-13,19799.0,19799.0,19799.0,19799.0,87194796,4404,4,20203.0,19799.0
2021-03-14,19404.0,19404.0,19404.0,19404.0,5123800836,264059,69,19799.0,19404.0
2021-03-15,19016.0,19016.0,19016.0,19016.0,204117744,10734,10,19404.0,19016.0
2021-03-16,18636.0,18636.0,18636.0,18636.0,420651792,22572,18,19016.0,18636.0
2021-03-17,18264.0,18264.0,18264.0,18264.0,870626616,47669,32,18636.0,18264.0
2021-03-27,17899.0,17899.0,17899.0,17899.0,6471490844,361556,219,18264.0,17899.0
