date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-07-13,42100.0,43500.0,42000.0,42170.0,445299194170,10558937,720,1000.0,42150.0
2021-07-14,43650.0,43900.0,43650.0,43730.0,305415583920,6984740,1627,42170.0,43900.0
2021-07-17,45000.0,45900.0,44990.0,45460.0,762199317030,16764769,2804,43730.0,45520.0
2021-07-18,46980.0,47010.0,46140.0,46550.0,508394794210,10920787,2618,45460.0,46580.0
2021-07-31,36150.0,37950.0,36150.0,37800.0,194340804940,5141220,474,35310.0,37950.0
2021-08-01,39400.0,39690.0,38500.0,39560.0,491730519360,12428476,4874,37800.0,39690.0
2021-08-02,41520.0,41530.0,40980.0,40040.0,37243575640,900501,468,39560.0,41530.0
2021-08-03,42030.0,42040.0,41700.0,41990.0,336591024830,8015623,3149,40040.0,42000.0
2021-08-04,43500.0,44000.0,42040.0,43110.0,305353603930,7083017,3598,41990.0,42900.0
2021-08-07,43110.0,43490.0,40960.0,42780.0,553859151480,12946640,3912,43110.0,43080.0
2021-08-08,42780.0,43600.0,41110.0,42790.0,371741433000,8686717,3013,42780.0,42810.0
2021-08-09,42900.0,42980.0,42550.0,42800.0,292429054980,6832976,1883,42790.0,42800.0
2021-08-10,42810.0,43000.0,41500.0,42560.0,315345846920,7409686,2369,42800.0,42760.0
2021-08-11,42560.0,42790.0,42550.0,42560.0,345675505690,8121252,1558,42560.0,42610.0
2021-08-14,42560.0,42600.0,42550.0,42560.0,269237589830,6325975,1229,42560.0,42560.0
2021-08-15,43000.0,43000.0,41890.0,42530.0,220947571610,5194940,1235,42560.0,42570.0
2021-08-22,42570.0,42570.0,40560.0,42200.0,504122046880,11947010,2560,42530.0,42200.0
2021-08-23,42200.0,42400.0,40090.0,40910.0,287467732180,7026289,2063,42200.0,40090.0
2021-08-24,40850.0,40950.0,40010.0,40910.0,431273302980,10542925,1791,40910.0,40940.0
2021-08-25,41910.0,41910.0,40910.0,40940.0,114980992880,2808487,921,40910.0,40930.0
2021-08-28,41000.0,42040.0,40000.0,41050.0,396021178860,9646741,1630,40940.0,42020.0
2021-08-29,42200.0,42640.0,41050.0,42100.0,335169647160,7960655,1841,41050.0,42560.0
2021-08-30,42620.0,42700.0,42510.0,42550.0,350825159520,8244432,1469,42100.0,42560.0
2021-08-31,42980.0,44500.0,42980.0,43520.0,339913424660,7810525,2370,42550.0,44000.0
2021-09-01,44650.0,44990.0,44500.0,44690.0,360683348900,8070406,2960,43520.0,44990.0
2021-09-04,46690.0,46690.0,45310.0,45850.0,267239523120,5828141,1819,44690.0,45830.0
2021-09-07,48090.0,48140.0,46980.0,47880.0,338947684480,7078484,3094,45850.0,47000.0
2021-09-08,47880.0,48140.0,45490.0,47700.0,358384201190,7513687,2894,47880.0,47860.0
2021-09-11,47870.0,47870.0,47600.0,47700.0,279091912230,5851128,1468,47700.0,47720.0
2021-09-12,47990.0,47990.0,47010.0,47610.0,369579900810,7761855,1366,47700.0,47630.0
2021-09-13,47630.0,47630.0,45800.0,46660.0,440666495080,9443618,1961,47610.0,46030.0
2021-09-14,46680.0,47120.0,45990.0,46650.0,138236253090,2963154,1350,46660.0,46450.0
2021-09-15,46650.0,46700.0,45840.0,46590.0,339345407920,7283257,1222,46650.0,46610.0
2021-09-18,47060.0,47250.0,47000.0,47100.0,486384239330,10327706,1431,46590.0,47120.0
2021-09-19,47740.0,47740.0,47110.0,47130.0,533994906630,11330233,1115,47100.0,47130.0
2021-09-20,47350.0,47350.0,47130.0,47290.0,467474812170,9886185,937,47130.0,47300.0
2021-09-21,47310.0,47360.0,47280.0,47310.0,395083601160,8351517,985,47290.0,47320.0
2021-09-22,47300.0,47320.0,47000.0,47290.0,279233464450,5904957,1065,47310.0,47300.0
2021-09-25,46210.0,47350.0,46210.0,47300.0,369170642070,7805241,1173,47290.0,47310.0
2021-09-26,47300.0,47400.0,47300.0,47300.0,279716042650,5913516,775,47300.0,47310.0
2021-09-28,47320.0,47360.0,47310.0,47330.0,291918009190,6167890,834,47300.0,47330.0
2021-09-29,47320.0,47360.0,46630.0,47320.0,283337433310,5987762,894,47330.0,47330.0
2021-10-02,47340.0,47380.0,46880.0,47340.0,543038485210,11471257,982,47320.0,47360.0
2021-10-03,47340.0,47350.0,47320.0,47330.0,301265918060,6364833,751,47340.0,47330.0
2021-10-04,47350.0,47350.0,47330.0,47330.0,164303299590,3471355,612,47330.0,47340.0
2021-10-06,47360.0,47360.0,47310.0,47320.0,51668951160,1091947,545,47330.0,47330.0
2021-10-09,47330.0,47350.0,47280.0,47310.0,110734178370,2340653,564,47320.0,47300.0
2021-10-10,47310.0,47310.0,47280.0,47290.0,83489962900,1765783,407,47310.0,47280.0
2021-10-11,47250.0,47340.0,47250.0,47270.0,334351785000,7073382,1171,47290.0,47270.0
2021-10-12,47270.0,47350.0,46000.0,46810.0,118632589150,2534320,801,47270.0,46090.0
2021-10-13,46810.0,47160.0,46480.0,46520.0,120722509390,2595214,494,46810.0,46500.0
2021-10-16,46520.0,47490.0,46520.0,46950.0,207439851480,4418414,776,46520.0,47420.0
2021-10-17,47500.0,47950.0,46940.0,47010.0,383342080750,8155009,760,46950.0,47200.0
2021-10-18,47010.0,47200.0,47000.0,47030.0,471650763500,10028241,576,47010.0,47060.0
2021-10-19,47060.0,47080.0,47010.0,47030.0,342910921990,7291456,553,47030.0,47040.0
2021-10-20,47040.0,47470.0,47000.0,47040.0,419430774140,8916561,574,47030.0,47040.0
2021-10-23,47040.0,47460.0,47000.0,47030.0,284386078830,6046678,614,47040.0,47000.0
2021-10-25,47030.0,47290.0,47020.0,47030.0,290525420600,6177433,527,47030.0,47040.0
2021-10-26,47370.0,47370.0,47000.0,47000.0,173133448010,3683541,432,47030.0,47020.0
2021-10-27,47000.0,47020.0,46990.0,47000.0,237869240370,5060978,449,47000.0,47010.0
2021-10-30,47080.0,47090.0,44970.0,46960.0,193918678930,4129560,643,47000.0,46950.0
