date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-08-07,2040.0,2040.0,2040.0,2040.0,1020000000000,500000000,1933,1000.0,2040.0
2012-12-29,1800.0,1850.0,1800.0,1801.0,255822350,142040,29,2040.0,1800.0
2012-12-30,1800.0,1810.0,1745.0,1765.0,585975544,332061,72,1801.0,1755.0
2012-12-31,1750.0,1800.0,1722.0,1752.0,564838737,322482,67,1765.0,1750.0
2013-01-01,1794.0,1794.0,1670.0,1708.0,380761134,222960,47,1752.0,1670.0
2013-01-02,1760.0,1760.0,1623.0,1626.0,903755814,555981,45,1708.0,1700.0
2013-01-06,1700.0,1700.0,1602.0,1668.0,545712234,327182,57,1626.0,1700.0
2013-01-07,1751.0,1751.0,1698.0,1747.0,844191484,483243,29,1668.0,1701.0
2013-01-08,1751.0,1759.0,1698.0,1721.0,269826817,156814,27,1747.0,1759.0
2013-01-09,1690.0,1770.0,1690.0,1724.0,228196858,132339,33,1721.0,1750.0
2013-01-13,1701.0,1810.0,1691.0,1803.0,1532396814,849929,59,1724.0,1810.0
2013-01-14,1741.0,1850.0,1740.0,1801.0,845030577,469157,58,1803.0,1800.0
2013-01-15,1802.0,1880.0,1763.0,1799.0,174713600,97095,27,1801.0,1765.0
2013-01-16,1731.0,1880.0,1730.0,1783.0,160226320,89880,16,1799.0,1880.0
2013-01-19,1750.0,1807.0,1750.0,1787.0,274412852,153570,18,1783.0,1805.0
2013-01-20,1805.0,1805.0,1745.0,1751.0,783498328,447545,20,1787.0,1750.0
2013-01-21,1798.0,1798.0,1736.0,1756.0,427600416,243506,36,1751.0,1736.0
2013-01-22,1725.0,1800.0,1669.0,1770.0,1016269765,574257,41,1756.0,1749.0
2013-01-23,1789.0,1789.0,1738.0,1745.0,61063500,35000,7,1770.0,1788.0
2013-01-26,1720.0,1750.0,1681.0,1718.0,139369650,81143,26,1745.0,1681.0
2013-01-27,1678.0,1750.0,1650.0,1686.0,250367223,148497,35,1718.0,1650.0
2013-01-28,1720.0,1720.0,1700.0,1702.0,197400000,116000,10,1686.0,1700.0
2013-01-30,1640.0,1717.0,1631.0,1697.0,440934216,259778,27,1702.0,1702.0
2013-02-02,1690.0,1700.0,1613.0,1657.0,339156523,204652,32,1697.0,1680.0
2013-02-03,1636.0,1700.0,1620.0,1659.0,486080228,293006,35,1657.0,1657.0
2013-02-04,1633.0,1720.0,1630.0,1698.0,567484730,334298,33,1659.0,1700.0
2013-02-05,1698.0,1782.0,1690.0,1736.0,3302813354,1902289,128,1698.0,1782.0
2013-02-06,1778.0,1822.0,1778.0,1818.0,3104600884,1707348,85,1736.0,1822.0
2013-02-09,1908.0,1908.0,1908.0,1908.0,1329614604,696863,22,1818.0,1908.0
2013-02-11,2003.0,2003.0,1908.0,1912.0,60188949931,31481965,144,1908.0,1980.0
2013-02-12,1990.0,1990.0,1900.0,1908.0,59492589140,31179340,49,1912.0,1921.0
2013-02-13,1900.0,1910.0,1888.0,1900.0,2402984300,1264749,89,1908.0,1900.0
2013-02-16,1900.0,1910.0,1872.0,1908.0,33361950194,17487331,93,1900.0,1910.0
2013-02-17,1830.0,1941.0,1830.0,1906.0,5315464911,2788572,116,1908.0,1900.0
2013-02-18,1906.0,1950.0,1899.0,1905.0,9959733476,5227084,288,1906.0,1940.0
2013-02-19,1890.0,2000.0,1890.0,1912.0,1420021443,742669,94,1905.0,2000.0
2013-03-13,2200.0,2200.0,2200.0,2200.0,132000000000,60000000,600,1912.0,2200.0
2013-03-16,2200.0,2200.0,2200.0,2200.0,180620000000,82100000,1642,2200.0,2200.0
2013-03-17,2200.0,2200.0,2200.0,2200.0,7353673800,3342579,68,2200.0,2200.0
2013-08-26,4249.0,4249.0,3800.0,3982.0,1302022690,326971,100,2200.0,4150.0
2013-08-27,4050.0,4060.0,3900.0,3954.0,4411602937,1115768,264,3982.0,3917.0
2013-08-28,3500.0,3950.0,3500.0,3761.0,1434425395,381420,125,3954.0,3708.0
2013-08-31,3797.0,3920.0,3797.0,3822.0,2466412312,645347,101,3761.0,3830.0
2013-09-01,3758.0,3900.0,3758.0,3837.0,4370050316,1139006,146,3822.0,3898.0
2013-09-03,3860.0,3930.0,3840.0,3873.0,3260157004,841703,129,3837.0,3918.0
2013-09-04,3839.0,3850.0,3680.0,3753.0,2543608158,677836,104,3873.0,3800.0
2013-09-07,3627.0,3785.0,3627.0,3697.0,1824579575,493534,77,3753.0,3785.0
2013-09-08,3700.0,3800.0,3700.0,3746.0,764263400,204013,44,3697.0,3800.0
2013-09-09,3790.0,3801.0,3746.0,3764.0,812010169,215711,55,3746.0,3800.0
2013-09-10,3840.0,3952.0,3830.0,3924.0,1044150353,266118,70,3764.0,3952.0
2013-09-11,3980.0,4120.0,3980.0,4097.0,1388708307,338979,81,3924.0,4120.0
2013-09-14,4098.0,4120.0,4098.0,4114.0,946049830,229931,45,4097.0,4105.0
2013-09-15,4114.0,4160.0,4114.0,4120.0,715353955,173609,52,4114.0,4114.0
2013-09-16,4121.0,4121.0,4000.0,4116.0,898996541,218395,20,4120.0,4001.0
2013-09-17,4117.0,4120.0,3965.0,4094.0,3377271415,824961,109,4116.0,4116.0
2013-09-18,4100.0,4198.0,4094.0,4107.0,1972713081,480340,75,4094.0,4150.0
2013-09-21,4107.0,4155.0,4052.0,4100.0,1244515031,303552,90,4107.0,4107.0
2013-09-22,4100.0,4110.0,3950.0,4023.0,1478516129,367543,75,4100.0,4100.0
2013-09-23,4030.0,4100.0,4023.0,4051.0,282755686,69800,49,4023.0,4100.0
2013-09-24,4052.0,4100.0,4050.0,4059.0,843871906,207918,52,4051.0,4050.0
2013-09-25,4059.0,4100.0,4059.0,4066.0,1449728314,356551,78,4059.0,4099.0
2013-09-28,4160.0,4190.0,4080.0,4129.0,1244715301,301422,103,4066.0,4134.0
2013-09-29,4180.0,4265.0,4146.0,4223.0,722208666,170999,105,4129.0,4250.0
2013-09-30,4250.0,4431.0,4250.0,4351.0,1111953852,255565,89,4223.0,4360.0
2013-10-01,4530.0,4568.0,4500.0,4542.0,1080181977,237809,71,4351.0,4568.0
2013-10-02,4769.0,4769.0,4769.0,4769.0,121709649,25521,11,4542.0,4769.0
2013-10-05,5007.0,5007.0,4990.0,5005.0,2887644378,576975,137,4769.0,5007.0
2013-10-06,5110.0,5255.0,5110.0,5219.0,2410022791,461787,166,5005.0,5194.0
2013-10-07,5050.0,5189.0,5000.0,5020.0,1544813669,307744,71,5219.0,5000.0
2013-10-08,5040.0,5040.0,4900.0,4920.0,1114024902,226427,62,5020.0,4948.0
2013-10-09,4960.0,5007.0,4900.0,4971.0,1069591277,215145,35,4920.0,5007.0
2013-10-12,5200.0,5215.0,5051.0,5140.0,618880776,120395,45,4971.0,5100.0
2013-10-13,5210.0,5215.0,4972.0,5018.0,578980808,115391,60,5140.0,5030.0
2013-10-14,4904.0,4990.0,4904.0,4927.0,1466207433,297561,57,5018.0,4990.0
2013-10-15,4945.0,5000.0,4930.0,4953.0,1382254597,279087,78,4927.0,4950.0
2013-10-19,4955.0,5020.0,4955.0,4997.0,3710640620,742620,104,4953.0,4985.0
2013-10-20,4990.0,5019.0,4850.0,4982.0,3805433968,763770,117,4997.0,5010.0
2013-10-21,5010.0,5231.0,4920.0,5125.0,914416511,178420,39,4982.0,5040.0
2013-10-22,4901.0,5089.0,4870.0,4940.0,565706492,114523,56,5125.0,5036.0
2013-10-23,5035.0,5035.0,4882.0,4898.0,1111723708,226980,27,4940.0,4882.0
2013-10-26,4822.0,4906.0,4822.0,4895.0,115777900,23650,6,4898.0,4906.0
2013-10-27,4902.0,4912.0,4850.0,4887.0,545505887,111624,25,4895.0,4850.0
2013-10-28,4828.0,5000.0,4828.0,4939.0,181839114,36819,13,4887.0,5000.0
2013-10-29,5000.0,5100.0,5000.0,5047.0,660178427,130811,14,4939.0,5100.0
2013-10-30,5001.0,5027.0,5000.0,5002.0,1514171470,302725,14,5047.0,5027.0
2013-11-02,4911.0,5050.0,4911.0,5018.0,660432390,131610,23,5002.0,5009.0
2013-11-03,5000.0,5050.0,5000.0,5000.0,257295508010,51458980,1056,5018.0,5000.0
2013-11-04,5000.0,5040.0,4951.0,5002.0,616883000,123324,28,5000.0,4951.0
2013-11-05,5000.0,5050.0,4960.0,4998.0,497026600,99453,32,5002.0,5050.0
2013-11-06,5050.0,5050.0,4901.0,5000.0,14104079356,2820830,102,4998.0,5001.0
2013-12-10,6200.0,6200.0,6200.0,6200.0,131995637800,21289619,214,5000.0,6200.0
2014-05-19,3700.0,3700.0,3503.0,3601.0,1400754991,389043,126,6200.0,3600.0
2014-05-20,3600.0,3601.0,3440.0,3522.0,2199653665,624601,173,3601.0,3500.0
2014-05-21,3415.0,3499.0,3415.0,3457.0,1351409059,390864,154,3522.0,3475.0
2014-05-24,3400.0,3499.0,3352.0,3434.0,1058591206,308241,138,3457.0,3450.0
2014-05-25,3450.0,3500.0,3416.0,3472.0,1008205931,290391,99,3434.0,3450.0
2014-05-26,3425.0,3500.0,3421.0,3429.0,11255852227,3282337,149,3472.0,3442.0
2014-05-28,3430.0,3450.0,3421.0,3438.0,341947108,99469,86,3429.0,3450.0
2014-05-31,3402.0,3500.0,3402.0,3472.0,549248783,158203,69,3438.0,3450.0
2014-06-01,3450.0,3500.0,3420.0,3451.0,1000754138,289959,97,3472.0,3500.0
2014-06-02,3422.0,3494.0,3401.0,3444.0,101388243,29438,39,3451.0,3455.0
2014-06-03,3488.0,3500.0,3425.0,3468.0,391930588,113006,46,3444.0,3486.0
2014-06-07,3410.0,3500.0,3410.0,3462.0,857979475,247856,70,3468.0,3450.0
2014-06-08,3430.0,3498.0,3430.0,3469.0,514261278,148258,39,3462.0,3446.0
2014-06-09,3380.0,3490.0,3380.0,3472.0,290678110,83727,32,3469.0,3469.0
2014-06-10,3470.0,3490.0,3420.0,3445.0,1041786840,302415,40,3472.0,3420.0
