date,open,high,low,adjClose,value,volume,count,yesterday,close
2004-06-15,3200.0,3250.0,3200.0,3225.0,188638450,58485,31,3200.0,3225.0
2004-06-16,3225.0,3226.0,2903.0,3017.0,730806794,242225,37,3225.0,3017.0
2004-06-19,3005.0,3016.0,3001.0,3009.0,238533445,79269,14,3017.0,3009.0
2004-06-20,2949.0,2970.0,2850.0,2927.0,221013195,75502,22,3009.0,2927.0
2004-06-21,2800.0,2801.0,2800.0,2800.0,88910000,31750,8,2927.0,2800.0
2004-06-22,2850.0,2851.0,2850.0,2850.0,67002800,23508,6,2800.0,2850.0
2004-06-23,2850.0,2850.0,2850.0,2850.0,37050000,13000,3,2850.0,2850.0
2004-06-26,2950.0,2950.0,2950.0,2950.0,4425000,1500,1,2850.0,2950.0
2004-06-27,2981.0,3099.0,2981.0,3049.0,26638915,8735,4,2950.0,3049.0
2004-06-28,3100.0,3100.0,2952.0,3012.0,100668583,33418,12,3049.0,3012.0
2004-06-29,2952.0,2952.0,2952.0,2952.0,2169720,735,1,3012.0,2952.0
2004-07-06,2790.0,2840.0,2702.0,2798.0,82710345,29560,17,2952.0,2798.0
2004-07-07,2861.0,2862.0,2842.0,2849.0,20684141,7260,11,2798.0,2849.0
2004-07-10,2843.0,2867.0,2713.0,2821.0,279396972,99010,25,2849.0,2821.0
2004-07-11,2900.0,3077.0,2852.0,2932.0,314438662,107238,33,2821.0,2932.0
2004-07-12,3225.0,3225.0,3225.0,3225.0,101400450,31442,6,2932.0,3225.0
2004-07-13,3235.0,3236.0,3235.0,3235.0,7458470,2305,4,3225.0,3235.0
2004-07-14,3400.0,3500.0,3399.0,3438.0,37033780,10769,9,3235.0,3438.0
2004-07-17,3750.0,3781.0,3700.0,3743.0,54110600,14453,7,3438.0,3743.0
2004-07-18,3413.0,3413.0,3413.0,3413.0,6826000,2000,1,3743.0,3413.0
2004-07-19,3412.0,3688.0,3412.0,3623.0,74453686,20547,8,3413.0,3623.0
2004-07-20,3625.0,3648.0,3610.0,3641.0,4902759696,1356717,32,3623.0,3641.0
2004-07-24,3642.0,3642.0,3642.0,3642.0,16891596,4638,2,3641.0,3642.0
2004-07-25,3801.0,4006.0,3750.0,3898.0,53615482,13754,9,3642.0,3898.0
2004-07-31,5000.0,5003.0,5000.0,5001.0,72314008,14459,12,3898.0,5001.0
2004-08-01,5007.0,5251.0,5007.0,5083.0,158066870,31092,23,5001.0,5083.0
2004-08-02,5337.0,5337.0,5337.0,5337.0,4098816,768,1,5083.0,5337.0
2004-08-03,5504.0,5603.0,5500.0,5592.0,136024902,24323,11,5337.0,5592.0
2004-08-04,5871.0,5871.0,5871.0,5871.0,16591446,2826,5,5592.0,5871.0
2004-10-24,7211.0,7500.0,7200.0,7208.0,20904800008,2900000,188,5871.0,7208.0
2004-10-25,7500.0,7500.0,7400.0,7400.0,3709192400,499576,56,7208.0,7400.0
2005-01-17,4500.0,4500.0,4300.0,4390.0,1239570689,282330,49,7400.0,4390.0
2005-01-18,4299.0,4300.0,3952.0,4152.0,543771950,130941,65,4390.0,4152.0
2005-01-19,4290.0,4390.0,4214.0,4311.0,2375939039,543663,64,4152.0,4311.0
2005-01-22,4265.0,4420.0,4160.0,4320.0,1951897304,451813,77,4311.0,4320.0
2005-01-23,4389.0,4479.0,4320.0,4419.0,1301372093,294461,71,4320.0,4419.0
2005-01-24,4470.0,4550.0,4447.0,4518.0,891271442,197250,51,4419.0,4518.0
2005-01-25,4547.0,4550.0,4421.0,4491.0,548718731,122161,35,4518.0,4491.0
2005-01-26,4496.0,4496.0,4400.0,4431.0,670574148,151314,40,4491.0,4431.0
2005-01-30,4210.0,4410.0,4210.0,4283.0,326704100,76266,30,4431.0,4283.0
2005-01-31,4260.0,4283.0,3857.0,4143.0,661213189,159594,37,4283.0,4143.0
2005-02-01,4032.0,4196.0,4032.0,4119.0,643772310,156290,48,4143.0,4119.0
2005-02-02,4150.0,4499.0,4115.0,4336.0,5093108663,1216124,66,4119.0,4336.0
2005-02-05,4300.0,4300.0,4100.0,4107.0,289625362,70505,31,4336.0,4107.0
2005-02-06,4183.0,4190.0,4062.0,4134.0,453230868,109619,34,4107.0,4134.0
2005-02-07,4000.0,4002.0,4000.0,4000.0,271391860,67841,25,4134.0,4000.0
2005-02-08,3998.0,4001.0,3601.0,3853.0,318693945,82697,52,4000.0,3853.0
2005-02-09,4191.0,4197.0,3610.0,3704.0,545265593,147199,82,3853.0,3704.0
2005-05-16,6400.0,6616.0,6350.0,6536.0,32341944210,4956360,119,3704.0,6536.0
2005-05-17,6740.0,6821.0,6700.0,6769.0,8133706279,1201519,141,6536.0,6769.0
2005-09-25,2390.0,2400.0,2150.0,2224.0,95484800,42926,9,6769.0,2224.0
2005-09-26,2200.0,2420.0,2116.0,2147.0,169816116,79091,27,2224.0,2147.0
2005-09-27,1953.0,1953.0,1933.0,1938.0,158043942,81518,41,2147.0,1938.0
2005-09-28,2001.0,2002.0,1900.0,1965.0,644695322,328012,103,1938.0,1965.0
2005-10-01,2000.0,2025.0,1950.0,1980.0,187896373,94867,30,1965.0,1980.0
2005-10-02,2057.0,2130.0,2057.0,2084.0,388706728,186448,62,1980.0,2084.0
2005-10-03,2125.0,2158.0,2000.0,2108.0,568323450,269571,69,2084.0,2108.0
2005-10-04,2010.0,2100.0,2000.0,2081.0,1257566426,602668,53,2108.0,2081.0
2005-10-05,2080.0,2101.0,2080.0,2098.0,308885372,147194,30,2081.0,2098.0
2005-10-08,2000.0,2200.0,2000.0,2168.0,237521137,109520,39,2098.0,2168.0
2005-10-09,2100.0,2201.0,2100.0,2173.0,593450661,273089,55,2168.0,2173.0
2005-10-10,2167.0,2172.0,2146.0,2158.0,193354862,89583,31,2173.0,2158.0
2005-10-11,2148.0,2148.0,1950.0,2013.0,200040474,99366,34,2158.0,2013.0
2005-10-12,2054.0,2085.0,2047.0,2061.0,84962880,41214,29,2013.0,2061.0
2005-10-15,2127.0,2130.0,2055.0,2104.0,345677706,164220,57,2061.0,2104.0
2005-10-16,2104.0,2104.0,2030.0,2051.0,225247945,109812,31,2104.0,2051.0
2005-10-17,2052.0,2056.0,2012.0,2045.0,274990915,134466,35,2051.0,2045.0
2005-10-18,2045.0,2046.0,1976.0,1995.0,314104115,157395,47,2045.0,1995.0
2005-10-19,1900.0,2040.0,1900.0,2034.0,422544042,207740,41,1995.0,2034.0
2005-10-22,2030.0,2042.0,1984.0,2014.0,413138518,205057,50,2034.0,2014.0
2005-10-23,2000.0,2000.0,1920.0,1957.0,156220982,79816,32,2014.0,1957.0
2005-10-24,1957.0,1979.0,1899.0,1940.0,780645436,399465,49,1957.0,1940.0
2005-10-26,1899.0,1950.0,1899.0,1927.0,477250470,247630,72,1940.0,1927.0
2005-10-29,1943.0,1989.0,1735.0,1815.0,377272873,207859,80,1927.0,1815.0
2005-10-30,1726.0,1726.0,1634.0,1639.0,356691807,217583,75,1815.0,1639.0
2005-10-31,1600.0,1619.0,1476.0,1489.0,757038847,508114,186,1639.0,1489.0
2005-11-01,1341.0,1401.0,1341.0,1349.0,709975259,525914,190,1489.0,1349.0
2006-04-10,1450.0,1800.0,1450.0,1486.0,2898214860,1950010,47,1349.0,1486.0
2006-04-11,1457.0,1511.0,1452.0,1471.0,14702703755,9995622,345,1486.0,1471.0
