date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-11-17,900.0,900.0,900.0,900.0,714344400,793716,42,1000.0,900.0
2020-11-18,940.0,940.0,920.0,900.0,1888852100,2011512,141,900.0,940.0
2020-11-21,920.0,940.0,910.0,900.0,1601419110,1727611,92,900.0,910.0
2020-11-22,860.0,940.0,860.0,900.0,1589301220,1802282,108,900.0,900.0
2020-11-23,880.0,930.0,870.0,900.0,2566367170,2893984,111,900.0,900.0
2020-11-24,860.0,870.0,860.0,900.0,785383350,912894,45,900.0,860.0
2020-11-25,860.0,860.0,860.0,900.0,290182920,337422,12,900.0,860.0
2020-11-28,860.0,860.0,860.0,900.0,54180000,63000,7,900.0,860.0
2020-11-29,860.0,900.0,860.0,890.0,20177862420,23003246,585,900.0,900.0
2020-11-30,860.0,930.0,860.0,890.0,16669606710,18695873,514,890.0,900.0
2020-12-01,870.0,930.0,870.0,890.0,15073515200,16798936,412,890.0,890.0
2020-12-02,880.0,910.0,870.0,890.0,9441528480,10673451,278,890.0,890.0
2020-12-05,880.0,880.0,860.0,890.0,7230412220,8308815,273,890.0,880.0
2020-12-06,860.0,880.0,850.0,880.0,17128943230,19936641,530,890.0,860.0
2020-12-07,850.0,870.0,840.0,870.0,13865696090,16393281,367,880.0,840.0
2020-12-08,830.0,850.0,830.0,860.0,10358438060,12452287,307,870.0,830.0
2020-12-09,830.0,850.0,820.0,850.0,11015742710,13324505,363,860.0,830.0
2020-12-13,810.0,810.0,810.0,850.0,692324820,854722,64,850.0,810.0
2020-12-14,810.0,870.0,810.0,830.0,43266921540,52681975,1157,850.0,820.0
2020-12-15,810.0,840.0,790.0,820.0,27211754130,33705788,753,830.0,810.0
2020-12-16,810.0,830.0,780.0,810.0,23183961960,29155120,699,820.0,790.0
2020-12-19,790.0,810.0,770.0,800.0,23429719020,30044983,656,810.0,770.0
2020-12-20,770.0,780.0,760.0,780.0,22310842850,29282692,705,800.0,760.0
2020-12-21,750.0,760.0,750.0,770.0,12800924080,17063512,415,780.0,750.0
2020-12-22,740.0,740.0,740.0,770.0,4766090620,6440663,182,770.0,740.0
2020-12-23,740.0,740.0,740.0,770.0,1398904140,1890411,76,770.0,740.0
2020-12-26,740.0,740.0,740.0,770.0,704538460,952079,41,770.0,740.0
2020-12-27,740.0,740.0,740.0,770.0,485828500,656525,45,770.0,740.0
2020-12-28,740.0,740.0,740.0,770.0,841681920,1137408,57,770.0,740.0
2020-12-29,740.0,740.0,740.0,770.0,807744780,1091547,63,770.0,740.0
2020-12-30,740.0,740.0,740.0,770.0,149150700,201555,19,770.0,740.0
2021-01-02,740.0,740.0,740.0,770.0,298660300,403595,24,770.0,740.0
2021-01-03,740.0,740.0,740.0,770.0,70422840,95166,12,770.0,740.0
2021-01-04,740.0,740.0,740.0,770.0,1886766900,2549685,47,770.0,740.0
2021-01-05,740.0,740.0,740.0,770.0,575057700,777105,30,770.0,740.0
2021-01-06,740.0,740.0,740.0,770.0,288685840,390116,18,770.0,740.0
2021-01-09,740.0,740.0,740.0,770.0,171235260,231399,8,770.0,740.0
2021-01-10,740.0,740.0,740.0,770.0,523530760,707474,29,770.0,740.0
2021-01-11,740.0,740.0,740.0,770.0,157274420,212533,15,770.0,740.0
2021-01-12,740.0,740.0,740.0,770.0,150960000,204000,6,770.0,740.0
2021-04-04,760.0,760.0,760.0,770.0,51248320,67432,7,770.0,760.0
2021-04-05,760.0,760.0,760.0,770.0,1067527160,1404641,25,770.0,760.0
2021-04-06,760.0,760.0,760.0,770.0,115241080,151633,5,770.0,760.0
2021-04-07,760.0,760.0,760.0,770.0,17974000,23650,2,770.0,760.0
2021-04-10,760.0,760.0,760.0,770.0,5320000,7000,1,770.0,760.0
2021-04-11,760.0,760.0,760.0,770.0,60454200,79545,3,770.0,760.0
2021-04-12,760.0,760.0,760.0,770.0,113576680,149443,7,770.0,760.0
2021-04-13,760.0,760.0,760.0,770.0,8195181080,10783133,156,770.0,760.0
2021-04-14,760.0,760.0,760.0,770.0,191032080,251358,13,770.0,760.0
2021-04-17,760.0,760.0,760.0,770.0,6181127120,8133062,125,770.0,760.0
2021-04-18,760.0,760.0,760.0,770.0,7600760,10001,2,770.0,760.0
2021-04-19,760.0,760.0,760.0,770.0,10640000,14000,2,770.0,760.0
2021-04-20,760.0,760.0,760.0,770.0,11400,15,1,770.0,760.0
2021-04-21,750.0,750.0,750.0,770.0,750,1,1,770.0,750.0
2021-04-24,750.0,750.0,750.0,770.0,4965000,6620,1,770.0,750.0
2021-04-25,750.0,750.0,750.0,770.0,27426000,36568,3,770.0,750.0
2021-04-26,750.0,750.0,750.0,770.0,5131500,6842,1,770.0,750.0
2021-04-28,750.0,750.0,750.0,770.0,12640500,16854,2,770.0,750.0
2021-05-02,750.0,750.0,750.0,770.0,10500000,14000,2,770.0,750.0
2021-05-03,747.0,747.0,747.0,770.0,58162914,77862,5,770.0,747.0
2021-05-16,732.0,732.0,732.0,770.0,20596284,28137,3,770.0,732.0
2021-05-17,732.0,732.0,732.0,732.0,51337048560,70132580,909,770.0,732.0
2021-05-18,696.0,720.0,696.0,696.0,64194500007,92225958,1228,732.0,696.0
2021-05-19,662.0,662.0,662.0,662.0,42043359834,63509607,728,696.0,662.0
2021-05-22,629.0,629.0,629.0,662.0,9962731,15839,1,662.0,629.0
2021-08-14,650.0,695.0,650.0,693.0,73010796856,105420840,1805,662.0,695.0
2021-08-15,671.0,725.0,659.0,680.0,76715008767,112872785,2403,693.0,674.0
2021-08-22,646.0,670.0,646.0,650.0,87818003018,135079914,2662,680.0,650.0
2021-09-19,618.0,618.0,618.0,629.0,25490001426,41245957,375,650.0,618.0
2021-09-20,598.0,599.0,598.0,598.0,62687200488,104826979,1639,629.0,598.0
2021-09-21,569.0,570.0,569.0,570.0,34544600091,60709799,954,598.0,569.0
2021-09-22,542.0,559.0,542.0,558.0,14975241345,27616520,526,570.0,543.0
2021-09-25,531.0,576.0,531.0,547.0,27706120272,50870352,1083,558.0,555.0
2021-09-26,530.0,546.0,520.0,537.0,15459063775,29407574,666,547.0,528.0
2021-09-28,511.0,524.0,511.0,523.0,21141335314,41025318,753,537.0,512.0
2021-09-29,500.0,515.0,498.0,516.0,12986491321,25689077,610,523.0,510.0
2021-10-02,501.0,527.0,501.0,510.0,21702767812,42788936,749,516.0,510.0
2021-10-03,502.0,519.0,502.0,509.0,14669256953,28842654,506,510.0,519.0
2021-10-04,493.0,518.0,493.0,508.0,11420061564,22538179,498,509.0,509.0
2021-10-06,505.0,507.0,496.0,506.0,11138722711,22161139,422,508.0,505.0
2021-10-09,500.0,500.0,484.0,502.0,9180672479,18689094,342,506.0,486.0
2021-10-10,479.0,501.0,477.0,491.0,18297379277,37819869,619,502.0,500.0
2021-10-11,481.0,508.0,481.0,494.0,13825889166,27811781,624,491.0,504.0
2021-10-12,483.0,502.0,478.0,493.0,20735525422,42077670,631,494.0,500.0
2021-10-13,485.0,505.0,475.0,493.0,14096478410,28557801,512,493.0,498.0
2021-10-16,491.0,515.0,490.0,495.0,8381752593,16708789,376,493.0,496.0
2021-10-17,490.0,490.0,472.0,491.0,8991526286,18734880,394,495.0,480.0
2021-10-18,469.0,478.0,467.0,486.0,7146423247,15254856,372,491.0,473.0
2021-10-19,465.0,500.0,465.0,482.0,13647368801,28642874,495,486.0,484.0
2021-10-20,470.0,473.0,461.0,477.0,7771421841,16736743,254,482.0,467.0
2021-10-23,456.0,463.0,454.0,468.0,12279417685,26983897,343,477.0,454.0
2021-10-25,445.0,456.0,445.0,457.0,13643311341,30643059,460,468.0,456.0
2021-10-26,436.0,443.0,435.0,448.0,12289624815,28135118,444,457.0,436.0
2021-10-27,426.0,445.0,426.0,442.0,9609072336,22282457,383,448.0,436.0
2021-10-30,424.0,435.0,424.0,437.0,9474230055,22153753,340,442.0,427.0
2021-10-31,419.0,419.0,416.0,436.0,1195479827,2869285,79,437.0,416.0
2021-11-01,416.0,430.0,416.0,431.0,10174746926,24022597,449,436.0,422.0
2021-11-02,420.0,427.0,414.0,428.0,7513537691,17825716,327,431.0,424.0
2021-11-03,414.0,449.0,414.0,435.0,18545591854,42228293,550,428.0,449.0
2021-11-06,456.0,456.0,441.0,442.0,9754106516,21421296,245,435.0,456.0
2021-11-07,464.0,464.0,434.0,446.0,18863532466,42167453,661,442.0,436.0
2021-11-08,428.0,455.0,427.0,443.0,10452476275,23798398,434,446.0,442.0
2021-11-09,452.0,465.0,421.0,450.0,16885595729,37081870,521,443.0,465.0
2021-11-10,472.0,472.0,472.0,460.0,14174037280,30029740,367,450.0,472.0
2021-11-13,483.0,483.0,452.0,482.0,41523680234,86225250,813,460.0,483.0
2021-11-14,499.0,506.0,486.0,505.0,31045052643,61428148,878,482.0,503.0
2021-11-15,510.0,511.0,480.0,487.0,27275996897,56312951,706,505.0,480.0
2021-11-16,469.0,490.0,463.0,479.0,20095405734,42274918,660,487.0,479.0
2021-11-17,470.0,497.0,470.0,481.0,16582051366,34404250,565,479.0,480.0
2021-11-20,470.0,485.0,461.0,475.0,15556331467,33112143,661,481.0,471.0
2021-11-21,461.0,482.0,459.0,472.0,21363306371,45326589,610,475.0,482.0
2021-11-22,466.0,488.0,465.0,473.0,27922691184,58978524,930,472.0,478.0
2021-11-23,466.0,475.0,459.0,469.0,20645404516,44146154,565,473.0,475.0
2021-11-24,465.0,469.0,455.0,466.0,11197509478,24249113,388,469.0,462.0
2021-11-27,444.0,449.0,443.0,452.0,17981032774,40461804,588,466.0,443.0
2021-11-28,432.0,440.0,430.0,438.0,18918600859,43776878,734,452.0,432.0
2021-11-29,422.0,444.0,421.0,433.0,16992188054,39511835,683,438.0,435.0
2021-11-30,422.0,434.0,422.0,431.0,17503469436,40706571,575,433.0,429.0
2021-12-01,425.0,434.0,417.0,426.0,17299056872,40891336,597,431.0,427.0
2021-12-04,421.0,425.0,412.0,423.0,12843849605,30586877,469,426.0,422.0
2021-12-05,416.0,429.0,416.0,424.0,18864025331,44464870,742,423.0,428.0
2021-12-06,423.0,432.0,421.0,426.0,18194685627,42686251,669,424.0,429.0
2021-12-07,425.0,437.0,423.0,427.0,14476047201,33899658,533,426.0,431.0
2021-12-08,427.0,448.0,427.0,435.0,16434728900,37343482,599,427.0,448.0
2021-12-11,450.0,456.0,450.0,451.0,22747626471,49931813,650,435.0,456.0
2021-12-12,446.0,448.0,430.0,439.0,22444181149,51453718,895,451.0,448.0
2021-12-13,430.0,440.0,418.0,431.0,20430119481,47706586,743,439.0,418.0
2021-12-14,414.0,426.0,413.0,427.0,10398871658,24788070,489,431.0,422.0
2021-12-15,414.0,425.0,412.0,422.0,15760604863,37705046,643,427.0,418.0
2021-12-18,416.0,428.0,403.0,421.0,28530208902,67758389,1154,422.0,425.0
2021-12-19,417.0,421.0,408.0,414.0,23269068993,56358311,957,421.0,410.0
2021-12-20,407.0,431.0,407.0,422.0,26942406403,63883060,1043,414.0,420.0
2021-12-21,416.0,433.0,412.0,423.0,23128459366,54686158,870,422.0,426.0
2021-12-22,420.0,444.0,420.0,440.0,26190668286,59398335,847,423.0,444.0
