date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-05-09,3069.0,3101.0,3003.0,3063.0,20884825090,6818306,661,1000.0,3081.0
2011-05-10,3155.0,3247.0,2962.0,3092.0,22325569414,7221376,658,3063.0,3090.0
2011-05-11,3060.0,3170.0,3040.0,3111.0,10684029430,3434388,436,3092.0,3100.0
2011-05-14,3121.0,3270.0,3121.0,3193.0,4304348569,1347862,78,3111.0,3194.0
2011-05-15,3220.0,3270.0,3150.0,3195.0,16474422315,5155614,464,3193.0,3189.0
2011-05-16,3240.0,3240.0,3056.0,3100.0,10706128071,3453795,287,3195.0,3150.0
2011-05-17,3116.0,3180.0,3078.0,3120.0,9496901904,3043439,255,3100.0,3129.0
2011-05-18,3250.0,3369.0,3250.0,3342.0,34644461858,10365415,658,3120.0,3369.0
2011-05-21,3440.0,3480.0,3360.0,3432.0,11031254981,3213797,335,3342.0,3479.0
2011-05-22,3402.0,3409.0,3252.0,3337.0,5122677262,1535314,244,3432.0,3311.0
2011-05-23,3337.0,3380.0,3240.0,3285.0,3260910463,992715,127,3337.0,3240.0
2011-05-24,3295.0,3300.0,3101.0,3199.0,4629401048,1447228,172,3285.0,3139.0
2011-05-25,3130.0,3130.0,2950.0,2989.0,9524307167,3186811,293,3199.0,2950.0
2011-05-28,3100.0,3188.0,2817.0,2922.0,6076791004,2079640,211,2989.0,2877.0
2011-05-29,3065.0,3065.0,2689.0,2724.0,5161085075,1894770,190,2922.0,2689.0
2011-05-30,2725.0,2941.0,2725.0,2918.0,9597421644,3289563,242,2724.0,2941.0
2011-05-31,3080.0,3151.0,3060.0,3128.0,14165803694,4529073,542,2918.0,3151.0
2011-06-01,3150.0,3150.0,3051.0,3109.0,7524590521,2420501,335,3128.0,3110.0
2011-06-06,3165.0,3310.0,3150.0,3198.0,6368889124,1991775,204,3109.0,3187.0
2011-06-07,3220.0,3220.0,3040.0,3077.0,3747864833,1218113,164,3198.0,3079.0
2011-06-08,3010.0,3323.0,2951.0,3270.0,28108807468,8596108,654,3077.0,3323.0
2011-06-11,3400.0,3400.0,3135.0,3209.0,9160806957,2854615,328,3270.0,3150.0
2011-06-12,3075.0,3258.0,3075.0,3193.0,2699030969,845362,104,3209.0,3220.0
2011-06-13,3199.0,3299.0,3153.0,3218.0,2050583827,637287,140,3193.0,3180.0
2011-06-14,3217.0,3217.0,3036.0,3078.0,3382779056,1099146,155,3218.0,3061.0
2011-06-15,3059.0,3060.0,2950.0,3012.0,2667652918,885641,146,3078.0,3050.0
2011-06-18,3100.0,3199.0,3100.0,3130.0,5749663940,1836794,273,3012.0,3100.0
2011-06-19,3166.0,3177.0,3021.0,3062.0,3936828717,1285878,220,3130.0,3050.0
2011-06-20,3080.0,3080.0,2974.0,2995.0,5258184424,1755803,233,3062.0,2979.0
2011-06-21,2998.0,3099.0,2981.0,3020.0,6382491889,2113498,242,2995.0,3000.0
2011-06-22,3060.0,3060.0,2945.0,2971.0,3280075005,1104209,112,3020.0,2997.0
2011-06-25,2931.0,2968.0,2810.0,2839.0,3078514609,1084247,167,2971.0,2810.0
2011-06-26,2807.0,2807.0,2612.0,2674.0,13576505293,5077709,421,2839.0,2700.0
2011-06-27,2739.0,2739.0,2461.0,2478.0,8954391278,3613173,272,2674.0,2461.0
2011-06-28,2425.0,2650.0,2425.0,2569.0,3501135045,1362727,219,2478.0,2600.0
2011-06-29,2601.0,2774.0,2601.0,2742.0,3192683557,1164322,139,2569.0,2774.0
