date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-08-10,380.0,410.0,350.0,393.0,152620660,388285,30,1000.0,410.0
2011-08-13,424.0,424.0,424.0,424.0,4240,10,1,393.0,424.0
2011-08-14,457.0,457.0,457.0,457.0,2033650,4450,2,424.0,457.0
2011-08-15,493.0,493.0,493.0,493.0,50533979,102503,15,457.0,493.0
2011-08-16,532.0,532.0,532.0,532.0,1337980,2515,4,493.0,532.0
2011-08-17,574.0,574.0,574.0,574.0,2514120,4380,4,532.0,574.0
2011-08-20,619.0,619.0,619.0,619.0,235302327,380133,61,574.0,619.0
2011-08-21,655.0,655.0,570.0,580.0,290487364,501071,64,619.0,571.0
2011-08-23,534.0,590.0,534.0,544.0,127652773,234525,40,580.0,539.0
2011-08-24,531.0,560.0,531.0,546.0,84740140,155201,21,544.0,550.0
2011-08-27,525.0,530.0,503.0,509.0,159875419,314154,30,546.0,503.0
2011-08-28,535.0,535.0,532.0,534.0,32055320,60010,3,509.0,532.0
2011-08-29,500.0,550.0,492.0,512.0,64204715,125414,35,534.0,550.0
2011-08-30,522.0,485.0,481.0,483.0,49527500,102500,6,512.0,481.0
2011-09-03,450.0,465.0,445.0,449.0,17312910,38567,12,483.0,465.0
2011-09-04,478.0,484.0,478.0,482.0,13370160,27720,3,449.0,484.0
2011-09-05,509.0,509.0,450.0,487.0,29414709,60451,10,482.0,450.0
2011-09-06,500.0,500.0,450.0,469.0,117178392,249890,32,487.0,457.0
2011-09-07,445.0,475.0,435.0,450.0,332350730,739086,56,469.0,474.0
2011-09-10,450.0,475.0,450.0,455.0,142774900,314036,25,450.0,450.0
2011-09-11,468.0,483.0,460.0,474.0,300439561,633355,74,455.0,460.0
2011-09-12,470.0,470.0,461.0,461.0,35009678,75908,8,474.0,462.0
2011-09-13,450.0,458.0,430.0,446.0,45210900,101352,27,461.0,458.0
2011-09-14,433.0,450.0,433.0,437.0,7525000,17230,10,446.0,443.0
2011-09-17,420.0,465.0,420.0,451.0,66064222,146613,24,437.0,452.0
2011-09-18,436.0,450.0,436.0,445.0,64754548,145404,22,451.0,450.0
2011-09-19,428.0,441.0,425.0,439.0,123837268,282256,17,445.0,425.0
2011-09-20,420.0,430.0,404.0,411.0,90093699,219292,37,439.0,413.0
2011-09-21,410.0,410.0,379.0,389.0,549482246,1411176,173,411.0,393.0
2011-09-27,401.0,401.0,390.0,397.0,11025369,27769,5,389.0,390.0
2011-09-28,405.0,428.0,400.0,412.0,305443387,741431,102,397.0,400.0
2012-02-27,160.0,160.0,160.0,160.0,4723842880,29524018,430,412.0,160.0
2012-02-28,160.0,160.0,160.0,160.0,4720000000,29500000,581,160.0,160.0
2012-02-29,160.0,160.0,160.0,160.0,1360000000,8500000,177,160.0,160.0
2012-12-30,600.0,604.0,552.0,570.0,2060005979,3615511,388,160.0,552.0
2012-12-31,567.0,615.0,525.0,600.0,4370426511,7282661,938,570.0,615.0
2013-01-01,639.0,648.0,610.0,637.0,3253872790,5110597,366,600.0,637.0
2013-01-02,640.0,666.0,626.0,648.0,1081366984,1668356,263,637.0,666.0
2013-01-06,645.0,679.0,597.0,606.0,895071833,1477132,149,648.0,602.0
2013-01-07,629.0,636.0,580.0,603.0,645363051,1069947,119,606.0,588.0
2013-01-08,600.0,651.0,600.0,644.0,1071508747,1663029,156,603.0,640.0
2013-01-09,644.0,669.0,615.0,637.0,680501080,1068618,129,644.0,633.0
2013-01-13,663.0,663.0,588.0,613.0,1281321052,2089960,207,637.0,589.0
2013-01-14,600.0,630.0,570.0,599.0,507723184,847263,89,613.0,594.0
2013-01-15,596.0,624.0,576.0,595.0,260032492,437155,54,599.0,592.0
2013-01-16,590.0,620.0,590.0,612.0,192893008,315442,52,595.0,608.0
2013-01-19,600.0,600.0,564.0,570.0,1312658078,2304159,353,612.0,564.0
2013-01-20,564.0,573.0,552.0,562.0,190441947,339142,56,570.0,561.0
2013-01-21,552.0,568.0,518.0,533.0,391882422,735216,75,562.0,518.0
2013-01-22,500.0,500.0,491.0,493.0,193033024,391494,27,533.0,491.0
2013-01-23,495.0,517.0,492.0,500.0,559450974,1118521,109,493.0,495.0
2013-01-26,532.0,540.0,460.0,498.0,569447980,1144104,168,500.0,470.0
2013-01-27,465.0,465.0,459.0,461.0,127904318,277512,28,498.0,459.0
2013-01-28,425.0,439.0,425.0,426.0,386409270,906847,72,461.0,425.0
2013-01-30,395.0,407.0,392.0,392.0,222215813,566559,61,426.0,407.0
2013-02-02,372.0,409.0,371.0,393.0,132576858,337420,58,392.0,404.0
2013-02-03,419.0,419.0,362.0,369.0,128019466,347357,45,393.0,362.0
2013-02-04,379.0,379.0,340.0,340.0,178825140,525596,65,369.0,340.0
2013-02-05,314.0,339.0,313.0,322.0,152954475,474336,60,340.0,319.0
2013-02-06,344.0,347.0,328.0,346.0,229109655,662910,89,322.0,347.0
2013-02-09,352.0,371.0,352.0,368.0,76737156,208700,44,346.0,364.0
2013-02-11,382.0,382.0,339.0,340.0,179061839,526689,69,368.0,339.0
2013-02-12,335.0,335.0,313.0,313.0,156430075,499609,50,340.0,313.0
2013-02-13,288.0,293.0,288.0,288.0,563972486,1955892,165,313.0,289.0
2013-02-16,310.0,311.0,265.0,282.0,1671634216,5929618,772,288.0,265.0
2013-02-17,284.0,284.0,260.0,260.0,336928074,1294508,185,282.0,260.0
2013-02-18,240.0,241.0,240.0,240.0,856059880,3566782,247,260.0,240.0
2013-02-19,241.0,245.0,221.0,223.0,728769080,3266213,400,240.0,221.0
2013-02-20,227.0,227.0,206.0,207.0,933169361,4514318,471,223.0,206.0
2013-07-01,1050.0,1050.0,1050.0,1050.0,274706250,261625,18,207.0,1050.0
2013-07-02,1134.0,1134.0,1100.0,1106.0,137606070,124424,5,1050.0,1100.0
2013-07-03,1060.0,1100.0,1060.0,1078.0,9808840000,9100000,375,1106.0,1080.0
2013-07-06,1160.0,1160.0,1120.0,1120.0,15660948400,13978870,609,1078.0,1120.0
2013-07-08,1100.0,1100.0,1050.0,1051.0,132804000,126390,9,1120.0,1050.0
2013-07-09,1050.0,1050.0,1030.0,1030.0,702480000,682000,32,1051.0,1030.0
2013-07-10,1050.0,1052.0,1050.0,1050.0,5227300150,4978351,201,1030.0,1050.0
2013-07-13,1130.0,1050.0,1030.0,1033.0,8960572000,8672400,316,1050.0,1030.0
2013-07-14,1050.0,1055.0,1000.0,1019.0,24080212080,23635676,980,1033.0,1050.0
2013-07-15,1100.0,1100.0,1052.0,1056.0,37653096400,35669709,1423,1019.0,1100.0
