time,open,volume
1583020800000,8523.61,14820469.39
1583024400000,8547.25,14883937.01
1583028000000,8639.28,10277152.53
1583031600000,8630.86,7455664.08
1583035200000,8620.36,10956541.01
1583038800000,8580.73,12229200.85
1583042400000,8586.83,9713832.89
1583046000000,8543.48,10549018.67
1583049600000,8541.16,12677488.92
1583053200000,8532,9654303.18
1583056800000,8539.63,7408370.18
1583060400000,8570.43,14196559.37
1583064000000,8648.37,34412629.36
1583067600000,8575,17965733.04
1583071200000,8609.34,12153351.43
1583074800000,8565,12001722.12
1583078400000,8557.8,28795587.37
1583082000000,8522.3,16298654.92
1583085600000,8500,13748256.75
1583089200000,8457.63,29912252.51
1583092800000,8542.2,11051392.17
1583096400000,8492.2,11914174.2
1583100000000,8526.44,9894826.11
1583103600000,8561.75,10233833.38
1583107200000,8531.88,16069606.62
1583110800000,8558.04,10078962.55
1583114400000,8560.4,21262257.4
1583118000000,8626.06,10797667.55
1583121600000,8601.99,16241895.74
1583125200000,8643.24,17320010.73
1583128800000,8658,24434778.68
1583132400000,8624.89,16108592.77
1583136000000,8625.39,12871638.99
1583139600000,8665.07,23315600.92
1583143200000,8697.04,33194648.08
1583146800000,8722.1,24694131.63
1583150400000,8758.35,20081830.61
1583154000000,8753.44,32283258.94
1583157600000,8829.41,31975759.13
1583161200000,8814.89,24956432.3
1583164800000,8829.21,23049013.15
1583168400000,8858.58,28502944.83
1583172000000,8868.33,18456407.21
1583175600000,8859.99,12391545.52
1583179200000,8883.12,13880415.43
1583182800000,8882.24,17970456.07
1583186400000,8935.09,13584986.96
1583190000000,8910.84,14917751.52
1583193600000,8915.24,19961886.71
1583197200000,8840.14,11303797
1583200800000,8815.77,14136752.23
1583204400000,8864.99,9147755.89
1583208000000,8866.6,10142711.04
1583211600000,8841.33,9739600.61
1583215200000,8850.49,16087268.6
1583218800000,8783.83,20748029.84
1583222400000,8756.08,16989735.52
1583226000000,8772.22,19224272.4
1583229600000,8821.09,20428047.72
1583233200000,8829.04,14730118.14
1583236800000,8858.22,27099804.11
1583240400000,8788.59,18153138.25
1583244000000,8798.14,28824197.52
1583247600000,8736.43,60138394.38
1583251200000,8753.01,33079687.42
1583254800000,8698.95,16018519.29
1583258400000,8718.99,13571018.98
1583262000000,8717.89,15679993.59
1583265600000,8713.97,11282598.8
1583269200000,8704.78,10406908.38
1583272800000,8733.13,11864929.25
1583276400000,8779.98,10008057.69
1583280000000,8760.07,11514872.09
1583283600000,8781.25,16004152.65
1583287200000,8793.95,13870412.95
1583290800000,8812.35,13850126.07
1583294400000,8790.18,13940038.92
1583298000000,8825.35,12593479.72
1583301600000,8839.75,16409472.27
1583305200000,8787.02,11488643.28
1583308800000,8816.27,12832273.72
1583312400000,8818.86,2083920.86
1583319600000,8795.06,13211562.5
1583323200000,8717.12,19183100.24
1583326800000,8731.18,14915651.94
1583330400000,8756.45,23948070.86
1583334000000,8722.75,27105238.04
1583337600000,8700,17248921.99
1583341200000,8715.5,10776495.19
