high,low,open,close,Volume
10000.0,10000.0,10000.0,10000.0,257110000
10000.0,10000.0,10000.0,10000.0,34070000
10000.0,10000.0,10000.0,10000.0,567010000
10000.0,10000.0,10000.0,10000.0,100076500000
10000.0,10000.0,10000.0,10000.0,891120000
10700.0,10200.0,10200.0,10700.0,252532739
10900.0,10396.0,10396.0,10900.0,313762127
11260.0,10905.0,11100.0,11260.0,251547890
11500.0,10800.0,10800.0,11500.0,454984725
12000.0,11500.0,11500.0,11700.0,552531700
11751.0,11400.0,11731.0,11550.0,478689100
12500.0,12000.0,12000.0,12300.0,1778605200
12850.0,12600.0,12850.0,12600.0,658690900
12700.0,12050.0,12700.0,12050.0,208071000
12100.0,11400.0,12100.0,11700.0,547301000
12070.0,11730.0,12070.0,11800.0,244384710
11660.0,11450.0,11660.0,11450.0,1035750
11799.0,11600.0,11600.0,11799.0,72186000
12071.0,12000.0,12071.0,12000.0,13031000
12203.0,11900.0,12150.0,11900.0,302666040
11700.0,11700.0,11700.0,11700.0,6903000
11700.0,11700.0,11700.0,11700.0,117000
11700.0,11450.0,11700.0,11450.0,22393500
11450.0,11300.0,11450.0,11300.0,17331250
11200.0,11200.0,11200.0,11200.0,7190400
11180.0,11100.0,11180.0,11100.0,45330500
11100.0,11100.0,11100.0,11100.0,7048500
11100.0,11100.0,11100.0,11100.0,42013500
11101.0,11100.0,11100.0,11100.0,4440101
11200.0,11200.0,11200.0,11200.0,224000
11200.0,11200.0,11200.0,11200.0,2240000
11270.0,11200.0,11200.0,11270.0,27931600
11840.0,11240.0,11240.0,11840.0,379624000
12200.0,12000.0,12200.0,12000.0,49218741
20000.0,12250.0,12300.0,12500.0,1703079489
13300.0,12950.0,12950.0,13160.0,1662019434
13550.0,13200.0,13350.0,13350.0,1650239804
13550.0,13210.0,13210.0,13400.0,949930520
13940.0,13800.0,13800.0,13910.0,568086542
14780.0,14405.0,14700.0,14405.0,2495584937
14600.0,14150.0,14600.0,14300.0,258104455
14400.0,14050.0,14300.0,14150.0,133784900
14150.0,13940.0,14150.0,13950.0,2805026895
14080.0,13950.0,13951.0,14080.0,250104445
13899.0,13898.0,13899.0,13899.0,336800493
14200.0,13830.0,13900.0,14200.0,294582500
