high,low,open,close,Volume
2123.0,2123.0,2123.0,2123.0,1027532
3500.0,3500.0,3500.0,3500.0,1694000
5500.0,5500.0,5500.0,5500.0,6402000
5600.0,5600.0,5600.0,5600.0,6518400
6020.0,6020.0,6020.0,6020.0,1083600
8500.0,8500.0,8500.0,8500.0,12750000
9350.0,8650.0,9000.0,8650.0,29770500
9000.0,9000.0,9000.0,9000.0,31464000
9000.0,9000.0,9000.0,9000.0,90000
8000.0,6630.0,6631.0,8000.0,2569790
5521.0,5521.0,5521.0,5521.0,55210
7990.0,7990.0,7990.0,7990.0,159800
7990.0,7990.0,7990.0,7990.0,2980270
6500.0,6000.0,6500.0,6000.0,24920000
7000.0,7000.0,7000.0,7000.0,2982000
6000.0,6000.0,6000.0,6000.0,2052000
5551.0,5521.0,5521.0,5551.0,9382572
5561.0,5561.0,5561.0,5561.0,5672220
5565.0,5565.0,5565.0,5565.0,15159060
5200.0,5200.0,5200.0,5200.0,21309600
5200.0,5200.0,5200.0,5200.0,2600000
5250.0,5250.0,5250.0,5250.0,20097000
5262.0,5262.0,5262.0,5262.0,2546808
5500.0,5500.0,5500.0,5500.0,2750000
5520.0,5520.0,5520.0,5520.0,2760000
5600.0,5600.0,5600.0,5600.0,82432000
5550.0,5550.0,5550.0,5550.0,2686200
5550.0,5550.0,5550.0,5550.0,2686200
5570.0,5560.0,5560.0,5570.0,5386920
5571.0,5571.0,5571.0,5571.0,2696364
5576.0,5576.0,5576.0,5576.0,5576000
5591.0,5591.0,5591.0,5591.0,5412088
5800.0,5700.0,5800.0,5700.0,26502900
5800.0,5800.0,5800.0,5800.0,3804800
5800.0,5800.0,5800.0,5800.0,2807200
6380.0,6380.0,6380.0,6380.0,2558380
6380.0,6380.0,6380.0,6380.0,3266560
6421.0,6420.0,6420.0,6421.0,6099150
6452.0,6452.0,6452.0,6452.0,3122768
6973.0,6973.0,6973.0,6973.0,2426604
7225.0,7225.0,7225.0,7225.0,3496900
7590.0,7590.0,7590.0,7590.0,5161200
8127.0,8127.0,8127.0,8127.0,3933468
10001.0,10001.0,10001.0,10001.0,12401240
11501.0,11501.0,11501.0,11501.0,2058679
12501.0,12501.0,12501.0,12501.0,10625850
12530.0,12530.0,12530.0,12530.0,4773930
13000.0,13000.0,13000.0,13000.0,260000
14014.0,14014.0,14014.0,14014.0,19927908
14555.0,14555.0,14555.0,14555.0,70096880
15015.0,15015.0,15015.0,15015.0,10210200
15560.0,15560.0,15560.0,15560.0,762440
20000.0,20000.0,20000.0,20000.0,1000000
19500.0,19500.0,19500.0,19500.0,41008500
26000.0,26000.0,26000.0,26000.0,12584000
44999.0,44999.0,44999.0,44999.0,3734917
50001.0,50000.0,50000.0,50001.0,112800077
50000.0,50000.0,50000.0,50000.0,18150000
40000.0,40000.0,40000.0,40000.0,12000000
54004.0,54004.0,54004.0,54004.0,194738424
49998.0,49998.0,49998.0,49998.0,2949882
12500.0,12500.0,12500.0,12500.0,13687500
57898.0,57898.0,57898.0,57898.0,65308944
