high,low,open,close,Volume
450.0,370.0,420.0,450.0,147250000
540.0,525.0,530.0,525.0,103655000
660.0,500.0,550.0,505.0,342345000
580.0,500.0,505.0,510.0,244775800
507.0,500.0,507.0,500.0,12535000
505.0,490.0,505.0,495.0,216217526
490.0,490.0,490.0,490.0,30870000
487.0,486.0,487.0,486.0,97300000
477.0,460.0,460.0,460.0,215150000
490.0,370.0,490.0,403.0,561265330
401.0,350.0,350.0,401.0,751000000
383.0,352.0,370.0,376.0,152330000
436.0,436.0,436.0,436.0,43600000
450.0,400.0,400.0,450.0,128175000
450.0,450.0,450.0,450.0,25875000
479.0,450.0,450.0,479.0,71584500
450.0,450.0,450.0,450.0,36000000
450.0,450.0,450.0,450.0,22500000
430.0,430.0,430.0,430.0,8600000
422.0,410.0,422.0,410.0,73915144
470.0,470.0,470.0,470.0,3290000
469.0,469.0,469.0,469.0,46900
452.0,435.0,435.0,450.0,31442850
450.0,440.0,450.0,440.0,3861510
460.0,450.0,450.0,460.0,32000000
440.0,412.0,440.0,412.0,42284468
465.0,450.0,450.0,465.0,4635105
446.0,445.0,445.0,446.0,9577500
460.0,430.0,459.0,430.0,10009507
449.0,430.0,430.0,449.0,654500
430.0,430.0,430.0,430.0,645000
420.0,410.0,420.0,410.0,206150000
448.0,410.0,448.0,410.0,25057760
401.0,401.0,401.0,401.0,80200000
412.0,412.0,412.0,412.0,247200
412.0,405.0,410.0,405.0,20354417
405.0,405.0,405.0,405.0,4305555
401.0,382.0,401.0,382.0,45552094
382.0,380.0,380.0,382.0,24338000
386.0,386.0,386.0,386.0,11773000
390.0,390.0,390.0,390.0,13650000
386.0,386.0,386.0,386.0,7527000
390.0,389.0,389.0,390.0,7788000
389.0,389.0,389.0,389.0,71187
385.0,361.0,383.0,361.0,74709000
370.0,370.0,370.0,370.0,2590000
370.0,370.0,370.0,370.0,1110000
362.0,361.0,362.0,361.0,20226000
370.0,370.0,370.0,370.0,1295000
370.0,353.0,370.0,353.0,70399890
352.0,352.0,352.0,352.0,1268256
351.0,351.0,351.0,351.0,8775000
360.0,350.0,360.0,350.0,35160000
410.0,405.0,405.0,410.0,12275000
400.0,400.0,400.0,400.0,2800000
399.0,339.0,339.0,399.0,55792514
362.0,353.0,362.0,353.0,51284596
350.0,350.0,350.0,350.0,19202400
362.0,339.0,339.0,350.0,24385698
342.0,341.0,342.0,341.0,12003874
344.0,344.0,344.0,344.0,9666400
346.0,344.0,346.0,345.0,29317986
340.0,329.0,330.0,331.0,99541000
335.0,334.0,335.0,334.0,29226416
334.0,333.0,334.0,333.0,25688666
350.0,350.0,350.0,350.0,17500000
362.0,360.0,362.0,360.0,8733506
349.0,340.0,349.0,340.0,48184002
334.0,334.0,334.0,334.0,3340000
367.0,350.0,367.0,350.0,36798300
380.0,380.0,380.0,380.0,11178080
415.0,399.0,399.0,415.0,6275360
443.0,443.0,443.0,443.0,103449360
487.0,487.0,487.0,487.0,112010000
535.0,535.0,535.0,535.0,160500000
588.0,588.0,588.0,588.0,340324992
646.0,552.0,646.0,572.0,1016497329
639.0,560.0,560.0,576.0,553183467
607.0,562.0,601.0,566.0,214823885
589.0,536.0,545.0,548.0,94488181
598.0,503.0,598.0,523.0,60074000
585.0,501.0,567.0,579.0,374412694
610.0,544.0,596.0,550.0,231229271
618.0,534.0,597.0,617.0,360289261
650.0,620.0,620.0,650.0,359467730
713.0,671.0,713.0,712.0,730591770
782.0,651.0,782.0,670.0,364926018
704.0,641.0,704.0,650.0,262586099
712.0,651.0,698.0,712.0,542075113
750.0,706.0,710.0,750.0,58757908
747.0,657.0,747.0,699.0,156490728
668.0,622.0,630.0,668.0,25626000
700.0,638.0,638.0,699.0,94114312
730.0,600.0,730.0,600.0,42644000
646.0,610.0,610.0,646.0,9571700
685.0,593.0,685.0,593.0,22756000
658.0,585.0,620.0,585.0,45530000
681.0,581.0,581.0,640.0,78442000
664.0,620.0,664.0,620.0,10553800
617.0,573.0,573.0,577.0,157641776
619.0,613.0,619.0,613.0,6161400
606.0,606.0,606.0,606.0,606000
617.0,617.0,617.0,617.0,987200
603.0,559.0,559.0,603.0,16659000
654.0,620.0,620.0,654.0,779455328
717.0,717.0,717.0,717.0,34416000
788.0,788.0,788.0,788.0,275009636
866.0,866.0,866.0,866.0,34640866
952.0,792.0,952.0,804.0,1608988115
800.0,782.0,794.0,782.0,353268983
863.0,707.0,720.0,863.0,2037225791
894.0,894.0,894.0,894.0,85692582
977.0,826.0,939.0,851.0,914157630
885.0,801.0,802.0,872.0,346395391
898.0,787.0,898.0,788.0,104614965
827.0,718.0,827.0,718.0,2207809571
795.0,664.0,664.0,720.0,1458003584
823.0,725.0,747.0,823.0,2612473594
864.0,821.0,864.0,864.0,5505446470
948.0,860.0,876.0,948.0,5149898229
1032.0,1032.0,1032.0,1032.0,3237431472
1135.0,1135.0,1135.0,1135.0,147277600
1248.0,1248.0,1248.0,1248.0,2198317056
1344.0,1124.0,1299.0,1124.0,7557122075
1304.0,1140.0,1179.0,1304.0,11400095936
