high,low,open,close,Volume
8300.0,8300.0,8300.0,8300.0,2178999000
4500.0,4500.0,4500.0,4500.0,46350000
4725.0,4502.0,4725.0,4534.0,137435734
4760.0,4760.0,4760.0,4760.0,113811600
4998.0,4861.0,4998.0,4861.0,17541610
5104.0,5102.0,5104.0,5102.0,41903820
5357.0,5357.0,5357.0,5357.0,54641400
5624.0,5624.0,5624.0,5624.0,47804000
5905.0,5905.0,5905.0,5905.0,53145000
6200.0,6200.0,6200.0,6200.0,104346000
6510.0,6510.0,6510.0,6510.0,82546800
6835.0,6835.0,6835.0,6835.0,69648650
7176.0,7176.0,7176.0,7176.0,97808880
7211.0,7199.0,7211.0,7199.0,253338191
7558.0,7500.0,7558.0,7546.0,144243149
7923.0,7923.0,7923.0,7923.0,146575500
8031.0,7924.0,7924.0,7966.0,31647780
8030.0,7966.0,8030.0,7977.0,92162395
7945.0,7897.0,7897.0,7919.0,66703919
7951.0,7900.0,7950.0,7940.0,66767549
7940.0,7899.0,7899.0,7925.0,24602130
7907.0,7897.0,7899.0,7907.0,39819352
7745.0,7546.0,7546.0,7745.0,27849950
7608.0,7358.0,7546.0,7608.0,22034002
7228.0,7228.0,7228.0,7228.0,144560000
7209.0,6899.0,6899.0,7167.0,12320167
7200.0,7182.0,7197.0,7182.0,30149214
7180.0,7162.0,7167.0,7180.0,4491789
7000.0,6994.0,6999.0,6998.0,142220097
7000.0,7000.0,7000.0,7000.0,14000000
7182.0,7083.0,7182.0,7083.0,27218790
7045.0,7000.0,7000.0,7045.0,25970450
7360.0,7249.0,7358.0,7249.0,39769900
7504.0,7346.0,7500.0,7346.0,24187920
7600.0,7441.0,7504.0,7441.0,33300570
7500.0,7448.0,7500.0,7448.0,7574480
7449.0,7448.0,7449.0,7448.0,3798980
7813.0,7567.0,7812.0,7567.0,21272209
7945.0,7945.0,7945.0,7945.0,84892325
8342.0,7602.0,7945.0,7812.0,52311954
7862.0,7819.0,7853.0,7819.0,20851935
8209.0,7867.0,8002.0,7867.0,27360682
7866.0,7853.0,7854.0,7866.0,7382580
7867.0,7853.0,7867.0,7865.0,11177968
7863.0,7854.0,7854.0,7863.0,16328556
7863.0,7863.0,7863.0,7863.0,30673563
7863.0,7863.0,7863.0,7863.0,16307862
8250.0,7863.0,7863.0,7963.0,56957716
8001.0,7965.0,8001.0,7965.0,8080650
7965.0,7950.0,7965.0,7957.0,136764208
8050.0,7982.0,8003.0,7982.0,40202320
8010.0,8002.0,8003.0,8006.0,136296640
8021.0,8008.0,8008.0,8019.0,146391150
8027.0,8019.0,8027.0,8019.0,11181531
8023.0,8019.0,8019.0,8022.0,150265777
8028.0,8027.0,8028.0,8027.0,128528270
8034.0,8031.0,8031.0,8033.0,160764392
8051.0,8042.0,8047.0,8042.0,86548415
8100.0,8085.0,8100.0,8085.0,100520850
8301.0,8228.0,8300.0,8228.0,91392280
8306.0,8278.0,8303.0,8278.0,90216936
8493.0,8291.0,8449.0,8291.0,19824380
8509.0,8312.0,8494.0,8312.0,14126218
8495.0,8353.0,8495.0,8353.0,32270500
8501.0,8374.0,8501.0,8374.0,20972645
8493.0,8398.0,8493.0,8398.0,29375914
8512.0,8438.0,8500.0,8438.0,51138380
8525.0,8448.0,8525.0,8448.0,17134480
8795.0,8513.0,8795.0,8513.0,61152830
10000.0,9000.0,9000.0,9163.0,280508630
9621.0,9574.0,9621.0,9574.0,142678960
10052.0,10007.0,10052.0,10007.0,150387522
10507.0,10507.0,10507.0,10507.0,234001397
11032.0,10775.0,11032.0,10775.0,93118542
11313.0,11187.0,11313.0,11187.0,143108190
11746.0,11741.0,11746.0,11741.0,192164510
12328.0,12328.0,12328.0,12328.0,432589520
12944.0,12944.0,12944.0,12944.0,770491600
13591.0,13591.0,13591.0,13591.0,328426515
14270.0,14007.0,14270.0,14007.0,144566740
14707.0,14707.0,14707.0,14707.0,294140000
15442.0,15442.0,15442.0,15442.0,507038070
16214.0,16214.0,16214.0,16214.0,533829736
17024.0,15405.0,17024.0,16607.0,1237697656
24890.0,17010.0,17500.0,18078.0,526272900
18981.0,18981.0,18981.0,18981.0,825920253
19930.0,19000.0,19930.0,19534.0,1019958723
20510.0,19527.0,19930.0,19874.0,568834503
20350.0,19874.0,20350.0,19878.0,224251340
20350.0,19878.0,19891.0,20032.0,1844004962
20199.0,20000.0,20000.0,20051.0,612588217
20051.0,19049.0,20051.0,19324.0,801957356
19049.0,18800.0,19049.0,18937.0,673970374
19151.0,18900.0,19151.0,19121.0,320229014
19108.0,18500.0,19108.0,18793.0,452801342
18699.0,18300.0,18699.0,18493.0,822408864
18400.0,17900.0,18301.0,18042.0,544288876
18100.0,18000.0,18069.0,18043.0,431796540
18945.0,18165.0,18799.0,18893.0,995047800
19837.0,18950.0,18972.0,19585.0,400983867
20564.0,20000.0,20547.0,20547.0,359834428
21574.0,21574.0,21574.0,21574.0,1254161342
22652.0,21610.0,22652.0,22421.0,9907514981
23000.0,22640.0,22652.0,22940.0,1498952446
23994.0,23002.0,23980.0,23694.0,1142570700
23599.0,22510.0,22510.0,23599.0,29949190
23584.0,22420.0,22420.0,23584.0,4719840
23455.0,22405.0,22405.0,23455.0,40563550
23455.0,22283.0,22283.0,23455.0,2217737
23455.0,22283.0,22283.0,23455.0,1348700
23428.0,22283.0,22283.0,23428.0,8523556
22373.0,22257.0,22257.0,22373.0,330673409
22316.0,21255.0,21255.0,22316.0,18077360
21201.0,21201.0,21201.0,21201.0,374112846
21165.0,20141.0,20141.0,21165.0,11389905
21165.0,20107.0,20107.0,21165.0,4273264
21165.0,20107.0,20107.0,21165.0,2584276
21124.0,20107.0,20107.0,21124.0,13059613
20068.0,20068.0,20068.0,20068.0,46959120
19065.0,19065.0,19065.0,19065.0,9532500
18112.0,18112.0,18112.0,18112.0,28725632
19000.0,17207.0,17207.0,17974.0,1823684697
18872.0,18621.0,18872.0,18621.0,224763010
19552.0,18778.0,19065.0,18778.0,95804620
10770.0,8200.0,10000.0,10199.0,299275634
10708.0,10500.0,10708.0,10680.0,1050907478
11214.0,11114.0,11214.0,11213.0,2187069537
11773.0,11511.0,11760.0,11747.0,2074963513
11999.0,11160.0,11803.0,11710.0,628092883
11172.0,11125.0,11125.0,11172.0,168688845
10879.0,10614.0,10614.0,10879.0,91771294
10615.0,10336.0,10405.0,10376.0,1689669787
10894.0,10893.0,10894.0,10893.0,826144105
11004.0,10651.0,10894.0,10883.0,816664122
10831.0,10499.0,10830.0,10704.0,942603588
10894.0,10500.0,10894.0,10563.0,779829947
10898.0,10688.0,10700.0,10723.0,1278359244
11259.0,10723.0,10723.0,11075.0,1868821890
11250.0,10600.0,11239.0,10821.0,1014906958
11100.0,10770.0,10840.0,10958.0,1099745589
11200.0,10900.0,10958.0,11070.0,1429241048
11150.0,10902.0,11070.0,11069.0,1903492522
11067.0,10798.0,11067.0,10884.0,1288182019
11000.0,10801.0,10883.0,10924.0,451772127
11100.0,10920.0,10920.0,11041.0,694868153
11100.0,10756.0,11050.0,10889.0,773760739
11099.0,10900.0,10916.0,10992.0,1007738990
11540.0,10710.0,11011.0,11198.0,4625246034
11757.0,11757.0,11757.0,11757.0,1976669139
12344.0,12070.0,12344.0,12238.0,4111514530
12499.0,11801.0,12400.0,12065.0,4621130825
12000.0,11502.0,11999.0,11735.0,2314248262
12002.0,11690.0,11800.0,11846.0,983632997
12437.0,12129.0,12437.0,12254.0,1214518209
12522.0,12252.0,12253.0,12354.0,1818856103
12550.0,11900.0,12500.0,12168.0,3045171218
12549.0,12171.0,12415.0,12327.0,3788249537
12499.0,12200.0,12480.0,12452.0,1249350145
12484.0,12210.0,12400.0,12348.0,878853716
12452.0,11781.0,11830.0,12325.0,1724452242
12590.0,12008.0,12400.0,12388.0,1117673383
12588.0,10500.0,12588.0,11879.0,421766980
11286.0,11286.0,11286.0,11286.0,769265046
11499.0,10722.0,10722.0,11103.0,2346823735
11294.0,10900.0,10998.0,11175.0,869785626
10847.0,10617.0,10617.0,10847.0,102987200
10995.0,10305.0,10619.0,10417.0,808036341
10937.0,10500.0,10890.0,10882.0,351285936
10880.0,10749.0,10880.0,10772.0,468220718
10631.0,10234.0,10631.0,10365.0,364842633
10003.0,9847.0,10002.0,9879.0,196964502
9386.0,9386.0,9386.0,9386.0,403804492
9369.0,8917.0,8921.0,9051.0,547153680
9499.0,9051.0,9051.0,9139.0,128884172
9595.0,9300.0,9352.0,9363.0,371145794
9600.0,9452.0,9600.0,9452.0,152888918
9584.0,9200.0,9584.0,9413.0,742426136
9413.0,8167.0,9413.0,9298.0,44753131
9183.0,8834.0,8834.0,9183.0,89924776
9183.0,8724.0,8724.0,9183.0,2342622
9154.0,8724.0,8724.0,9154.0,22616908
9099.0,8697.0,8697.0,9099.0,42784563
9092.0,8645.0,8645.0,9092.0,5165535
9086.0,8638.0,8638.0,9086.0,4651724
9073.0,8632.0,8632.0,9073.0,9663618
8963.0,8620.0,8620.0,8963.0,86384450
8939.0,8515.0,8515.0,8939.0,18311490
8939.0,8493.0,8493.0,8939.0,259250
8927.0,8493.0,8493.0,8927.0,9032399
8905.0,8481.0,8481.0,8905.0,16720291
8883.0,8460.0,8460.0,8883.0,17008830
8866.0,8439.0,8439.0,8866.0,12696526
8869.0,8423.0,8423.0,8869.0,2068095
8866.0,8866.0,8866.0,8866.0,88660
8866.0,8423.0,8423.0,8866.0,1773260
8853.0,8423.0,8423.0,8853.0,10019247
8806.0,8411.0,8411.0,8806.0,36574978
8628.0,8366.0,8366.0,8628.0,138920050
8447.0,8197.0,8197.0,8447.0,141917161
8030.0,8025.0,8025.0,8030.0,326288525
8019.0,7629.0,7645.0,7647.0,4412595232
8029.0,7639.0,8020.0,7773.0,799885180
7617.0,7387.0,7570.0,7617.0,138982685
7466.0,7237.0,7240.0,7253.0,355999587
7181.0,6900.0,7181.0,7035.0,500643189
6990.0,6799.0,6950.0,6859.0,245160506
6857.0,6700.0,6857.0,6835.0,47759517
6745.0,6494.0,6550.0,6745.0,88881226
6530.0,6408.0,6408.0,6415.0,556923980
6330.0,6110.0,6112.0,6198.0,294171097
6400.0,6198.0,6198.0,6208.0,47942370
6400.0,6250.0,6250.0,6285.0,119054083
6300.0,5971.0,6300.0,6056.0,225266576
6006.0,5754.0,5900.0,6006.0,68355314
5858.0,5706.0,5858.0,5816.0,162298964
5550.0,5526.0,5542.0,5537.0,326630372
5407.0,5270.0,5270.0,5407.0,105454070
5268.0,5137.0,5137.0,5268.0,108551257
5127.0,5005.0,5005.0,5127.0,110371480
5117.0,4871.0,4871.0,5117.0,7455090
5110.0,4862.0,4862.0,5110.0,4913100
4862.0,4855.0,4855.0,4862.0,194248620
4855.0,4619.0,4619.0,4620.0,852358324
4680.0,4420.0,4680.0,4560.0,92115099
4788.0,4554.0,4608.0,4576.0,44842120
4804.0,4686.0,4804.0,4686.0,95646460
4920.0,4697.0,4920.0,4697.0,9886970
4931.0,4702.0,4931.0,4702.0,4978020
4937.0,4821.0,4937.0,4821.0,103725210
5062.0,4600.0,5062.0,5023.0,1422465653
5023.0,4820.0,5023.0,4922.0,171833801
4913.0,3482.0,4001.0,3830.0,826625283
3979.0,3754.0,3754.0,3881.0,631707898
4075.0,3982.0,3982.0,3993.0,97975115
4192.0,4082.0,4192.0,4082.0,77441908
4286.0,4230.0,4286.0,4230.0,128626586
4441.0,4019.0,4441.0,4379.0,1615412400
4380.0,4161.0,4379.0,4179.0,801251362
4179.0,3971.0,4179.0,4095.0,81980203
4095.0,3894.0,3990.0,3997.0,312585461
3969.0,3930.0,3954.0,3969.0,80375768
3897.0,3771.0,3897.0,3798.0,137943302
3800.0,3609.0,3610.0,3754.0,410905225
3687.0,3567.0,3633.0,3587.0,448280872
3600.0,3550.0,3587.0,3588.0,154278490
3750.0,3588.0,3588.0,3663.0,291794893
3675.0,3600.0,3664.0,3667.0,157505508
