high,low,open,close,Volume
10900.0,10900.0,10900.0,10900.0,1090000
2500.0,2500.0,2500.0,2500.0,2500000
2750.0,2750.0,2750.0,2750.0,13172500
3025.0,3023.0,3025.0,3024.0,150451965
3020.0,3015.0,3020.0,3016.0,21637100
2990.0,2800.0,2988.0,2871.0,289537592
2900.0,2601.0,2800.0,2642.0,315474285
2800.0,2700.0,2700.0,2794.0,120571740
3073.0,3073.0,3073.0,3073.0,88508546
3370.0,3073.0,3073.0,3274.0,135705033
3300.0,3100.0,3300.0,3196.0,50924798
3197.0,2933.0,3195.0,3036.0,76554182
3090.0,2963.0,3090.0,3029.0,302024064
2751.0,2750.0,2750.0,2750.0,2764607500
2460.0,2349.0,2349.0,2398.0,146986004
2493.0,2401.0,2475.0,2474.0,89344541
2566.0,2500.0,2503.0,2521.0,81269641
2521.0,2421.0,2422.0,2494.0,300460682
2530.0,2451.0,2451.0,2489.0,201733560
2432.0,2390.0,2420.0,2402.0,293727962
2321.0,2310.0,2311.0,2319.0,259842480
2411.0,2301.0,2301.0,2380.0,135393880
2475.0,2311.0,2475.0,2428.0,15825726
2351.0,2350.0,2351.0,2350.0,6411800
2306.0,2280.0,2280.0,2292.0,44021882
2309.0,2287.0,2288.0,2290.0,43703616
2335.0,2199.0,2199.0,2268.0,8547732
2283.0,2270.0,2275.0,2273.0,86116054
2275.0,2271.0,2275.0,2271.0,13990388
2299.0,2271.0,2271.0,2274.0,120152100
2282.0,2263.0,2282.0,2276.0,90423397
2274.0,2250.0,2250.0,2259.0,11935404
2300.0,2190.0,2190.0,2293.0,48173042
2293.0,2290.0,2293.0,2293.0,2267316130
2321.0,2310.0,2312.0,2315.0,53648596
2399.0,2304.0,2399.0,2371.0,54097738
2370.0,2311.0,2311.0,2358.0,143447008
2292.0,2270.0,2279.0,2273.0,129421694
2276.0,2250.0,2275.0,2267.0,130123331
2273.0,2223.0,2273.0,2233.0,2478630
2233.0,2150.0,2212.0,2212.0,2193592568
2167.0,2167.0,2167.0,2167.0,19435823
2210.0,2200.0,2210.0,2201.0,24754660
2185.0,2185.0,2185.0,2185.0,1529500
2200.0,2190.0,2190.0,2194.0,34046653
2155.0,2155.0,2155.0,2155.0,11359005
2159.0,2069.0,2156.0,2138.0,223100480
2403.0,2200.0,2200.0,2343.0,539043430
2436.0,2436.0,2436.0,2436.0,2436000
2533.0,2533.0,2533.0,2533.0,843212903
2000.0,1999.0,1999.0,1999.0,42612990
1999.0,1989.0,1999.0,1994.0,101844390
1988.0,1970.0,1988.0,1975.0,29658250
1950.0,1950.0,1950.0,1950.0,780000
1949.0,1905.0,1912.0,1909.0,47948290
1889.0,1887.0,1888.0,1888.0,25491079
1775.0,1775.0,1775.0,1775.0,53250000
1674.0,1669.0,1669.0,1672.0,12208158
1772.0,1606.0,1650.0,1661.0,12576938
1760.0,1760.0,1760.0,1760.0,176000
1865.0,1800.0,1800.0,1844.0,65300710
1844.0,1844.0,1844.0,1844.0,12908
1844.0,1844.0,1844.0,1844.0,529228
1844.0,1844.0,1844.0,1844.0,2782596
1844.0,1844.0,1844.0,1844.0,4477232
1844.0,1790.0,1844.0,1809.0,97422635
1710.0,1705.0,1710.0,1705.0,33849160
1613.0,1613.0,1613.0,1613.0,15313822
1613.0,1613.0,1613.0,1613.0,3372783
1667.0,1636.0,1638.0,1649.0,12788385
1747.0,1747.0,1747.0,1747.0,13102500
1851.0,1851.0,1851.0,1851.0,3870441
1852.0,1852.0,1852.0,1852.0,138900
1963.0,1963.0,1963.0,1963.0,85355166
2080.0,1965.0,1965.0,1968.0,6262888
2040.0,1850.0,2040.0,1854.0,268522294
1860.0,1860.0,1860.0,1860.0,1197840
1760.0,1760.0,1760.0,1760.0,1041920
1766.0,1662.0,1766.0,1698.0,33680054
2250.0,2250.0,2250.0,2250.0,95406750
2250.0,2250.0,2250.0,2250.0,1525500
2200.0,2164.0,2199.0,2190.0,627190559
2200.0,2071.0,2200.0,2100.0,307285811
2100.0,2067.0,2100.0,2070.0,75281533
2195.0,2070.0,2195.0,2070.0,40650584
2012.0,1999.0,2010.0,2012.0,123604108
2068.0,2000.0,2068.0,2000.0,226849927
2099.0,1985.0,1992.0,2099.0,207092784
2098.0,2000.0,2098.0,2000.0,27942510
2000.0,1910.0,2000.0,1920.0,51184968
2000.0,1901.0,1901.0,2000.0,97467349
2001.0,1998.0,1998.0,2001.0,60046507
2120.0,2023.0,2080.0,2120.0,319242157
2156.0,2054.0,2100.0,2156.0,37503954
2200.0,2100.0,2156.0,2199.0,143251172
2108.0,2070.0,2100.0,2070.0,2976894734
2110.0,2070.0,2070.0,2103.0,138777241
2075.0,2075.0,2075.0,2075.0,2840675
2050.0,2050.0,2050.0,2050.0,1332500
2173.0,2050.0,2050.0,2173.0,194928779
2262.0,2262.0,2262.0,2262.0,128002056
2329.0,2188.0,2329.0,2219.0,278025658
2451.0,2254.0,2400.0,2400.0,1082754997
2489.0,2301.0,2488.0,2301.0,183033732
2300.0,2223.0,2230.0,2300.0,2815740
2156.0,2154.0,2154.0,2156.0,10288078
2206.0,2206.0,2206.0,2206.0,3990654
2360.0,2221.0,2221.0,2360.0,222239184
2460.0,2259.0,2259.0,2380.0,106484920
2400.0,2265.0,2265.0,2350.0,243297555
2400.0,2350.0,2400.0,2350.0,216306800
2356.0,2250.0,2356.0,2353.0,59807849
2356.0,2263.0,2263.0,2356.0,116666825
2300.0,2200.0,2300.0,2200.0,47528600
2299.0,2082.0,2192.0,2100.0,84516746
2288.0,2094.0,2094.0,2288.0,31160310
2299.0,2161.0,2161.0,2299.0,34634426
2300.0,2290.0,2300.0,2300.0,66036357
2248.0,2140.0,2248.0,2140.0,139909740
2299.0,2297.0,2297.0,2299.0,28698127
2300.0,2250.0,2250.0,2300.0,36476860
2247.0,2173.0,2220.0,2247.0,178671709
4360.0,3251.0,3251.0,3600.0,385755218
3869.0,3626.0,3869.0,3635.0,84917434
3655.0,3372.0,3410.0,3649.0,300683495
3652.0,3505.0,3505.0,3652.0,32683601
3640.0,3639.0,3639.0,3640.0,2329054
3652.0,3651.0,3651.0,3651.0,12342573
3666.0,3660.0,3661.0,3666.0,11691380
3954.0,3899.0,3899.0,3954.0,42288395
4254.0,3988.0,3988.0,4254.0,44309234
4279.0,4279.0,4279.0,4279.0,9503659
4350.0,4350.0,4350.0,4350.0,221850000
4420.0,4401.0,4401.0,4410.0,174313315
4049.0,4049.0,4049.0,4049.0,1550767
4102.0,4100.0,4100.0,4102.0,14335326
4204.0,4204.0,4204.0,4204.0,8571956
4210.0,4005.0,4210.0,4005.0,73091081
4369.0,4369.0,4369.0,4369.0,2621400
4020.0,4020.0,4020.0,4020.0,4422000
3860.0,3700.0,3860.0,3700.0,87467660
3997.0,3699.0,3699.0,3997.0,68943562
4000.0,4000.0,4000.0,4000.0,1988000
3940.0,3702.0,3702.0,3940.0,24425522
4009.0,4001.0,4001.0,4009.0,33080489
4002.0,4000.0,4000.0,4001.0,424569729
4001.0,4000.0,4000.0,4001.0,28502805
4050.0,4000.0,4000.0,4050.0,100510000
4121.0,4003.0,4003.0,4121.0,2300573
3590.0,3536.0,3536.0,3560.0,9155268
3699.0,3281.0,3281.0,3699.0,7355891
3650.0,3590.0,3590.0,3650.0,3269830
3625.0,3624.0,3624.0,3625.0,51435605
3550.0,3380.0,3380.0,3507.0,5512349
3754.0,3700.0,3754.0,3700.0,2015500
3428.0,3421.0,3421.0,3427.0,24238678
3415.0,3412.0,3412.0,3415.0,1911290
3686.0,3202.0,3202.0,3686.0,1207524
3602.0,3600.0,3600.0,3602.0,19321898
3600.0,3588.0,3588.0,3600.0,2986668
3600.0,3548.0,3600.0,3600.0,6982556
3304.0,3302.0,3304.0,3302.0,4086574
3042.0,3040.0,3042.0,3040.0,58947560
3284.0,3284.0,3284.0,3284.0,93439652
3290.0,3290.0,3290.0,3290.0,5010670
3031.0,3027.0,3028.0,3027.0,179468988
3027.0,3000.0,3000.0,3000.0,228467910
3250.0,3012.0,3012.0,3250.0,42499992
3001.0,3001.0,3001.0,3001.0,135045
1651.0,1651.0,1651.0,1651.0,26914602
1652.0,1520.0,1652.0,1600.0,37851766
1692.0,1600.0,1640.0,1620.0,7174631
1660.0,1522.0,1640.0,1556.0,13514026
1688.0,1601.0,1688.0,1601.0,6208153
1600.0,1600.0,1600.0,1600.0,8000000
1568.0,1568.0,1568.0,1568.0,1568
1540.0,1484.0,1510.0,1540.0,67185238
1630.0,1500.0,1500.0,1630.0,180669150
1655.0,1474.0,1500.0,1600.0,48281728
1670.0,1600.0,1649.0,1600.0,48848940
1650.0,1525.0,1600.0,1650.0,12649150
1750.0,1650.0,1650.0,1690.0,70168300
1670.0,1600.0,1600.0,1670.0,4580758
