high,low,open,close,Volume
3664.0,3664.0,3664.0,3664.0,1678764192
3847.0,3847.0,3847.0,3847.0,1497856379
4039.0,4039.0,4039.0,4039.0,3431376879
4240.0,4240.0,4240.0,4240.0,447086800
4674.0,4452.0,4452.0,4674.0,27066129762
4854.0,4700.0,4800.0,4854.0,27991466215
4984.0,4854.0,4931.0,4888.0,27478125359
5158.0,4855.0,4855.0,5158.0,21151553268
5305.0,5200.0,5210.0,5305.0,7103385022
5555.0,5400.0,5500.0,5555.0,8423550687
5812.0,5705.0,5812.0,5809.0,4255385145
6406.0,5796.0,6101.0,5850.0,29629127883
5840.0,5687.0,5751.0,5687.0,16195399339
5636.0,5436.0,5510.0,5603.0,17314643296
5791.0,5555.0,5600.0,5791.0,13692615317
6073.0,5900.0,6008.0,6040.0,21212181533
6050.0,5738.0,6050.0,5910.0,7471592501
5970.0,5728.0,5970.0,5770.0,4939889994
5890.0,5612.0,5890.0,5622.0,3763572065
5787.0,5520.0,5622.0,5680.0,3981108368
5825.0,5540.0,5650.0,5555.0,4430460770
5557.0,5200.0,5555.0,5400.0,4851123352
5437.0,5215.0,5400.0,5330.0,2328034831
5490.0,5252.0,5450.0,5300.0,1793113728
5379.0,5131.0,5340.0,5160.0,3088699642
5327.0,5125.0,5150.0,5151.0,2294548255
5295.0,5160.0,5275.0,5220.0,2547203173
5265.0,5128.0,5246.0,5149.0,1917363355
5250.0,5100.0,5173.0,5130.0,3779548223
5243.0,5000.0,5156.0,5243.0,2765500326
5250.0,5140.0,5155.0,5151.0,1562014352
5203.0,5150.0,5188.0,5152.0,1464323764
5247.0,5131.0,5199.0,5131.0,979917112
5203.0,5108.0,5166.0,5120.0,2680445272
5200.0,5020.0,5144.0,5150.0,3142242081
5200.0,5080.0,5200.0,5090.0,1238879941
5110.0,5000.0,5110.0,5003.0,1536246329
5100.0,4954.0,5047.0,5050.0,2898887315
5197.0,5010.0,5010.0,5075.0,1238494371
5210.0,5100.0,5100.0,5210.0,1589612855
5340.0,5130.0,5130.0,5250.0,1815399879
5500.0,5157.0,5251.0,5300.0,3501919534
5300.0,5141.0,5141.0,5200.0,295970686
5300.0,5168.0,5300.0,5300.0,344139674
5290.0,5200.0,5215.0,5235.0,266459269
5300.0,5217.0,5298.0,5279.0,545023020
5400.0,5270.0,5280.0,5329.0,571594969
5303.0,5211.0,5302.0,5275.0,474157835
5232.0,5100.0,5206.0,5100.0,426306520
5200.0,4916.0,5105.0,4999.0,1526495966
4970.0,4500.0,4970.0,4500.0,2610658142
4880.0,4330.0,4500.0,4621.0,924284822
4919.0,4400.0,4750.0,4650.0,460521394
4694.0,4461.0,4640.0,4632.0,1106397334
4699.0,4580.0,4691.0,4620.0,454182661
4698.0,4615.0,4630.0,4650.0,91723850
4660.0,4550.0,4640.0,4648.0,299053100
4655.0,4450.0,4630.0,4585.0,643654014
4630.0,4550.0,4600.0,4618.0,244924106
4690.0,4570.0,4619.0,4599.0,431429388
4669.0,4500.0,4600.0,4501.0,567076057
4598.0,4450.0,4598.0,4460.0,248408363
4570.0,4400.0,4570.0,4450.0,297378861
4497.0,4410.0,4471.0,4410.0,470638030
4500.0,4400.0,4450.0,4500.0,849675491
4580.0,4451.0,4460.0,4451.0,109937522
4550.0,4480.0,4500.0,4490.0,293360950
4529.0,4490.0,4529.0,4500.0,1286710779
4680.0,4481.0,4520.0,4501.0,198511466
4678.0,4600.0,4610.0,4600.0,295003324
4877.0,4595.0,4877.0,4700.0,328833469
4868.0,4700.0,4778.0,4700.0,576013667
4899.0,4750.0,4860.0,4780.0,173613847
4948.0,4750.0,4940.0,4750.0,550453923
4839.0,4725.0,4765.0,4800.0,698813312
4940.0,4770.0,4838.0,4880.0,1748507867
4975.0,4865.0,4948.0,4930.0,633990120
5390.0,5000.0,5000.0,5210.0,941793374
5210.0,5010.0,5210.0,5080.0,339745295
5238.0,5000.0,5140.0,5100.0,601684609
