high,low,open,close,Volume
3000.0,2510.0,3000.0,2510.0,135300000
4200.0,3301.0,3301.0,4100.0,2042251100
4180.0,3000.0,3990.0,3190.0,624522709
3150.0,2748.0,3055.0,2995.0,1481299102
3000.0,2890.0,2890.0,3000.0,963639702
3000.0,2800.0,3000.0,2980.0,737400832
3120.0,2920.0,3000.0,3020.0,819790428
3098.0,2910.0,3000.0,2910.0,491093440
2901.0,2850.0,2850.0,2851.0,194378405
2900.0,2800.0,2812.0,2800.0,669048640
2850.0,2610.0,2760.0,2661.0,1314941250
2800.0,2600.0,2695.0,2750.0,1255476280
2790.0,2660.0,2680.0,2700.0,836383410
2680.0,2620.0,2660.0,2620.0,774263360
2620.0,2557.0,2620.0,2570.0,775477740
2600.0,2510.0,2600.0,2510.0,1382612770
2600.0,2450.0,2511.0,2461.0,404923574
2450.0,2171.0,2400.0,2194.0,929808747
2599.0,2305.0,2320.0,2420.0,1527067681
2500.0,2401.0,2500.0,2401.0,743499357
2400.0,2300.0,2361.0,2300.0,422049580
2397.0,2240.0,2300.0,2300.0,303592070
2310.0,2200.0,2310.0,2210.0,216667010
2300.0,2210.0,2210.0,2250.0,327591380
2298.0,2210.0,2211.0,2210.0,364989316
2300.0,2211.0,2211.0,2298.0,533186457
2340.0,2220.0,2220.0,2250.0,524311225
2231.0,2230.0,2231.0,2230.0,71822200
2318.0,2212.0,2231.0,2240.0,887950145
2400.0,2259.0,2390.0,2270.0,760559190
2600.0,2300.0,2300.0,2405.0,1726794763
2450.0,2323.0,2401.0,2323.0,242060250
2400.0,2310.0,2400.0,2310.0,336487887
2650.0,2310.0,2310.0,2310.0,541871280
2340.0,2301.0,2340.0,2302.0,542200740
2302.0,2250.0,2300.0,2276.0,1111538182
2270.0,2211.0,2270.0,2211.0,1029529375
2300.0,2200.0,2215.0,2200.0,788346750
2268.0,2120.0,2268.0,2199.0,1123545000
2190.0,2081.0,2151.0,2120.0,361908590
2185.0,2082.0,2130.0,2170.0,240790614
2229.0,2140.0,2160.0,2161.0,418914404
2220.0,2021.0,2160.0,2040.0,1281569534
2169.0,2033.0,2033.0,2169.0,973737213
2250.0,2130.0,2170.0,2130.0,1177660000
2200.0,2060.0,2132.0,2060.0,224365000
2165.0,2051.0,2051.0,2070.0,56921000
2140.0,2000.0,2052.0,2033.0,385052000
2033.0,2021.0,2021.0,2033.0,127372559
2100.0,2030.0,2100.0,2040.0,469596480
2040.0,2000.0,2040.0,2000.0,306894200
2000.0,1919.0,2000.0,1950.0,161802800
2000.0,1919.0,1950.0,1951.0,442249803
2000.0,1955.0,2000.0,1960.0,451571165
1970.0,1911.0,1962.0,1970.0,871757630
1980.0,1901.0,1969.0,1901.0,169631257
1901.0,1816.0,1901.0,1900.0,359251093
1900.0,1841.0,1900.0,1841.0,194652321
1949.0,1814.0,1814.0,1949.0,274454342
2000.0,1940.0,1949.0,2000.0,161293100
2035.0,1941.0,2000.0,1941.0,214284980
1920.0,1912.0,1920.0,1912.0,57440000
1880.0,1861.0,1861.0,1866.0,120796225
1889.0,1870.0,1870.0,1889.0,286426880
1870.0,1813.0,1870.0,1813.0,452946500
1888.0,1700.0,1813.0,1751.0,830454787
1899.0,1750.0,1750.0,1899.0,303650
1800.0,1720.0,1800.0,1750.0,66577890
1751.0,1720.0,1751.0,1720.0,89970000
1721.0,1610.0,1721.0,1610.0,361844860
1610.0,1610.0,1610.0,1610.0,16100000
1665.0,1450.0,1600.0,1665.0,506292670
1700.0,1600.0,1620.0,1600.0,306704478
1610.0,1590.0,1610.0,1590.0,144340000
1581.0,1581.0,1581.0,1581.0,52261536
1697.0,1583.0,1697.0,1583.0,26313500
1600.0,1570.0,1600.0,1570.0,14369464
1504.0,1502.0,1503.0,1504.0,35130000
1502.0,1370.0,1502.0,1370.0,218696607
1370.0,1203.0,1203.0,1370.0,69241000
1433.0,1230.0,1433.0,1251.0,10207990
1430.0,1430.0,1430.0,1430.0,1430000
1440.0,1253.0,1253.0,1260.0,21871250
1498.0,1390.0,1390.0,1498.0,153786468
1600.0,1560.0,1580.0,1600.0,50560000
1415.0,1356.0,1415.0,1356.0,153230000
1400.0,1353.0,1399.0,1363.0,91234200
1460.0,1340.0,1459.0,1362.0,240622560
1385.0,1325.0,1385.0,1350.0,401500350
1340.0,1328.0,1340.0,1328.0,162838832
1350.0,1291.0,1350.0,1291.0,366406000
1318.0,1250.0,1318.0,1256.0,445973300
1305.0,1257.0,1260.0,1260.0,72424800
