high,low,open,close,Volume
4000.0,2500.0,4000.0,2500.0,138540627445
2838.0,2838.0,2838.0,2838.0,388806000
2979.0,2979.0,2979.0,2979.0,26813979
3127.0,3127.0,3127.0,3127.0,40497777
3283.0,3283.0,3283.0,3283.0,192134292
3447.0,3447.0,3447.0,3447.0,1250816337
3619.0,3619.0,3619.0,3619.0,28819913738
3736.0,3573.0,3700.0,3598.0,116528689172
3699.0,3530.0,3599.0,3545.0,24080204566
3540.0,3409.0,3530.0,3440.0,23807348160
3497.0,3101.0,3497.0,3350.0,12102071493
3440.0,3332.0,3400.0,3440.0,13295135538
3599.0,3480.0,3500.0,3599.0,15493774869
3733.0,3733.0,3733.0,3733.0,48831373
3919.0,3710.0,3800.0,3919.0,85995473036
4030.0,3895.0,3947.0,4010.0,27425364295
4149.0,3980.0,4000.0,4149.0,28164588998
4305.0,4200.0,4250.0,4305.0,42820445540
4459.0,4190.0,4350.0,4210.0,49513000186
4338.0,4058.0,4231.0,4058.0,20463546643
4010.0,3958.0,4008.0,3958.0,7125603358
4139.0,3901.0,3958.0,4020.0,31653704334
4017.0,3850.0,3961.0,3852.0,10171331178
4101.0,3853.0,3950.0,4101.0,13966271160
4269.0,4070.0,4158.0,4160.0,40525237027
4387.0,4201.0,4261.0,4387.0,21144671076
4573.0,4521.0,4573.0,4560.0,40799845201
4690.0,4343.0,4500.0,4375.0,59431097023
4580.0,4340.0,4401.0,4352.0,30053056286
4400.0,4217.0,4400.0,4217.0,8648457743
4188.0,4053.0,4093.0,4100.0,32067800761
4278.0,4142.0,4146.0,4250.0,26922318602
4450.0,4309.0,4309.0,4450.0,48458636540
4540.0,4301.0,4452.0,4301.0,26089415473
4390.0,4160.0,4303.0,4162.0,13463816073
4160.0,4008.0,4160.0,4040.0,14034490732
4230.0,4040.0,4079.0,4215.0,5648215209
4342.0,4112.0,4284.0,4180.0,13735436023
4289.0,4071.0,4289.0,4071.0,6034540171
4170.0,4050.0,4100.0,4097.0,2536911914
4269.0,4070.0,4159.0,4247.0,10979792151
4358.0,4251.0,4297.0,4273.0,9188064562
4370.0,4204.0,4297.0,4232.0,7918924870
4261.0,4095.0,4261.0,4111.0,5977669643
4245.0,4037.0,4090.0,4158.0,3976494217
4363.0,4200.0,4200.0,4360.0,22085727141
4450.0,4250.0,4339.0,4380.0,35622061950
4386.0,4216.0,4263.0,4340.0,8308484681
4537.0,4349.0,4349.0,4537.0,21770925657
4700.0,4460.0,4635.0,4549.0,16341642185
4819.0,4580.0,4598.0,4580.0,20707305901
4890.0,4581.0,4700.0,4790.0,33476313919
4961.0,4830.0,4830.0,4961.0,12570220579
5202.0,5202.0,5202.0,5202.0,5217606
5462.0,5462.0,5462.0,5462.0,13698696
5735.0,5735.0,5735.0,5735.0,414646235
6021.0,6021.0,6021.0,6021.0,12650121
6322.0,6322.0,6322.0,6322.0,12644
6638.0,6638.0,6638.0,6638.0,424832
6969.0,6969.0,6969.0,6969.0,5547324
7317.0,7317.0,7317.0,7317.0,126869463
7682.0,7682.0,7682.0,7682.0,17952834
8066.0,8066.0,8066.0,8066.0,83087866
8469.0,8469.0,8469.0,8469.0,142143696
8892.0,8892.0,8892.0,8892.0,1598568192
9336.0,9336.0,9336.0,9336.0,1588987200
9802.0,9802.0,9802.0,9802.0,1096363502
10292.0,10008.0,10292.0,10292.0,196693970359
10805.0,10292.0,10299.0,10805.0,54851622016
11226.0,11226.0,11226.0,11226.0,4065046860
11787.0,10901.0,11787.0,11100.0,148024604318
11600.0,11149.0,11149.0,11270.0,62021833342
11788.0,10750.0,11199.0,11788.0,42262511746
12134.0,11800.0,11800.0,11997.0,52634893027
12721.0,12679.0,12700.0,12721.0,31806205219
13340.0,12100.0,13330.0,12600.0,79110064156
12470.0,12296.0,12470.0,12296.0,88151624809
11895.0,11684.0,11706.0,11684.0,8318203794
19000.0,18100.0,18990.0,19000.0,158245723161
19733.0,19733.0,19733.0,19733.0,1584066575
20719.0,20511.0,20719.0,20719.0,240725220500
21000.0,19684.0,20990.0,20200.0,174339238875
21145.0,20800.0,21050.0,21145.0,198404749597
22000.0,20066.0,22000.0,20066.0,70072769868
19605.0,19211.0,19211.0,19500.0,51409201620
20187.0,19226.0,20180.0,20187.0,54179839572
21174.0,19950.0,21174.0,21174.0,167666345194
21599.0,19959.0,21000.0,19959.0,34494027540
19381.0,19381.0,19381.0,19381.0,10499172225
20350.0,18804.0,20000.0,19400.0,93964292970
19700.0,18939.0,19300.0,18939.0,14284063184
19920.0,18024.0,19000.0,19920.0,205382819638
19833.0,19832.0,19832.0,19833.0,41778565559
20824.0,20001.0,20824.0,20824.0,120947001044
21823.0,20800.0,21001.0,21823.0,137070531584
22757.0,22540.0,22694.0,22757.0,42624944097
23882.0,23882.0,23882.0,23882.0,88254593608
24460.0,22700.0,23900.0,23500.0,225385520363
23900.0,22700.0,23500.0,22750.0,115621095587
23467.0,22301.0,22888.0,22310.0,52803836637
22400.0,21656.0,22300.0,21860.0,72316815924
22797.0,22002.0,22002.0,22360.0,40593469638
22600.0,21510.0,21950.0,21630.0,87451420437
22849.0,22849.0,22849.0,22849.0,2810861131
23991.0,23510.0,23991.0,23750.0,181384774447
23850.0,22757.0,23850.0,22757.0,31832591331
23500.0,21780.0,21920.0,21986.0,34331017331
22799.0,21211.0,22200.0,22415.0,40465982107
23066.0,23066.0,23066.0,23066.0,10618386968
24219.0,23350.0,24219.0,23500.0,92899782034
24217.0,23180.0,23700.0,23511.0,49377604223
24199.0,23089.0,23800.0,23200.0,40294302956
23300.0,22500.0,23190.0,22620.0,25775712358
23890.0,22601.0,22950.0,23501.0,31736676774
24200.0,23770.0,23770.0,23789.0,56252201257
28000.0,25370.0,25370.0,27000.0,245505019701
27642.0,25029.0,27500.0,26180.0,259507636703
26900.0,25984.0,26500.0,26170.0,138240232285
27576.0,26499.0,26500.0,27576.0,108346828512
28200.0,26500.0,27499.0,26800.0,90177493253
27600.0,26289.0,27250.0,26289.0,8680103518
25590.0,25268.0,25315.0,25268.0,18251952330
25100.0,24055.0,24501.0,24200.0,108085276750
24448.0,23280.0,24254.0,23820.0,49030612589
24200.0,22576.0,24000.0,22576.0,44566811941
22632.0,22186.0,22631.0,22186.0,68248170332
22140.0,21091.0,22000.0,21576.0,22421041534
22734.0,22000.0,22000.0,22734.0,12069997143
23732.0,23000.0,23732.0,23732.0,66008457683
24899.0,22539.0,24280.0,22600.0,51558985616
23000.0,22307.0,22310.0,22307.0,103993293583
23440.0,22000.0,22361.0,23150.0,54919423548
23700.0,22033.0,23500.0,22040.0,42495618754
22499.0,21500.0,22055.0,22401.0,81613747334
23074.0,22305.0,22840.0,22410.0,30025596292
23850.0,22750.0,23000.0,23100.0,60988496379
23548.0,22317.0,23548.0,23000.0,65717815379
23078.0,21501.0,22680.0,22000.0,26056685825
22978.0,21600.0,22520.0,22100.0,26914342273
22690.0,21501.0,22690.0,22000.0,32560010216
22497.0,21501.0,21850.0,22450.0,41836607433
22983.0,22970.0,22983.0,22983.0,7895417414
24132.0,23000.0,24132.0,23098.0,40941475507
23001.0,22582.0,23001.0,22750.0,36253342508
23816.0,22500.0,22880.0,22780.0,20674505153
23540.0,22511.0,23000.0,23049.0,26318088719
23438.0,21972.0,23438.0,21990.0,40824490568
22200.0,21700.0,22200.0,21890.0,25091845093
22000.0,21452.0,22000.0,21595.0,16127179757
21720.0,20610.0,21450.0,21050.0,24991005135
21889.0,20851.0,21000.0,21087.0,10793931294
21800.0,20937.0,21800.0,21000.0,10543141453
21430.0,20750.0,21400.0,20920.0,16634706079
21280.0,20300.0,20953.0,20300.0,18404170430
20350.0,20000.0,20300.0,20080.0,16213588304
20800.0,19951.0,19990.0,20470.0,14873145801
20898.0,20210.0,20512.0,20230.0,9930780986
20998.0,20020.0,20848.0,20101.0,9308826467
20495.0,19401.0,20003.0,20257.0,28129998567
20510.0,20050.0,20050.0,20230.0,15515505027
20200.0,19600.0,20100.0,20100.0,18398918391
20101.0,19901.0,20000.0,20000.0,11830277772
20986.0,20199.0,20199.0,20986.0,13862928208
21598.0,19894.0,21490.0,19996.0,29971373077
20910.0,20000.0,20399.0,20000.0,13091750038
20031.0,19400.0,20016.0,19800.0,13198832976
19993.0,19211.0,19310.0,19700.0,8887447096
20000.0,19195.0,20000.0,19380.0,6477892835
19600.0,18541.0,19306.0,19530.0,16838805166
19999.0,19000.0,19000.0,19383.0,6321080190
19699.0,18996.0,19699.0,19400.0,12564835713
19368.0,18700.0,19050.0,18700.0,13602527425
19000.0,18021.0,18510.0,19000.0,34323263586
18800.0,18200.0,18201.0,18800.0,13763684869
19576.0,19000.0,19200.0,19576.0,6888972319
20416.0,20000.0,20340.0,20416.0,13415358467
21388.0,20431.0,20999.0,21388.0,23212019888
21199.0,20090.0,21199.0,20200.0,16585509398
20500.0,19220.0,20000.0,20110.0,5988864258
20850.0,20000.0,20000.0,20280.0,3173580474
19900.0,19281.0,19800.0,19281.0,5051826582
18750.0,18362.0,18406.0,18420.0,8547468828
19310.0,18444.0,18700.0,19050.0,12897016995
19690.0,18274.0,19200.0,18274.0,7937413207
18010.0,17613.0,18004.0,17613.0,6956098771
18519.0,17700.0,17700.0,18167.0,5812229346
19074.0,18499.0,18500.0,19074.0,7885111958
19934.0,18500.0,18500.0,19480.0,19028329939
19400.0,18710.0,19071.0,18900.0,11855213516
19796.0,19100.0,19100.0,19796.0,13784386412
18910.0,16000.0,16999.0,18910.0,78485085897
18200.0,17361.0,17651.0,17500.0,7251233554
17800.0,17011.0,17500.0,17150.0,13477424452
17500.0,16801.0,17500.0,17000.0,5375976306
17019.0,16200.0,17019.0,16290.0,2624318982
16000.0,15709.0,15922.0,15709.0,3838849567
15450.0,14999.0,15000.0,15025.0,4206058063
15834.0,15000.0,15000.0,15834.0,3529097619
16388.0,16240.0,16338.0,16388.0,3363560894
16990.0,15543.0,16990.0,16590.0,12289046202
16443.0,15800.0,15890.0,16410.0,12692273348
16650.0,15900.0,16000.0,16380.0,1772627116
16445.0,15800.0,16369.0,16200.0,3049789983
16200.0,15276.0,15580.0,16100.0,8627312791
16050.0,15521.0,16000.0,15960.0,9975135589
16099.0,15502.0,15601.0,16053.0,15152071129
16000.0,15965.0,16000.0,15971.0,8271450615
16398.0,15970.0,15970.0,16000.0,1792228379
16689.0,16100.0,16400.0,16162.0,1084285741
16525.0,16100.0,16460.0,16460.0,12167820138
17160.0,16500.0,16500.0,16777.0,1796975004
17676.0,16200.0,16200.0,17676.0,4321415689
18280.0,17820.0,18270.0,18060.0,7837935070
18650.0,17413.0,17413.0,18390.0,6324582233
19267.0,18650.0,18899.0,19267.0,5076545708
