high,low,open,close,Volume
3100.0,3100.0,3100.0,3100.0,52396200
3100.0,3100.0,3100.0,3100.0,62310000
3102.0,3101.0,3101.0,3102.0,46520000
3200.0,3200.0,3200.0,3200.0,64000000
3200.0,3200.0,3200.0,3200.0,3200000
3250.0,3250.0,3250.0,3250.0,6500000
3260.0,3255.0,3255.0,3260.0,9116060
3250.0,3250.0,3250.0,3250.0,1137500
3401.0,3251.0,3251.0,3251.0,5476680
3000.0,3000.0,3000.0,3000.0,3072000
3150.0,3150.0,3150.0,3150.0,982800
3307.0,3307.0,3307.0,3307.0,1802315
3310.0,3310.0,3310.0,3310.0,6391610
3309.0,3308.0,3308.0,3309.0,4963000
3310.0,3310.0,3310.0,3310.0,662000
3310.0,3310.0,3310.0,3310.0,2614900
3310.0,3310.0,3310.0,3310.0,2614900
3402.0,3350.0,3350.0,3402.0,13827718
3406.0,3406.0,3406.0,3406.0,1703000
3407.0,3407.0,3407.0,3407.0,722284
3500.0,3500.0,3500.0,3500.0,2100000
3500.0,3500.0,3500.0,3500.0,1750000
3500.0,3500.0,3500.0,3500.0,6720000
3506.0,3506.0,3506.0,3506.0,701200
3522.0,3522.0,3522.0,3522.0,2993700
3524.0,3524.0,3524.0,3524.0,1409600
3700.0,3700.0,3700.0,3700.0,185000000
3800.0,3700.0,3700.0,3800.0,80440000
3808.0,3800.0,3800.0,3808.0,115150000
3811.0,3811.0,3811.0,3811.0,4573200
3813.0,3813.0,3813.0,3813.0,4575600
3840.0,3840.0,3840.0,3840.0,11520000
3840.0,3840.0,3840.0,3840.0,3840000
3840.0,3840.0,3840.0,3840.0,1843200
3840.0,3840.0,3840.0,3840.0,4485120
3840.0,3839.0,3839.0,3840.0,14760572
3000.0,3000.0,3000.0,3000.0,14400000
3000.0,3000.0,3000.0,3000.0,900000
3000.0,3000.0,3000.0,3000.0,2232000
3000.0,3000.0,3000.0,3000.0,3600000
3000.0,3000.0,3000.0,3000.0,20400000
3000.0,3000.0,3000.0,3000.0,6636000
3000.0,3000.0,3000.0,3000.0,15000000
3000.0,3000.0,3000.0,3000.0,750000
3000.0,3000.0,3000.0,3000.0,11700000
3000.0,3000.0,3000.0,3000.0,46500000
3000.0,3000.0,3000.0,3000.0,6114000
3000.0,3000.0,3000.0,3000.0,45000000
3000.0,3000.0,3000.0,3000.0,5406000
3000.0,3000.0,3000.0,3000.0,7140000
3000.0,3000.0,3000.0,3000.0,5760000
3100.0,3100.0,3100.0,3100.0,5310300
3101.0,3101.0,3101.0,3101.0,155050
3101.0,3101.0,3101.0,3101.0,372120
2800.0,2800.0,2800.0,2800.0,2800000
2850.0,2850.0,2850.0,2850.0,1402200
3400.0,3400.0,3400.0,3400.0,3400000
3399.0,3399.0,3399.0,3399.0,1699500
3400.0,3400.0,3400.0,3400.0,510000
3400.0,3400.0,3400.0,3400.0,1713600
3420.0,3420.0,3420.0,3420.0,3420000
3420.0,3420.0,3420.0,3420.0,1710000
3430.0,3430.0,3430.0,3430.0,1715000
3430.0,3430.0,3430.0,3430.0,1715000
3600.0,3500.0,3500.0,3600.0,29100000
3620.0,3620.0,3620.0,3620.0,615400
3640.0,3640.0,3640.0,3640.0,1820000
3680.0,3680.0,3680.0,3680.0,17664000
3750.0,3750.0,3750.0,3750.0,18000000
3761.0,3761.0,3761.0,3761.0,752200
3771.0,3771.0,3771.0,3771.0,1810080
3773.0,3773.0,3773.0,3773.0,1886500
3780.0,3780.0,3780.0,3780.0,1890000
3788.0,3788.0,3788.0,3788.0,1894000
3810.0,3810.0,3810.0,3810.0,1905000
3812.0,3812.0,3812.0,3812.0,1906000
3820.0,3820.0,3820.0,3820.0,1910000
3825.0,3825.0,3825.0,3825.0,1912500
3830.0,3830.0,3830.0,3830.0,1915000
3831.0,3831.0,3831.0,3831.0,651270
4022.0,4022.0,4022.0,4022.0,4022000
4223.0,4223.0,4223.0,4223.0,4223000
4434.0,4434.0,4434.0,4434.0,4434000
4655.0,4655.0,4655.0,4655.0,4655000
4887.0,4887.0,4887.0,4887.0,4887000
5131.0,5131.0,5131.0,5131.0,5131000
5387.0,5387.0,5387.0,5387.0,5387000
5656.0,5656.0,5656.0,5656.0,48353144
5938.0,5656.0,5656.0,5938.0,12174588
6234.0,5933.0,5938.0,5933.0,63433558
5930.0,5930.0,5930.0,5930.0,2965000
5929.0,5929.0,5929.0,5929.0,2964500
5890.0,5890.0,5890.0,5890.0,2356000
5889.0,5889.0,5889.0,5889.0,2944500
5885.0,5879.0,5885.0,5879.0,5178320
5877.0,5877.0,5877.0,5877.0,3526200
5872.0,5872.0,5872.0,5872.0,3523200
5860.0,5848.0,5860.0,5848.0,17303240
5815.0,5815.0,5815.0,5815.0,3489000
5800.0,5800.0,5800.0,5800.0,3480000
5790.0,5790.0,5790.0,5790.0,2316000
5693.0,5693.0,5693.0,5693.0,2846500
5693.0,5693.0,5693.0,5693.0,3415800
5689.0,5689.0,5689.0,5689.0,3413400
5688.0,5688.0,5688.0,5688.0,3412800
5680.0,5680.0,5680.0,5680.0,3408000
5677.0,5677.0,5677.0,5677.0,1135400
5665.0,5665.0,5665.0,5665.0,2832500
5655.0,5655.0,5655.0,5655.0,2262000
5650.0,5650.0,5650.0,5650.0,2825000
5580.0,5580.0,5580.0,5580.0,2790000
5575.0,5575.0,5575.0,5575.0,2787500
5560.0,5560.0,5560.0,5560.0,1668000
5430.0,5428.0,5430.0,5428.0,10314200
5408.0,5408.0,5408.0,5408.0,2163200
5408.0,5349.0,5349.0,5408.0,35527403
5408.0,5408.0,5408.0,5408.0,40019200
5423.0,5421.0,5421.0,5423.0,33785082
5423.0,5423.0,5423.0,5423.0,2169200
5425.0,5425.0,5425.0,5425.0,2170000
5693.0,5450.0,5693.0,5450.0,2749300
5450.0,5450.0,5450.0,5450.0,27250000
5450.0,5449.0,5450.0,5450.0,10354600
5450.0,5449.0,5449.0,5450.0,7629600
5450.0,5450.0,5450.0,5450.0,8720000
5450.0,5450.0,5450.0,5450.0,2725000
5450.0,5450.0,5450.0,5450.0,2180000
5450.0,5450.0,5450.0,5450.0,3270000
5450.0,5450.0,5450.0,5450.0,14933000
5450.0,5450.0,5450.0,5450.0,8720000
5450.0,5450.0,5450.0,5450.0,5995000
5450.0,5450.0,5450.0,5450.0,2725000
5450.0,5450.0,5450.0,5450.0,4905000
5451.0,5450.0,5451.0,5450.0,75187300
5449.0,5449.0,5449.0,5449.0,1634700
5449.0,5449.0,5449.0,5449.0,4904100
5449.0,5449.0,5449.0,5449.0,2724500
5449.0,5449.0,5449.0,5449.0,2724500
5449.0,5449.0,5449.0,5449.0,3269400
5449.0,5449.0,5449.0,5449.0,3814300
5449.0,5400.0,5400.0,5449.0,4624300
5448.0,5448.0,5448.0,5448.0,3813600
5448.0,5448.0,5448.0,5448.0,3268800
5448.0,5448.0,5448.0,5448.0,3268800
5449.0,5449.0,5449.0,5449.0,3814300
5446.0,5446.0,5446.0,5446.0,2723000
5434.0,5434.0,5434.0,5434.0,3260400
5418.0,5418.0,5418.0,5418.0,3250800
5418.0,5418.0,5418.0,5418.0,2709000
5418.0,5418.0,5418.0,5418.0,270900
5398.0,5398.0,5398.0,5398.0,539800
5398.0,5398.0,5398.0,5398.0,269900
5398.0,5398.0,5398.0,5398.0,539800
5398.0,5398.0,5398.0,5398.0,269900
5393.0,5393.0,5393.0,5393.0,269650
5389.0,5389.0,5389.0,5389.0,808350
5389.0,5389.0,5389.0,5389.0,269450
5399.0,5399.0,5399.0,5399.0,539900
5399.0,5399.0,5399.0,5399.0,539900
5399.0,5399.0,5399.0,5399.0,539900
5399.0,5399.0,5399.0,5399.0,539900
5398.0,5398.0,5398.0,5398.0,539800
5398.0,5398.0,5398.0,5398.0,539800
5398.0,5398.0,5398.0,5398.0,539800
5398.0,5398.0,5398.0,5398.0,539800
5398.0,5398.0,5398.0,5398.0,323880
5397.0,5397.0,5397.0,5397.0,647640
5397.0,5397.0,5397.0,5397.0,323820
