high,low,open,close,Volume
3350.0,3350.0,3350.0,3350.0,322940000000
3417.0,3417.0,3417.0,3417.0,12301200000
3485.0,3485.0,3485.0,3485.0,10524316650
3554.0,3554.0,3554.0,3554.0,10722702320
3625.0,3625.0,3625.0,3625.0,13211743875
3697.0,3662.0,3697.0,3662.0,2062459828
3735.0,3735.0,3735.0,3735.0,68615658855
3809.0,3739.0,3809.0,3739.0,209315277
3813.0,3744.0,3813.0,3744.0,267759609
3818.0,3768.0,3818.0,3768.0,1329461462
3843.0,3776.0,3843.0,3776.0,477553568
3851.0,3780.0,3851.0,3780.0,248943334
3855.0,3797.0,3855.0,3797.0,969404705
3872.0,3814.0,3872.0,3814.0,961080156
3890.0,3828.0,3890.0,3828.0,785153090
3904.0,3840.0,3904.0,3840.0,670632384
3916.0,3846.0,3916.0,3846.0,363255292
3922.0,3865.0,3922.0,3865.0,1062328038
3942.0,3871.0,3942.0,3871.0,321800518
3948.0,3875.0,3947.0,3875.0,235089826
3952.0,3880.0,3952.0,3880.0,302872656
3957.0,3882.0,3957.0,3882.0,136139835
3959.0,3887.0,3959.0,3887.0,306311069
3964.0,3890.0,3964.0,3890.0,163415160
3967.0,2175.0,3967.0,3893.0,247576413595
3970.0,3907.0,3970.0,3907.0,800426800
3985.0,3933.0,3985.0,3933.0,1475565280
4011.0,3995.0,4011.0,3995.0,3485041421
4074.0,4002.0,4074.0,4002.0,418806480
4082.0,4004.0,4082.0,4004.0,120667222
4084.0,4007.0,4084.0,4007.0,152520294
4087.0,4014.0,4087.0,4014.0,376743017
4094.0,4016.0,4094.0,4016.0,94853106
4096.0,4019.0,4096.0,4019.0,172965118
4099.0,4039.0,4099.0,4039.0,1112107288
4119.0,4040.0,4119.0,4040.0,76180115
4120.0,4042.0,4120.0,4042.0,115400420
4122.0,4044.0,4122.0,4044.0,98865390
4124.0,4047.0,4124.0,4047.0,178073550
4127.0,4052.0,4127.0,4052.0,290783543
4133.0,4058.0,4133.0,4058.0,309465891
4139.0,4064.0,4139.0,4064.0,323387598
4145.0,4065.0,4145.0,4065.0,70795800
4146.0,4074.0,4146.0,4074.0,530571192
4155.0,4077.0,4155.0,4077.0,187979730
4158.0,4158.0,4158.0,4158.0,24923052
4241.0,4241.0,4241.0,4241.0,63212105
4325.0,4325.0,4325.0,4325.0,9882625
4411.0,4411.0,4411.0,4411.0,36840672
4499.0,4499.0,4499.0,4499.0,274434501
4588.0,4501.0,4588.0,4501.0,124457806
4591.0,4591.0,4591.0,4591.0,229545409
4682.0,4682.0,4682.0,4682.0,46820000
4775.0,4775.0,4775.0,4775.0,33425000
4870.0,4870.0,4870.0,4870.0,428467470
4967.0,4967.0,4967.0,4967.0,225998500
5066.0,4970.0,5066.0,4970.0,187319456
5069.0,5069.0,5069.0,5069.0,136761620
5290.0,4760.0,5080.0,4889.0,197225173236
4986.0,4920.0,4986.0,4920.0,1726915398
5018.0,4962.0,5018.0,4962.0,2330760080
5061.0,4863.0,5000.0,4971.0,43192319207
5070.0,4950.0,5070.0,5037.0,41431275380
4939.0,4937.0,4937.0,4937.0,26533984234
4841.0,4839.0,4839.0,4839.0,31457065090
4935.0,4850.0,4860.0,4919.0,7471193539
5017.0,4943.0,5017.0,4943.0,1323784880
5041.0,4881.0,5041.0,5007.0,35777567384
4970.0,4907.0,4920.0,4915.0,11766987052
4930.0,4821.0,4916.0,4910.0,4916945275
5008.0,4871.0,4937.0,5006.0,25062048095
5091.0,5001.0,5088.0,5015.0,6183307774
5028.0,4921.0,5003.0,4992.0,2818347951
4971.0,4893.0,4900.0,4971.0,1114087761
4872.0,4872.0,4872.0,4872.0,11106951744
4819.0,4775.0,4777.0,4779.0,13535647996
4874.0,4874.0,4874.0,4874.0,10887282878
4971.0,4876.0,4971.0,4876.0,110186236
4973.0,4878.0,4973.0,4878.0,126144168
4975.0,4878.0,4975.0,4878.0,15222530
4975.0,4879.0,4975.0,4879.0,81564165
4976.0,4903.0,4976.0,4903.0,1338951302
5001.0,4911.0,5001.0,4911.0,455165115
5009.0,5009.0,5009.0,5009.0,27620046756
5061.0,4909.0,4909.0,4957.0,10955555266
4988.0,4882.0,4988.0,4930.0,2487124423
4870.0,4832.0,4858.0,4863.0,4594791439
4871.0,4804.0,4810.0,4863.0,444212590
4960.0,4863.0,4863.0,4875.0,876939810
4972.0,4891.0,4972.0,4897.0,1827094252
4994.0,4925.0,4950.0,4925.0,1969395001
5023.0,4999.0,4999.0,5022.0,5618060154
5122.0,5022.0,5110.0,5116.0,9038119247
5218.0,5140.0,5218.0,5140.0,1347892108
5242.0,5186.0,5242.0,5186.0,2606730716
5289.0,5234.0,5289.0,5234.0,2726537129
5338.0,5260.0,5338.0,5260.0,1472427802
5365.0,5271.0,5365.0,5363.0,22935758437
5470.0,5376.0,5390.0,5398.0,2252712190
5505.0,5440.0,5505.0,5440.0,2354063965
5548.0,5454.0,5548.0,5454.0,773412452
5563.0,5479.0,5563.0,5479.0,1398036690
5588.0,5588.0,5588.0,5588.0,7013532328
5699.0,5681.0,5699.0,5681.0,5245142858
5794.0,5729.0,5794.0,5729.0,2712883412
5843.0,5721.0,5843.0,5841.0,19402749308
5957.0,5949.0,5957.0,5956.0,9090697380
6075.0,6006.0,6075.0,6006.0,2778825810
6126.0,6024.0,6126.0,6024.0,1030839378
6144.0,6026.0,6144.0,6125.0,24866794441
6078.0,6003.0,6003.0,6004.0,9926973206
6129.0,5720.0,5942.0,5817.0,13978784241
5927.0,5701.0,5817.0,5796.0,3693284979
5898.0,5681.0,5681.0,5689.0,18033128170
5802.0,5576.0,5797.0,5627.0,6197803191
5515.0,5515.0,5515.0,5515.0,6727511355
5600.0,5405.0,5410.0,5437.0,5670891303
5450.0,5329.0,5345.0,5362.0,7805977560
5440.0,5255.0,5440.0,5274.0,6436113981
5335.0,5169.0,5335.0,5244.0,1865659448
5300.0,5140.0,5140.0,5159.0,5222818732
5262.0,5080.0,5210.0,5149.0,2762037102
5251.0,5110.0,5182.0,5231.0,6028676019
5335.0,5280.0,5334.0,5333.0,7334444475
5289.0,5227.0,5269.0,5289.0,2381551307
5282.0,5184.0,5184.0,5282.0,370828052
5252.0,5177.0,5177.0,5237.0,2503111756
5236.0,5133.0,5236.0,5217.0,1088664775
5200.0,5113.0,5150.0,5123.0,5243148255
5123.0,5021.0,5021.0,5021.0,8194040195
5121.0,4954.0,5021.0,5086.0,4683816715
5183.0,4985.0,5183.0,5056.0,3194111656
5052.0,4955.0,4984.0,5052.0,239957629
5051.0,4951.0,4951.0,5051.0,61938010
5051.0,4950.0,4950.0,5051.0,149510
5051.0,4950.0,4950.0,5051.0,11989910
5051.0,4950.0,4950.0,5051.0,2030510
4979.0,4950.0,4950.0,4979.0,3888482690
4947.0,4880.0,4890.0,4918.0,3742432744
5899.0,5526.0,5802.0,5637.0,38970253376
5679.0,5525.0,5555.0,5565.0,7050424709
5520.0,5454.0,5454.0,5454.0,5977633110
5429.0,5345.0,5345.0,5429.0,1336646370
5536.0,5321.0,5321.0,5379.0,10154095266
5486.0,5443.0,5486.0,5443.0,3653555608
5551.0,5465.0,5551.0,5465.0,1226925568
5574.0,5377.0,5574.0,5572.0,12027834948
5651.0,5550.0,5580.0,5584.0,4233201972
5578.0,5490.0,5577.0,5561.0,1699685031
5590.0,5451.0,5500.0,5557.0,1852995608
5668.0,5557.0,5600.0,5585.0,1815731562
5696.0,5637.0,5696.0,5637.0,2929042098
5749.0,5683.0,5749.0,5683.0,2612126478
5796.0,5580.0,5796.0,5783.0,50725437086
5898.0,5895.0,5898.0,5897.0,7622191042
6009.0,5899.0,5970.0,5963.0,8474790049
5963.0,5844.0,5920.0,5959.0,278034354
5959.0,5840.0,5840.0,5959.0,223110
5970.0,5800.0,5880.0,5857.0,17385383800
5974.0,5845.0,5850.0,5942.0,10305260653
6060.0,6060.0,6060.0,6060.0,15376134960
6241.0,6234.0,6241.0,6240.0,10839862276
6427.0,6260.0,6390.0,6397.0,21007508798
6588.0,6450.0,6550.0,6573.0,17701150150
6770.0,6673.0,6770.0,6769.0,22914727360
6972.0,6799.0,6800.0,6948.0,84330378866
7109.0,6880.0,7089.0,6945.0,11802753014
6945.0,6738.0,6945.0,6805.0,8290499557
7009.0,6601.0,6790.0,6836.0,15524546424
7041.0,7038.0,7038.0,7040.0,9149488699
7251.0,7151.0,7251.0,7151.0,4164560093
7365.0,7191.0,7365.0,7191.0,1516952580
7406.0,7195.0,7406.0,7195.0,168943562
7410.0,7200.0,7410.0,7200.0,173458590
7416.0,7224.0,7416.0,7224.0,885097680
7440.0,7226.0,7440.0,7226.0,64405940
7442.0,7229.0,7442.0,7229.0,127293280
7445.0,7263.0,7445.0,7263.0,1292919215
7480.0,7287.0,7480.0,7287.0,902549830
7505.0,7302.0,7505.0,7302.0,579016225
10896.0,8200.0,9799.0,10153.0,64105118967
10457.0,10153.0,10240.0,10432.0,43085621762
10744.0,10400.0,10744.0,10670.0,34943083059
10990.0,10942.0,10990.0,10942.0,10257065430
11270.0,11001.0,11270.0,11270.0,48599767185
11608.0,11474.0,11608.0,11474.0,7682033764
11818.0,11529.0,11818.0,11529.0,2090589492
11874.0,11632.0,11874.0,11632.0,3869021740
11980.0,11303.0,11980.0,11934.0,123020869392
12238.0,11576.0,11934.0,11838.0,20110924557
11827.0,1675.0,11483.0,11827.0,918298050152
11976.0,11473.0,11473.0,11518.0,156747061249
11863.0,11173.0,11777.0,11194.0,13387652324
13400.0,11907.0,12103.0,12338.0,64513166413
12708.0,12381.0,12708.0,12381.0,1620864006
12752.0,12010.0,12752.0,12523.0,77570145184
12898.0,12152.0,12890.0,12650.0,21925795776
12559.0,12271.0,12272.0,12559.0,3231323929
12491.0,12183.0,12183.0,12491.0,2427246536
12590.0,12117.0,12117.0,12136.0,46739049612
12500.0,12200.0,12450.0,12457.0,18144706458
12830.0,12830.0,12830.0,12830.0,16266002300
13214.0,13210.0,13214.0,13213.0,45828397088
13609.0,12920.0,13609.0,13384.0,70130205224
13286.0,12983.0,13000.0,13286.0,3511048010
13257.0,12888.0,12888.0,13257.0,1031172570
13300.0,12860.0,12860.0,12895.0,27522963081
12836.0,12509.0,12509.0,12836.0,2096936976
12818.0,12451.0,12451.0,12818.0,622678180
12798.0,12434.0,12434.0,12798.0,708853546
12782.0,12415.0,12415.0,12782.0,558802820
12780.0,12399.0,12399.0,12780.0,69686190
12780.0,12397.0,12397.0,12780.0,10045400
12780.0,12397.0,12397.0,12780.0,15004200
12780.0,12397.0,12397.0,12780.0,1367500
12780.0,12397.0,12397.0,12780.0,10045400
12397.0,12397.0,12397.0,12397.0,12397000
20403.0,12026.0,12026.0,12026.0,13640754906738
11666.0,11666.0,11666.0,11666.0,21593766
11317.0,11317.0,11317.0,11317.0,3972267
10978.0,10978.0,10978.0,10978.0,7761446
10978.0,10649.0,10649.0,10978.0,5274545
10649.0,10649.0,10649.0,10649.0,1064900
10330.0,10330.0,10330.0,10330.0,19627000
10021.0,10021.0,10021.0,10021.0,40805512
9721.0,9721.0,9721.0,9721.0,1038047264
9688.0,9430.0,9461.0,9461.0,56039073983
9430.0,9178.0,9270.0,9241.0,37343045613
9151.0,8964.0,9151.0,9095.0,5727796669
9093.0,8823.0,8823.0,9093.0,77998020
9093.0,8821.0,8821.0,9093.0,1572858
9189.0,8821.0,8821.0,8833.0,48385502048
9097.0,9080.0,9097.0,9080.0,9358438129
9260.0,8808.0,9260.0,8879.0,17850970379
8613.0,8613.0,8613.0,8613.0,17670973419
8444.0,1675.0,8403.0,8357.0,193005213385
8296.0,8107.0,8107.0,8296.0,2152742777
8293.0,8048.0,8048.0,8293.0,114155282
8180.0,8045.0,8045.0,8180.0,4033000075
8180.0,7935.0,7935.0,8180.0,16181915
8180.0,7935.0,7935.0,8180.0,10817855
8179.0,7935.0,7935.0,8179.0,37392160
8179.0,7934.0,7934.0,8179.0,11982790
8178.0,7934.0,7934.0,8178.0,25827610
7933.0,7933.0,7933.0,7933.0,39799861
7696.0,7696.0,7696.0,7696.0,7696000
7466.0,7466.0,7466.0,7466.0,9444490
7243.0,7243.0,7243.0,7243.0,7243000
7026.0,7026.0,7026.0,7026.0,7391352
7025.0,6816.0,6816.0,7025.0,49274954
6815.0,6815.0,6815.0,6815.0,974545
6611.0,6611.0,6611.0,6611.0,69084950
6413.0,6413.0,6413.0,6413.0,3222821085
6221.0,6221.0,6221.0,6221.0,3141605
6035.0,6035.0,6035.0,6035.0,201128445
6034.0,5854.0,5854.0,6034.0,20549340
5853.0,5853.0,5853.0,5853.0,12763719042
5796.0,5678.0,5678.0,5796.0,2042911512
5795.0,5623.0,5623.0,5795.0,21520941
5794.0,5622.0,5622.0,5794.0,19493194
5793.0,5621.0,5621.0,5793.0,21428972
5793.0,5620.0,5620.0,5793.0,2047410
5793.0,5620.0,5620.0,5793.0,2030550
5793.0,5620.0,5620.0,5793.0,4806830
5620.0,5620.0,5620.0,5620.0,5620000
5452.0,5452.0,5452.0,5452.0,9944448
5289.0,5289.0,5289.0,5289.0,7986390
5131.0,5131.0,5131.0,5131.0,93184091
5284.0,4978.0,4978.0,5113.0,31836477009
5050.0,4960.0,4961.0,4972.0,7835832936
4900.0,4823.0,4823.0,4834.0,4879105004
4823.0,4689.0,4689.0,4725.0,3881763950
4866.0,4584.0,4584.0,4739.0,1431297858
4881.0,4848.0,4881.0,4848.0,4129833423
4980.0,4848.0,4940.0,4867.0,1602175303
5013.0,4933.0,5013.0,4933.0,2505557443
5080.0,4849.0,5080.0,5025.0,4712318537
5020.0,4875.0,4875.0,5016.0,323694114
5014.0,4866.0,4866.0,5014.0,60359344
5014.0,4864.0,4864.0,5014.0,16923356
5014.0,4864.0,4864.0,5014.0,8785884
5005.0,4864.0,4864.0,5005.0,318486402
5005.0,4855.0,4855.0,5005.0,10682500
5005.0,4855.0,4855.0,5005.0,2933920
5004.0,4855.0,4855.0,5004.0,26733120
5004.0,4854.0,4854.0,5004.0,423798
5004.0,4854.0,4854.0,5004.0,1069380
4854.0,4854.0,4854.0,4854.0,7281000
3885.0,3541.0,3885.0,3751.0,9269847950
3804.0,3804.0,3804.0,3804.0,3819748560
3908.0,3866.0,3906.0,3907.0,4330937453
4015.0,3930.0,3996.0,4015.0,4068192365
4106.0,4105.0,4106.0,4106.0,821199000
4129.0,4129.0,4129.0,4129.0,89508462
4131.0,4131.0,4131.0,4131.0,361156806
4141.0,4029.0,4141.0,4141.0,4931394467
4200.0,4008.0,4190.0,4090.0,2013428671
4221.0,4142.0,4145.0,4193.0,2427499981
4268.0,4250.0,4260.0,4268.0,530401868
4282.0,4279.0,4282.0,4280.0,671777760
4301.0,4301.0,4301.0,4301.0,1030188423
