high,low,open,close,Volume
6700.0,6700.0,6700.0,6700.0,6700000
6365.0,6365.0,6365.0,6365.0,6365000
6047.0,6047.0,6047.0,6047.0,24188000
5745.0,5745.0,5745.0,5745.0,34470000
5500.0,5500.0,5500.0,5500.0,5500000
5225.0,5225.0,5225.0,5225.0,15675000
5225.0,5225.0,5225.0,5225.0,522500
5224.0,5224.0,5224.0,5224.0,5224000
5199.0,5190.0,5198.0,5190.0,26250480
5000.0,4964.0,4964.0,4964.0,36947706
5000.0,4965.0,4965.0,5000.0,12465000
5002.0,5001.0,5002.0,5001.0,18165632
5001.0,5000.0,5001.0,5000.0,25342068
5000.0,4950.0,5000.0,4950.0,7549000
4751.0,4750.0,4751.0,4750.0,9501000
4513.0,4513.0,4513.0,4513.0,4513000
4400.0,4399.0,4400.0,4400.0,83818870
4400.0,4400.0,4400.0,4400.0,17952000
4400.0,4400.0,4400.0,4400.0,112107600
4000.0,4000.0,4000.0,4000.0,11600000
4000.0,4000.0,4000.0,4000.0,20800000
3999.0,3999.0,3999.0,3999.0,14220444
3997.0,3997.0,3997.0,3997.0,399700
3802.0,3801.0,3802.0,3801.0,26821856
3611.0,3611.0,3611.0,3611.0,18055000
3600.0,3600.0,3600.0,3600.0,1440000
3601.0,3600.0,3600.0,3600.0,29497800
3600.0,3600.0,3600.0,3600.0,13687200
3603.0,3602.0,3603.0,3602.0,3040588
3601.0,3600.0,3601.0,3600.0,4068500
3600.0,3600.0,3600.0,3600.0,2973600
3600.0,3600.0,3600.0,3600.0,298800
3601.0,3600.0,3601.0,3600.0,3211700
3600.0,3600.0,3600.0,3600.0,9720000
3601.0,3600.0,3600.0,3601.0,2268280
3780.0,3607.0,3607.0,3780.0,21804660
3969.0,3969.0,3969.0,3969.0,38618370
3997.0,3997.0,3997.0,3997.0,463652
4196.0,4196.0,4196.0,4196.0,37029700
4405.0,4405.0,4405.0,4405.0,4405000
4625.0,4625.0,4625.0,4625.0,4625000
4856.0,4856.0,4856.0,4856.0,4856000
5098.0,5098.0,5098.0,5098.0,5098000
5352.0,5352.0,5352.0,5352.0,30854280
5619.0,5352.0,5619.0,5352.0,387361781
3000.0,3000.0,3000.0,3000.0,3000000
3150.0,3150.0,3150.0,3150.0,1575000
3307.0,3307.0,3307.0,3307.0,2288444
3472.0,3472.0,3472.0,3472.0,3472000
3645.0,3645.0,3645.0,3645.0,3645000
3827.0,3827.0,3827.0,3827.0,3827000
4018.0,4018.0,4018.0,4018.0,5589038
4218.0,4218.0,4218.0,4218.0,4218000
4323.0,4323.0,4323.0,4323.0,66643368
4431.0,4431.0,4431.0,4431.0,31017000
4430.0,4322.0,4323.0,4323.0,30916404
4323.0,4250.0,4323.0,4250.0,21030819
4251.0,4250.0,4251.0,4250.0,3536735
4250.0,4249.0,4249.0,4250.0,19626000
4250.0,4200.0,4250.0,4200.0,4693000
4100.0,4100.0,4100.0,4100.0,24600000
4100.0,4100.0,4100.0,4100.0,4100000
4000.0,4000.0,4000.0,4000.0,5228000
3900.0,3900.0,3900.0,3900.0,3900000
3900.0,3900.0,3900.0,3900.0,893100
3900.0,3900.0,3900.0,3900.0,1497600
5250.0,5250.0,5250.0,5250.0,5250000
5227.0,5198.0,5227.0,5198.0,208210000
3200.0,3200.0,3200.0,3200.0,10240000
3360.0,3360.0,3360.0,3360.0,3360000
3528.0,3528.0,3528.0,3528.0,3528000
3704.0,3704.0,3704.0,3704.0,5504144
3712.0,3711.0,3712.0,3711.0,3711500
3716.0,3709.0,3715.0,3711.0,51857782
3711.0,3700.0,3700.0,3708.0,25407686
3800.0,3798.0,3798.0,3800.0,22794000
3800.0,3800.0,3800.0,3800.0,8360000
3800.0,3800.0,3800.0,3800.0,1801200
3948.0,3948.0,3948.0,3948.0,59220000
3850.0,3850.0,3850.0,3850.0,7700000
2000.0,2000.0,2000.0,2000.0,1586000
2000.0,2000.0,2000.0,2000.0,414000
2000.0,2000.0,2000.0,2000.0,576000
2011.0,2010.0,2011.0,2011.0,6397002
2010.0,2010.0,2010.0,2010.0,14146380
1911.0,1911.0,1911.0,1911.0,7296198
1816.0,1816.0,1816.0,1816.0,2215520
1726.0,1726.0,1726.0,1726.0,5178000
1726.0,1726.0,1726.0,1726.0,51101682
1640.0,1640.0,1640.0,1640.0,29520000
1640.0,1640.0,1640.0,1640.0,21320000
1640.0,1640.0,1640.0,1640.0,1640000
1640.0,1640.0,1640.0,1640.0,16400000
1640.0,1640.0,1640.0,1640.0,164000
1558.0,1558.0,1558.0,1558.0,1402200
1520.0,1520.0,1520.0,1520.0,1520000
1445.0,1445.0,1445.0,1445.0,2745500
1445.0,1445.0,1445.0,1445.0,6287195
1445.0,1445.0,1445.0,1445.0,28900000
1445.0,1445.0,1445.0,1445.0,1145885
1445.0,1445.0,1445.0,1445.0,144500
1445.0,1445.0,1445.0,1445.0,3863930
1445.0,1445.0,1445.0,1445.0,1446445
1445.0,1445.0,1445.0,1445.0,722500
1445.0,1445.0,1445.0,1445.0,4372570
1445.0,1445.0,1445.0,1445.0,4335000
1517.0,1447.0,1447.0,1515.0,15474550
1590.0,1590.0,1590.0,1590.0,7950000
1590.0,1590.0,1590.0,1590.0,31800000
1669.0,1654.0,1669.0,1654.0,4888351
1736.0,1736.0,1736.0,1736.0,17360000
1822.0,1822.0,1822.0,1822.0,18220000
1913.0,1913.0,1913.0,1913.0,9565000
2008.0,2008.0,2008.0,2008.0,10040000
2108.0,2108.0,2108.0,2108.0,10540000
2213.0,2213.0,2213.0,2213.0,33195000
2323.0,2213.0,2323.0,2287.0,78213010
2401.0,2401.0,2401.0,2401.0,34814500
2521.0,2401.0,2521.0,2458.0,99942536
