high,low,open,close,Volume
6250.0,6250.0,6250.0,6250.0,1568332568750
6562.0,6562.0,6562.0,6562.0,1572288010
6644.0,6644.0,6644.0,6644.0,2151818856
6756.0,6756.0,6756.0,6756.0,2377625568
6880.0,6880.0,6880.0,6880.0,4095388800
7093.0,7093.0,7093.0,7093.0,4670924918
7336.0,7336.0,7336.0,7336.0,9103007648
7702.0,7702.0,7702.0,7702.0,10167048206
8087.0,8087.0,8087.0,8087.0,8470445105
8491.0,8491.0,8491.0,8491.0,17538635996
8915.0,8915.0,8915.0,8915.0,69233444250
9397.0,9397.0,9397.0,9397.0,279333502349
9600.0,8999.0,9360.0,9404.0,349545705639
9729.0,8803.0,9360.0,9729.0,627963749399
10166.0,10166.0,10166.0,10166.0,57595442502
10674.0,10674.0,10674.0,10674.0,35833877532
11207.0,10800.0,11207.0,11207.0,516917844933
11751.0,11351.0,11748.0,11751.0,186275111707
12300.0,11355.0,12100.0,12067.0,518186042964
12519.0,12041.0,12240.0,12519.0,109591198024
13013.0,13013.0,13013.0,13013.0,17265557309
13663.0,13450.0,13663.0,13663.0,492444168379
14299.0,13659.0,13660.0,13991.0,91226540950
15349.0,14000.0,14619.0,15349.0,630518943014
15649.0,15150.0,15300.0,15649.0,356321941393
16388.0,16388.0,16388.0,16388.0,72328405224
17207.0,16401.0,17207.0,17207.0,1361905489161
17359.0,16237.0,16900.0,16800.0,961905264746
16690.0,16111.0,16580.0,16480.0,451451785928
17253.0,16480.0,16800.0,17253.0,429741270897
18002.0,17500.0,18000.0,18002.0,433436979933
18700.0,17321.0,18400.0,18000.0,422514364683
19000.0,17701.0,17974.0,18450.0,338216658765
19216.0,18000.0,18936.0,18899.0,249865831168
19198.0,18510.0,19000.0,18610.0,248954830467
18978.0,18001.0,18978.0,18250.0,328121055466
18300.0,17400.0,17900.0,17850.0,286319918028
18704.0,17550.0,17814.0,18691.0,289765890103
19700.0,18050.0,19000.0,18050.0,309832989257
18299.0,17710.0,18010.0,18079.0,173152215844
18100.0,17240.0,17900.0,17600.0,160212710955
17999.0,17400.0,17400.0,17782.0,126001059292
17782.0,17510.0,17610.0,17680.0,105430559096
18482.0,17556.0,17739.0,18482.0,239939960860
18956.0,18100.0,18580.0,18160.0,112875015524
18640.0,17802.0,18100.0,18098.0,112263904788
18200.0,17743.0,18111.0,17980.0,105468459762
18388.0,17210.0,18000.0,17583.0,176710938668
18399.0,17325.0,17325.0,17958.0,95589304343
18695.0,18200.0,18200.0,18385.0,117194547554
18700.0,18358.0,18608.0,18470.0,138301425835
18994.0,18250.0,18500.0,18619.0,172892388434
19564.0,19274.0,19564.0,19564.0,209748877221
20531.0,20000.0,20531.0,20531.0,610563599453
21522.0,21450.0,21522.0,21522.0,659706481281
20446.0,20446.0,20446.0,20446.0,67702144636
21468.0,20300.0,20300.0,21468.0,636215624528
22000.0,20129.0,21699.0,20129.0,368390207791
20419.0,20419.0,20419.0,20419.0,35600056863
20827.0,20827.0,20827.0,20827.0,57167074258
21868.0,21868.0,21868.0,21868.0,47959476180
22961.0,22961.0,22961.0,22961.0,99815577019
24109.0,24100.0,24109.0,24109.0,933373682884
25314.0,23551.0,24444.0,25314.0,365279319453
26050.0,26050.0,26050.0,26050.0,61350224750
27352.0,26478.0,27352.0,27352.0,845715310075
28399.0,26450.0,27500.0,27000.0,651939954339
26933.0,26004.0,26550.0,26247.0,440043398475
27387.0,26450.0,26700.0,27387.0,365463762066
28609.0,28403.0,28609.0,28609.0,261621786308
30034.0,28600.0,30000.0,28885.0,656725480482
30464.0,27949.0,28894.0,28920.0,403102519570
30199.0,28001.0,29000.0,28502.0,431143507230
28780.0,27339.0,28100.0,27355.0,691372335271
28841.0,26500.0,27355.0,28001.0,284902520110
28900.0,27353.0,28900.0,27600.0,286256478333
27950.0,26572.0,27950.0,26700.0,415950516137
28299.0,26299.0,26700.0,28105.0,315324431999
28666.0,28001.0,28660.0,28666.0,381272766030
