high,low,open,close,Volume
1515.0,1515.0,1515.0,1515.0,392385000
1515.0,1515.0,1515.0,1515.0,110595000
1610.0,1610.0,1610.0,1610.0,15066867830
1913.0,1913.0,1913.0,1913.0,103302000
3000.0,3000.0,3000.0,3000.0,6299229000
3150.0,3150.0,3150.0,3150.0,7176380400
3121.0,3121.0,3121.0,3121.0,312100000
3120.0,3120.0,3120.0,3120.0,15600000
3500.0,3500.0,3500.0,3500.0,157500000
3500.0,3000.0,3500.0,3000.0,1852000
3500.0,2603.0,3500.0,2603.0,16603000
2600.0,2600.0,2600.0,2600.0,260000
3150.0,3150.0,3150.0,3150.0,63000000
2260.0,1700.0,2260.0,1712.0,3107683607
1850.0,1750.0,1751.0,1760.0,8316489900
1800.0,1750.0,1761.0,1750.0,211196802
1750.0,1700.0,1750.0,1700.0,363605700
1700.0,1600.0,1610.0,1675.0,285000000
1600.0,1600.0,1600.0,1600.0,600000000
1515.0,1300.0,1400.0,1300.0,490375000
1498.0,1498.0,1498.0,1498.0,749000
1350.0,1350.0,1350.0,1350.0,135000000
1301.0,1300.0,1301.0,1300.0,26010000
1210.0,1170.0,1210.0,1170.0,84200000
1200.0,1005.0,1100.0,1005.0,489943000
1008.0,1000.0,1008.0,1000.0,276110000
1023.0,1000.0,1000.0,1023.0,1026015000
1240.0,1000.0,1023.0,1240.0,848109040
1200.0,1100.0,1200.0,1100.0,100000000
1100.0,1020.0,1100.0,1021.0,691803858
1045.0,1023.0,1023.0,1031.0,261058500
1100.0,1042.0,1100.0,1042.0,25066000
1050.0,1035.0,1050.0,1035.0,261479000
1129.0,1050.0,1050.0,1129.0,48379000
1140.0,1100.0,1111.0,1100.0,317699100
1102.0,1071.0,1102.0,1080.0,369900990
1290.0,1130.0,1130.0,1285.0,1019645000
1400.0,1220.0,1295.0,1400.0,643091500
1487.0,1300.0,1400.0,1301.0,764025000
1389.0,1389.0,1389.0,1389.0,2778000
1300.0,1210.0,1300.0,1210.0,18174750
1210.0,1156.0,1157.0,1156.0,283871750
1156.0,1150.0,1156.0,1151.0,215210000
1200.0,1112.0,1200.0,1150.0,324476000
1126.0,1126.0,1126.0,1126.0,11260000
1121.0,1075.0,1121.0,1075.0,60982680
1101.0,1070.0,1101.0,1100.0,97435250
1079.0,1041.0,1070.0,1051.0,554630800
1150.0,1095.0,1096.0,1100.0,786895000
1124.0,1080.0,1080.0,1124.0,76480000
1090.0,1090.0,1090.0,1090.0,87200000
1090.0,1041.0,1090.0,1055.0,326192048
1056.0,1040.0,1055.0,1050.0,220330000
1042.0,1040.0,1042.0,1040.0,118609000
1040.0,1000.0,1040.0,1000.0,534813650
1025.0,970.0,1000.0,980.0,228130750
1100.0,802.0,1100.0,942.0,3215933948
970.0,945.0,945.0,970.0,116150000
1029.0,960.0,960.0,1000.0,957845000
1200.0,1029.0,1030.0,1100.0,3257903800
1250.0,1029.0,1080.0,1250.0,2307539909
1250.0,1033.0,1089.0,1081.0,2131685366
1250.0,1041.0,1044.0,1250.0,3668955000
1109.0,1030.0,1045.0,1030.0,762141250
1060.0,1020.0,1025.0,1030.0,1147201430
1091.0,1020.0,1030.0,1088.0,3282503876
1053.0,1011.0,1053.0,1030.0,2172128891
1055.0,1001.0,1055.0,1001.0,984875464
1048.0,1005.0,1035.0,1005.0,902947110
1025.0,1000.0,1025.0,1000.0,231998600
1003.0,1000.0,1003.0,1000.0,795560000
1000.0,980.0,1000.0,980.0,228235000
1029.0,980.0,1000.0,1029.0,505787590
985.0,900.0,900.0,981.0,126883800
1000.0,1000.0,1000.0,1000.0,2761594000
1000.0,980.0,990.0,980.0,161735875
999.0,951.0,966.0,999.0,153430080
960.0,923.0,960.0,950.0,295390500
960.0,921.0,926.0,958.0,482970300
950.0,950.0,950.0,950.0,66500000
1000.0,1000.0,1000.0,1000.0,164570000
950.0,912.0,949.0,913.0,2316302595
938.0,900.0,915.0,900.0,527248000
900.0,900.0,900.0,900.0,369588600
900.0,871.0,900.0,874.0,175729594
871.0,870.0,870.0,871.0,43517086
935.0,870.0,870.0,935.0,261308832
979.0,938.0,938.0,979.0,405590000
981.0,938.0,938.0,981.0,179710000
974.0,969.0,969.0,974.0,582200000
981.0,974.0,980.0,981.0,669235000
984.0,984.0,984.0,984.0,984000
984.0,960.0,960.0,984.0,170400000
989.0,985.0,985.0,985.0,80071910
