date,high,low,open,close,Volume
1384201800000,600.0,550.0,600.0,550.0,117352600
1385757000000,1000.0,500.0,600.0,550.0,111583020
1386707400000,610.0,548.0,548.0,610.0,37422000
1387657800000,700.0,650.0,670.0,650.0,96590529
1387917000000,999.0,650.0,800.0,700.0,95036260
1388521800000,801.0,671.0,800.0,790.0,344093956
1388781000000,800.0,800.0,800.0,800.0,212312000
1389126600000,1100.0,800.0,820.0,800.0,545888950
1389558600000,1000.0,800.0,900.0,900.0,207838800
1389731400000,1000.0,880.0,900.0,900.0,247863000
1390249800000,915.0,900.0,915.0,900.0,71701200
1390854600000,910.0,800.0,820.0,900.0,245918520
1390941000000,820.0,820.0,820.0,820.0,22960
1391200200000,810.0,681.0,681.0,800.0,236242500
1391286600000,870.0,870.0,870.0,870.0,4350000
1391373000000,820.0,800.0,820.0,800.0,293384400
1391545800000,850.0,800.0,830.0,800.0,51443250
1392582600000,685.0,680.0,685.0,684.0,111732436
1392669000000,700.0,600.0,685.0,680.0,111719980
1392755400000,789.0,685.0,685.0,789.0,19223000
1393101000000,789.0,675.0,680.0,684.0,87384545
1393360200000,699.0,672.0,684.0,672.0,247169872
1393705800000,750.0,660.0,750.0,750.0,42730050
1393878600000,750.0,741.0,741.0,750.0,29643750
1393965000000,672.0,650.0,672.0,650.0,123822560
1394310600000,750.0,651.0,670.0,651.0,50922790
1394397000000,601.0,601.0,601.0,601.0,36056995
1394483400000,601.0,500.0,500.0,570.0,86549575
1395689400000,600.0,501.0,530.0,501.0,119862450
1395775800000,460.0,460.0,460.0,460.0,5434900
1396035000000,560.0,558.0,560.0,559.0,91261160
1396121400000,599.0,560.0,560.0,560.0,71902351
1396207800000,600.0,600.0,600.0,600.0,18000000
1396639800000,600.0,560.0,600.0,560.0,52715280
1396726200000,580.0,580.0,580.0,580.0,5794200
1396812600000,582.0,550.0,580.0,580.0,98293960
1396899000000,580.0,580.0,580.0,580.0,2900
1396985400000,649.0,500.0,600.0,500.0,206895315
1397244600000,476.0,476.0,476.0,476.0,111860
1397331000000,505.0,505.0,505.0,505.0,33249705
1397417400000,510.0,506.0,510.0,506.0,74570000
1397503800000,520.0,506.0,520.0,511.0,45839623
1397849400000,531.0,530.0,530.0,531.0,23882000
1397935800000,531.0,525.0,525.0,525.0,39960000
1398022200000,540.0,531.0,540.0,531.0,20620134
1398454200000,580.0,530.0,532.0,531.0,19743886
1398540600000,589.0,530.0,530.0,533.0,31438864
1398627000000,534.0,534.0,534.0,534.0,2376300
1398713400000,540.0,540.0,540.0,540.0,3780000
1399145400000,555.0,555.0,555.0,555.0,3155175
1399231800000,550.0,536.0,536.0,550.0,20210000
1399318200000,589.0,540.0,540.0,589.0,114220550
1399404600000,595.0,595.0,595.0,595.0,595000
1399663800000,599.0,595.0,595.0,595.0,146535000
1399750200000,605.0,596.0,596.0,605.0,38798266
1399836600000,630.0,591.0,610.0,604.0,74425350
1400009400000,650.0,605.0,610.0,650.0,46219610
1400268600000,660.0,650.0,650.0,650.0,47148000
1400355000000,660.0,601.0,601.0,659.0,88460310
1400441400000,790.0,670.0,670.0,790.0,95084810
1400527800000,825.0,711.0,800.0,825.0,60983125
1400614200000,855.0,800.0,800.0,820.0,392222800
1400873400000,830.0,770.0,830.0,790.0,295991300
1400959800000,770.0,717.0,770.0,717.0,44602962
1401046200000,799.0,767.0,768.0,798.0,128706171
1403379000000,750.0,650.0,651.0,700.0,1648849870
1403465400000,750.0,672.0,700.0,740.0,964309659
1403551800000,750.0,723.0,750.0,750.0,402455300
1403638200000,770.0,727.0,727.0,760.0,158705101
1403897400000,750.0,727.0,727.0,729.0,132088234
1403983800000,729.0,693.0,729.0,693.0,281538557
1404070200000,730.0,690.0,730.0,690.0,146773536
1404156600000,693.0,627.0,693.0,690.0,117482634
1404243000000,690.0,690.0,690.0,690.0,6900000
1404502200000,726.0,726.0,726.0,726.0,7260000
1404588600000,726.0,680.0,726.0,685.0,234635550
1404675000000,680.0,620.0,675.0,672.0,172600281
1404761400000,726.0,690.0,690.0,726.0,139384460
1404847800000,710.0,700.0,710.0,700.0,127096100
1405107000000,738.0,703.0,710.0,708.0,463114114
1405193400000,720.0,705.0,720.0,705.0,266241000
1405366200000,681.0,673.0,673.0,681.0,9619934
1405798200000,680.0,673.0,673.0,680.0,196792866
1405884600000,704.0,600.0,620.0,700.0,183654800
1406057400000,690.0,690.0,690.0,690.0,27600000
1406316600000,673.0,672.0,673.0,673.0,167755820
1406403000000,675.0,675.0,675.0,675.0,55462050
1406489400000,700.0,672.0,672.0,700.0,29949080
1406921400000,690.0,690.0,690.0,690.0,69000
1407007800000,675.0,672.0,673.0,675.0,49165800
1407094200000,676.0,672.0,672.0,676.0,3896596
1407180600000,672.0,672.0,672.0,672.0,11066496
1407267000000,671.0,610.0,610.0,671.0,34504650
1407526200000,601.0,601.0,601.0,601.0,12020000
1407699000000,660.0,610.0,610.0,649.0,84612090
1407785400000,649.0,615.0,649.0,615.0,19912770
1407871800000,640.0,615.0,615.0,640.0,18367720
1408217400000,650.0,630.0,630.0,650.0,4772450
1408303800000,630.0,610.0,625.0,610.0,90174980
1408390200000,680.0,640.0,640.0,680.0,100521175
1408476600000,680.0,626.0,680.0,660.0,74094740
1408735800000,677.0,650.0,651.0,677.0,22971240
1408822200000,680.0,650.0,677.0,650.0,189923918
1408908600000,650.0,650.0,650.0,650.0,13000000
1408995000000,677.0,650.0,651.0,677.0,140504054
1409686200000,660.0,645.0,645.0,660.0,26598890
1409945400000,670.0,585.0,585.0,670.0,68493005
1410031800000,620.0,570.0,585.0,620.0,105539395
1410118200000,630.0,595.0,595.0,630.0,21980590
1410204600000,602.0,600.0,600.0,602.0,11582600
1410550200000,630.0,595.0,603.0,596.0,92124582
1410723000000,595.0,595.0,595.0,595.0,29750000
1410809400000,600.0,596.0,600.0,596.0,119600000
1411158600000,595.0,587.0,595.0,587.0,12140772
1411331400000,619.0,601.0,601.0,619.0,12981000
1411417800000,620.0,610.0,610.0,620.0,6750000
1411504200000,630.0,590.0,620.0,630.0,132927390
1411763400000,616.0,616.0,616.0,616.0,12655720
1411849800000,600.0,600.0,600.0,600.0,14400000
1411936200000,600.0,600.0,600.0,600.0,21600000
1412022600000,591.0,580.0,586.0,591.0,102814153
1412109000000,620.0,600.0,600.0,620.0,29351380
1412541000000,690.0,628.0,628.0,690.0,317336595
1412627400000,900.0,660.0,750.0,660.0,496218770
1412713800000,719.0,660.0,700.0,719.0,134544010
1412973000000,728.0,700.0,728.0,700.0,192621500
1413059400000,691.0,680.0,691.0,691.0,111074615
1413232200000,691.0,670.0,691.0,670.0,136530942
1413318600000,709.0,670.0,670.0,709.0,72432093
1413664200000,670.0,660.0,661.0,660.0,240041390
1413750600000,699.0,660.0,690.0,699.0,70609000
1413837000000,700.0,670.0,699.0,670.0,67351500
1413923400000,699.0,699.0,699.0,699.0,69900000
1414182600000,673.0,673.0,673.0,673.0,67300000
1414269000000,690.0,670.0,674.0,690.0,176930000
1414441800000,697.0,675.0,697.0,675.0,9494000
1414528200000,695.0,675.0,675.0,695.0,43466825
1414787400000,689.0,689.0,689.0,689.0,3445000
1414873800000,710.0,675.0,675.0,681.0,424552710
1415133000000,710.0,695.0,710.0,695.0,38975000
1415392200000,770.0,715.0,715.0,770.0,506990000
1415478600000,800.0,769.0,800.0,790.0,397596887
1415565000000,900.0,800.0,800.0,900.0,539572420
1415651400000,850.0,820.0,835.0,820.0,248849280
1415737800000,889.0,825.0,850.0,850.0,171201850
1415997000000,850.0,815.0,850.0,815.0,149135000
1416083400000,888.0,800.0,820.0,888.0,384130650
1416169800000,920.0,851.0,888.0,880.0,105298000
1416256200000,920.0,920.0,920.0,920.0,4600000
1416342600000,950.0,850.0,850.0,950.0,263898700
1416601800000,980.0,860.0,900.0,950.0,107496980
1416688200000,1000.0,931.0,931.0,995.0,131518790
1416774600000,998.0,931.0,995.0,932.0,86969500
1416861000000,932.0,880.0,901.0,880.0,225506760
1416947400000,920.0,860.0,920.0,860.0,42016200
1417206600000,950.0,880.0,918.0,880.0,327433040
1417293000000,871.0,870.0,871.0,870.0,46944750
1417465800000,870.0,851.0,870.0,851.0,48017095
1417552200000,851.0,850.0,851.0,850.0,161625315
1417811400000,852.0,825.0,850.0,850.0,45277170
1417897800000,850.0,850.0,850.0,850.0,68575450
1417984200000,850.0,800.0,849.0,800.0,151069150
1418070600000,750.0,750.0,750.0,750.0,3750000
1418157000000,798.0,750.0,751.0,750.0,18093875
1418589000000,752.0,751.0,752.0,751.0,87873125
1418675400000,719.0,719.0,719.0,719.0,3595000
1418761800000,720.0,719.0,720.0,719.0,15957354
1419021000000,750.0,750.0,750.0,750.0,375000
1419193800000,750.0,750.0,750.0,750.0,10500000
1419712200000,790.0,750.0,790.0,750.0,27153000
1419798600000,780.0,725.0,780.0,725.0,75575925
1419885000000,725.0,725.0,725.0,725.0,26205125
1419971400000,789.0,712.0,789.0,712.0,106699391
1420230600000,786.0,713.0,786.0,713.0,57264213
1420403400000,720.0,713.0,720.0,713.0,15950260
1420489800000,713.0,700.0,713.0,713.0,85317368
1420576200000,696.0,696.0,696.0,696.0,24758112
1420835400000,700.0,700.0,700.0,700.0,1739500
1420921800000,700.0,652.0,700.0,652.0,91974772
1421008200000,740.0,740.0,740.0,740.0,3700000
1421094600000,775.0,775.0,775.0,775.0,4876300
1421181000000,775.0,702.0,775.0,770.0,10188215
1421440200000,770.0,711.0,769.0,711.0,54581000
1421526600000,720.0,720.0,720.0,720.0,9180000
1421613000000,770.0,770.0,770.0,770.0,2310000
1421699400000,720.0,720.0,720.0,720.0,7200000
1421785800000,680.0,626.0,680.0,626.0,32510000
1422045000000,767.0,767.0,767.0,767.0,767000
1422217800000,710.0,709.0,709.0,710.0,74240700
1422304200000,767.0,660.0,660.0,767.0,9548450
1422390600000,778.0,730.0,760.0,778.0,106628867
