high,low,open,close,Volume
4608.0,4608.0,4608.0,4608.0,4608000
4611.0,4611.0,4611.0,4611.0,10144200
4625.0,4624.0,4625.0,4624.0,10086944
4625.0,4621.0,4624.0,4625.0,38074547
4600.0,4600.0,4600.0,4600.0,36326200
4599.0,4599.0,4599.0,4599.0,9887850
4598.0,4597.0,4598.0,4598.0,212877975
4580.0,4580.0,4580.0,4580.0,9892800
4620.0,4500.0,4620.0,4500.0,122562000
4500.0,4497.0,4497.0,4500.0,154603287
4501.0,4500.0,4500.0,4501.0,35214625
4504.0,4503.0,4504.0,4503.0,29271500
4521.0,4520.0,4521.0,4520.0,41588200
4550.0,4519.0,4520.0,4550.0,299075000
4580.0,4535.0,4550.0,4550.0,116911393
4590.0,4553.0,4554.0,4580.0,93279400
4589.0,4580.0,4580.0,4580.0,203858660
4600.0,4598.0,4600.0,4598.0,99536764
4640.0,4598.0,4598.0,4640.0,79306400
4691.0,4640.0,4640.0,4691.0,327450110
4703.0,4691.0,4691.0,4703.0,25955310
4721.0,4710.0,4714.0,4720.0,38841720
4800.0,4800.0,4800.0,4800.0,16992000
4801.0,4800.0,4801.0,4800.0,36206857
4800.0,4800.0,4800.0,4800.0,2976000
4800.0,4796.0,4798.0,4799.0,154863520
4900.0,4800.0,4800.0,4900.0,141047000
4901.0,4901.0,4901.0,4901.0,211100773
4904.0,4901.0,4904.0,4904.0,265292983
5000.0,4950.0,5000.0,4950.0,141954900
5040.0,5040.0,5040.0,5040.0,16102800
5040.0,5038.0,5039.0,5039.0,1055630723
5039.0,5039.0,5039.0,5039.0,14280526
5039.0,5034.0,5039.0,5034.0,29119520
5035.0,5033.0,5035.0,5035.0,429829200
5035.0,5035.0,5035.0,5035.0,18569080
5010.0,5000.0,5010.0,5000.0,145280000
5000.0,5000.0,5000.0,5000.0,20000000
5000.0,5000.0,5000.0,5000.0,15000000
4960.0,4950.0,4950.0,4950.0,56945350
4945.0,4944.0,4945.0,4944.0,348054245
4942.0,4942.0,4942.0,4942.0,12355000
4930.0,4928.0,4930.0,4928.0,205116880
4927.0,4889.0,4927.0,4889.0,101649661
4889.0,4887.0,4889.0,4887.0,108569794
4874.0,4800.0,4874.0,4800.0,26841542
4795.0,4601.0,4720.0,4601.0,166107225
4600.0,4510.0,4600.0,4510.0,83691500
4550.0,4500.0,4510.0,4500.0,165087060
4500.0,4500.0,4500.0,4500.0,27144000
4504.0,4500.0,4500.0,4504.0,34448320
4550.0,4480.0,4505.0,4550.0,198170530
4501.0,4501.0,4501.0,4501.0,13503000
4600.0,4600.0,4600.0,4600.0,46000000
4602.0,4600.0,4600.0,4600.0,72512744
4510.0,4505.0,4510.0,4510.0,49605000
4510.0,4510.0,4510.0,4510.0,52383650
4510.0,4491.0,4491.0,4510.0,32628420
4510.0,4509.0,4510.0,4509.0,2097008
4508.0,4498.0,4499.0,4508.0,256338759
4300.0,4300.0,4300.0,4300.0,21500000
4085.0,4085.0,4085.0,4085.0,8170000
3881.0,3881.0,3881.0,3881.0,3881000
3687.0,3687.0,3687.0,3687.0,20647200
3503.0,3503.0,3503.0,3503.0,13090711
3503.0,3501.0,3503.0,3502.0,15976612
3490.0,3480.0,3490.0,3480.0,60516280
3437.0,3437.0,3437.0,3437.0,24059000
3432.0,3432.0,3432.0,3432.0,1956240
3426.0,3426.0,3426.0,3426.0,8907600
3414.0,3414.0,3414.0,3414.0,17070000
3406.0,3406.0,3406.0,3406.0,7939386
3405.0,3405.0,3405.0,3405.0,9925575
3401.0,3401.0,3401.0,3401.0,6802000
3396.0,3396.0,3396.0,3396.0,13617960
3370.0,3370.0,3370.0,3370.0,4937050
3202.0,3202.0,3202.0,3202.0,6404000
3053.0,3050.0,3050.0,3052.0,59612168
3200.0,3082.0,3082.0,3200.0,24828099
3206.0,3206.0,3206.0,3206.0,1827420
3361.0,3300.0,3300.0,3361.0,22920274
3367.0,3365.0,3367.0,3365.0,37832600
3418.0,3417.0,3418.0,3417.0,12645900
3529.0,3500.0,3500.0,3529.0,9750300
3537.0,3536.0,3537.0,3536.0,10608400
3712.0,3712.0,3712.0,3712.0,22272000
3881.0,3881.0,3881.0,3881.0,12403676
3881.0,3881.0,3881.0,3881.0,8437294
3902.0,3900.0,3900.0,3902.0,21087500
3905.0,3905.0,3905.0,3905.0,2303950
3916.0,3916.0,3916.0,3916.0,19580000
3932.0,3930.0,3930.0,3932.0,18224480
3938.0,3932.0,3938.0,3932.0,33622030
3900.0,3900.0,3900.0,3900.0,4992000
3800.0,3800.0,3800.0,3800.0,7600000
3799.0,3799.0,3799.0,3799.0,3799000
3800.0,3797.0,3797.0,3800.0,55408356
3802.0,3800.0,3802.0,3801.0,68385404
3901.0,3875.0,3875.0,3901.0,82887320
3918.0,3918.0,3918.0,3918.0,3918000
3930.0,3930.0,3930.0,3930.0,4637400
3949.0,3949.0,3949.0,3949.0,3949000
4146.0,4146.0,4146.0,4146.0,6219000
4146.0,4146.0,4146.0,4146.0,4747170
4140.0,4138.0,4138.0,4140.0,30934086
4140.0,4140.0,4140.0,4140.0,6210000
4298.0,4140.0,4140.0,4293.0,65504018
4300.0,4293.0,4300.0,4300.0,245470386
4150.0,4085.0,4150.0,4085.0,13088160
4280.0,4190.0,4200.0,4280.0,121190600
4300.0,4280.0,4280.0,4300.0,163241000
4350.0,4300.0,4300.0,4350.0,130265500
4350.0,4350.0,4350.0,4350.0,2175000
4400.0,4350.0,4350.0,4400.0,140434575
4400.0,4400.0,4400.0,4400.0,49280000
4429.0,4398.0,4400.0,4429.0,123482185
4429.0,4400.0,4400.0,4428.0,191712100
4417.0,4417.0,4417.0,4417.0,31272360
4417.0,4400.0,4417.0,4400.0,50876660
4400.0,4400.0,4400.0,4400.0,2706000
4397.0,4369.0,4397.0,4369.0,40685898
4368.0,4250.0,4368.0,4250.0,131698600
4230.0,4130.0,4230.0,4130.0,189745000
4129.0,3950.0,4129.0,3950.0,138589400
4000.0,4000.0,4000.0,4000.0,50400000
4000.0,4000.0,4000.0,4000.0,25120000
4200.0,4004.0,4007.0,4200.0,73498600
4200.0,4200.0,4200.0,4200.0,8400000
4201.0,4200.0,4200.0,4201.0,8401385
4369.0,4201.0,4201.0,4369.0,17985238
4368.0,4368.0,4368.0,4368.0,3524976
4201.0,4201.0,4201.0,4201.0,5881400
4202.0,4201.0,4202.0,4201.0,4622100
4196.0,4180.0,4180.0,4196.0,13275540
4100.0,4100.0,4100.0,4100.0,3308700
4100.0,4100.0,4100.0,4100.0,63599200
4101.0,4100.0,4101.0,4100.0,39023810
4100.0,4100.0,4100.0,4100.0,2468200
4100.0,4099.0,4099.0,4100.0,40991680
4098.0,4095.0,4095.0,4098.0,20479504
3784.0,3784.0,3784.0,3784.0,3784000
3595.0,3595.0,3595.0,3595.0,1797500
3416.0,3416.0,3416.0,3416.0,1708000
3407.0,3398.0,3407.0,3398.0,3927178
3229.0,3229.0,3229.0,3229.0,38492909
3229.0,3229.0,3229.0,3229.0,3229000
3068.0,3068.0,3068.0,3068.0,3068000
3068.0,3068.0,3068.0,3068.0,6136000
2950.0,2950.0,2950.0,2950.0,2950000
2803.0,2803.0,2803.0,2803.0,2803000
2663.0,2663.0,2663.0,2663.0,2663000
2530.0,2530.0,2530.0,2530.0,2530000
2404.0,2404.0,2404.0,2404.0,2764600
2284.0,2284.0,2284.0,2284.0,4568000
2200.0,2200.0,2200.0,2200.0,5500000
2170.0,2100.0,2170.0,2159.0,17199240
2155.0,2100.0,2155.0,2100.0,5267200
2100.0,2100.0,2100.0,2100.0,630000
2093.0,2093.0,2093.0,2093.0,12558000
2100.0,2093.0,2093.0,2100.0,5435485
2050.0,2050.0,2050.0,2050.0,10250000
2052.0,2051.0,2052.0,2051.0,10975850
2150.0,2150.0,2150.0,2150.0,1161000
2156.0,2156.0,2156.0,2156.0,4312000
2263.0,2263.0,2263.0,2263.0,4526000
2376.0,2376.0,2376.0,2376.0,5916240
2494.0,2494.0,2494.0,2494.0,4988000
2618.0,2618.0,2618.0,2618.0,1309000
2748.0,2748.0,2748.0,2748.0,2748000
2885.0,2885.0,2885.0,2885.0,129100865
3029.0,3029.0,3029.0,3029.0,6058000
3180.0,3180.0,3180.0,3180.0,117628200
3229.0,3180.0,3180.0,3180.0,202605100
3180.0,3180.0,3180.0,3180.0,1825320
3178.0,3178.0,3178.0,3178.0,19036220
3170.0,3159.0,3168.0,3159.0,28066710
3162.0,3154.0,3154.0,3162.0,63139598
3163.0,3162.0,3162.0,3163.0,126485094
3159.0,3159.0,3159.0,3159.0,16869060
3099.0,3002.0,3002.0,3099.0,18109000
3087.0,3087.0,3087.0,3087.0,14971950
3000.0,2996.0,2996.0,3000.0,19204232
2997.0,2997.0,2997.0,2997.0,3497499
2993.0,2959.0,2959.0,2993.0,154983056
2848.0,2848.0,2848.0,2848.0,1424000
2850.0,2848.0,2850.0,2848.0,12816600
2990.0,2990.0,2990.0,2990.0,7475000
2993.0,2991.0,2991.0,2993.0,31421500
2993.0,2991.0,2991.0,2993.0,110556978
3000.0,3000.0,3000.0,3000.0,4425000
3149.0,3000.0,3000.0,3149.0,33218220
4623.0,3149.0,3149.0,4623.0,48254022899
2100.0,2100.0,2100.0,2100.0,4200000
2100.0,2100.0,2100.0,2100.0,15932700
2153.0,2153.0,2153.0,2153.0,8612000
2205.0,2205.0,2205.0,2205.0,5512500
2271.0,2271.0,2271.0,2271.0,20439000
2315.0,2314.0,2314.0,2315.0,9258500
2430.0,2430.0,2430.0,2430.0,6388470
2551.0,2551.0,2551.0,2551.0,2551000
2678.0,2678.0,2678.0,2678.0,233004746
2811.0,2811.0,2811.0,2811.0,2811000
2951.0,2951.0,2951.0,2951.0,2951000
3098.0,3098.0,3098.0,3098.0,3098000
3252.0,3252.0,3252.0,3252.0,3252000
3414.0,3414.0,3414.0,3414.0,3414000
3584.0,3584.0,3584.0,3584.0,86016000
3763.0,3763.0,3763.0,3763.0,157703567
3951.0,3900.0,3951.0,3951.0,539313729
4148.0,4148.0,4148.0,4148.0,148539880
4355.0,4355.0,4355.0,4355.0,97608615
4572.0,4572.0,4572.0,4572.0,177416460
4800.0,4800.0,4800.0,4800.0,247200000
5040.0,5040.0,5040.0,5040.0,94585680
5292.0,5001.0,5292.0,5001.0,66397330
4771.0,4751.0,4771.0,4751.0,10781015
4520.0,4514.0,4514.0,4514.0,18960000
4289.0,4289.0,4289.0,4289.0,15011500
4075.0,4075.0,4075.0,4075.0,16300000
4000.0,3994.0,4000.0,3994.0,25877529
4000.0,3820.0,3995.0,4000.0,123731195
3800.0,3800.0,3800.0,3800.0,11400000
3808.0,3808.0,3808.0,3808.0,15993600
3950.0,3950.0,3950.0,3950.0,7900000
4147.0,4147.0,4147.0,4147.0,106826720
4354.0,4354.0,4354.0,4354.0,222641790
6000.0,4400.0,5500.0,4400.0,325349368
4620.0,4620.0,4620.0,4620.0,81774000
4869.0,4869.0,4869.0,4869.0,9738000
5101.0,4902.0,5101.0,5101.0,22817025
6250.0,5115.0,5115.0,6250.0,94727500
6250.0,6250.0,6250.0,6250.0,520731250
6250.0,6250.0,6250.0,6250.0,498800000
6250.0,6250.0,6250.0,6250.0,99493750
6562.0,6560.0,6562.0,6562.0,254662072
6890.0,6562.0,6562.0,6877.0,51258007
7220.0,7220.0,7220.0,7220.0,651395620
7222.0,7220.0,7221.0,7220.0,95078820
7250.0,7220.0,7223.0,7220.0,79485522
7225.0,7190.0,7225.0,7220.0,105371437
7220.0,7199.0,7200.0,7220.0,6487201
7190.0,7000.0,7000.0,7056.0,190080560
7190.0,7000.0,7190.0,7056.0,90334610
7056.0,7000.0,7000.0,7056.0,102823560
7000.0,6990.0,7000.0,6997.0,196498970
7150.0,6997.0,7150.0,6997.0,35741320
6997.0,6997.0,6997.0,6997.0,30241034
6997.0,6648.0,6648.0,6997.0,68032474
6997.0,6648.0,6648.0,6997.0,2549674
6797.0,6648.0,6648.0,6797.0,53251970
6797.0,6458.0,6458.0,6797.0,713770
6542.0,6458.0,6458.0,6542.0,67919626
6411.0,6215.0,6215.0,6411.0,34799745
5500.0,3190.0,5500.0,3767.0,15107670
3750.0,3579.0,3579.0,3750.0,4396722
3750.0,3563.0,3563.0,3750.0,73130
3744.0,3563.0,3563.0,3744.0,1523211
3727.0,3557.0,3557.0,3727.0,4305670
3713.0,3541.0,3541.0,3713.0,3578130
3528.0,3528.0,3528.0,3528.0,1764000
3528.0,3352.0,3352.0,3528.0,68800
3352.0,3352.0,3352.0,3352.0,3352000
3185.0,3185.0,3185.0,3185.0,3185000
3026.0,3026.0,3026.0,3026.0,3026000
2876.0,2875.0,2875.0,2875.0,161643120
2875.0,2732.0,2874.0,2761.0,525880725
2899.0,2899.0,2899.0,2899.0,6157502091
3043.0,3043.0,3043.0,3043.0,3819333203
2979.0,2600.0,2979.0,2681.0,242475091
2815.0,2800.0,2800.0,2814.0,2369059855
2954.0,2954.0,2954.0,2954.0,147596610
3101.0,2820.0,3101.0,3075.0,5781515733
3228.0,3000.0,3096.0,3144.0,1621376264
3100.0,2987.0,3089.0,3038.0,1185813523
3189.0,3070.0,3070.0,3160.0,2326921775
3318.0,3317.0,3318.0,3317.0,1451115354
3482.0,3401.0,3482.0,3481.0,5062818828
3655.0,3521.0,3654.0,3640.0,2770459998
3822.0,3786.0,3820.0,3820.0,4049508451
4011.0,3818.0,4011.0,3897.0,1787347625
3869.0,3703.0,3869.0,3756.0,1448937674
3943.0,3700.0,3790.0,3806.0,1570219043
3996.0,3814.0,3996.0,3982.0,6067269194
4181.0,3900.0,3980.0,4143.0,3782604139
4350.0,4350.0,4350.0,4350.0,3280482900
4567.0,4471.0,4567.0,4471.0,95951710
4694.0,4518.0,4694.0,4518.0,37597180
4743.0,4743.0,4743.0,4743.0,277873398
9400.0,7315.0,7900.0,8284.0,11253391023
8698.0,8201.0,8698.0,8611.0,10151268360
9041.0,9000.0,9041.0,9038.0,2730147896
9489.0,9489.0,9489.0,9489.0,1504661241
9963.0,9963.0,9963.0,9963.0,2955215097
10461.0,10461.0,10461.0,10461.0,1819628184
10984.0,9938.0,10984.0,10535.0,19412116846
11061.0,10010.0,10535.0,10656.0,4525753719
10131.0,10124.0,10124.0,10124.0,1742381345
9618.0,9618.0,9618.0,9618.0,703470138
9184.0,9138.0,9138.0,9184.0,308563306
9138.0,8728.0,8728.0,8957.0,9948012651
9404.0,8750.0,8997.0,9305.0,2767883892
9770.0,9597.0,9770.0,9597.0,230032920
10076.0,10076.0,10076.0,10076.0,1559311380
10579.0,10579.0,10579.0,10579.0,1052092129
11107.0,11107.0,11107.0,11107.0,1097038390
11662.0,11562.0,11662.0,11562.0,357789160
12140.0,10984.0,12140.0,11631.0,19918804159
