high,low,open,close,Volume
1500.0,1150.0,1150.0,1500.0,1087431200
1550.0,1200.0,1506.0,1400.0,8230915600
1400.0,1270.0,1400.0,1310.0,46725889200
1400.0,1206.0,1311.0,1300.0,223604364
1320.0,1230.0,1300.0,1230.0,449100400
1250.0,1205.0,1250.0,1230.0,110558800
1230.0,1200.0,1230.0,1200.0,1393066965
1205.0,1200.0,1200.0,1205.0,363125020
1205.0,1110.0,1150.0,1205.0,403244785
1190.0,1180.0,1190.0,1180.0,64769460
1205.0,1180.0,1180.0,1182.0,1632212014
1200.0,1110.0,1200.0,1200.0,440554656
1200.0,1111.0,1180.0,1180.0,739593180
1183.0,1178.0,1180.0,1179.0,448805970
1183.0,1125.0,1125.0,1180.0,653333509
1200.0,1137.0,1170.0,1199.0,321052891
1140.0,1139.0,1139.0,1139.0,168052500
1200.0,1130.0,1140.0,1200.0,1126296500
1170.0,1143.0,1170.0,1143.0,1965973430
1200.0,1143.0,1143.0,1200.0,1273759420
1210.0,1139.0,1139.0,1200.0,4910947000
1200.0,1190.0,1200.0,1200.0,2008464000
1200.0,1195.0,1200.0,1195.0,497770635
1210.0,1195.0,1195.0,1200.0,4930800377
1200.0,1155.0,1200.0,1200.0,389147230
1195.0,1190.0,1190.0,1190.0,95215500
1200.0,1160.0,1160.0,1200.0,9314120
1170.0,1156.0,1156.0,1156.0,48681028
1156.0,1150.0,1156.0,1150.0,29936000
1180.0,1150.0,1150.0,1180.0,27942552
1180.0,1150.0,1150.0,1180.0,19542000
1180.0,1151.0,1151.0,1151.0,54184000
1180.0,1134.0,1151.0,1150.0,210152104
1142.0,1133.0,1142.0,1133.0,187985914
1142.0,1130.0,1135.0,1142.0,73567811
1140.0,1126.0,1135.0,1126.0,155247802
1127.0,1127.0,1127.0,1127.0,51278500
1130.0,1101.0,1116.0,1115.0,951804997
1140.0,1101.0,1119.0,1116.0,146718994
1140.0,1116.0,1116.0,1140.0,94662920
1120.0,1120.0,1120.0,1120.0,15680000
1121.0,1121.0,1121.0,1121.0,38245157
1158.0,1120.0,1140.0,1122.0,1080772114
1126.0,1112.0,1120.0,1112.0,460799120
1135.0,1100.0,1101.0,1120.0,2567049735
1250.0,1101.0,1101.0,1250.0,1275164665
1239.0,1150.0,1150.0,1160.0,987291308
1200.0,1150.0,1161.0,1150.0,7193771150
1166.0,1131.0,1166.0,1131.0,35941863
1160.0,1133.0,1133.0,1150.0,523889877
1180.0,1150.0,1150.0,1180.0,1563617650
1143.0,1080.0,1101.0,1080.0,958094422
1022.0,1000.0,1006.0,1000.0,355124171
1022.0,1000.0,1000.0,1022.0,97650000
1001.0,1000.0,1000.0,1000.0,81050000
1000.0,967.0,1000.0,967.0,537750119
999.0,954.0,999.0,996.0,136572300
980.0,952.0,967.0,952.0,74652998
952.0,810.0,952.0,810.0,192607395
901.0,712.0,880.0,880.0,240946152
880.0,850.0,850.0,880.0,24068800
950.0,900.0,900.0,950.0,138764850
1000.0,900.0,950.0,900.0,273356000
1000.0,999.0,1000.0,1000.0,199990000
962.0,951.0,962.0,951.0,105520000
949.0,902.0,902.0,949.0,15804000
932.0,932.0,932.0,932.0,9320000
950.0,900.0,912.0,950.0,85942800
921.0,921.0,921.0,921.0,9210000
925.0,925.0,925.0,925.0,1017500
950.0,925.0,925.0,950.0,10300000
936.0,920.0,936.0,920.0,7665705274
955.0,925.0,936.0,926.0,511731098
902.0,902.0,902.0,902.0,6503420
920.0,920.0,920.0,920.0,5992469680
960.0,905.0,960.0,905.0,2737423914
960.0,960.0,960.0,960.0,19200000
959.0,930.0,930.0,959.0,788574500
960.0,900.0,950.0,960.0,32290000
930.0,909.0,930.0,909.0,20229000
990.0,959.0,959.0,990.0,36013000
998.0,930.0,960.0,998.0,123297448
960.0,920.0,930.0,960.0,198154010
999.0,960.0,960.0,999.0,1051907677
945.0,934.0,945.0,935.0,51446000
960.0,959.0,960.0,959.0,15354000
992.0,950.0,950.0,970.0,103866320
970.0,960.0,966.0,960.0,29854000
969.0,951.0,969.0,955.0,252025000
961.0,957.0,960.0,957.0,153629000
970.0,960.0,960.0,970.0,142270770
960.0,960.0,960.0,960.0,51840000
960.0,955.0,960.0,960.0,148735175
960.0,950.0,960.0,950.0,39249600
958.0,941.0,958.0,950.0,57787550
970.0,912.0,912.0,950.0,252545060
970.0,940.0,940.0,970.0,92719570
970.0,968.0,968.0,970.0,1776431180
950.0,950.0,950.0,950.0,11400000
950.0,950.0,950.0,950.0,57000000
950.0,940.0,950.0,950.0,47792800
989.0,989.0,989.0,989.0,989000
950.0,950.0,950.0,950.0,4750000
989.0,950.0,950.0,960.0,208506000
950.0,950.0,950.0,950.0,201400000
950.0,950.0,950.0,950.0,10045300
960.0,950.0,950.0,960.0,118146050
952.0,952.0,952.0,952.0,47600000
953.0,941.0,953.0,941.0,481745000
955.0,921.0,921.0,950.0,91235000
955.0,950.0,950.0,955.0,142750000
960.0,951.0,955.0,960.0,152650000
975.0,923.0,923.0,931.0,670013900
931.0,931.0,931.0,931.0,931000
970.0,965.0,970.0,965.0,133625000
970.0,950.0,970.0,950.0,106510700
973.0,965.0,970.0,970.0,164948945
974.0,933.0,933.0,934.0,33122000
976.0,940.0,940.0,975.0,311218000
951.0,946.0,951.0,950.0,85225000
977.0,950.0,950.0,950.0,82753250
975.0,950.0,950.0,975.0,887239525
988.0,930.0,932.0,950.0,79687168
951.0,950.0,951.0,950.0,14260000
1000.0,980.0,980.0,980.0,280327512
980.0,980.0,980.0,980.0,17280340
980.0,980.0,980.0,980.0,9800000
1050.0,1000.0,1000.0,1050.0,66147000
1120.0,980.0,980.0,1120.0,1474613900
1090.0,1090.0,1090.0,1090.0,6538910000
1041.0,1040.0,1040.0,1040.0,234095000
1090.0,1040.0,1040.0,1089.0,295668700
1080.0,1040.0,1041.0,1041.0,33375220
1041.0,1040.0,1041.0,1041.0,25799800
1041.0,1041.0,1041.0,1041.0,5205000
1080.0,1030.0,1080.0,1040.0,76378620
1041.0,1040.0,1040.0,1040.0,214350000
1041.0,1010.0,1041.0,1011.0,159263880
1040.0,1007.0,1011.0,1040.0,1292012046
1009.0,1008.0,1008.0,1008.0,129969868
1038.0,1009.0,1009.0,1038.0,90895000
1040.0,990.0,1040.0,1040.0,203528350
1030.0,1020.0,1020.0,1030.0,23660000
1060.0,1040.0,1040.0,1060.0,52982540
1100.0,1060.0,1100.0,1100.0,324240000
1200.0,1101.0,1140.0,1200.0,200378300
1200.0,1150.0,1150.0,1180.0,1875570620
1219.0,1180.0,1180.0,1180.0,366377584
1150.0,1150.0,1150.0,1150.0,4657500
1200.0,1150.0,1150.0,1200.0,3245749692
1150.0,1149.0,1150.0,1149.0,114960000
1145.0,1145.0,1145.0,1145.0,23472500
1188.0,1130.0,1188.0,1130.0,171104180
1110.0,1100.0,1110.0,1100.0,132728900
1103.0,1103.0,1103.0,1103.0,16886930
1103.0,1100.0,1103.0,1100.0,88014070
1100.0,1100.0,1100.0,1100.0,550000000
1100.0,1100.0,1100.0,1100.0,12650000
1100.0,1100.0,1100.0,1100.0,780081500
1100.0,1030.0,1030.0,1100.0,78875400
1100.0,1100.0,1100.0,1100.0,110000000
1052.0,1011.0,1051.0,1011.0,277472381
1020.0,1012.0,1012.0,1020.0,11736216
1050.0,1010.0,1050.0,1010.0,308832849
1020.0,1010.0,1020.0,1010.0,115150000
1011.0,1011.0,1011.0,1011.0,20220000
1020.0,1020.0,1020.0,1020.0,2040000
1030.0,1020.0,1020.0,1030.0,3087520
1030.0,1020.0,1030.0,1021.0,33722766
1035.0,1022.0,1035.0,1022.0,170541320
1030.0,1030.0,1030.0,1030.0,15450000
1038.0,1037.0,1038.0,1037.0,20750000
1039.0,1031.0,1039.0,1031.0,212302113
1036.0,1032.0,1036.0,1036.0,82760000
1031.0,1031.0,1031.0,1031.0,2779576
1038.0,1036.0,1036.0,1037.0,223050000
1037.0,1036.0,1036.0,1036.0,190141000
1039.0,1037.0,1039.0,1037.0,240809000
1060.0,1039.0,1039.0,1060.0,141744000
1051.0,1051.0,1051.0,1051.0,31530000
1051.0,1050.0,1051.0,1051.0,185936611
1051.0,1040.0,1050.0,1050.0,803902800
1050.0,1050.0,1050.0,1050.0,51975000
1050.0,1050.0,1050.0,1050.0,125313300
1052.0,1051.0,1051.0,1052.0,168220000
1060.0,1051.0,1054.0,1060.0,43382889
1100.0,1080.0,1080.0,1100.0,573178300
1065.0,1060.0,1060.0,1065.0,48790000
1065.0,1065.0,1065.0,1065.0,21300000
1066.0,1066.0,1066.0,1066.0,1918800
1069.0,1068.0,1068.0,1069.0,27774000
1069.0,1069.0,1069.0,1069.0,226185434
1070.0,1069.0,1070.0,1069.0,20018566
1100.0,1070.0,1070.0,1100.0,28601500
1071.0,1070.0,1071.0,1070.0,58900000
1071.0,1068.0,1071.0,1068.0,46861028
1062.0,1060.0,1062.0,1060.0,24496200
1060.0,1050.0,1060.0,1050.0,2753763990
1050.0,1050.0,1050.0,1050.0,4100250
1050.0,1050.0,1050.0,1050.0,7875000
1051.0,1050.0,1051.0,1050.0,54076500
1048.0,1048.0,1048.0,1048.0,73255200
1049.0,1048.0,1049.0,1048.0,99652450
1060.0,1045.0,1050.0,1045.0,390712464
1047.0,1045.0,1045.0,1047.0,50269125
1060.0,1010.0,1050.0,1060.0,827158280
1050.0,1001.0,1050.0,1001.0,91695000
1048.0,1048.0,1048.0,1048.0,995600
1005.0,1001.0,1001.0,1005.0,6010000
1001.0,1001.0,1001.0,1001.0,8008000
1005.0,1005.0,1005.0,1005.0,40200000
1005.0,1005.0,1005.0,1005.0,10050000
1005.0,1001.0,1005.0,1001.0,38118000
1001.0,1000.0,1001.0,1000.0,29024000
1000.0,1000.0,1000.0,1000.0,1000000
1000.0,951.0,951.0,1000.0,75582000
1060.0,1045.0,1045.0,1060.0,189057250
1090.0,1025.0,1089.0,1031.0,155372125
1069.0,1020.0,1031.0,1069.0,161756512
1021.0,1020.0,1021.0,1020.0,138552640
1070.0,1020.0,1020.0,1070.0,93864800
1020.0,1011.0,1020.0,1011.0,12189852
1070.0,1000.0,1013.0,1070.0,194753500
1070.0,1069.0,1069.0,1070.0,149720000
1070.0,1070.0,1070.0,1070.0,147158170
1051.0,1051.0,1051.0,1051.0,105100000
1050.0,1013.0,1050.0,1013.0,44905000
1050.0,1020.0,1050.0,1020.0,105705000
1050.0,1020.0,1050.0,1020.0,64112180
1025.0,1025.0,1025.0,1025.0,48442525
1069.0,1025.0,1025.0,1069.0,147065600
1070.0,1040.0,1040.0,1070.0,23471000
1040.0,1022.0,1040.0,1040.0,126527280
1054.0,1041.0,1054.0,1054.0,81918620
1054.0,1030.0,1041.0,1030.0,129891998
1030.0,1030.0,1030.0,1030.0,54402540
1030.0,1022.0,1030.0,1030.0,45302776
1020.0,1020.0,1020.0,1020.0,306000000
1013.0,1013.0,1013.0,1013.0,5065000
1030.0,1013.0,1013.0,1030.0,94179840
1030.0,1030.0,1030.0,1030.0,18540000
1049.0,1030.0,1030.0,1030.0,84480980
1030.0,1030.0,1030.0,1030.0,61367400
1030.0,1030.0,1030.0,1030.0,51500000
1040.0,1030.0,1030.0,1040.0,74028300
1030.0,1030.0,1030.0,1030.0,255852000
1030.0,1030.0,1030.0,1030.0,666765350
1030.0,1030.0,1030.0,1030.0,1233940000
1030.0,1010.0,1030.0,1030.0,536330000
1030.0,1030.0,1030.0,1030.0,20497000
1030.0,1030.0,1030.0,1030.0,1339000
1030.0,1030.0,1030.0,1030.0,109947350
1030.0,1029.0,1029.0,1030.0,1339273540
1035.0,1035.0,1035.0,1035.0,3311272395
1030.0,1030.0,1030.0,1030.0,1062370840
1043.0,1030.0,1030.0,1043.0,2311918954
1043.0,1030.0,1043.0,1030.0,78268513
1030.0,1030.0,1030.0,1030.0,11433000
1030.0,1030.0,1030.0,1030.0,346262310
1050.0,1044.0,1044.0,1050.0,214620000
1050.0,1050.0,1050.0,1050.0,59929800
1050.0,1040.0,1050.0,1040.0,923000000
1079.0,1010.0,1068.0,1050.0,456854406
1070.0,1035.0,1035.0,1035.0,487045024
1050.0,1035.0,1035.0,1050.0,217983990
1100.0,1079.0,1079.0,1100.0,234466214
1150.0,1060.0,1060.0,1150.0,580085480
1200.0,1120.0,1120.0,1200.0,550739996
1000.0,1000.0,1000.0,1000.0,50000000
1050.0,1000.0,1000.0,1050.0,102500000
1050.0,1000.0,1050.0,1050.0,263000000
1100.0,1070.0,1100.0,1070.0,108500000
1099.0,1099.0,1099.0,1099.0,81488652
1080.0,1051.0,1051.0,1080.0,21310000
1148.0,1070.0,1070.0,1130.0,2117774805
1087.0,1087.0,1087.0,1087.0,75023653
1087.0,1087.0,1087.0,1087.0,39835289
1150.0,1100.0,1110.0,1100.0,430137760
1178.0,1100.0,1101.0,1175.0,231620840
1200.0,1111.0,1200.0,1120.0,964810857
1000.0,1000.0,1000.0,1000.0,100000000
1050.0,1020.0,1020.0,1050.0,694404740
1000.0,1000.0,1000.0,1000.0,111000000
999.0,999.0,999.0,999.0,14985000
