high,low,open,close,Volume
2160.0,2160.0,2160.0,2160.0,323998876800
2268.0,2268.0,2268.0,2268.0,884340828
2381.0,2381.0,2381.0,2381.0,1040620812
2500.0,2499.0,2500.0,2500.0,1963202427
2625.0,2625.0,2625.0,2625.0,6290200875
2756.0,2756.0,2756.0,2756.0,3935923524
2893.0,2893.0,2893.0,2893.0,4261403465
3037.0,3037.0,3037.0,3037.0,5753933607
3188.0,3188.0,3188.0,3188.0,106502274744
3347.0,3347.0,3347.0,3347.0,18233870275
3689.0,3514.0,3514.0,3689.0,12397340144
3847.0,3847.0,3847.0,3847.0,6944358192
4039.0,4039.0,4039.0,4039.0,6130781944
4240.0,4240.0,4240.0,4240.0,5973892880
4452.0,4452.0,4452.0,4452.0,10415427288
4674.0,4674.0,4674.0,4674.0,4634280348
4907.0,4907.0,4907.0,4907.0,5892247088
5152.0,4907.0,5152.0,5152.0,254202806582
5391.0,5150.0,5170.0,5391.0,154964893421
5563.0,5563.0,5563.0,5563.0,5028223247
6133.0,5841.0,5841.0,6133.0,174323857102
6250.0,5809.0,6250.0,5809.0,132062307578
5641.0,5641.0,5641.0,5641.0,15710969099
5359.0,5359.0,5359.0,5359.0,6195716747
5626.0,5092.0,5460.0,5626.0,242613865167
5855.0,5626.0,5628.0,5855.0,179355954823
6094.0,5514.0,6040.0,6094.0,88397392428
6370.0,6100.0,6275.0,6370.0,58127836786
6630.0,6100.0,6630.0,6630.0,182371892321
6925.0,6925.0,6925.0,6925.0,10248979225
7271.0,7271.0,7271.0,7271.0,14556323870
7634.0,7634.0,7634.0,7634.0,31774372212
8015.0,8015.0,8015.0,8015.0,20284426120
8415.0,8415.0,8415.0,8415.0,22402101645
8835.0,7995.0,8830.0,8835.0,531982283843
8875.0,8400.0,8870.0,8875.0,86274464638
9279.0,8397.0,8397.0,9279.0,436334019215
8857.0,8511.0,8684.0,8857.0,325037448323
8839.0,8839.0,8839.0,8839.0,8007037964
9280.0,9280.0,9280.0,9280.0,4508938560
9744.0,9744.0,9744.0,9744.0,4266624768
10231.0,10100.0,10231.0,10231.0,311219197974
10742.0,9900.0,10000.0,10742.0,467811397653
11149.0,11110.0,11149.0,11149.0,220292082795
11706.0,11706.0,11706.0,11706.0,31871844258
12291.0,12291.0,12291.0,12291.0,27836533890
12905.0,12905.0,12905.0,12905.0,25582768760
13550.0,13550.0,13550.0,13550.0,5332345050
14938.0,13516.0,14227.0,14938.0,706395151397
15022.0,13592.0,14938.0,15022.0,221070801246
15592.0,15022.0,15592.0,15592.0,631940972510
16230.0,14780.0,16180.0,14780.0,696130945665
14469.0,14469.0,14469.0,14469.0,56364929985
13746.0,13746.0,13746.0,13746.0,37240841898
13059.0,13059.0,13059.0,13059.0,10482250356
12407.0,12407.0,12407.0,12407.0,31584090469
11787.0,11787.0,11787.0,11787.0,13367872440
12376.0,11198.0,11198.0,12376.0,1155717340633
12296.0,11712.0,12296.0,12296.0,360121916300
12889.0,11800.0,12889.0,12261.0,689586808402
12895.0,11951.0,12356.0,11951.0,459041940367
11949.0,11462.0,11550.0,11462.0,568422341502
11900.0,10999.0,11472.0,11019.0,294365187239
11300.0,10794.0,11150.0,10794.0,288873070465
11387.0,10834.0,11111.0,11387.0,200541561655
11778.0,10701.0,10701.0,11778.0,170952408715
12190.0,11780.0,12097.0,12190.0,262752308973
12641.0,11567.0,12641.0,12002.0,317674794889
12330.0,11715.0,12000.0,12033.0,240039801285
12150.0,11520.0,12150.0,11529.0,309313607816
11540.0,11116.0,11520.0,11116.0,215273028745
11739.0,11120.0,11120.0,11739.0,141325522721
12200.0,11700.0,12200.0,11955.0,157812939977
12211.0,11795.0,11965.0,11870.0,226156822276
