high,low,open,close,Volume
1050.0,1050.0,1050.0,1050.0,347393807250
1076.0,1042.0,1051.0,1057.0,352194689892
1074.0,1055.0,1065.0,1055.0,8981292784
1067.0,1059.0,1066.0,1060.0,9090532333
1064.0,1050.0,1061.0,1060.0,7863032258
1060.0,1050.0,1059.0,1051.0,4135976082
1055.0,1027.0,1054.0,1042.0,24877673335
1065.0,1027.0,1050.0,1058.0,11053165184
1059.0,1054.0,1055.0,1055.0,2797050794
1060.0,1056.0,1056.0,1056.0,2436021996
1061.0,1059.0,1061.0,1059.0,3885084432
1060.0,1054.0,1060.0,1059.0,5541590793
1063.0,1055.0,1060.0,1058.0,5081985875
1061.0,1050.0,1060.0,1060.0,3643801356
1063.0,1060.0,1061.0,1060.0,2240352741
1062.0,1061.0,1061.0,1061.0,4244184581
1063.0,1058.0,1062.0,1058.0,4179711793
1062.0,1061.0,1062.0,1061.0,4242529688
1064.0,1061.0,1061.0,1063.0,2325864856
1080.0,1063.0,1063.0,1080.0,2053259183
1096.0,1076.0,1078.0,1096.0,3001934288
1111.0,1111.0,1111.0,1111.0,101123220
1112.0,1112.0,1112.0,1112.0,1041008808
1118.0,1086.0,1118.0,1087.0,8117487932
1133.0,1099.0,1108.0,1105.0,7632804156
1123.0,1091.0,1115.0,1095.0,3942619347
1119.0,1078.0,1110.0,1100.0,5305791798
1106.0,1081.0,1090.0,1099.0,4893066892
1096.0,1078.0,1085.0,1082.0,950562965
1099.0,1070.0,1093.0,1081.0,2987936180
1083.0,1063.0,1079.0,1063.0,2406949045
1106.0,1071.0,1071.0,1073.0,4316073392
1099.0,1075.0,1086.0,1098.0,5304292247
1110.0,1090.0,1090.0,1107.0,2549351346
1110.0,1103.0,1109.0,1105.0,2352794700
1134.0,1100.0,1110.0,1100.0,9862474346
1147.0,1125.0,1129.0,1147.0,12650184833
1177.0,1177.0,1177.0,1177.0,1216800255
1172.0,1129.0,1163.0,1129.0,2647262911
1141.0,1117.0,1141.0,1128.0,5955435253
1139.0,1100.0,1127.0,1100.0,1355389359
1129.0,1102.0,1120.0,1119.0,2433173409
1149.0,1102.0,1122.0,1106.0,2372441425
1130.0,1106.0,1130.0,1108.0,953839280
1129.0,1103.0,1110.0,1103.0,1860613473
1128.0,1097.0,1128.0,1100.0,3317704163
1125.0,1085.0,1103.0,1100.0,4632577926
1120.0,1086.0,1086.0,1120.0,2519958040
1143.0,1120.0,1120.0,1143.0,4936149594
1169.0,1169.0,1169.0,1169.0,4066124517
1192.0,1192.0,1192.0,1192.0,1928585672
1203.0,1150.0,1203.0,1174.0,18631262406
1168.0,1157.0,1168.0,1157.0,379894351
1170.0,1155.0,1155.0,1155.0,3615458165
1170.0,1135.0,1135.0,1138.0,2812423694
1178.0,1132.0,1158.0,1134.0,3118042151
1190.0,1157.0,1160.0,1160.0,8359191940
1200.0,1160.0,1160.0,1162.0,5184474275
1199.0,1160.0,1160.0,1176.0,5285797744
1199.0,1160.0,1199.0,1170.0,12490357437
1198.0,1169.0,1178.0,1180.0,7699536673
1190.0,1171.0,1189.0,1171.0,5401274957
1192.0,1170.0,1178.0,1180.0,6873299391
1186.0,1165.0,1186.0,1166.0,1018436757
1173.0,1160.0,1165.0,1169.0,1025441979
1184.0,1169.0,1169.0,1171.0,1612090378
1170.0,1153.0,1153.0,1170.0,1705828478
1182.0,1155.0,1155.0,1179.0,3274153888
1180.0,1169.0,1175.0,1178.0,4823629479
1180.0,1160.0,1160.0,1177.0,2853253723
1187.0,1151.0,1151.0,1180.0,3158049415
1170.0,1152.0,1170.0,1153.0,2489168874
1169.0,1135.0,1150.0,1135.0,10277338184
1173.0,1107.0,1133.0,1121.0,2545353771
1150.0,1110.0,1110.0,1144.0,9755646356
1154.0,1144.0,1150.0,1147.0,9821461023
1175.0,1150.0,1150.0,1156.0,1187869771
1170.0,1151.0,1160.0,1154.0,1091266003
1170.0,1156.0,1156.0,1170.0,2248178095
1184.0,1170.0,1179.0,1175.0,2957779701
1190.0,1175.0,1183.0,1181.0,6013717365
1200.0,1184.0,1190.0,1185.0,3058253531
1191.0,1155.0,1190.0,1180.0,3771035754
1190.0,1185.0,1189.0,1190.0,3312300137
1190.0,1176.0,1190.0,1187.0,1790473706
1189.0,1187.0,1188.0,1189.0,1537847241
1190.0,1188.0,1190.0,1188.0,2211324733
1198.0,1189.0,1189.0,1189.0,1671434152
1191.0,1190.0,1190.0,1190.0,1598639460
1198.0,1191.0,1191.0,1194.0,4282871859
1194.0,1192.0,1192.0,1192.0,2809310381
1195.0,1191.0,1193.0,1193.0,13919468958
1210.0,1195.0,1196.0,1210.0,6446282089
1231.0,1180.0,1200.0,1197.0,33912791595
1100.0,1050.0,1100.0,1052.0,4096541730
1060.0,1041.0,1060.0,1041.0,6840299548
1059.0,1050.0,1050.0,1050.0,4963095323
1051.0,1050.0,1050.0,1050.0,106769127551
1058.0,1045.0,1050.0,1045.0,6020384537
1057.0,1052.0,1052.0,1055.0,2012941870
1053.0,1051.0,1052.0,1053.0,2080731986
1053.0,1051.0,1052.0,1052.0,2104728223
1053.0,1050.0,1052.0,1052.0,9390050100
1054.0,1052.0,1054.0,1052.0,9718649062
1054.0,1036.0,1054.0,1050.0,11760617063
1053.0,1040.0,1051.0,1050.0,5271216018
1053.0,1030.0,1051.0,1051.0,7820316513
1052.0,1032.0,1051.0,1050.0,10255418458
1052.0,1049.0,1051.0,1050.0,8766802017
1051.0,1040.0,1050.0,1051.0,16659629025
1052.0,1048.0,1050.0,1050.0,11429987565
1053.0,1048.0,1050.0,1050.0,22300116168
1058.0,1050.0,1053.0,1052.0,470558250
1068.0,1050.0,1050.0,1060.0,1083677932
1059.0,1050.0,1050.0,1050.0,2233291894
1060.0,1050.0,1050.0,1050.0,647464256
1061.0,1048.0,1050.0,1050.0,1347351007
1052.0,1050.0,1050.0,1050.0,2713354208
1060.0,1050.0,1051.0,1050.0,883609785
1055.0,1050.0,1050.0,1055.0,526489278
1059.0,1049.0,1059.0,1050.0,7652493863
1050.0,1040.0,1050.0,1040.0,276680544
1051.0,1035.0,1050.0,1050.0,795827976
1050.0,1036.0,1045.0,1040.0,199471728
1048.0,1039.0,1045.0,1039.0,133431127
1050.0,1035.0,1038.0,1038.0,349541114
1050.0,1042.0,1042.0,1050.0,1141130028
1060.0,1050.0,1050.0,1060.0,86486328
1070.0,1045.0,1049.0,1050.0,632230169
1069.0,1036.0,1045.0,1041.0,194654758
