high,low,open,close,Volume
15.0,15.0,15.0,15.0,75000000
15.0,15.0,15.0,15.0,82500000
15.0,15.0,15.0,15.0,10901115
468.0,468.0,468.0,468.0,250848
400.0,400.0,400.0,400.0,3143200
468.0,450.0,450.0,468.0,12590375
468.0,468.0,468.0,468.0,535392
468.0,468.0,468.0,468.0,5037552
469.0,468.0,469.0,468.0,6854284
468.0,461.0,461.0,468.0,9310693
450.0,449.0,449.0,450.0,449632
468.0,468.0,468.0,468.0,4680000
490.0,450.0,450.0,490.0,14223320
494.0,491.0,494.0,494.0,5104148
504.0,494.0,494.0,503.0,11084236
617.0,617.0,617.0,617.0,5710335
701.0,701.0,701.0,701.0,541172
771.0,701.0,771.0,706.0,185092346
1103.0,1100.0,1101.0,1102.0,2224107800
1300.0,1300.0,1300.0,1300.0,1560000
1235.0,1235.0,1235.0,1235.0,12722970
1240.0,1235.0,1240.0,1235.0,30956750
1285.0,1278.0,1280.0,1281.0,37170803
1288.0,1285.0,1285.0,1285.0,25698970
1340.0,1288.0,1291.0,1298.0,47924000
1301.0,1300.0,1301.0,1300.0,36111817
1305.0,1302.0,1302.0,1302.0,20320226
1302.0,1301.0,1301.0,1301.0,13023608
1295.0,1295.0,1295.0,1295.0,214970
1235.0,1235.0,1235.0,1235.0,18525000
1224.0,1224.0,1224.0,1224.0,6120000
1213.0,1213.0,1213.0,1213.0,8187750
1193.0,1099.0,1100.0,1167.0,57402550
1166.0,1080.0,1166.0,1101.0,95301021
1120.0,1120.0,1120.0,1120.0,3708606720
1000.0,1000.0,1000.0,1000.0,2790000
1100.0,1000.0,1000.0,1098.0,14544980
1207.0,1206.0,1207.0,1206.0,35584971
1211.0,1207.0,1211.0,1208.0,18602231
1285.0,1254.0,1280.0,1270.0,30090990
1300.0,1300.0,1300.0,1300.0,86388900
1256.0,1226.0,1256.0,1249.0,51297530
1245.0,1185.0,1245.0,1235.0,45223704
1242.0,1242.0,1242.0,1242.0,6249744
1237.0,1200.0,1237.0,1237.0,132274751
1228.0,1197.0,1228.0,1207.0,12698059
1194.0,1100.0,1194.0,1161.0,201077990
1100.0,1050.0,1100.0,1094.0,148985040
1100.0,1050.0,1050.0,1058.0,106964030
1099.0,1000.0,1001.0,1015.0,95340840
1087.0,1020.0,1052.0,1055.0,253517320
1099.0,1050.0,1050.0,1053.0,82787576
1100.0,1004.0,1060.0,1068.0,105784888
1100.0,1060.0,1068.0,1087.0,346136370
1100.0,1067.0,1079.0,1084.0,373213253
1100.0,1084.0,1084.0,1095.0,25275904
1100.0,1000.0,1080.0,1079.0,149996029
1100.0,1077.0,1099.0,1088.0,159224331
