high,low,open,close,Volume
1296.0,1295.0,1296.0,1296.0,1555190000
1300.0,1300.0,1300.0,1300.0,3042000
1303.0,1300.0,1303.0,1300.0,261059900
1300.0,1300.0,1300.0,1300.0,3042000
1300.0,1300.0,1300.0,1300.0,104000000
1300.0,1300.0,1300.0,1300.0,104000
1300.0,1300.0,1300.0,1300.0,132813200
1350.0,1350.0,1350.0,1350.0,2423250
1290.0,1290.0,1290.0,1290.0,1035870
1000.0,1000.0,1000.0,1000.0,7020000
912.0,912.0,912.0,912.0,9603360
935.0,921.0,921.0,935.0,3285577
1000.0,1000.0,1000.0,1000.0,6740000
1001.0,1001.0,1001.0,1001.0,2402400
1001.0,1001.0,1001.0,1001.0,17778761
1001.0,1001.0,1001.0,1001.0,2342340
1002.0,1000.0,1000.0,1002.0,56421680
1000.0,1000.0,1000.0,1000.0,54112000
1002.0,1002.0,1002.0,1002.0,4749480
1002.0,1000.0,1002.0,1000.0,4681840
1000.0,1000.0,1000.0,1000.0,2340000
1000.0,1000.0,1000.0,1000.0,2000000
1000.0,1000.0,1000.0,1000.0,1200000
1000.0,1000.0,1000.0,1000.0,2400000
1000.0,1000.0,1000.0,1000.0,5000000
1000.0,1000.0,1000.0,1000.0,2883000
954.0,954.0,954.0,954.0,2232360
954.0,954.0,954.0,954.0,954000
901.0,901.0,901.0,901.0,2108340
903.0,903.0,903.0,903.0,4280220
900.0,900.0,900.0,900.0,2106000
920.0,920.0,920.0,920.0,1656000
920.0,920.0,920.0,920.0,8666400
994.0,820.0,820.0,994.0,14321560
960.0,960.0,960.0,960.0,2304000
940.0,940.0,940.0,940.0,2199600
940.0,940.0,940.0,940.0,318660
940.0,940.0,940.0,940.0,6435240
1000.0,1000.0,1000.0,1000.0,15678000
1000.0,1000.0,1000.0,1000.0,340000
1100.0,1100.0,1100.0,1100.0,7950800
1210.0,1210.0,1210.0,1210.0,6050000
1331.0,1200.0,1200.0,1331.0,24677000
1366.0,1365.0,1365.0,1366.0,49766504
1330.0,1251.0,1252.0,1302.0,190481038
1435.0,1250.0,1250.0,1435.0,4684310
1320.0,1183.0,1314.0,1183.0,103998100
1350.0,1330.0,1348.0,1330.0,8992000
1212.0,1212.0,1212.0,1212.0,44722800
1212.0,1212.0,1212.0,1212.0,3248160
1214.0,1118.0,1214.0,1118.0,26113054
1286.0,1053.0,1286.0,1053.0,32352206
1055.0,981.0,1055.0,981.0,220977544
1090.0,931.0,1001.0,975.0,79731700
1040.0,975.0,975.0,1040.0,27667250
1096.0,1050.0,1050.0,1096.0,9795160
1100.0,967.0,1100.0,967.0,6092654
1079.0,910.0,1079.0,910.0,22987129
1150.0,1087.0,1088.0,1150.0,123410434
1217.0,1019.0,1019.0,1217.0,201825172
1323.0,1280.0,1280.0,1323.0,125266740
1435.0,1321.0,1435.0,1400.0,412641817
1424.0,1292.0,1293.0,1303.0,75321434
1470.0,1214.0,1468.0,1470.0,105469057
1554.0,1281.0,1281.0,1413.0,374361343
1600.0,1352.0,1600.0,1352.0,193175500
1370.0,1246.0,1246.0,1249.0,77686320
1373.0,1370.0,1370.0,1373.0,85072352
1509.0,1440.0,1504.0,1509.0,7804680252
1647.0,1500.0,1647.0,1545.0,3464529890
1640.0,1451.0,1600.0,1451.0,1935938325
1565.0,1401.0,1500.0,1410.0,1011624883
1570.0,1400.0,1400.0,1570.0,1604345039
1677.0,1560.0,1575.0,1677.0,2629183067
1833.0,1745.0,1799.0,1833.0,10687470993
1987.0,1702.0,1949.0,1702.0,3135402445
1830.0,1687.0,1730.0,1687.0,2075150068
1779.0,1557.0,1779.0,1557.0,2059208418
1797.0,1500.0,1500.0,1790.0,6719373569
1908.0,1740.0,1740.0,1769.0,3296102206
1804.0,1691.0,1804.0,1703.0,1202261371
1798.0,1566.0,1798.0,1620.0,2804165022
1678.0,1551.0,1600.0,1656.0,802677180
1680.0,1600.0,1680.0,1604.0,872071565
1765.0,1600.0,1600.0,1630.0,1669501567
1680.0,1521.0,1680.0,1521.0,1050517850
1599.0,1520.0,1570.0,1571.0,478816857
1647.0,1542.0,1647.0,1582.0,187050609
1670.0,1551.0,1580.0,1600.0,621047565
1695.0,1600.0,1660.0,1640.0,436869621
1737.0,1603.0,1650.0,1650.0,1150047580
1710.0,1620.0,1687.0,1620.0,1257251775
1688.0,1489.0,1686.0,1597.0,874618512
1635.0,1540.0,1625.0,1635.0,726276558
1755.0,1633.0,1668.0,1650.0,4449071897
1800.0,1630.0,1701.0,1660.0,1879534122
1776.0,1651.0,1776.0,1680.0,531337088
1643.0,1530.0,1620.0,1609.0,1138004859
1639.0,1483.0,1550.0,1540.0,1182154672
1629.0,1501.0,1552.0,1501.0,1022554015
1589.0,1520.0,1589.0,1560.0,290666832
1578.0,1470.0,1578.0,1470.0,551663595
1530.0,1423.0,1430.0,1521.0,969846122
1636.0,1465.0,1565.0,1636.0,2132604546
1773.0,1650.0,1666.0,1773.0,3899372540
1894.0,1572.0,1773.0,1882.0,10989095585
2052.0,1956.0,2052.0,2052.0,12549655314
2252.0,2100.0,2240.0,2252.0,12122423603
2433.0,2101.0,2400.0,2340.0,9198120119
2440.0,2097.0,2440.0,2097.0,5191666199
2270.0,1960.0,2117.0,2169.0,8397038712
2250.0,2050.0,2200.0,2207.0,5371309447
2320.0,2184.0,2320.0,2212.0,4288596620
2280.0,2060.0,2280.0,2062.0,9332329506
2150.0,2041.0,2060.0,2050.0,3913686771
2080.0,1939.0,2045.0,1939.0,1536991077
1960.0,1807.0,1960.0,1810.0,5627771334
1899.0,1741.0,1832.0,1801.0,1242485381
2015.0,1830.0,1860.0,2015.0,4194043435
2089.0,1900.0,2089.0,1900.0,2377247476
2020.0,1793.0,2020.0,1815.0,2315216028
1900.0,1795.0,1900.0,1821.0,1327574713
1865.0,1762.0,1865.0,1762.0,1554463148
1938.0,1806.0,1855.0,1850.0,1207628819
1930.0,1844.0,1913.0,1844.0,1608475753
1892.0,1791.0,1870.0,1801.0,1119862202
1870.0,1771.0,1870.0,1800.0,1037144584
1860.0,1770.0,1860.0,1770.0,961975261
1880.0,1776.0,1839.0,1825.0,1208840948
1920.0,1815.0,1830.0,1886.0,1817719218
1962.0,1828.0,1886.0,1849.0,1182244915
1900.0,1807.0,1850.0,1810.0,1307019768
1870.0,1810.0,1870.0,1819.0,305499217
1863.0,1801.0,1863.0,1801.0,1156179020
1879.0,1815.0,1829.0,1815.0,744080511
1890.0,1809.0,1870.0,1821.0,636326744
1849.0,1800.0,1840.0,1834.0,267780016
1850.0,1760.0,1850.0,1771.0,450324514
1816.0,1771.0,1785.0,1771.0,318570362
1799.0,1705.0,1799.0,1705.0,601982543
1705.0,1603.0,1705.0,1603.0,1928669084
1766.0,1550.0,1605.0,1710.0,742743299
1757.0,1625.0,1625.0,1752.0,337180097
1769.0,1672.0,1769.0,1681.0,300769051
1710.0,1650.0,1652.0,1665.0,473349892
