high,low,open,close,Volume
2000.0,2000.0,2000.0,2000.0,1940000000
2100.0,2100.0,2100.0,2100.0,7408222500
2205.0,2205.0,2205.0,2205.0,2206102500
2315.0,2315.0,2315.0,2315.0,2315000000
2430.0,2315.0,2430.0,2315.0,1214885
2430.0,2430.0,2430.0,2430.0,2491114500
2551.0,2551.0,2551.0,2551.0,23064356300
2678.0,2678.0,2678.0,2678.0,2683623800
2811.0,2811.0,2811.0,2811.0,7027500000
2951.0,2813.0,2951.0,2813.0,14488030
2953.0,2953.0,2953.0,2953.0,17725459278
3100.0,3100.0,3100.0,3100.0,31053518400
3255.0,3255.0,3255.0,3255.0,19932311490
3417.0,3417.0,3417.0,3417.0,7844157459
3587.0,3417.0,3587.0,3571.0,52518964896
3570.0,3400.0,3500.0,3469.0,14737495575
3641.0,3312.0,3402.0,3480.0,12238631793
3654.0,3654.0,3654.0,3654.0,4432163148
3700.0,3569.0,3700.0,3640.0,12957142495
3620.0,3460.0,3620.0,3521.0,4876390913
3452.0,3345.0,3452.0,3363.0,3565689306
3490.0,3295.0,3298.0,3432.0,4477608517
3598.0,3489.0,3490.0,3575.0,4405167483
3569.0,3450.0,3502.0,3485.0,2613610552
3510.0,3413.0,3485.0,3453.0,1962733231
3486.0,3401.0,3444.0,3441.0,2122700817
3550.0,3497.0,3497.0,3516.0,2660908772
3650.0,3550.0,3550.0,3591.0,5931031250
3591.0,3449.0,3591.0,3486.0,1998103560
3520.0,3441.0,3500.0,3455.0,1698939305
3518.0,3440.0,3450.0,3491.0,2603207708
3650.0,3505.0,3505.0,3612.0,7879716466
3792.0,3680.0,3792.0,3745.0,8077956740
3690.0,3602.0,3673.0,3642.0,2524798873
3638.0,3580.0,3607.0,3604.0,2307641117
3735.0,3650.0,3650.0,3708.0,2204000069
3733.0,3652.0,3725.0,3692.0,2733799426
3734.0,3663.0,3668.0,3689.0,3245208219
3873.0,3800.0,3873.0,3872.0,11206756710
4065.0,4011.0,4065.0,4011.0,938498205
4211.0,4183.0,4211.0,4183.0,1164433862
4392.0,4050.0,4300.0,4246.0,13875123511
4458.0,4257.0,4400.0,4439.0,14812126165
4660.0,4440.0,4462.0,4642.0,4261442792
4874.0,4874.0,4874.0,4874.0,1705924370
5117.0,4877.0,5117.0,5105.0,63590389290
5329.0,4850.0,5150.0,5003.0,20702671791
5247.0,4859.0,5000.0,5097.0,11540213837
5351.0,5097.0,5100.0,5317.0,11194768067
5582.0,5350.0,5360.0,5551.0,10526972983
5828.0,5650.0,5828.0,5818.0,8092689452
6108.0,6011.0,6108.0,6105.0,8823435654
6150.0,5800.0,6108.0,5900.0,17511726536
6199.0,5621.0,5621.0,6076.0,22428375597
6379.0,6070.0,6379.0,6187.0,13021506294
6490.0,6090.0,6190.0,6350.0,15919721502
6280.0,6033.0,6033.0,6280.0,421105870
5966.0,5966.0,5966.0,5966.0,27765966844
5970.0,5668.0,5965.0,5748.0,11278987106
5461.0,5461.0,5461.0,5461.0,16589556864
5188.0,5188.0,5188.0,5188.0,5461153388
5142.0,4929.0,4929.0,5142.0,277485114
5140.0,4885.0,4885.0,5140.0,6186960
4883.0,4883.0,4883.0,4883.0,4900676460
4639.0,4639.0,4639.0,4639.0,4980050002
4408.0,4408.0,4408.0,4408.0,4419403496
4188.0,4188.0,4188.0,4188.0,4205237808
3979.0,3979.0,3979.0,3979.0,3985919481
3979.0,3781.0,3781.0,3785.0,31299299264
3596.0,3596.0,3596.0,3596.0,3769251684
3589.0,3417.0,3417.0,3419.0,4710024818
3249.0,3249.0,3249.0,3249.0,3347246511
3087.0,3087.0,3087.0,3087.0,12768622272
3241.0,3241.0,3241.0,3241.0,1297735292
3403.0,3241.0,3403.0,3241.0,4646878
3403.0,3403.0,3403.0,3403.0,1483708000
3573.0,3573.0,3573.0,3573.0,1620755676
3751.0,3573.0,3751.0,3750.0,7420646305
3937.0,3700.0,3937.0,3856.0,5017161575
3800.0,3664.0,3741.0,3672.0,2084633834
3745.0,3599.0,3600.0,3691.0,1079653393
3691.0,3563.0,3690.0,3602.0,1286765623
3510.0,3422.0,3510.0,3501.0,658805672
3326.0,3326.0,3326.0,3326.0,2535107134
3379.0,3169.0,3259.0,3267.0,64963970361
3240.0,3104.0,3227.0,3161.0,32931838476
3319.0,3150.0,3175.0,3284.0,2456824280
3448.0,3288.0,3290.0,3358.0,21662649555
3525.0,3270.0,3525.0,3369.0,1418696680
3287.0,3201.0,3250.0,3245.0,814198279
3240.0,3170.0,3181.0,3213.0,627674575
