high,low,open,close,Volume
1306.0,1300.0,1300.0,1300.0,13640810187
1362.0,1329.0,1356.0,1339.0,5244895423
1414.0,1360.0,1360.0,1414.0,8202106408
1478.0,1410.0,1452.0,1415.0,12166941293
1444.0,1410.0,1425.0,1420.0,5200631019
1448.0,1355.0,1445.0,1380.0,3075151341
1468.0,1393.0,1422.0,1435.0,8109711949
1468.0,1420.0,1460.0,1420.0,2491802080
1444.0,1400.0,1433.0,1415.0,1966095345
1432.0,1370.0,1432.0,1400.0,1352848006
1400.0,1370.0,1399.0,1370.0,3586615016
1410.0,1370.0,1380.0,1375.0,1319900924
1391.0,1330.0,1391.0,1330.0,1561232739
1390.0,1371.0,1384.0,1379.0,2584260735
1390.0,1380.0,1388.0,1380.0,1656117900
1390.0,1321.0,1390.0,1385.0,546010948
1430.0,1384.0,1398.0,1384.0,230529184
1418.0,1370.0,1418.0,1380.0,2984162252
1395.0,1374.0,1392.0,1380.0,1966688597
1398.0,1340.0,1398.0,1371.0,2850560649
1379.0,1376.0,1379.0,1378.0,1327886668
1379.0,1363.0,1379.0,1370.0,4623153115
1377.0,1366.0,1377.0,1369.0,2587083556
1429.0,1333.0,1399.0,1371.0,4614447857
1444.0,1351.0,1385.0,1380.0,3289392754
1395.0,1360.0,1395.0,1360.0,202076400
1413.0,1370.0,1380.0,1390.0,731994925
1398.0,1350.0,1398.0,1394.0,1163359464
1398.0,1360.0,1398.0,1390.0,742514584
1393.0,1326.0,1390.0,1326.0,776430270
1392.0,1380.0,1390.0,1380.0,1274463735
1388.0,1380.0,1385.0,1385.0,1968696800
1390.0,1370.0,1385.0,1384.0,1760202230
1430.0,1380.0,1390.0,1428.0,8136945945
1430.0,1395.0,1416.0,1415.0,5480151865
1424.0,1390.0,1424.0,1400.0,4479049268
1418.0,1395.0,1400.0,1400.0,1556141135
1420.0,1390.0,1412.0,1390.0,2987481525
1412.0,1370.0,1400.0,1370.0,2122901550
1401.0,1338.0,1390.0,1389.0,1429454480
1400.0,1375.0,1390.0,1375.0,1882675700
1396.0,1328.0,1390.0,1360.0,2522120021
1389.0,1360.0,1382.0,1365.0,1903450328
1380.0,1317.0,1380.0,1370.0,1564087567
1378.0,1350.0,1370.0,1359.0,1582440752
1378.0,1345.0,1361.0,1359.0,904340425
1400.0,1365.0,1380.0,1380.0,1780800512
1410.0,1370.0,1393.0,1390.0,2204681155
1410.0,1388.0,1392.0,1391.0,1592563291
1395.0,1380.0,1390.0,1388.0,1745133566
1393.0,1350.0,1389.0,1369.0,1935568267
1400.0,1360.0,1400.0,1370.0,2885787547
1393.0,1331.0,1393.0,1360.0,1339839364
1398.0,1370.0,1380.0,1379.0,1425754315
1397.0,1380.0,1396.0,1380.0,1117368036
1396.0,1368.0,1396.0,1370.0,1356590420
1396.0,1340.0,1388.0,1378.0,1737351029
1394.0,1341.0,1394.0,1375.0,1265697061
1382.0,1360.0,1382.0,1370.0,1113406000
1373.0,1357.0,1373.0,1370.0,845691782
1388.0,1340.0,1360.0,1360.0,1219100478
1389.0,1355.0,1389.0,1355.0,1225857960
1379.0,1330.0,1379.0,1350.0,1275457800
1378.0,1350.0,1378.0,1365.0,915270100
1376.0,1350.0,1360.0,1374.0,1239907200
1378.0,1340.0,1375.0,1365.0,975704810
1375.0,1346.0,1375.0,1363.0,1346442737
1376.0,1340.0,1376.0,1359.0,1134841426
1355.0,1306.0,1355.0,1331.0,534606876
1353.0,1315.0,1352.0,1327.0,1224530912
1360.0,1311.0,1360.0,1340.0,1319995230
1353.0,1335.0,1350.0,1335.0,880550010
1351.0,1310.0,1349.0,1350.0,978323814
1347.0,1345.0,1346.0,1347.0,609391070
1350.0,1310.0,1350.0,1345.0,397351050
1346.0,1320.0,1345.0,1338.0,1118200417
1348.0,1310.0,1344.0,1311.0,1039616347
1360.0,1335.0,1342.0,1343.0,971497270
1363.0,1328.0,1340.0,1340.0,1431308847
1367.0,1328.0,1367.0,1328.0,367870000
1359.0,1310.0,1330.0,1311.0,782800610
1344.0,1315.0,1344.0,1318.0,874143641
1360.0,1315.0,1343.0,1335.0,829176294
1350.0,1325.0,1350.0,1325.0,726093719
1339.0,1310.0,1339.0,1328.0,543585235
1326.0,1305.0,1326.0,1317.0,810803536
1335.0,1290.0,1335.0,1309.0,582399076
1320.0,1266.0,1320.0,1266.0,2186932202
1310.0,1252.0,1310.0,1300.0,1049531733
1310.0,1288.0,1292.0,1289.0,1291845239
1354.0,1280.0,1354.0,1280.0,904523074
1320.0,1280.0,1320.0,1287.0,1150875840
1300.0,1246.0,1300.0,1246.0,974238373
1241.0,1221.0,1221.0,1221.0,234183380
1210.0,1160.0,1160.0,1161.0,430500257
1200.0,1124.0,1185.0,1195.0,486570027
1209.0,1159.0,1209.0,1188.0,440720977
1162.0,1160.0,1162.0,1160.0,93404221
1184.0,1155.0,1163.0,1165.0,335461535
1170.0,1143.0,1160.0,1143.0,418219845
1200.0,1130.0,1160.0,1200.0,2260560823
1291.0,1230.0,1230.0,1291.0,49612220382
1331.0,1331.0,1331.0,1331.0,87505264000
1397.0,1397.0,1397.0,1397.0,45561414338
1466.0,1367.0,1416.0,1466.0,136264423616
1460.0,1355.0,1460.0,1369.0,45042172181
1400.0,1305.0,1377.0,1355.0,31063075780
1400.0,1337.0,1368.0,1372.0,26597464808
1417.0,1350.0,1417.0,1361.0,14979229940
1400.0,1351.0,1380.0,1356.0,18216060602
1386.0,1334.0,1355.0,1334.0,25573442943
