high,low,open,close,Volume
1780.0,1780.0,1780.0,1780.0,407068734000
1869.0,1869.0,1869.0,1869.0,4268257728
1929.0,1850.0,1877.0,1881.0,209332376085
1885.0,1803.0,1880.0,1816.0,59648562600
1823.0,1802.0,1812.0,1810.0,46453577060
1860.0,1792.0,1810.0,1840.0,21098804085
1840.0,1784.0,1840.0,1800.0,14614243636
1809.0,1732.0,1800.0,1747.0,24499567866
1784.0,1735.0,1747.0,1784.0,20828376254
1809.0,1751.0,1790.0,1800.0,9413451677
1858.0,1795.0,1805.0,1835.0,21956446123
1830.0,1772.0,1829.0,1810.0,7797462460
1810.0,1775.0,1777.0,1800.0,8324767607
1810.0,1768.0,1790.0,1776.0,9557477193
1778.0,1751.0,1777.0,1770.0,7658220531
1845.0,1758.0,1770.0,1845.0,28574646312
1901.0,1840.0,1861.0,1850.0,28115720395
1833.0,1802.0,1833.0,1826.0,3907618735
1823.0,1800.0,1823.0,1810.0,3001416291
1810.0,1772.0,1800.0,1780.0,3895907773
1790.0,1760.0,1780.0,1780.0,3720013788
1800.0,1761.0,1790.0,1789.0,4733782044
1820.0,1766.0,1770.0,1810.0,8639341907
1853.0,1781.0,1782.0,1850.0,12539655441
1870.0,1834.0,1834.0,1870.0,14981744030
1948.0,1852.0,1861.0,1948.0,49429723831
2007.0,1900.0,1929.0,1960.0,35010745576
1990.0,1900.0,1980.0,1915.0,10907714762
2039.0,1924.0,1928.0,2039.0,46883475886
2109.0,2040.0,2050.0,2066.0,23400398784
2074.0,2000.0,2056.0,2031.0,14314644013
2078.0,2037.0,2041.0,2050.0,30901176334
2143.0,2051.0,2051.0,2090.0,33040033834
2120.0,2053.0,2104.0,2059.0,15552189055
2060.0,2015.0,2060.0,2048.0,12408882458
2080.0,2017.0,2035.0,2039.0,7437709453
2075.0,2023.0,2023.0,2075.0,30331751307
2120.0,2053.0,2070.0,2120.0,14871392201
2206.0,2090.0,2090.0,2206.0,28457514498
2260.0,2170.0,2251.0,2170.0,10631844215
2315.0,2155.0,2162.0,2315.0,38261372042
2394.0,2300.0,2340.0,2389.0,50926875048
2399.0,2301.0,2399.0,2323.0,8338949386
2380.0,2287.0,2330.0,2290.0,8726137921
2300.0,2217.0,2291.0,2221.0,7423873892
2300.0,2210.0,2210.0,2259.0,6266724665
2377.0,2227.0,2227.0,2342.0,24895670202
2390.0,2320.0,2360.0,2349.0,29811058277
2391.0,2340.0,2360.0,2380.0,4847544225
2484.0,2365.0,2397.0,2430.0,20446546238
2454.0,2360.0,2445.0,2362.0,5524360238
2379.0,2304.0,2350.0,2310.0,5931591915
2331.0,2257.0,2302.0,2260.0,5637799533
2328.0,2262.0,2262.0,2283.0,14271986523
2310.0,2201.0,2282.0,2300.0,7936986166
2298.0,2252.0,2252.0,2261.0,4645674817
2300.0,2255.0,2270.0,2300.0,17846014645
2309.0,2251.0,2309.0,2265.0,1442258107
2270.0,2232.0,2240.0,2250.0,2868161052
2250.0,2200.0,2230.0,2209.0,3659646748
2280.0,2171.0,2205.0,2220.0,9343420549
2298.0,2224.0,2224.0,2250.0,5855379726
2345.0,2250.0,2284.0,2330.0,9575961057
2360.0,2290.0,2311.0,2320.0,7292779316
2380.0,2310.0,2350.0,2322.0,4270677749
2350.0,2300.0,2317.0,2300.0,9937455271
2337.0,2272.0,2290.0,2308.0,3021198163
2330.0,2280.0,2285.0,2307.0,3432692012
2340.0,2300.0,2300.0,2339.0,5576334882
2368.0,2301.0,2305.0,2330.0,9538170890
2359.0,2330.0,2359.0,2340.0,2411353556
2440.0,2346.0,2366.0,2409.0,7464276656
2458.0,2402.0,2420.0,2405.0,15919834456
2415.0,2395.0,2400.0,2400.0,10021314378
2522.0,2390.0,2390.0,2522.0,15359686637
2614.0,2510.0,2575.0,2560.0,37385096149
2585.0,2542.0,2585.0,2571.0,24041156147
2564.0,2450.0,2500.0,2500.0,8141084053
2600.0,2465.0,2500.0,2570.0,11864855344
2653.0,2563.0,2614.0,2600.0,26125826410
2649.0,2544.0,2620.0,2620.0,26081449449
2707.0,2620.0,2640.0,2689.0,24829631206
2700.0,2570.0,2700.0,2580.0,10313466061
2600.0,2525.0,2590.0,2577.0,12422078296
2610.0,2551.0,2577.0,2610.0,10316606199
2655.0,2560.0,2610.0,2615.0,12201655486
2620.0,2550.0,2620.0,2555.0,11542780591
2585.0,2462.0,2542.0,2462.0,13618342816
2495.0,2356.0,2470.0,2470.0,17824078066
2509.0,2441.0,2461.0,2492.0,12673861708
2500.0,2370.0,2500.0,2399.0,7296179218
2449.0,2390.0,2402.0,2400.0,3179511811
2449.0,2396.0,2405.0,2396.0,5679050378
2448.0,2357.0,2448.0,2390.0,5304674707
2427.0,2360.0,2427.0,2360.0,5183814551
2399.0,2345.0,2366.0,2349.0,3948692644
2420.0,2350.0,2366.0,2360.0,4874582651
2397.0,2270.0,2355.0,2297.0,18339434568
2364.0,2277.0,2279.0,2299.0,3237797096
2338.0,2240.0,2310.0,2250.0,2990935040
2293.0,2230.0,2233.0,2245.0,3405414908
2363.0,2244.0,2290.0,2363.0,9367460771
2390.0,2340.0,2377.0,2364.0,4357044666
2299.0,2245.0,2245.0,2270.0,13385922641
2362.0,2274.0,2297.0,2280.0,9951871289
2385.0,2292.0,2385.0,2300.0,3296241085
2368.0,2310.0,2335.0,2340.0,1770640158
2370.0,2285.0,2365.0,2300.0,2953273004
2339.0,2250.0,2339.0,2266.0,4739495388
2275.0,2221.0,2267.0,2275.0,2947618929
2270.0,2220.0,2241.0,2221.0,1706671690
2223.0,2143.0,2223.0,2170.0,9674900524
