high,low,open,close,Volume
3300.0,3300.0,3300.0,3300.0,3300000
3300.0,3300.0,3300.0,3300.0,1980000
3300.0,3300.0,3300.0,3300.0,2415600
3310.0,3303.0,3303.0,3310.0,7526540
3316.0,3306.0,3311.0,3306.0,39823714
3306.0,3306.0,3306.0,3306.0,7570740
3320.0,3319.0,3319.0,3320.0,3651000
3345.0,3324.0,3324.0,3345.0,8598294
3380.0,3353.0,3353.0,3380.0,6196980
3549.0,3500.0,3500.0,3549.0,18479566
3650.0,3611.0,3611.0,3650.0,13462532
3741.0,3729.0,3734.0,3730.0,75967595
3735.0,3730.0,3730.0,3730.0,22730335
3729.0,3724.0,3729.0,3724.0,3237156
3720.0,3719.0,3719.0,3720.0,34222625
3710.0,3650.0,3651.0,3650.0,13171207
3640.0,3560.0,3640.0,3560.0,43858500
3720.0,3549.0,3558.0,3720.0,647830790
3724.0,3700.0,3720.0,3724.0,76015060
3750.0,3720.0,3724.0,3723.0,76303181
3750.0,3723.0,3723.0,3750.0,51295441
3801.0,3799.0,3800.0,3800.0,23647445
3851.0,3800.0,3850.0,3800.0,77438525
3801.0,3800.0,3800.0,3800.0,38122000
3801.0,3800.0,3801.0,3800.0,38942800
3830.0,3800.0,3800.0,3830.0,17011800
3852.0,3850.0,3850.0,3852.0,38975144
3880.0,3880.0,3880.0,3880.0,4954760
3971.0,3914.0,3971.0,3971.0,11073600
4070.0,4070.0,4070.0,4070.0,45225840
4106.0,4078.0,4081.0,4100.0,111914766
4141.0,4110.0,4110.0,4141.0,25520330
4182.0,4182.0,4182.0,4182.0,31841748
4223.0,4223.0,4223.0,4223.0,11663926
4265.0,4265.0,4265.0,4265.0,7514930
4307.0,4307.0,4307.0,4307.0,44814335
4350.0,4350.0,4350.0,4350.0,70174200
4393.0,4307.0,4307.0,4307.0,118980399
4307.0,4265.0,4307.0,4307.0,55374392
4306.0,4289.0,4289.0,4304.0,50569450
4307.0,4305.0,4305.0,4305.0,38835408
4306.0,4305.0,4305.0,4305.0,29834650
4305.0,4302.0,4305.0,4302.0,14349411
4304.0,4300.0,4304.0,4302.0,63334256
4304.0,4302.0,4304.0,4304.0,72430320
4311.0,4304.0,4304.0,4311.0,32384610
4316.0,4310.0,4315.0,4312.0,153975536
4340.0,4340.0,4340.0,4340.0,12803000
4350.0,4342.0,4350.0,4342.0,37841546
4404.0,4400.0,4400.0,4404.0,29842262
4408.0,4400.0,4408.0,4400.0,52342929
4402.0,4350.0,4400.0,4350.0,33976853
4345.0,4345.0,4345.0,4345.0,4914195
4337.0,4250.0,4251.0,4250.0,103956615
4252.0,4150.0,4250.0,4250.0,83333378
4676.0,4060.0,4600.0,4676.0,3521548670
4792.0,4676.0,4676.0,4792.0,5975715600
4911.0,4911.0,4911.0,4911.0,37407087
5033.0,5033.0,5033.0,5033.0,74035430
5158.0,4908.0,5158.0,5000.0,5416315244
5017.0,4990.0,5003.0,5000.0,343365552
5057.0,5000.0,5050.0,5057.0,42022350
5183.0,5070.0,5183.0,5074.0,128273278
5150.0,5081.0,5081.0,5113.0,58453984
5157.0,5126.0,5156.0,5156.0,148409798
5200.0,5156.0,5156.0,5200.0,50671923
5330.0,5203.0,5330.0,5330.0,146186538
5463.0,5400.0,5402.0,5463.0,102602418
5517.0,5517.0,5517.0,5517.0,19099854
5572.0,5572.0,5572.0,5572.0,223704656
5627.0,5627.0,5627.0,5627.0,27639824
5683.0,5683.0,5683.0,5683.0,43048725
5739.0,5739.0,5739.0,5739.0,98268897
5796.0,5738.0,5739.0,5739.0,227306342
5739.0,5682.0,5730.0,5682.0,33974303
5626.0,5626.0,5626.0,5626.0,17035528
