date,open,high,low,adjClose,value,volume,count,yesterday,close
2002-03-10,42000.0,45001.0,42000.0,45001.0,50634582,1164,2,42000.0,45001.0
2002-03-18,47251.0,47251.0,47251.0,47251.0,131972043,2793,20,45001.0,47251.0
2002-04-06,48432.0,48432.0,48432.0,48432.0,54970320,1135,4,47251.0,48432.0
2002-04-14,49642.0,49642.0,49642.0,49642.0,64633884,1302,8,48432.0,49642.0
2002-04-22,50883.0,50883.0,50883.0,50883.0,322445571,6337,26,49642.0,50883.0
2002-04-28,52155.0,52155.0,52155.0,52155.0,130543965,2503,10,50883.0,52155.0
2002-05-04,53458.0,53458.0,53458.0,53458.0,59766044,1118,7,52155.0,53458.0
2002-05-07,54794.0,54794.0,54794.0,54794.0,61314486,1119,3,53458.0,54794.0
2002-05-12,56163.0,56163.0,56163.0,56163.0,75258420,1340,11,54794.0,56163.0
2002-05-19,57567.0,57567.0,57567.0,57567.0,146680716,2548,17,56163.0,57567.0
2002-06-30,71600.0,150000.0,71600.0,110500.0,5621125210,53866,159,57567.0,110500.0
2002-07-01,111000.0,113262.0,110500.0,113262.0,4454381164,39650,130,110500.0,113262.0
2002-07-02,113500.0,113501.0,113248.0,113249.0,1393551482,12297,43,113262.0,113249.0
2002-07-03,111503.0,113000.0,111503.0,113000.0,187474438,1661,14,113249.0,113000.0
2002-07-06,110175.0,110175.0,55588.0,110175.0,1256700861,21921,490,113000.0,110175.0
2002-07-08,107421.0,107421.0,107421.0,107421.0,107421000,1000,4,110175.0,107421.0
2002-07-09,104736.0,104736.0,104736.0,104736.0,52368000,500,4,107421.0,104736.0
2002-07-10,102118.0,102118.0,102118.0,102118.0,51059000,500,2,104736.0,102118.0
2002-07-13,99566.0,99566.0,99566.0,99566.0,988590814,9929,30,102118.0,99566.0
2002-07-14,100003.0,102055.0,97078.0,102055.0,1807478181,17873,81,99566.0,102055.0
2002-07-15,102118.0,102118.0,101999.0,101999.0,517576374,5071,32,102055.0,101999.0
2002-08-11,90000.0,90000.0,90000.0,90000.0,91530000,1017,1,101999.0,90000.0
2002-08-14,89940.0,89940.0,89897.0,89897.0,39562904,440,7,90000.0,89897.0
2002-08-17,88500.0,88500.0,88500.0,88500.0,22125000,250,2,89897.0,88500.0
2002-08-18,86288.0,86288.0,86288.0,86288.0,224262512,2599,81,88500.0,86288.0
2002-08-20,84131.0,84131.0,84131.0,84131.0,149921442,1782,9,86288.0,84131.0
2002-08-21,82050.0,83000.0,82028.0,82028.0,49415700,600,4,84131.0,82028.0
2002-08-28,82028.0,82028.0,82028.0,82028.0,9597276,117,1,82028.0,82028.0
2002-09-02,81698.0,81698.0,81698.0,81698.0,47548236,582,1,82028.0,81698.0
2002-09-03,79060.0,79071.0,79000.0,79071.0,124441350,1574,5,81698.0,79071.0
2002-09-07,79000.0,80000.0,79000.0,80000.0,55563500,696,3,79071.0,80000.0
2002-09-08,79998.0,80001.0,79998.0,80000.0,183520097,2294,15,80000.0,80000.0
2002-09-11,79600.0,79600.0,79400.0,79400.0,278855800,3507,12,80000.0,79400.0
2002-09-14,79399.0,79399.0,79399.0,79399.0,30806812,388,2,79400.0,79399.0
2002-09-22,76000.0,76000.0,76000.0,76000.0,198360000,2610,9,79399.0,76000.0
2002-09-23,73999.0,74000.0,73999.0,73999.0,85913839,1161,24,76000.0,73999.0
2002-09-24,72502.0,73888.0,72501.0,72502.0,261409844,3601,29,73999.0,72502.0
2002-09-28,71000.0,71000.0,71000.0,71000.0,36920000,520,6,72502.0,71000.0
2002-09-29,70000.0,70000.0,70000.0,70000.0,52500000,750,3,71000.0,70000.0
2002-10-01,71000.0,71000.0,69999.0,70000.0,210126850,2974,15,70000.0,70000.0
2002-10-06,70502.0,70510.0,70502.0,70510.0,57676233,818,7,70000.0,70510.0
2002-10-07,70526.0,70526.0,70526.0,70526.0,10578900,150,1,70510.0,70526.0
2002-10-08,70530.0,70531.0,70526.0,70526.0,69401384,984,5,70526.0,70526.0
2002-10-09,70526.0,70526.0,70526.0,70526.0,18759916,266,1,70526.0,70526.0
2002-10-12,70526.0,72000.0,70526.0,72000.0,82755780,1150,3,70526.0,72000.0
2002-10-13,72100.0,72200.0,72100.0,72200.0,144300000,2000,4,72000.0,72200.0
2002-10-14,72200.0,72200.0,72001.0,72001.0,251066113,3483,8,72200.0,72001.0
2002-10-15,72001.0,72100.0,72000.0,72100.0,333116985,4625,13,72001.0,72100.0
2002-10-19,72300.0,72500.0,72004.0,72004.0,125908168,1742,4,72100.0,72004.0
2002-10-20,72100.0,72102.0,72100.0,72102.0,62727130,870,4,72004.0,72102.0
2002-10-21,72111.0,72500.0,72106.0,72500.0,288875100,4000,7,72102.0,72500.0
2002-10-23,73000.0,73001.0,72703.0,72850.0,1514919653,20830,22,72500.0,72850.0
2002-10-26,73500.0,75000.0,72904.0,75000.0,153352000,2070,9,72850.0,75000.0
2002-10-27,77500.0,77503.0,77500.0,77503.0,151125600,1950,8,75000.0,77503.0
2002-10-28,77900.0,78320.0,77507.0,78320.0,97399500,1250,6,77503.0,78320.0
2002-10-30,82236.0,82236.0,82236.0,82236.0,93420096,1136,4,78320.0,82236.0
2002-11-02,82249.0,82249.0,82249.0,82249.0,24674700,300,1,82236.0,82249.0
2002-11-03,86361.0,86361.0,86361.0,86361.0,125223450,1450,5,82249.0,86361.0
2002-11-16,19000.0,19200.0,19000.0,19200.0,13400000,700,2,86361.0,19200.0
2002-11-17,20160.0,20160.0,20160.0,20160.0,28224000,1400,2,19200.0,20160.0
2002-11-18,21168.0,21168.0,21168.0,21168.0,21168000,1000,3,20160.0,21168.0
2002-11-19,22226.0,22226.0,22226.0,22226.0,22226000,1000,1,21168.0,22226.0
2002-11-20,23337.0,23337.0,23337.0,23337.0,120185550,5150,10,22226.0,23337.0
2002-11-23,24503.0,24503.0,24502.0,24502.0,455584119,18593,63,23337.0,24502.0
2002-11-24,23900.0,24000.0,23900.0,23900.0,185403596,7754,27,24502.0,23900.0
2002-11-25,23849.0,23950.0,23849.0,23901.0,199822128,8360,32,23900.0,23901.0
2002-11-26,23901.0,23902.0,23884.0,23884.0,99371510,4158,15,23901.0,23884.0
2002-11-30,23885.0,24000.0,23885.0,24000.0,74335291,3101,9,23884.0,24000.0
2002-12-01,23999.0,23999.0,23999.0,23999.0,23831007,993,3,24000.0,23999.0
2002-12-02,23999.0,23999.0,23994.0,23994.0,47560468,1982,5,23999.0,23994.0
2002-12-03,23985.0,23987.0,23874.0,23898.0,154483039,6465,12,23994.0,23898.0
2002-12-04,23890.0,23891.0,23500.0,23500.0,178931934,7595,13,23898.0,23500.0
2002-12-07,23500.0,23500.0,23500.0,23500.0,7661000,326,2,23500.0,23500.0
2002-12-08,23399.0,23498.0,23000.0,23000.0,100909106,4328,6,23500.0,23000.0
2002-12-09,22001.0,22001.0,21850.0,21850.0,125400169,5725,8,23000.0,21850.0
2002-12-10,21850.0,21850.0,21000.0,21000.0,28850250,1372,4,21850.0,21000.0
2002-12-11,21500.0,22000.0,20500.0,22000.0,230989978,10882,24,21000.0,22000.0
2002-12-15,22000.0,22000.0,21997.0,21997.0,49939380,2270,10,22000.0,21997.0
2002-12-17,21988.0,21996.0,21988.0,21995.0,81392608,3701,9,21997.0,21995.0
2002-12-18,22002.0,23000.0,22002.0,23000.0,26440538,1173,5,21995.0,23000.0
2002-12-21,23799.0,23800.0,23799.0,23800.0,87892707,3693,11,23000.0,23800.0
2002-12-22,23101.0,23804.0,23095.0,23800.0,144657042,6114,22,23800.0,23800.0
2002-12-23,23096.0,23800.0,23096.0,23800.0,54390224,2294,5,23800.0,23800.0
2002-12-24,23800.0,23984.0,23800.0,23984.0,94032768,3929,9,23800.0,23984.0
2002-12-25,23989.0,23989.0,23989.0,23989.0,2398900,100,1,23984.0,23989.0
2002-12-28,25000.0,25000.0,25000.0,25000.0,78750000,3150,12,23989.0,25000.0
2002-12-29,25107.0,26250.0,25107.0,26250.0,26060262,1000,3,25000.0,26250.0
2002-12-31,27560.0,27560.0,27560.0,27560.0,33705880,1223,8,26250.0,27560.0
2003-01-01,28938.0,28938.0,27590.0,27685.0,175867536,6275,19,27560.0,27685.0
2003-01-04,27685.0,27800.0,27685.0,27695.0,87660460,3164,13,27685.0,27695.0
2003-01-05,28200.0,28900.0,27695.0,28900.0,76639665,2699,5,27695.0,28900.0
2003-01-06,28900.0,28917.0,28900.0,28917.0,24346550,842,4,28900.0,28917.0
2003-01-07,29500.0,30362.0,29500.0,30362.0,38373450,1265,3,28917.0,30362.0
2003-01-08,31880.0,31880.0,31880.0,31880.0,56395720,1769,6,30362.0,31880.0
2003-01-11,33474.0,33474.0,33203.0,33203.0,256220327,7660,30,31880.0,33203.0
2003-01-12,32852.0,32998.0,31990.0,31990.0,91778290,2808,14,33203.0,31990.0
2003-01-18,32500.0,32600.0,32000.0,32059.0,60446180,1877,8,31990.0,32059.0
2003-01-19,32081.0,32081.0,32067.0,32067.0,83574968,2606,9,32059.0,32067.0
2003-01-20,32090.0,32090.0,32079.0,32080.0,62143200,1937,6,32067.0,32080.0
2003-01-21,32059.0,32059.0,30476.0,30476.0,96236850,3150,5,32080.0,30476.0
2003-01-22,28953.0,28953.0,28953.0,28953.0,28953000,1000,2,30476.0,28953.0
2003-01-25,27506.0,28949.0,27506.0,27506.0,182231875,6485,18,28953.0,27506.0
2003-01-26,27400.0,27400.0,26134.0,26145.0,443840474,16948,20,27506.0,26145.0
2003-01-27,26145.0,26405.0,26145.0,26400.0,93227630,3543,9,26145.0,26400.0
2003-01-28,27000.0,27003.0,27000.0,27003.0,219998008,8148,12,26400.0,27003.0
2003-01-29,27183.0,28350.0,27183.0,28350.0,195033042,7147,9,27003.0,28350.0
2003-02-01,29767.0,29767.0,29767.0,29767.0,76441656,2568,7,28350.0,29767.0
2003-02-03,31255.0,31255.0,28279.0,29498.0,494103536,16803,53,29767.0,29498.0
2003-02-04,29497.0,29498.0,28999.0,28999.0,224690266,7622,27,29498.0,28999.0
2003-02-08,28259.0,28259.0,27550.0,27550.0,50365600,1811,5,28999.0,27550.0
2003-02-10,26180.0,26180.0,26173.0,26173.0,107389219,4103,7,27550.0,26173.0
2003-02-15,26172.0,26172.0,25499.0,25499.0,124434000,4843,13,26173.0,25499.0
2003-02-16,26773.0,26773.0,25490.0,26773.0,432635109,16775,50,25499.0,26773.0
2003-02-17,28000.0,28111.0,28000.0,28111.0,31373042,1118,3,26773.0,28111.0
2003-02-18,28995.0,29516.0,28995.0,29200.0,248848709,8503,26,28111.0,29200.0
2003-02-19,30000.0,30000.0,28231.0,28231.0,217638250,7622,12,29200.0,28231.0
2003-02-22,28214.0,28214.0,27500.0,27500.0,82027880,2920,2,28231.0,27500.0
2003-02-24,27500.0,27501.0,26250.0,26250.0,182999032,6739,18,27500.0,26250.0
2003-02-25,27500.0,27501.0,27500.0,27500.0,31542543,1147,10,26250.0,27500.0
2003-02-26,28000.0,28000.0,27999.0,27999.0,48635388,1737,4,27500.0,27999.0
2003-03-01,27001.0,27200.0,27000.0,27000.0,169501128,6263,9,27999.0,27000.0
2003-03-02,26000.0,26997.0,26000.0,26000.0,180770996,6881,15,27000.0,26000.0
2003-03-03,26300.0,26600.0,26200.0,26500.0,261455300,9877,26,26000.0,26500.0
2003-03-04,26500.0,26900.0,26500.0,26500.0,118652500,4477,21,26500.0,26500.0
2003-03-05,26502.0,26504.0,26500.0,26502.0,54301601,2049,7,26500.0,26502.0
2003-03-08,26500.0,26500.0,26199.0,26199.0,165463650,6301,5,26502.0,26199.0
2003-03-09,24899.0,26099.0,24899.0,25001.0,152839592,6115,21,26199.0,25001.0
2003-03-10,25000.0,25000.0,23752.0,23752.0,245239960,10123,18,25001.0,23752.0
2003-03-11,23756.0,24939.0,23751.0,24700.0,325838787,13534,31,23752.0,24700.0
2003-03-12,25500.0,26000.0,25500.0,25999.0,87611345,3380,14,24700.0,25999.0
2003-03-15,26017.0,26600.0,25998.0,26400.0,279210261,10601,23,25999.0,26400.0
2003-03-16,26122.0,26122.0,26000.0,26000.0,82626110,3165,5,26400.0,26000.0
2003-03-17,25500.0,25500.0,25000.0,25000.0,106687320,4240,12,26000.0,25000.0
2003-03-19,25047.0,25047.0,25047.0,25047.0,8866638,354,1,25000.0,25047.0
2003-04-07,25673.0,25673.0,25673.0,25673.0,77019000,3000,4,25047.0,25673.0
2003-04-09,26314.0,26314.0,26314.0,26314.0,81073434,3081,9,25673.0,26314.0
2003-04-12,26971.0,26971.0,26971.0,26971.0,117188995,4345,11,26314.0,26971.0
2003-04-13,27645.0,27645.0,27645.0,27645.0,83211450,3010,6,26971.0,27645.0
2003-04-14,28336.0,28336.0,28336.0,28336.0,99799392,3522,11,27645.0,28336.0
2003-04-15,29044.0,29044.0,29040.0,29040.0,754183422,25967,46,28336.0,29040.0
2003-04-16,28314.0,29024.0,28314.0,29024.0,363735758,12771,28,29040.0,29024.0
2003-04-19,28322.0,29022.0,28299.0,28299.0,263252096,9285,20,29024.0,28299.0
2003-04-20,28299.0,28299.0,27592.0,27592.0,327161784,11852,9,28299.0,27592.0
2003-04-21,27500.0,28281.0,27380.0,28281.0,457118279,16486,22,27592.0,28281.0
