date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-03-10,2.0,2.0,2.0,2.0,5737184,2868592,3,0.0,2.0
2005-01-15,5000.0,5000.0,5000.0,5000.0,5000000,1000,1,2.0,5000.0
2005-01-16,4500.0,4750.0,4500.0,4701.0,1329227401,294062,479,5000.0,4701.0
2005-01-22,4231.0,4231.0,4231.0,4231.0,137981372,32612,47,4701.0,4231.0
2005-01-23,4100.0,4100.0,4000.0,4010.0,86479455,21561,15,4231.0,4010.0
2005-01-24,4054.0,4062.0,4000.0,4040.0,28624158,7084,20,4010.0,4040.0
2005-01-25,3900.0,4000.0,3700.0,3859.0,38838390,10064,18,4040.0,3859.0
2005-01-26,3700.0,3700.0,3700.0,3700.0,111000000,30000,17,3859.0,3700.0
2005-01-30,3700.0,3700.0,3700.0,3700.0,18500000,5000,4,3700.0,3700.0
2005-01-31,3330.0,3330.0,3330.0,3330.0,28145160,8452,10,3700.0,3330.0
2005-02-01,3330.0,3330.0,3330.0,3330.0,5547780,1666,1,3330.0,3330.0
2005-02-02,3330.0,3330.0,3300.0,3314.0,29347966,8854,8,3330.0,3314.0
2005-02-05,3350.0,3350.0,3314.0,3315.0,32957472,9941,11,3314.0,3315.0
2005-02-06,3314.0,3314.0,3250.0,3281.0,81402496,24810,12,3315.0,3281.0
2005-02-07,3200.0,3200.0,3117.0,3151.0,91766298,29116,11,3281.0,3151.0
2005-02-08,3151.0,3200.0,3100.0,3126.0,3676848,1176,4,3151.0,3126.0
2005-02-09,3000.0,3002.0,3000.0,3001.0,38120010,12700,9,3126.0,3001.0
2005-02-12,3000.0,3001.0,3000.0,3000.0,26617000,8872,6,3001.0,3000.0
2005-02-13,2851.0,3000.0,2851.0,2875.0,13865005,4821,5,3000.0,2875.0
2005-02-14,2851.0,3000.0,2851.0,2910.0,53537666,18395,15,2875.0,2910.0
2005-02-15,2869.0,2869.0,2800.0,2851.0,25841157,9063,14,2910.0,2851.0
2005-02-16,2804.0,3129.0,2803.0,2890.0,12820923,4435,9,2851.0,2890.0
2005-02-22,2810.0,2810.0,2803.0,2806.0,7043560,2510,6,2890.0,2806.0
2005-02-26,3086.0,3086.0,3086.0,3086.0,10285638,3333,2,2806.0,3086.0
2005-02-27,3200.0,3214.0,3200.0,3200.0,5907242,1846,4,3086.0,3200.0
2005-02-28,3245.0,3520.0,3245.0,3489.0,10490060,3006,4,3200.0,3489.0
2005-03-01,3522.0,3523.0,3141.0,3278.0,108975341,33237,18,3489.0,3278.0
2005-03-02,3141.0,3180.0,3141.0,3169.0,13727053,4331,9,3278.0,3169.0
2005-03-05,3185.0,3230.0,3180.0,3197.0,84225694,26341,15,3169.0,3197.0
2005-04-11,4700.0,4700.0,4700.0,4700.0,905657100,192693,21,3197.0,4700.0
2011-04-26,1980.0,1999.0,1825.0,1897.0,16494063936,8693352,781,4700.0,1902.0
2011-05-01,1850.0,1850.0,1776.0,1788.0,746928200,417702,26,1897.0,1800.0
2011-05-02,1931.0,1931.0,1900.0,1931.0,3993566166,2068262,191,1788.0,1931.0
2011-05-03,2029.0,2029.0,1802.0,1880.0,2535097283,1348148,136,1931.0,1823.0
2011-05-04,1977.0,1990.0,1890.0,1914.0,4312692949,2253785,247,1880.0,1976.0
2011-05-08,1950.0,2060.0,1761.0,1859.0,2088948730,1123420,110,1914.0,2060.0
2011-05-09,1998.0,1998.0,1851.0,1954.0,1678430113,858977,77,1859.0,1958.0
2011-05-10,1970.0,1970.0,1872.0,1938.0,1723813826,889471,136,1954.0,1876.0
2011-05-11,1949.0,1949.0,1800.0,1805.0,646398798,358088,43,1938.0,1800.0
2011-05-15,1805.0,1805.0,1662.0,1700.0,146417613,86152,17,1805.0,1682.0
2011-05-16,1700.0,1700.0,1568.0,1610.0,642595990,399015,39,1700.0,1601.0
2011-05-17,1515.0,1737.0,1515.0,1636.0,1183366406,723131,57,1610.0,1700.0
2011-05-18,1759.0,1766.0,1759.0,1765.0,1621910270,918876,111,1636.0,1766.0
2011-05-21,1879.0,1880.0,1800.0,1829.0,2574804887,1407530,183,1765.0,1810.0
2011-05-22,1888.0,1900.0,1800.0,1837.0,2716697216,1478910,174,1829.0,1800.0
2011-05-23,1801.0,1801.0,1691.0,1733.0,837458121,483236,64,1837.0,1712.0
2011-05-24,1830.0,1830.0,1595.0,1642.0,234331830,142707,35,1733.0,1595.0
2011-05-25,1533.0,1588.0,1522.0,1543.0,678377232,439603,70,1642.0,1588.0
2011-05-28,1650.0,1666.0,1560.0,1642.0,1356407111,826109,95,1543.0,1619.0
2011-05-29,1620.0,1620.0,1511.0,1526.0,669586759,438878,63,1642.0,1520.0
2011-05-30,1590.0,1648.0,1590.0,1647.0,1404531149,852801,84,1526.0,1648.0
2011-05-31,1698.0,1698.0,1610.0,1661.0,627522661,377807,49,1647.0,1610.0
2011-06-01,1571.0,1640.0,1571.0,1584.0,389617782,245991,40,1661.0,1582.0
2011-06-06,1630.0,1689.0,1611.0,1658.0,343670598,207310,33,1584.0,1679.0
2011-06-07,1699.0,1720.0,1574.0,1637.0,640910309,391513,44,1658.0,1574.0
