date,open,high,low,adjClose,value,volume,count,yesterday,close
2002-09-15,15480.0,15484.0,15480.0,15480.0,17493112,1130,6,15480.0,15480.0
2002-11-03,14600.0,14600.0,14600.0,14600.0,3474800,238,1,15480.0,14600.0
2017-04-22,1542.0,1620.0,1541.0,1579.0,24128698116,15276606,1984,1000.0,1600.0
2017-04-23,1657.0,1657.0,1501.0,1574.0,48015302773,30512215,3060,1579.0,1600.0
2017-04-24,1561.0,1639.0,1520.0,1579.0,8630804021,5464971,638,1574.0,1520.0
2017-04-26,1531.0,1531.0,1501.0,1501.0,594127736,395736,28,1579.0,1501.0
2017-04-29,1426.0,1455.0,1426.0,1430.0,14381282272,10053353,733,1501.0,1436.0
2017-04-30,1455.0,1501.0,1455.0,1499.0,3373949147,2251217,170,1430.0,1501.0
2017-05-01,1573.0,1573.0,1573.0,1573.0,6151027740,3910380,253,1499.0,1573.0
2017-05-02,1605.0,1630.0,1502.0,1577.0,12964100775,8222498,665,1573.0,1540.0
2017-05-03,1504.0,1550.0,1499.0,1506.0,6274430591,4167436,340,1577.0,1500.0
2017-05-06,1530.0,1548.0,1440.0,1510.0,2955530385,1957279,177,1506.0,1463.0
2017-05-07,1453.0,1585.0,1450.0,1556.0,13003895101,8356609,738,1510.0,1585.0
2017-05-08,1633.0,1633.0,1495.0,1586.0,12591623003,7939993,571,1556.0,1519.0
2017-05-09,1508.0,1508.0,1507.0,1507.0,385952314,256102,18,1586.0,1507.0
2017-05-10,1491.0,1520.0,1433.0,1484.0,6283798783,4233398,348,1507.0,1488.0
2017-05-13,1444.0,1493.0,1410.0,1419.0,2166962587,1527433,172,1484.0,1410.0
2017-05-14,1356.0,1385.0,1349.0,1357.0,864251507,636805,57,1419.0,1349.0
2017-05-15,1366.0,1366.0,1290.0,1304.0,3414175459,2618716,226,1357.0,1322.0
2017-05-16,1359.0,1369.0,1302.0,1327.0,919715435,692843,67,1304.0,1310.0
2017-05-17,1298.0,1301.0,1276.0,1284.0,559617517,435885,57,1327.0,1280.0
2017-05-20,1251.0,1339.0,1251.0,1295.0,1561164273,1205334,119,1284.0,1267.0
2017-05-21,1300.0,1300.0,1231.0,1241.0,2459186025,1981921,160,1295.0,1233.0
2017-05-22,1240.0,1276.0,1232.0,1257.0,540337081,430032,48,1241.0,1275.0
2017-05-23,1278.0,1319.0,1250.0,1284.0,2441384290,1901835,143,1257.0,1280.0
2017-05-24,1308.0,1308.0,1247.0,1265.0,881753534,697256,80,1284.0,1247.0
2017-05-27,1297.0,1300.0,1240.0,1272.0,1304985913,1025839,114,1265.0,1240.0
2017-06-10,1219.0,1219.0,1160.0,1198.0,27565000,23000,4,1272.0,1219.0
2017-06-11,1190.0,1190.0,1061.0,1096.0,937020310,855015,127,1198.0,1073.0
2017-06-12,1045.0,1074.0,1042.0,1047.0,383587476,366370,29,1096.0,1042.0
2017-06-13,995.0,995.0,995.0,995.0,4351366835,4373233,211,1047.0,995.0
2017-06-14,946.0,980.0,946.0,947.0,11824563501,12486991,821,995.0,946.0
2017-06-17,920.0,968.0,900.0,910.0,9736628059,10699543,611,947.0,900.0
2017-12-16,1600.0,1600.0,1600.0,1600.0,960000000,600000,12,910.0,1600.0
2017-12-17,1680.0,1680.0,1680.0,1680.0,688800000,410000,9,1600.0,1680.0
2017-12-18,1764.0,1764.0,1764.0,1764.0,17640000,10000,1,1680.0,1764.0
2017-12-19,1764.0,1764.0,1764.0,1764.0,158760000,90000,3,1764.0,1764.0
2017-12-23,1764.0,1764.0,1764.0,1764.0,3528000,2000,1,1764.0,1764.0
2017-12-24,1764.0,1764.0,1764.0,1764.0,3528000,2000,1,1764.0,1764.0
2017-12-25,1852.0,1852.0,1852.0,1852.0,200942000,108500,7,1764.0,1852.0
2017-12-26,1870.0,1870.0,1870.0,1870.0,59840000,32000,3,1852.0,1870.0
2017-12-27,1963.0,1963.0,1870.0,1874.0,78726000,42000,3,1870.0,1870.0
2017-12-30,1781.0,1781.0,1781.0,1781.0,356200000,200000,13,1874.0,1781.0
2017-12-31,1721.0,1721.0,1692.0,1692.0,341842000,202000,7,1781.0,1692.0
2018-01-01,1692.0,1692.0,1608.0,1620.0,621162000,383500,13,1692.0,1608.0
2018-01-02,1620.0,1620.0,1539.0,1554.0,4228126000,2721000,100,1620.0,1539.0
2018-01-03,1478.0,1480.0,1477.0,1477.0,102958483472,69702873,1496,1554.0,1478.0
