date,open,high,low,adjClose,value,volume,count,yesterday,close
2004-10-06,4800.0,4800.0,4798.0,4799.0,30524080,6360,5,4800.0,4799.0
2004-10-09,4800.0,4800.0,4800.0,4800.0,156408000,32585,8,4799.0,4800.0
2004-10-10,5000.0,5052.0,4814.0,5027.0,166660330,33150,14,4800.0,5027.0
2004-10-11,5054.0,5350.0,5052.0,5201.0,94474080,18163,19,5027.0,5201.0
2004-10-12,5070.0,5070.0,4999.0,5019.0,152693291,30421,32,5201.0,5019.0
2004-10-13,5033.0,5053.0,5007.0,5022.0,91867865,18290,10,5019.0,5022.0
2004-10-16,5050.0,5074.0,5023.0,5054.0,505440374,99997,41,5022.0,5054.0
2004-10-17,5011.0,5055.0,5008.0,5023.0,163101294,32466,21,5054.0,5023.0
2004-10-18,5023.0,5041.0,5003.0,5025.0,226802646,45134,14,5023.0,5025.0
2004-10-19,5160.0,5160.0,5026.0,5040.0,37692438,7478,6,5025.0,5040.0
2004-10-20,5020.0,5038.0,4998.0,5015.0,221652351,44192,22,5040.0,5015.0
2004-10-23,5003.0,5107.0,5002.0,5017.0,46797332,9326,20,5015.0,5017.0
2004-10-24,5017.0,5050.0,5000.0,5024.0,87483379,17411,17,5017.0,5024.0
2004-10-25,5023.0,5023.0,4980.0,5005.0,242867211,48520,29,5024.0,5005.0
2004-10-26,4980.0,4980.0,4899.0,4950.0,350521915,70808,33,5005.0,4950.0
2004-10-27,4803.0,4896.0,4802.0,4867.0,263045811,54046,42,4950.0,4867.0
2004-10-30,4568.0,4577.0,4568.0,4571.0,145274499,31779,27,4867.0,4571.0
2004-10-31,4501.0,4571.0,4500.0,4504.0,60157560,13355,14,4571.0,4504.0
2004-11-01,4504.0,4639.0,4504.0,4548.0,111791272,24577,15,4504.0,4548.0
2004-11-02,4547.0,4555.0,4544.0,4544.0,81442002,17920,11,4548.0,4544.0
2004-11-03,4543.0,4890.0,4543.0,4814.0,100166461,20807,11,4544.0,4814.0
2004-11-06,4821.0,4821.0,4820.0,4820.0,25366942,5262,8,4814.0,4820.0
2004-11-07,4820.0,4920.0,4820.0,4905.0,55907912,11396,13,4820.0,4905.0
2004-11-16,4799.0,4799.0,4799.0,4799.0,24642865,5135,1,4905.0,4799.0
2004-11-17,4740.0,4740.0,4705.0,4710.0,11075202,2351,8,4799.0,4710.0
2004-11-20,4500.0,4501.0,4395.0,4410.0,485350018,110037,48,4710.0,4410.0
2004-11-21,4410.0,4451.0,4400.0,4408.0,242295567,54966,34,4410.0,4408.0
2004-11-22,4421.0,4437.0,4404.0,4427.0,23326228,5268,10,4408.0,4427.0
2004-11-23,4450.0,4600.0,4450.0,4523.0,28256209,6247,18,4427.0,4523.0
2004-11-24,4636.0,4637.0,4538.0,4616.0,136967399,29672,45,4523.0,4616.0
2004-12-15,4772.0,4772.0,4768.0,4768.0,226128432,47399,5,4616.0,4768.0
2005-05-31,4450.0,4745.0,4015.0,4569.0,114763761,25117,14,4768.0,4569.0
2005-06-01,4285.0,4470.0,4271.0,4299.0,467432246,108730,40,4569.0,4299.0
2005-06-06,4448.0,4450.0,4150.0,4339.0,2452060432,565092,164,4299.0,4339.0
2005-06-07,4470.0,4677.0,4301.0,4527.0,2329182409,514471,133,4339.0,4527.0
2005-06-08,4527.0,4700.0,4517.0,4613.0,5241640826,1136055,261,4527.0,4613.0
2005-06-11,4284.0,4400.0,4185.0,4320.0,2212832055,512211,142,4613.0,4320.0
2005-06-12,4185.0,4449.0,4185.0,4392.0,252447868,57467,40,4320.0,4392.0
2005-06-13,4392.0,4490.0,4370.0,4449.0,195511908,43940,17,4392.0,4449.0
2005-06-14,4300.0,4500.0,4210.0,4453.0,286597435,64348,19,4449.0,4453.0
2005-06-15,4500.0,4699.0,4500.0,4559.0,638256870,139969,40,4453.0,4559.0
2005-06-18,4506.0,4667.0,4505.0,4564.0,403521625,88412,43,4559.0,4564.0
2005-06-19,4240.0,4240.0,4108.0,4132.0,784281612,189761,51,4564.0,4132.0
2005-06-20,4104.0,4534.0,3800.0,4276.0,201148595,47033,35,4132.0,4276.0
2005-06-21,4400.0,4502.0,4325.0,4484.0,599009030,133569,53,4276.0,4484.0
2005-06-22,4531.0,4532.0,4332.0,4414.0,640696029,145119,85,4484.0,4414.0
2005-06-25,3973.0,3973.0,3973.0,3973.0,278686085,70145,17,4414.0,3973.0
2005-06-26,4201.0,4201.0,3578.0,4068.0,295511047,72625,65,3973.0,4068.0
2005-06-27,4009.0,4474.0,3662.0,3983.0,5690229538,1518528,93,4068.0,3983.0
2005-06-28,3982.0,4140.0,3808.0,3994.0,948944641,237570,72,3983.0,3994.0
2005-06-29,3903.0,3903.0,3730.0,3828.0,765899568,200048,71,3994.0,3828.0
2005-07-02,3722.0,3722.0,3446.0,3546.0,864586257,243819,80,3828.0,3546.0
2005-07-03,3446.0,3446.0,3200.0,3260.0,124709614,38248,32,3546.0,3260.0
2005-07-04,3400.0,3452.0,3290.0,3419.0,532482398,155700,60,3260.0,3419.0
2005-07-05,3436.0,3580.0,3419.0,3527.0,134505770,38135,29,3419.0,3527.0
2005-07-06,3578.0,3748.0,3571.0,3595.0,575805851,160157,101,3527.0,3595.0
2005-07-09,3470.0,3470.0,3251.0,3321.0,1238619148,372872,98,3595.0,3321.0
2005-07-11,3320.0,3400.0,3310.0,3366.0,104430659,31020,27,3321.0,3366.0
2005-07-12,3300.0,3300.0,3230.0,3272.0,599642263,183258,62,3366.0,3272.0
2005-07-13,3248.0,3248.0,3052.0,3123.0,218906495,70081,41,3272.0,3123.0
2005-07-16,3123.0,3237.0,3000.0,3092.0,940061037,305659,75,3123.0,3092.0
2005-07-17,3092.0,3100.0,2943.0,3040.0,674066872,221673,84,3092.0,3040.0
2005-07-18,2999.0,3000.0,2800.0,2844.0,347561087,122199,46,3040.0,2844.0
2005-07-19,2720.0,2743.0,2651.0,2698.0,251835255,93332,58,2844.0,2698.0
2005-07-20,2967.0,2967.0,2820.0,2955.0,415316077,140522,52,2698.0,2955.0
2005-07-23,3250.0,3250.0,3000.0,3236.0,146600701,45301,15,2955.0,3236.0
2005-07-24,3499.0,3559.0,3490.0,3555.0,1038513512,292105,85,3236.0,3555.0
2005-07-25,3252.0,3252.0,3200.0,3221.0,405725914,125933,75,3555.0,3221.0
2005-07-26,3200.0,3240.0,3000.0,3112.0,174535780,56077,29,3221.0,3112.0
2005-07-27,3112.0,3239.0,3112.0,3194.0,56484299,17679,11,3112.0,3194.0
2005-07-30,3242.0,3410.0,3241.0,3383.0,183089914,54116,29,3194.0,3383.0
2005-07-31,3400.0,3410.0,3300.0,3388.0,513598673,151555,44,3383.0,3388.0
2005-08-01,3251.0,3253.0,3083.0,3128.0,278593465,89036,37,3388.0,3128.0
2005-08-02,3201.0,3380.0,3200.0,3297.0,94302808,28600,18,3128.0,3297.0
2005-08-03,3387.0,3390.0,3321.0,3374.0,127453244,37768,19,3297.0,3374.0
2005-08-06,3400.0,3400.0,3262.0,3285.0,56715876,17265,14,3374.0,3285.0
2005-08-07,3200.0,3250.0,3140.0,3182.0,180216255,56633,19,3285.0,3182.0
2005-08-08,3182.0,3253.0,3182.0,3246.0,147109017,45314,11,3182.0,3246.0
2005-08-09,3350.0,3350.0,3280.0,3307.0,39847280,12047,10,3246.0,3307.0
2005-08-10,3400.0,3480.0,3361.0,3439.0,31926872,9282,6,3307.0,3439.0
2005-08-13,3350.0,3350.0,3348.0,3349.0,79146335,23627,15,3439.0,3349.0
2005-08-14,3300.0,3350.0,3300.0,3324.0,379363980,114097,43,3349.0,3324.0
2005-08-15,3301.0,3316.0,3300.0,3302.0,112275246,33996,8,3324.0,3302.0
2005-08-16,3333.0,3479.0,3333.0,3400.0,107418459,31593,16,3302.0,3400.0
2005-08-17,3385.0,3385.0,3341.0,3365.0,103371281,30716,18,3400.0,3365.0
2005-08-20,3553.0,3600.0,3474.0,3559.0,670915672,188498,64,3365.0,3559.0
2005-08-21,3650.0,3651.0,3600.0,3618.0,561526230,155175,57,3559.0,3618.0
2005-08-22,3700.0,3748.0,3630.0,3656.0,387613527,106021,42,3618.0,3656.0
2005-08-23,3600.0,3629.0,3550.0,3586.0,570015212,158919,86,3656.0,3586.0
2005-08-24,3555.0,3605.0,3555.0,3585.0,867144217,241852,81,3586.0,3585.0
2005-11-06,2780.0,2780.0,2600.0,2615.0,1569026150,600010,13,3585.0,2615.0
